"  JakeMatijevic1 , contact"
  489.9  ,    1800
  514.4  ,       0
  538.8  ,       0
  563.3  ,       0
  587.7  ,       0
  612.1  ,       0
  636.6  ,       1
  661.0  ,       1
  685.5  ,       1
  709.9  ,      13
  734.4  ,     522
  758.8  ,     598
  783.3  ,     584
  807.7  ,     585
  832.2  ,     655
  856.6  ,     768
  881.1  ,     983
  905.5  ,    1272
  930.0  ,    1709
  954.4  ,    2238
  978.9  ,    2742
 1003.3  ,    3268
 1027.8  ,    3537
 1052.2  ,    3414
 1076.7  ,    3102
 1101.1  ,    2779
 1125.5  ,    2453
 1150.0  ,    2301
 1174.4  ,    2411
 1198.9  ,    2517
 1223.3  ,    2673
 1247.8  ,    2852
 1272.2  ,    2918
 1296.7  ,    2996
 1321.1  ,    3450
 1345.6  ,    4050
 1370.0  ,    5472
 1394.5  ,    7133
 1418.9  ,    9419
 1443.4  ,   11253
 1467.8  ,   12511
 1492.3  ,   12549
 1516.7  ,   11921
 1541.2  ,   10602
 1565.6  ,    9490
 1590.1  ,    9875
 1614.5  ,   11641
 1639.0  ,   15679
 1663.4  ,   19964
 1687.8  ,   24551
 1712.3  ,   27518
 1736.7  ,   28210
 1761.2  ,   26145
 1785.6  ,   22218
 1810.1  ,   16953
 1834.5  ,   11905
 1859.0  ,    7528
 1883.4  ,    4536
 1907.9  ,    2673
 1932.3  ,    1571
 1956.8  ,    1024
 1981.2  ,     689
 2005.7  ,     564
 2030.1  ,     497
 2054.6  ,     393
 2079.0  ,     305
 2103.5  ,     286
 2127.9  ,     305
 2152.4  ,     341
 2176.8  ,     384
 2201.3  ,     458
 2225.7  ,     523
 2250.1  ,     644
 2274.6  ,     738
 2299.0  ,     728
 2323.5  ,     743
 2347.9  ,     647
 2372.4  ,     531
 2396.8  ,     401
 2421.3  ,     304
 2445.7  ,     304
 2470.2  ,     240
 2494.6  ,     261
 2519.1  ,     333
 2543.5  ,     412
 2568.0  ,     438
 2592.4  ,     485
 2616.9  ,     475
 2641.3  ,     479
 2665.8  ,     436
 2690.2  ,     338
 2714.7  ,     286
 2739.1  ,     218
 2763.6  ,     197
 2788.0  ,     171
 2812.4  ,     158
 2836.9  ,     143
 2861.3  ,     129
 2885.8  ,     105
 2910.2  ,     107
 2934.7  ,     110
 2959.1  ,     107
 2983.6  ,      96
 3008.0  ,      99
 3032.5  ,      90
 3056.9  ,     102
 3081.4  ,     125
 3105.8  ,     132
 3130.3  ,     187
 3154.7  ,     244
 3179.2  ,     373
 3203.6  ,     510
 3228.1  ,     602
 3252.5  ,     860
 3277.0  ,     914
 3301.4  ,     991
 3325.9  ,     909
 3350.3  ,     856
 3374.7  ,     689
 3399.2  ,     547
 3423.6  ,     416
 3448.1  ,     310
 3472.5  ,     324
 3497.0  ,     352
 3521.4  ,     444
 3545.9  ,     643
 3570.3  ,     866
 3594.8  ,    1199
 3619.2  ,    1495
 3643.7  ,    1682
 3668.1  ,    1954
 3692.6  ,    1844
 3717.0  ,    1671
 3741.5  ,    1401
 3765.9  ,    1109
 3790.4  ,     779
 3814.8  ,     535
 3839.3  ,     333
 3863.7  ,     243
 3888.2  ,     196
 3912.6  ,     189
 3937.0  ,     205
 3961.5  ,     271
 3985.9  ,     248
 4010.4  ,     284
 4034.8  ,     281
 4059.3  ,     247
 4083.7  ,     188
 4108.2  ,     152
 4132.6  ,     132
 4157.1  ,      86
 4181.5  ,      62
 4206.0  ,      63
 4230.4  ,      58
 4254.9  ,      58
 4279.3  ,      52
 4303.8  ,      61
 4328.2  ,      66
 4352.7  ,      81
 4377.1  ,     100
 4401.6  ,     139
 4426.0  ,     138
 4450.5  ,     176
 4474.9  ,     195
 4499.3  ,     178
 4523.8  ,     184
 4548.2  ,     174
 4572.7  ,     143
 4597.1  ,     124
 4621.6  ,     122
 4646.0  ,      93
 4670.5  ,      86
 4694.9  ,      73
 4719.4  ,      56
 4743.8  ,      58
 4768.3  ,      52
 4792.7  ,      53
 4817.2  ,      63
 4841.6  ,      60
 4866.1  ,      74
 4890.5  ,      65
 4915.0  ,      67
 4939.4  ,      62
 4963.9  ,      56
 4988.3  ,      71
 5012.8  ,      72
 5037.2  ,      66
 5061.6  ,      53
 5086.1  ,      54
 5110.5  ,      40
 5135.0  ,      59
 5159.4  ,      61
 5183.9  ,      48
 5208.3  ,      47
 5232.8  ,      59
 5257.2  ,      46
 5281.7  ,      61
 5306.1  ,      58
 5330.6  ,      68
 5355.0  ,      70
 5379.5  ,      69
 5403.9  ,      61
 5428.4  ,      73
 5452.8  ,      65
 5477.3  ,      65
 5501.7  ,      62
 5526.2  ,      64
 5550.6  ,      60
 5575.1  ,      72
 5599.5  ,      67
 5623.9  ,      68
 5648.4  ,      60
 5672.8  ,      45
 5697.3  ,      83
 5721.7  ,      69
 5746.2  ,      87
 5770.6  ,      99
 5795.1  ,      94
 5819.5  ,     128
 5844.0  ,     156
 5868.4  ,     174
 5892.9  ,     176
 5917.3  ,     193
 5941.8  ,     139
 5966.2  ,     128
 5990.7  ,     133
 6015.1  ,     124
 6039.6  ,     149
 6064.0  ,     120
 6088.5  ,     174
 6112.9  ,     218
 6137.4  ,     297
 6161.8  ,     442
 6186.2  ,     688
 6210.7  ,    1158
 6235.1  ,    1860
 6259.6  ,    2698
 6284.0  ,    3763
 6308.5  ,    4838
 6332.9  ,    6080
 6357.4  ,    6836
 6381.8  ,    6968
 6406.3  ,    6803
 6430.7  ,    6025
 6455.2  ,    5081
 6479.6  ,    3888
 6504.1  ,    2795
 6528.5  ,    1882
 6553.0  ,    1131
 6577.4  ,     690
 6601.9  ,     353
 6626.3  ,     194
 6650.8  ,     117
 6675.2  ,     101
 6699.6  ,      73
 6724.1  ,      63
 6748.5  ,      65
 6773.0  ,      78
 6797.4  ,      91
 6821.9  ,     131
 6846.3  ,     201
 6870.8  ,     271
 6895.2  ,     388
 6919.7  ,     553
 6944.1  ,     719
 6968.6  ,     881
 6993.0  ,    1024
 7017.5  ,    1104
 7041.9  ,    1125
 7066.4  ,    1141
 7090.8  ,     981
 7115.3  ,     813
 7139.7  ,     627
 7164.2  ,     478
 7188.6  ,     336
 7213.1  ,     201
 7237.5  ,     126
 7261.9  ,      67
 7286.4  ,      52
 7310.8  ,      36
 7335.3  ,      41
 7359.7  ,      27
 7384.2  ,      31
 7408.6  ,      28
 7433.1  ,      16
 7457.5  ,      33
 7482.0  ,      27
 7506.4  ,      26
 7530.9  ,      26
 7555.3  ,      21
 7579.8  ,      26
 7604.2  ,      26
 7628.7  ,      20
 7653.1  ,      24
 7677.6  ,      24
 7702.0  ,      29
 7726.5  ,      23
 7750.9  ,      22
 7775.4  ,      26
 7799.8  ,      20
 7824.2  ,      25
 7848.7  ,      26
 7873.1  ,      37
 7897.6  ,      26
 7922.0  ,      29
 7946.5  ,      40
 7970.9  ,      31
 7995.4  ,      40
 8019.8  ,      32
 8044.3  ,      35
 8068.7  ,      25
 8093.2  ,      28
 8117.6  ,      39
 8142.1  ,      30
 8166.5  ,      31
 8191.0  ,      27
 8215.4  ,      25
 8239.9  ,      15
 8264.3  ,      26
 8288.8  ,      23
 8313.2  ,      24
 8337.7  ,      23
 8362.1  ,      34
 8386.5  ,      42
 8411.0  ,      30
 8435.4  ,      34
 8459.9  ,      38
 8484.3  ,      37
 8508.8  ,      50
 8533.2  ,      66
 8557.7  ,      60
 8582.1  ,      82
 8606.6  ,      87
 8631.0  ,      77
 8655.5  ,      79
 8679.9  ,      60
 8704.4  ,      48
 8728.8  ,      56
 8753.3  ,      40
 8777.7  ,      26
 8802.2  ,      33
 8826.6  ,      20
 8851.1  ,      29
 8875.5  ,      21
 8900.0  ,      21
 8924.4  ,      29
 8948.8  ,      29
 8973.3  ,      22
 8997.7  ,      24
 9022.2  ,      20
 9046.6  ,      32
 9071.1  ,      28
 9095.5  ,      19
 9120.0  ,      32
 9144.4  ,      27
 9168.9  ,      17
 9193.3  ,      36
 9217.8  ,      32
 9242.2  ,      24
 9266.7  ,      30
 9291.1  ,      36
 9315.6  ,      27
 9340.0  ,      33
 9364.5  ,      27
 9388.9  ,      26
 9413.4  ,      22
 9437.8  ,      21
 9462.3  ,      27
 9486.7  ,      31
 9511.1  ,      28
 9535.6  ,      28
 9560.0  ,      26
 9584.5  ,      25
 9608.9  ,      28
 9633.4  ,      28
 9657.8  ,      27
 9682.3  ,      32
 9706.7  ,      23
 9731.2  ,      21
 9755.6  ,      25
 9780.1  ,      23
 9804.5  ,      26
 9829.0  ,      22
 9853.4  ,      23
 9877.9  ,      23
 9902.3  ,      25
 9926.8  ,      25
 9951.2  ,      28
 9975.7  ,      25
10000.1  ,      35
10024.6  ,      21
10049.0  ,      21
10073.4  ,      12
10097.9  ,      15
10122.3  ,      22
10146.8  ,      32
10171.2  ,      22
10195.7  ,      19
10220.1  ,      23
10244.6  ,      18
10269.0  ,      17
10293.5  ,      25
10317.9  ,      37
10342.4  ,      14
10366.8  ,      22
10391.3  ,      24
10415.7  ,      20
10440.2  ,      26
10464.6  ,      18
10489.1  ,      17
10513.5  ,      21
10538.0  ,      20
10562.4  ,      30
10586.9  ,      20
10611.3  ,      14
10635.7  ,      19
10660.2  ,      28
10684.6  ,      29
10709.1  ,      18
10733.5  ,      20
10758.0  ,      28
10782.4  ,      22
10806.9  ,      20
10831.3  ,      27
10855.8  ,      23
10880.2  ,      25
10904.7  ,      29
10929.1  ,      24
10953.6  ,      20
10978.0  ,      18
11002.5  ,      21
11026.9  ,      25
11051.4  ,      17
11075.8  ,      20
11100.3  ,      23
11124.7  ,      21
11149.2  ,      17
11173.6  ,      24
11198.0  ,      28
11222.5  ,      25
11246.9  ,      27
11271.4  ,      37
11295.8  ,      35
11320.3  ,      39
11344.7  ,      25
11369.2  ,      27
11393.6  ,      42
11418.1  ,      32
11442.5  ,      36
11467.0  ,      46
11491.4  ,      57
11515.9  ,      52
11540.3  ,      45
11564.8  ,      48
11589.2  ,      54
11613.7  ,      44
11638.1  ,      46
11662.6  ,      50
11687.0  ,      47
11711.5  ,      57
11735.9  ,      66
11760.3  ,      67
11784.8  ,      70
11809.2  ,      86
11833.7  ,      82
11858.1  ,      90
11882.6  ,      92
11907.0  ,      84
11931.5  ,      99
11955.9  ,      95
11980.4  ,      74
12004.8  ,      97
12029.3  ,      86
12053.7  ,      79
12078.2  ,      91
12102.6  ,      72
12127.1  ,      79
12151.5  ,      68
12176.0  ,      74
12200.4  ,      50
12224.9  ,      49
12249.3  ,      56
12273.7  ,      56
12298.2  ,      50
12322.6  ,      33
12347.1  ,      42
12371.5  ,      30
12396.0  ,      43
12420.4  ,      42
12444.9  ,      49
12469.3  ,      38
12493.8  ,      43
12518.2  ,      38
12542.7  ,      37
12567.1  ,      49
12591.6  ,      51
12616.0  ,      47
12640.5  ,      60
12664.9  ,      70
12689.4  ,      52
12713.8  ,      56
12738.3  ,      55
12762.7  ,      58
12787.2  ,      71
12811.6  ,      71
12836.0  ,      76
12860.5  ,      68
12884.9  ,      77
12909.4  ,      96
12933.8  ,      93
12958.3  ,      72
12982.7  ,      88
13007.2  ,     133
13031.6  ,     138
13056.1  ,     130
13080.5  ,     133
13105.0  ,     137
13129.4  ,     169
13153.9  ,     185
13178.3  ,     173
13202.8  ,     238
13227.2  ,     235
13251.7  ,     296
13276.1  ,     298
13300.6  ,     374
13325.0  ,     369
13349.5  ,     438
13373.9  ,     444
13398.3  ,     481
13422.8  ,     523
13447.2  ,     472
13471.7  ,     523
13496.1  ,     564
13520.6  ,     520
13545.0  ,     527
13569.5  ,     533
13593.9  ,     468
13618.4  ,     492
13642.8  ,     436
13667.3  ,     432
13691.7  ,     395
13716.2  ,     370
13740.6  ,     348
13765.1  ,     320
13789.5  ,     311
13814.0  ,     261
13838.4  ,     213
13862.9  ,     202
13887.3  ,     193
13911.8  ,     232
13936.2  ,     205
13960.6  ,     215
13985.1  ,     234
14009.5  ,     278
14034.0  ,     299
14058.4  ,     335
14082.9  ,     345
14107.3  ,     423
14131.8  ,     447
14156.2  ,     495
14180.7  ,     553
14205.1  ,     660
14229.6  ,     648
14254.0  ,     630
14278.5  ,     635
14302.9  ,     585
14327.4  ,     532
14351.8  ,     487
14376.3  ,     405
14400.7  ,     303
14425.2  ,     236
14449.6  ,     188
14474.1  ,     151
14498.5  ,      78
14522.9  ,      83
14547.4  ,      58
14571.8  ,      50
14596.3  ,      39
14620.7  ,      42
14645.2  ,      50
14669.6  ,      31
14694.1  ,      41
14718.5  ,      39
14743.0  ,      52
14767.4  ,      44
14791.9  ,      41
14816.3  ,      48
14840.8  ,      48
14865.2  ,      45
14889.7  ,      51
14914.1  ,      50
14938.6  ,      58
14963.0  ,      77
14987.5  ,      62
15011.9  ,      46
15036.4  ,      59
15060.8  ,      41
15085.2  ,      62
15109.7  ,      60
15134.1  ,      65
15158.6  ,      53
15183.0  ,      57
15207.5  ,      75
15231.9  ,      72
15256.4  ,      71
15280.8  ,      80
15305.3  ,      65
15329.7  ,      69
15354.2  ,      71
15378.6  ,      83
15403.1  ,      96
15427.5  ,      88
15452.0  ,     112
15476.4  ,     108
15500.9  ,     156
15525.3  ,     176
15549.8  ,     204
15574.2  ,     241
15598.7  ,     304
15623.1  ,     386
15647.5  ,     434
15672.0  ,     486
15696.4  ,     592
15720.9  ,     587
15745.3  ,     624
15769.8  ,     639
15794.2  ,     566
15818.7  ,     521
15843.1  ,     468
15867.6  ,     408
15892.0  ,     371
15916.5  ,     292
15940.9  ,     248
15965.4  ,     291
15989.8  ,     215
16014.3  ,     199
16038.7  ,     225
16063.2  ,     187
16087.6  ,     221
16112.1  ,     196
16136.5  ,     244
16161.0  ,     219
16185.4  ,     210
16209.8  ,     230
16234.3  ,     253
16258.7  ,     195
16283.2  ,     217
16307.6  ,     241
16332.1  ,     235
16356.5  ,     243
16381.0  ,     253
16405.4  ,     253
16429.9  ,     251
16454.3  ,     228
16478.8  ,     240
16503.2  ,     235
16527.7  ,     220
16552.1  ,     266
16576.6  ,     239
16601.0  ,     244
16625.5  ,     250
16649.9  ,     269
16674.4  ,     263
16698.8  ,     284
16723.3  ,     329
16747.7  ,     335
16772.1  ,     363
16796.6  ,     381
16821.0  ,     373
