"  JakeMatijevic3 , contact "
  486.5  ,    1800
  510.9  ,       0
  535.2  ,       0
  559.6  ,       0
  584.0  ,       0
  608.4  ,       0
  632.8  ,     557
  657.2  ,     605
  681.5  ,     582
  705.9  ,     618
  730.3  ,     601
  754.7  ,     532
  779.1  ,     484
  803.5  ,     515
  827.8  ,     541
  852.2  ,     529
  876.6  ,     559
  901.0  ,     624
  925.4  ,     795
  949.7  ,    1176
  974.1  ,    2112
  998.5  ,    3314
 1022.9  ,    4310
 1047.3  ,    4028
 1071.7  ,    2794
 1096.0  ,    1648
 1120.4  ,    1107
 1144.8  ,    1054
 1169.2  ,    1446
 1193.6  ,    2415
 1218.0  ,    3567
 1242.3  ,    4045
 1266.7  ,    3678
 1291.1  ,    2488
 1315.5  ,    1687
 1339.9  ,    1359
 1364.3  ,    1716
 1388.6  ,    3160
 1413.0  ,    6203
 1437.4  ,   11188
 1461.8  ,   15285
 1486.2  ,   15931
 1510.6  ,   12266
 1534.9  ,    7459
 1559.3  ,    3923
 1583.7  ,    2538
 1608.1  ,    2897
 1632.5  ,    5479
 1656.9  ,   11834
 1681.2  ,   23138
 1705.6  ,   34461
 1730.0  ,   39588
 1754.4  ,   33444
 1778.8  ,   21966
 1803.2  ,   11366
 1827.5  ,    5003
 1851.9  ,    2469
 1876.3  ,    1407
 1900.7  ,     915
 1925.1  ,     654
 1949.5  ,     539
 1973.8  ,     549
 1998.2  ,     592
 2022.6  ,     552
 2047.0  ,     463
 2071.4  ,     350
 2095.8  ,     209
 2120.1  ,     184
 2144.5  ,     179
 2168.9  ,     198
 2193.3  ,     290
 2217.7  ,     391
 2242.1  ,     621
 2266.4  ,     907
 2290.8  ,    1142
 2315.2  ,    1035
 2339.6  ,     792
 2364.0  ,     473
 2388.4  ,     295
 2412.7  ,     196
 2437.1  ,     171
 2461.5  ,     158
 2485.9  ,     182
 2510.3  ,     216
 2534.7  ,     333
 2559.0  ,     466
 2583.4  ,     612
 2607.8  ,     686
 2632.2  ,     664
 2656.6  ,     490
 2681.0  ,     338
 2705.3  ,     177
 2729.7  ,     149
 2754.1  ,      97
 2778.5  ,     133
 2802.9  ,     134
 2827.3  ,     125
 2851.6  ,     135
 2876.0  ,     115
 2900.4  ,     122
 2924.8  ,     114
 2949.2  ,     135
 2973.6  ,     131
 2997.9  ,     101
 3022.3  ,     111
 3046.7  ,      89
 3071.1  ,      80
 3095.5  ,      85
 3119.9  ,      93
 3144.2  ,     104
 3168.6  ,     168
 3193.0  ,     199
 3217.4  ,     354
 3241.8  ,     555
 3266.2  ,     825
 3290.5  ,    1106
 3314.9  ,    1085
 3339.3  ,     888
 3363.7  ,     643
