"Target: Et_Then, Contains DAT files: APA_405536150ESC00910050104_______M2.DAT"
  485.9  ,    7243
  510.3  ,       0
  534.7  ,       0
  559.1  ,       0
  583.5  ,       0
  608.0  ,     115
  632.4  ,     281
  656.8  ,     326
  681.2  ,     246
  705.6  ,     215
  730.0  ,     243
  754.4  ,     185
  778.8  ,     205
  803.2  ,     219
  827.6  ,     206
  852.1  ,     198
  876.5  ,     191
  900.9  ,     224
  925.3  ,     208
  949.7  ,     268
  974.1  ,     366
  998.5  ,     464
 1022.9  ,     622
 1047.3  ,     571
 1071.7  ,     447
 1096.2  ,     325
 1120.6  ,     275
 1145.0  ,     325
 1169.4  ,     373
 1193.8  ,     599
 1218.2  ,     916
 1242.6  ,    1019
 1267.0  ,     928
 1291.4  ,     551
 1315.8  ,     372
 1340.3  ,     318
 1364.7  ,     345
 1389.1  ,     479
 1413.5  ,     954
 1437.9  ,    1762
 1462.3  ,    2580
 1486.7  ,    2573
 1511.1  ,    1974
 1535.5  ,    1152
 1559.9  ,     646
 1584.4  ,     515
 1608.8  ,     620
 1633.2  ,    1116
 1657.6  ,    2683
 1682.0  ,    6087
 1706.4  ,    9535
 1730.8  ,   11115
 1755.2  ,    9199
 1779.6  ,    5484
 1804.0  ,    2670
 1828.5  ,    1214
 1852.9  ,     631
 1877.3  ,     383
 1901.7  ,     275
 1926.1  ,     217
 1950.5  ,     247
 1974.9  ,     242
 1999.3  ,     275
 2023.7  ,     325
 2048.2  ,     227
 2072.6  ,     205
 2097.0  ,     160
 2121.4  ,     144
 2145.8  ,     125
 2170.2  ,     102
 2194.6  ,     142
 2219.0  ,     178
 2243.4  ,     282
 2267.8  ,     424
 2292.3  ,     532
 2316.7  ,     445
 2341.1  ,     359
 2365.5  ,     227
 2389.9  ,     118
 2414.3  ,     105
 2438.7  ,     121
 2463.1  ,     105
 2487.5  ,     109
 2511.9  ,     101
 2536.4  ,     114
 2560.8  ,     142
 2585.2  ,     192
 2609.6  ,     245
 2634.0  ,     201
 2658.4  ,     161
 2682.8  ,     106
 2707.2  ,      88
 2731.6  ,      93
 2756.0  ,      71
 2780.5  ,      74
 2804.9  ,      77
 2829.3  ,     101
 2853.7  ,     129
 2878.1  ,     234
 2902.5  ,     320
 2926.9  ,     434
 2951.3  ,     480
 2975.7  ,     413
 3000.1  ,     291
 3024.6  ,     183
 3049.0  ,     105
 3073.4  ,      77
 3097.8  ,      81
 3122.2  ,      67
 3146.6  ,      87
 3171.0  ,      91
 3195.4  ,     141
 3219.8  ,     154
 3244.2  ,     209
 3268.7  ,     255
 3293.1  ,     330
 3317.5  ,     312
 3341.9  ,     228
 3366.3  ,     180
 3390.7  ,     136
 3415.1  ,      83
 3439.5  ,      67
 3463.9  ,      71
 3488.4  ,      85
 3512.8  ,      67
 3537.2  ,     104
 3561.6  ,     126
 3586.0  ,     177
 3610.4  ,     275
 3634.8  ,     405
 3659.2  ,     521
 3683.6  ,     573
 3708.0  ,     555
 3732.5  ,     354
 3756.9  ,     204
 3781.3  ,     118
 3805.7  ,      70
 3830.1  ,      57
 3854.5  ,      59
 3878.9  ,      50
 3903.3  ,      58
 3927.7  ,      71
 3952.1  ,      94
 3976.6  ,      99
 4001.0  ,     122
 4025.4  ,      93
 4049.8  ,      90
 4074.2  ,      74
 4098.6  ,      84
 4123.0  ,      60
 4147.4  ,      39
 4171.8  ,      47
 4196.2  ,      46
 4220.7  ,      42
 4245.1  ,      56
 4269.5  ,      51
 4293.9  ,      48
 4318.3  ,      40
 4342.7  ,      44
 4367.1  ,      53
 4391.5  ,      49
 4415.9  ,      93
 4440.3  ,      89
 4464.8  ,     105
 4489.2  ,     133
 4513.6  ,     104
 4538.0  ,      98
 4562.4  ,     107
 4586.8  ,      89
 4611.2  ,      90
 4635.6  ,      82
 4660.0  ,      80
 4684.4  ,      65
 4708.9  ,      54
 4733.3  ,      54
 4757.7  ,      45
 4782.1  ,      47
 4806.5  ,      43
 4830.9  ,      55
 4855.3  ,      51
 4879.7  ,      55
 4904.1  ,      54
 4928.6  ,      58
 4953.0  ,      51
 4977.4  ,      51
 5001.8  ,      53
 5026.2  ,      40
 5050.6  ,      38
 5075.0  ,      41
 5099.4  ,      50
 5123.8  ,      45
 5148.2  ,      54
 5172.7  ,      44
 5197.1  ,      42
 5221.5  ,      50
 5245.9  ,      54
 5270.3  ,      50
 5294.7  ,      56
 5319.1  ,      58
 5343.5  ,      62
 5367.9  ,      57
 5392.3  ,      69
 5416.8  ,      62
 5441.2  ,      56
 5465.6  ,      57
 5490.0  ,      53
 5514.4  ,      54
 5538.8  ,      50
 5563.2  ,      56
 5587.6  ,      51
 5612.0  ,      48
 5636.4  ,      49
 5660.9  ,      45
 5685.3  ,      46
 5709.7  ,      50
 5734.1  ,      62
 5758.5  ,      64
 5782.9  ,      77
 5807.3  ,      90
 5831.7  ,     134
 5856.1  ,     144
 5880.5  ,     135
 5905.0  ,     113
 5929.4  ,     119
 5953.8  ,     119
 5978.2  ,      72
 6002.6  ,      93
 6027.0  ,      71
 6051.4  ,      78
 6075.8  ,      88
 6100.2  ,     112
 6124.6  ,     125
 6149.1  ,     112
 6173.5  ,     158
 6197.9  ,     203
 6222.3  ,     348
 6246.7  ,     706
 6271.1  ,    1394
 6295.5  ,    2592
 6319.9  ,    4163
 6344.3  ,    5768
 6368.7  ,    6922
 6393.2  ,    7166
 6417.6  ,    6282
 6442.0  ,    4699
 6466.4  ,    2974
 6490.8  ,    1557
 6515.2  ,     774
 6539.6  ,     329
 6564.0  ,     155
 6588.4  ,      81
 6612.9  ,      54
 6637.3  ,      59
 6661.7  ,      62
 6686.1  ,      41
 6710.5  ,      47
 6734.9  ,      51
 6759.3  ,      59
 6783.7  ,      52
 6808.1  ,      66
 6832.5  ,      78
 6857.0  ,     108
 6881.4  ,     137
 6905.8  ,     199
 6930.2  ,     321
 6954.6  ,     492
 6979.0  ,     767
 7003.4  ,    1013
 7027.8  ,    1149
 7052.2  ,    1149
 7076.6  ,     968
 7101.1  ,     754
 7125.5  ,     504
 7149.9  ,     305
 7174.3  ,     151
 7198.7  ,      90
 7223.1  ,      53
 7247.5  ,      45
 7271.9  ,      46
 7296.3  ,      31
 7320.7  ,      33
 7345.2  ,      24
 7369.6  ,      27
 7394.0  ,      36
 7418.4  ,      36
 7442.8  ,      51
 7467.2  ,      48
 7491.6  ,      29
 7516.0  ,      37
 7540.4  ,      25
 7564.8  ,      21
 7589.3  ,      39
 7613.7  ,      23
 7638.1  ,      38
 7662.5  ,      31
 7686.9  ,      26
 7711.3  ,      41
 7735.7  ,      29
 7760.1  ,      34
 7784.5  ,      33
 7808.9  ,      39
 7833.4  ,      47
 7857.8  ,      39
 7882.2  ,      35
 7906.6  ,      44
 7931.0  ,      37
 7955.4  ,      33
 7979.8  ,      26
 8004.2  ,      31
 8028.6  ,      39
 8053.1  ,      28
 8077.5  ,      46
 8101.9  ,      33
 8126.3  ,      29
 8150.7  ,      26
 8175.1  ,      21
 8199.5  ,      23
 8223.9  ,      21
 8248.3  ,      30
 8272.7  ,      24
 8297.2  ,      25
 8321.6  ,      34
 8346.0  ,      33
 8370.4  ,      39
 8394.8  ,      38
 8419.2  ,      31
 8443.6  ,      27
 8468.0  ,      37
 8492.4  ,      42
 8516.8  ,      35
 8541.3  ,      50
 8565.7  ,      52
 8590.1  ,      54
 8614.5  ,      61
 8638.9  ,      56
 8663.3  ,      44
 8687.7  ,      38
 8712.1  ,      35
 8736.5  ,      40
 8760.9  ,      31
 8785.4  ,      32
 8809.8  ,      32
 8834.2  ,      35
 8858.6  ,      26
 8883.0  ,      45
 8907.4  ,      26
 8931.8  ,      26
 8956.2  ,      33
 8980.6  ,      29
 9005.0  ,      33
 9029.5  ,      34
 9053.9  ,      35
 9078.3  ,      31
 9102.7  ,      28
 9127.1  ,      34
 9151.5  ,      31
 9175.9  ,      33
 9200.3  ,      33
 9224.7  ,      35
 9249.1  ,      39
 9273.6  ,      31
 9298.0  ,      32
 9322.4  ,      36
 9346.8  ,      35
 9371.2  ,      36
 9395.6  ,      25
 9420.0  ,      31
 9444.4  ,      26
 9468.8  ,      31
 9493.3  ,      34
 9517.7  ,      24
 9542.1  ,      31
 9566.5  ,      46
 9590.9  ,      45
 9615.3  ,      36
 9639.7  ,      32
 9664.1  ,      38
 9688.5  ,      43
 9712.9  ,      30
 9737.4  ,      36
 9761.8  ,      29
 9786.2  ,      35
 9810.6  ,      32
 9835.0  ,      39
