"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.13  
MgO     ,  3.02    ,  0.17  
Al2O3   ,  8.08    ,  0.19  
SiO2    , 44.21    ,  0.53  
P2O5    ,  0.00    ,  0.11  
SO3     ,  3.92    ,  0.17  
Cl      ,  0.71    ,  0.05  
K2O     ,  1.71    ,  0.06  
CaO     ,  4.45    ,  0.11  
TiO2    ,  1.07    ,  0.08  
Cr2O3   ,  0.00    ,  0.01  
MnO     ,  0.42    ,  0.04  
FeO     , 29.21    ,  0.32  
Ni      ,  0.0166  ,  0.0065
Zn      ,  0.0395  ,  0.0045
Br      ,  0.0041  ,  0.0020
