"Target: Bell_Island_target9_night, Contains DAT files: APA_407918149ESC01170050432_______M2.DAT"
  484.4  ,     961
  508.9  ,       0
  533.3  ,       0
  557.8  ,       0
  582.2  ,       0
  606.7  ,     115
  631.1  ,      58
  655.6  ,     280
  680.1  ,     299
  704.5  ,     311
  729.0  ,     275
  753.4  ,     268
  777.9  ,     258
  802.3  ,     229
  826.8  ,     244
  851.3  ,     235
  875.7  ,     268
  900.2  ,     280
  924.6  ,     295
  949.1  ,     391
  973.5  ,     578
  998.0  ,     759
 1022.5  ,    1016
 1046.9  ,    1006
 1071.4  ,     781
 1095.8  ,     557
 1120.3  ,     529
 1144.7  ,     546
 1169.2  ,     973
 1193.6  ,    1652
 1218.1  ,    2582
 1242.6  ,    3111
 1267.0  ,    2576
 1291.5  ,    1753
 1315.9  ,    1091
 1340.4  ,     729
 1364.8  ,     789
 1389.3  ,    1114
 1413.8  ,    1938
 1438.2  ,    3159
 1462.7  ,    4469
 1487.1  ,    4422
 1511.6  ,    3413
 1536.0  ,    2173
 1560.5  ,    1450
 1585.0  ,    1262
 1609.4  ,    1556
 1633.9  ,    2730
 1658.3  ,    5092
 1682.8  ,    9792
 1707.2  ,   14592
 1731.7  ,   16303
 1756.2  ,   13550
 1780.6  ,    8379
 1805.1  ,    4498
 1829.5  ,    2372
 1854.0  ,    1370
 1878.4  ,     812
 1902.9  ,     518
 1927.4  ,     387
 1951.8  ,     306
 1976.3  ,     343
 2000.7  ,     369
 2025.2  ,     315
 2049.6  ,     248
 2074.1  ,     186
 2098.6  ,     168
 2123.0  ,     135
 2147.5  ,     151
 2171.9  ,     210
 2196.4  ,     295
 2220.8  ,     460
 2245.3  ,     755
 2269.8  ,    1131
 2294.2  ,    1249
 2318.7  ,    1206
 2343.1  ,     833
 2367.6  ,     460
 2392.0  ,     322
 2416.5  ,     189
 2441.0  ,     171
 2465.4  ,     170
 2489.9  ,     150
 2514.3  ,     160
 2538.8  ,     223
 2563.2  ,     331
 2587.7  ,     382
 2612.1  ,     432
 2636.6  ,     386
 2661.1  ,     283
 2685.5  ,     168
 2710.0  ,     116
 2734.4  ,      83
 2758.9  ,      72
 2783.3  ,      74
 2807.8  ,      84
 2832.3  ,      79
 2856.7  ,      61
 2881.2  ,      48
 2905.6  ,      71
 2930.1  ,      70
 2954.5  ,      82
 2979.0  ,      63
 3003.5  ,      51
 3027.9  ,      52
 3052.4  ,      42
 3076.8  ,      57
 3101.3  ,      36
 3125.7  ,      50
 3150.2  ,      50
 3174.7  ,      57
 3199.1  ,      79
 3223.6  ,     138
 3248.0  ,     214
 3272.5  ,     243
 3296.9  ,     312
 3321.4  ,     278
 3345.9  ,     252
 3370.3  ,     185
 3394.8  ,     131
 3419.2  ,      85
 3443.7  ,      80
 3468.1  ,      77
 3492.6  ,      98
 3517.1  ,     136
 3541.5  ,     165
 3566.0  ,     300
 3590.4  ,     424
 3614.9  ,     697
 3639.3  ,     998
 3663.8  ,    1228
 3688.3  ,    1287
 3712.7  ,    1042
 3737.2  ,     787
