"Target: Flaherty, Contains DAT files: APA_408992063ESC01300051576_______M2.DAT"
  511.4  ,   21661
  535.8  ,       0
  560.3  ,       0
  584.7  ,       0
  609.1  ,       0
  633.5  ,     116
  658.0  ,    1067
  682.4  ,    4904
  706.8  ,    7160
  731.2  ,    6868
  755.7  ,    6293
  780.1  ,    6063
  804.5  ,    5940
  828.9  ,    6127
  853.4  ,    6241
  877.8  ,    6368
  902.2  ,    6953
  926.6  ,    7823
  951.1  ,   10025
  975.5  ,   14781
  999.9  ,   21165
 1024.3  ,   25955
 1048.8  ,   24623
 1073.2  ,   18924
 1097.6  ,   14105
 1122.0  ,   12799
 1146.5  ,   17061
 1170.9  ,   29152
 1195.3  ,   52267
 1219.7  ,   79597
 1244.2  ,   92163
 1268.6  ,   79492
 1293.0  ,   52132
 1317.4  ,   29526
 1341.9  ,   18980
 1366.3  ,   18976
 1390.7  ,   29215
 1415.2  ,   53218
 1439.6  ,   89961
 1464.0  ,  120604
 1488.4  ,  121015
 1512.9  ,   93277
 1537.3  ,   57529
 1561.7  ,   34113
 1586.1  ,   27010
 1610.6  ,   35615
 1635.0  ,   69578
 1659.4  ,  149672
 1683.8  ,  279937
 1708.3  ,  413166
 1732.7  ,  460025
 1757.1  ,  384718
 1781.5  ,  244544
 1806.0  ,  125750
 1830.4  ,   58612
 1854.8  ,   30264
 1879.2  ,   18076
 1903.7  ,   12176
 1928.1  ,    9000
 1952.5  ,    8351
 1976.9  ,    9120
 2001.4  ,    9595
 2025.8  ,    8683
 2050.2  ,    7153
 2074.6  ,    5156
 2099.1  ,    4021
 2123.5  ,    3702
 2147.9  ,    3803
 2172.3  ,    4676
 2196.8  ,    7107
 2221.2  ,   11674
 2245.6  ,   19668
 2270.1  ,   28713
 2294.5  ,   33888
 2318.9  ,   31125
 2343.3  ,   22820
 2367.8  ,   13609
 2392.2  ,    7307
 2416.6  ,    4727
 2441.0  ,    4295
 2465.5  ,    4305
 2489.9  ,    4267
 2514.3  ,    4709
 2538.7  ,    6226
 2563.2  ,    8345
 2587.6  ,   11133
 2612.0  ,   12135
 2636.4  ,   11034
 2660.9  ,    7996
 2685.3  ,    5063
 2709.7  ,    3091
 2734.1  ,    2009
 2758.6  ,    1832
 2783.0  ,    1910
 2807.4  ,    2019
 2831.8  ,    1996
 2856.3  ,    1937
 2880.7  ,    1765
 2905.1  ,    1722
 2929.5  ,    1648
 2954.0  ,    1566
 2978.4  ,    1479
 3002.8  ,    1294
 3027.3  ,    1130
 3051.7  ,    1129
 3076.1  ,    1071
 3100.5  ,    1105
 3125.0  ,    1133
 3149.4  ,    1220
 3173.8  ,    1298
 3198.2  ,    1696
 3222.7  ,    2268
 3247.1  ,    3211
 3271.5  ,    4099
 3295.9  ,    4826
 3320.4  ,    4801
 3344.8  ,    4062
 3369.2  ,    3270
 3393.6  ,    2324
 3418.1  ,    1843
 3442.5  ,    1684
 3466.9  ,    1836
 3491.3  ,    2075
 3515.8  ,    2710
 3540.2  ,    3751
 3564.6  ,    6326
 3589.0  ,   10900
 3613.5  ,   18186
 3637.9  ,   27477
 3662.3  ,   34685
 3686.7  ,   36451
 3711.2  ,   31511
 3735.6  ,   22254
 3760.0  ,   13478
 3784.4  ,    6826
 3808.9  ,    3312
 3833.3  ,    1885
 3857.7  ,    1423
 3882.2  ,    1574
 3906.6  ,    2085
 3931.0  ,    2911
 3955.4  ,    4017
 3979.9  ,    4947
 4004.3  ,    5522
 4028.7  ,    4970
 4053.1  ,    4340
 4077.6  ,    3144
 4102.0  ,    2209
 4126.4  ,    1617
 4150.8  ,    1147
 4175.3  ,     993
 4199.7  ,     869
 4224.1  ,     853
 4248.5  ,     813
 4273.0  ,     887
 4297.4  ,     853
 4321.8  ,     896
 4346.2  ,    1009
 4370.7  ,    1308
 4395.1  ,    1742
 4419.5  ,    2551
 4443.9  ,    3586
 4468.4  ,    4563
 4492.8  ,    4999
 4517.2  ,    4766
 4541.6  ,    4084
 4566.1  ,    3195
 4590.5  ,    2617
 4614.9  ,    2178
 4639.3  ,    1925
 4663.8  ,    1674
 4688.2  ,    1543
 4712.6  ,    1248
 4737.1  ,    1009
 4761.5  ,     983
 4785.9  ,    1015
 4810.3  ,     997
 4834.8  ,    1113
 4859.2  ,    1256
 4883.6  ,    1446
 4908.0  ,    1439
 4932.5  ,    1546
 4956.9  ,    1407
 4981.3  ,    1199
 5005.7  ,    1086
 5030.2  ,     973
 5054.6  ,     941
 5079.0  ,     883
 5103.4  ,     965
 5127.9  ,     898
 5152.3  ,     930
 5176.7  ,     962
 5201.1  ,    1036
 5225.6  ,    1126
 5250.0  ,    1215
 5274.4  ,    1460
 5298.8  ,    1793
 5323.3  ,    2331
 5347.7  ,    3003
 5372.1  ,    3448
 5396.5  ,    3746
 5421.0  ,    3571
 5445.4  ,    3045
 5469.8  ,    2291
 5494.2  ,    1719
 5518.7  ,    1449
 5543.1  ,    1278
 5567.5  ,    1133
 5592.0  ,    1168
 5616.4  ,    1162
 5640.8  ,    1150
 5665.2  ,    1196
 5689.7  ,    1267
 5714.1  ,    1366
 5738.5  ,    1554
 5762.9  ,    1902
 5787.4  ,    2460
 5811.8  ,    3353
 5836.2  ,    4029
 5860.6  ,    4795
 5885.1  ,    5126
 5909.5  ,    5060
 5933.9  ,    4411
 5958.3  ,    3670
 5982.8  ,    3031
 6007.2  ,    2783
 6031.6  ,    2681
 6056.0  ,    2750
 6080.5  ,    2930
 6104.9  ,    3341
 6129.3  ,    3827
 6153.7  ,    4720
 6178.2  ,    6404
 6202.6  ,   10469
 6227.0  ,   19026
 6251.4  ,   36297
 6275.9  ,   67264
 6300.3  ,  114384
 6324.7  ,  170625
 6349.2  ,  224129
 6373.6  ,  258256
 6398.0  ,  255739
 6422.4  ,  220395
 6446.9  ,  163334
 6471.3  ,  105617
 6495.7  ,   59215
 6520.1  ,   29134
 6544.6  ,   12998
 6569.0  ,    5490
 6593.4  ,    2582
 6617.8  ,    1554
 6642.3  ,    1253
 6666.7  ,    1198
 6691.1  ,    1094
 6715.5  ,    1181
 6740.0  ,    1304
 6764.4  ,    1423
 6788.8  ,    1653
 6813.2  ,    1913
 6837.7  ,    2408
 6862.1  ,    3394
 6886.5  ,    5392
 6910.9  ,    8771
 6935.4  ,   14052
 6959.8  ,   21535
 6984.2  ,   29946
 7008.6  ,   37517
 7033.1  ,   41285
 7057.5  ,   40368
 7081.9  ,   34168
 7106.3  ,   25840
 7130.8  ,   17162
 7155.2  ,    9883
 7179.6  ,    5208
 7204.1  ,    2566
 7228.5  ,    1241
 7252.9  ,     708
 7277.3  ,     442
 7301.8  ,     438
 7326.2  ,     428
 7350.6  ,     511
 7375.0  ,     679
 7399.5  ,     782
 7423.9  ,     952
 7448.3  ,    1026
 7472.7  ,     941
 7497.2  ,     881
 7521.6  ,     805
 7546.0  ,     577
 7570.4  ,     469
 7594.9  ,     360
 7619.3  ,     323
 7643.7  ,     330
 7668.1  ,     304
 7692.6  ,     297
 7717.0  ,     260
 7741.4  ,     290
 7765.8  ,     326
 7790.3  ,     336
 7814.7  ,     306
 7839.1  ,     315
 7863.5  ,     343
 7888.0  ,     349
 7912.4  ,     340
 7936.8  ,     351
 7961.2  ,     365
 7985.7  ,     380
 8010.1  ,     352
 8034.5  ,     370
 8059.0  ,     344
 8083.4  ,     333
 8107.8  ,     372
 8132.2  ,     374
 8156.7  ,     402
 8181.1  ,     365
 8205.5  ,     361
 8229.9  ,     362
 8254.4  ,     340
 8278.8  ,     407
 8303.2  ,     337
 8327.6  ,     370
 8352.1  ,     357
 8376.5  ,     332
 8400.9  ,     319
 8425.3  ,     346
 8449.8  ,     440
 8474.2  ,     650
 8498.6  ,     948
 8523.0  ,    1276
 8547.5  ,    1751
 8571.9  ,    2223
 8596.3  ,    2477
 8620.7  ,    2590
 8645.2  ,    2489
 8669.6  ,    2055
 8694.0  ,    1582
 8718.4  ,    1135
 8742.9  ,     792
 8767.3  ,     516
 8791.7  ,     374
 8816.1  ,     331
 8840.6  ,     291
 8865.0  ,     252
 8889.4  ,     287
 8913.9  ,     256
 8938.3  ,     268
 8962.7  ,     292
 8987.1  ,     283
 9011.6  ,     269
 9036.0  ,     253
 9060.4  ,     276
 9084.8  ,     285
 9109.3  ,     279
 9133.7  ,     301
 9158.1  ,     297
 9182.5  ,     336
 9207.0  ,     343
 9231.4  ,     338
 9255.8  ,     363
 9280.2  ,     335
 9304.7  ,     314
 9329.1  ,     314
