"Target: Snake_River, Contains DAT files: APA_410718885ESC01490051902_______M2.DAT"
  488.0  ,    1330
  512.4  ,       0
  536.9  ,       0
  561.3  ,       0
  585.8  ,       0
  610.2  ,     116
  634.7  ,       0
  659.1  ,       0
  683.5  ,       0
  708.0  ,       2
  732.4  ,     138
  756.9  ,     109
  781.3  ,     137
  805.8  ,     112
  830.2  ,     120
  854.6  ,     121
  879.1  ,     118
  903.5  ,     139
  928.0  ,     140
  952.4  ,     174
  976.8  ,     185
 1001.3  ,     223
 1025.7  ,     264
 1050.2  ,     259
 1074.6  ,     293
 1099.1  ,     324
 1123.5  ,     379
 1147.9  ,     448
 1172.4  ,     524
 1196.8  ,     628
 1221.3  ,     680
 1245.7  ,     778
 1270.2  ,     747
 1294.6  ,     693
 1319.0  ,     592
 1343.5  ,     665
 1367.9  ,     639
 1392.4  ,     739
 1416.8  ,     771
 1441.3  ,     867
 1465.7  ,     939
 1490.1  ,    1011
 1514.6  ,     970
 1539.0  ,     986
 1563.5  ,    1061
 1587.9  ,    1216
 1612.3  ,    1582
 1636.8  ,    2037
 1661.2  ,    2681
 1685.7  ,    3195
 1710.1  ,    3661
 1734.6  ,    3688
 1759.0  ,    3458
 1783.4  ,    3091
 1807.9  ,    2503
 1832.3  ,    1778
 1856.8  ,    1221
 1881.2  ,     821
 1905.7  ,     493
 1930.1  ,     353
 1954.5  ,     229
 1979.0  ,     178
 2003.4  ,     118
 2027.9  ,     108
 2052.3  ,     122
 2076.8  ,     103
 2101.2  ,      84
 2125.6  ,      86
 2150.1  ,     102
 2174.5  ,     117
 2199.0  ,     137
 2223.4  ,     158
 2247.8  ,     209
 2272.3  ,     203
 2296.7  ,     246
 2321.2  ,     276
 2345.6  ,     211
 2370.1  ,     186
 2394.5  ,     168
 2418.9  ,     126
 2443.4  ,      87
 2467.8  ,      82
 2492.3  ,      82
 2516.7  ,     108
 2541.2  ,     114
 2565.6  ,     114
 2590.0  ,     143
 2614.5  ,     139
 2638.9  ,     122
 2663.4  ,     133
 2687.8  ,      97
 2712.3  ,      65
 2736.7  ,      64
 2761.1  ,      45
 2785.6  ,      32
 2810.0  ,      36
 2834.5  ,      54
 2858.9  ,      46
 2883.3  ,      42
 2907.8  ,      59
 2932.2  ,      57
 2956.7  ,      48
 2981.1  ,      46
 3005.6  ,      53
 3030.0  ,      28
 3054.4  ,      33
 3078.9  ,      33
 3103.3  ,      22
 3127.8  ,      29
 3152.2  ,      21
 3176.7  ,      28
 3201.1  ,      34
 3225.5  ,      42
 3250.0  ,      45
 3274.4  ,      42
 3298.9  ,      50
 3323.3  ,      47
 3347.8  ,      41
 3372.2  ,      36
 3396.6  ,      39
 3421.1  ,      45
 3445.5  ,      51
 3470.0  ,      51
 3494.4  ,      79
 3518.8  ,      67
 3543.3  ,     135
 3567.7  ,     166
 3592.2  ,     212
 3616.6  ,     248
 3641.1  ,     300
 3665.5  ,     306
 3689.9  ,     340
 3714.4  ,     330
 3738.8  ,     271
 3763.3  ,     184
 3787.7  ,     142
 3812.2  ,     109
 3836.6  ,      81
 3861.0  ,      61
 3885.5  ,      57
 3909.9  ,      46
 3934.4  ,      51
 3958.8  ,      48
 3983.3  ,      43
 4007.7  ,      49
 4032.1  ,      40
 4056.6  ,      50
 4081.0  ,      45
 4105.5  ,      46
 4129.9  ,      31
 4154.3  ,      18
 4178.8  ,      14
 4203.2  ,      20
 4227.7  ,      22
 4252.1  ,      17
 4276.6  ,      26
 4301.0  ,      19
 4325.4  ,      20
 4349.9  ,      24
 4374.3  ,      25
 4398.8  ,      34
 4423.2  ,      46
 4447.7  ,      40
 4472.1  ,      38
 4496.5  ,      56
 4521.0  ,      58
 4545.4  ,      59
 4569.9  ,      57
 4594.3  ,      34
 4618.8  ,      34
 4643.2  ,      24
 4667.6  ,      28
 4692.1  ,      27
 4716.5  ,      23
 4741.0  ,      24
 4765.4  ,      21
 4789.8  ,      15
 4814.3  ,      18
 4838.7  ,      20
 4863.2  ,      10
 4887.6  ,      27
 4912.1  ,      22
 4936.5  ,      20
 4960.9  ,      14
 4985.4  ,      17
 5009.8  ,      18
 5034.3  ,       7
 5058.7  ,      26
 5083.2  ,      23
 5107.6  ,      15
 5132.0  ,      17
 5156.5  ,      16
 5180.9  ,      17
 5205.4  ,      19
 5229.8  ,      19
 5254.3  ,      32
 5278.7  ,      22
 5303.1  ,      49
 5327.6  ,      45
 5352.0  ,      67
 5376.5  ,      44
 5400.9  ,      46
 5425.3  ,      49
 5449.8  ,      54
 5474.2  ,      41
 5498.7  ,      32
 5523.1  ,      26
 5547.6  ,      22
 5572.0  ,      24
 5596.4  ,      17
 5620.9  ,      26
 5645.3  ,      16
 5669.8  ,      23
 5694.2  ,      28
 5718.7  ,      23
 5743.1  ,      41
 5767.5  ,      34
 5792.0  ,      44
 5816.4  ,      54
 5840.9  ,      59
 5865.3  ,      59
 5889.8  ,      64
 5914.2  ,      57
 5938.6  ,      55
 5963.1  ,      43
 5987.5  ,      53
 6012.0  ,      59
 6036.4  ,      66
