"Target: Ekwir_1, Contains DAT files: APA_410773493ESC01500051902_______M2.DAT"
  486.6  ,   29896
  511.0  ,       0
  535.5  ,       0
  559.9  ,       0
  584.3  ,       0
  608.7  ,     116
  633.2  ,     466
  657.6  ,    4442
  682.0  ,    8404
  706.5  ,    9827
  730.9  ,    9329
  755.3  ,    8331
  779.7  ,    7943
  804.2  ,    8047
  828.6  ,    8218
  853.0  ,    8467
  877.5  ,    8712
  901.9  ,    9195
  926.3  ,   10200
  950.7  ,   12908
  975.2  ,   18780
  999.6  ,   28678
 1024.0  ,   35887
 1048.5  ,   34530
 1072.9  ,   25801
 1097.3  ,   17990
 1121.7  ,   15805
 1146.2  ,   19766
 1170.6  ,   34978
 1195.0  ,   67195
 1219.5  ,  108453
 1243.9  ,  130246
 1268.3  ,  110496
 1292.7  ,   68814
 1317.2  ,   36682
 1341.6  ,   22680
 1366.0  ,   22634
 1390.5  ,   34568
 1414.9  ,   66827
 1439.3  ,  121383
 1463.7  ,  168372
 1488.2  ,  171682
 1512.6  ,  128417
 1537.0  ,   75246
 1561.5  ,   42729
 1585.9  ,   32553
 1610.3  ,   40961
 1634.8  ,   81201
 1659.2  ,  189402
 1683.6  ,  381198
 1708.0  ,  657034
 1732.5  ,  734800
 1756.9  ,  615195
 1781.3  ,  331870
 1805.8  ,  156957
 1830.2  ,   70512
 1854.6  ,   36997
 1879.0  ,   23048
 1903.5  ,   15729
 1927.9  ,   11874
 1952.3  ,   11511
 1976.8  ,   13013
 2001.2  ,   14307
 2025.6  ,   13143
 2050.0  ,    9985
 2074.5  ,    7156
 2098.9  ,    5474
 2123.3  ,    4913
 2147.8  ,    4930
 2172.2  ,    5601
 2196.6  ,    8183
 2221.0  ,   14493
 2245.5  ,   25334
 2269.9  ,   38192
 2294.3  ,   45665
 2318.8  ,   41744
 2343.2  ,   29371
 2367.6  ,   16405
 2392.0  ,    8480
 2416.5  ,    5822
 2440.9  ,    5422
 2465.3  ,    5549
 2489.8  ,    5724
 2514.2  ,    6368
 2538.6  ,    8756
 2563.0  ,   12644
 2587.5  ,   17583
 2611.9  ,   19891
 2636.3  ,   17909
 2660.8  ,   12847
 2685.2  ,    7487
 2709.6  ,    4089
 2734.0  ,    2742
 2758.5  ,    2593
 2782.9  ,    2708
 2807.3  ,    3041
 2831.8  ,    3139
 2856.2  ,    2796
 2880.6  ,    2514
 2905.0  ,    2345
 2929.5  ,    2462
 2953.9  ,    2228
 2978.3  ,    2060
 3002.8  ,    1767
 3027.2  ,    1622
 3051.6  ,    1466
 3076.0  ,    1436
 3100.5  ,    1465
 3124.9  ,    1529
 3149.3  ,    1647
 3173.8  ,    1844
 3198.2  ,    2371
 3222.6  ,    3334
 3247.0  ,    4936
 3271.5  ,    6758
 3295.9  ,    7763
 3320.3  ,    7856
 3344.8  ,    6287
 3369.2  ,    4614
 3393.6  ,    3254
 3418.0  ,    2531
 3442.5  ,    2150
 3466.9  ,    2381
 3491.3  ,    2783
 3515.8  ,    3531
 3540.2  ,    4744
 3564.6  ,    7606
 3589.0  ,   13441
 3613.5  ,   23168
 3637.9  ,   35690
 3662.3  ,   45422
 3686.8  ,   47190
 3711.2  ,   39896
 3735.6  ,   27755
 3760.1  ,   15927
 3784.5  ,    7781
 3808.9  ,    3774
 3833.3  ,    2051
 3857.8  ,    1658
 3882.2  ,    1905
 3906.6  ,    2481
 3931.1  ,    3641
 3955.5  ,    5036
 3979.9  ,    6336
 4004.3  ,    6811
 4028.8  ,    6576
 4053.2  ,    5202
 4077.6  ,    3806
 4102.1  ,    2718
 4126.5  ,    1897
 4150.9  ,    1444
 4175.3  ,    1169
 4199.8  ,    1064
 4224.2  ,    1048
 4248.6  ,    1050
 4273.1  ,    1049
 4297.5  ,    1085
 4321.9  ,    1146
 4346.3  ,    1263
 4370.8  ,    1601
 4395.2  ,    2261
 4419.6  ,    3409
 4444.1  ,    4800
 4468.5  ,    6169
 4492.9  ,    6634
 4517.3  ,    6495
 4541.8  ,    5321
 4566.2  ,    4200
 4590.6  ,    3304
 4615.1  ,    2769
 4639.5  ,    2483
 4663.9  ,    2252
 4688.3  ,    1785
 4712.8  ,    1558
 4737.2  ,    1383
 4761.6  ,    1214
 4786.1  ,    1193
 4810.5  ,    1344
 4834.9  ,    1474
 4859.3  ,    1640
 4883.8  ,    1855
 4908.2  ,    2051
 4932.6  ,    1987
 4957.1  ,    1933
 4981.5  ,    1710
 5005.9  ,    1409
 5030.3  ,    1276
 5054.8  ,    1201
 5079.2  ,    1230
 5103.6  ,    1174
 5128.1  ,    1160
 5152.5  ,    1261
 5176.9  ,    1288
 5201.3  ,    1293
 5225.8  ,    1394
 5250.2  ,    1521
 5274.6  ,    1792
 5299.1  ,    2305
 5323.5  ,    2917
 5347.9  ,    3540
 5372.3  ,    4218
 5396.8  ,    4441
 5421.2  ,    4283
 5445.6  ,    3581
 5470.1  ,    2767
 5494.5  ,    2224
 5518.9  ,    1696
 5543.3  ,    1582
 5567.8  ,    1440
 5592.2  ,    1424
 5616.6  ,    1554
 5641.1  ,    1514
 5665.5  ,    1570
 5689.9  ,    1566
 5714.4  ,    1678
 5738.8  ,    1911
 5763.2  ,    2225
 5787.6  ,    2650
 5812.1  ,    3580
 5836.5  ,    4363
 5860.9  ,    5264
 5885.4  ,    5389
 5909.8  ,    5115
 5934.2  ,    4690
 5958.6  ,    4011
 5983.1  ,    3458
 6007.5  ,    3293
 6031.9  ,    3260
 6056.4  ,    3431
 6080.8  ,    3607
 6105.2  ,    4119
 6129.6  ,    4677
 6154.1  ,    5767
 6178.5  ,    7641
 6202.9  ,   12249
 6227.4  ,   22425
 6251.8  ,   43947
 6276.2  ,   83653
 6300.6  ,  145471
 6325.1  ,  221124
 6349.5  ,  293615
 6373.9  ,  336502
 6398.4  ,  332210
 6422.8  ,  279836
 6447.2  ,  202475
 6471.6  ,  126819
 6496.1  ,   67581
 6520.5  ,   32016
 6544.9  ,   13652
 6569.4  ,    5522
 6593.8  ,    2723
 6618.2  ,    1821
 6642.6  ,    1525
 6667.1  ,    1475
 6691.5  ,    1532
 6715.9  ,    1549
 6740.4  ,    1637
 6764.8  ,    1794
 6789.2  ,    2034
 6813.6  ,    2372
 6838.1  ,    3144
 6862.5  ,    4154
 6886.9  ,    6502
 6911.4  ,   10990
