"Target: Grit_RP, Contains DAT files: APA_410805967ESC01500051902_______M2.DAT"
  486.8  ,     669
  511.3  ,       0
  535.7  ,       0
  560.2  ,       0
  584.6  ,       0
  609.1  ,     116
  633.5  ,       0
  658.0  ,       0
  682.4  ,      78
  706.9  ,     207
  731.3  ,     183
  755.8  ,     195
  780.2  ,     205
  804.7  ,     188
  829.1  ,     196
  853.6  ,     199
  878.0  ,     210
  902.5  ,     247
  926.9  ,     233
  951.4  ,     336
  975.9  ,     461
 1000.3  ,     649
 1024.8  ,     802
 1049.2  ,     683
 1073.7  ,     631
 1098.1  ,     477
 1122.6  ,     470
 1147.0  ,     597
 1171.5  ,    1026
 1195.9  ,    1746
 1220.4  ,    2393
 1244.8  ,    2767
 1269.3  ,    2448
 1293.7  ,    1657
 1318.2  ,    1047
 1342.6  ,     614
 1367.1  ,     720
 1391.5  ,    1029
 1416.0  ,    1856
 1440.5  ,    2813
 1464.9  ,    3651
 1489.4  ,    3721
 1513.8  ,    2897
 1538.3  ,    1871
 1562.7  ,    1107
 1587.2  ,    1001
 1611.6  ,    1439
 1636.1  ,    2689
 1660.5  ,    5293
 1685.0  ,    9329
 1709.4  ,   12778
 1733.9  ,   14032
 1758.3  ,   11774
 1782.8  ,    7923
 1807.2  ,    4135
 1831.7  ,    1937
 1856.1  ,    1025
 1880.6  ,     638
 1905.1  ,     443
 1929.5  ,     286
 1954.0  ,     281
 1978.4  ,     290
 2002.9  ,     322
 2027.3  ,     295
 2051.8  ,     249
 2076.2  ,     178
 2100.7  ,     124
 2125.1  ,     113
 2149.6  ,     110
 2174.0  ,     166
 2198.5  ,     223
 2222.9  ,     410
 2247.4  ,     602
 2271.8  ,     882
 2296.3  ,     997
 2320.7  ,     935
 2345.2  ,     612
 2369.6  ,     420
 2394.1  ,     221
 2418.6  ,     155
 2443.0  ,     140
 2467.5  ,     126
 2491.9  ,     131
 2516.4  ,     160
 2540.8  ,     222
 2565.3  ,     317
 2589.7  ,     353
