"Target: Ungava, Contains DAT files: APA_411166790ESC01540051954_______M2.DAT"
  492.3  ,     669
  516.8  ,       0
  541.3  ,       0
  565.8  ,       0
  590.3  ,       0
  614.8  ,     116
  639.3  ,       0
  663.8  ,       0
  688.3  ,       0
  712.8  ,       0
  737.3  ,      27
  761.7  ,     247
  786.2  ,     282
  810.7  ,     243
  835.2  ,     284
  859.7  ,     290
  884.2  ,     323
  908.7  ,     364
  933.2  ,     428
  957.7  ,     479
  982.2  ,     497
 1006.7  ,     629
 1031.2  ,     690
 1055.7  ,     703
 1080.2  ,     872
 1104.7  ,    1002
 1129.2  ,    1136
 1153.7  ,    1287
 1178.2  ,    1385
 1202.7  ,    1479
 1227.2  ,    1595
 1251.7  ,    1598
 1276.1  ,    1723
 1300.6  ,    1756
 1325.1  ,    1878
 1349.6  ,    1911
 1374.1  ,    2029
 1398.6  ,    1992
 1423.1  ,    2167
 1447.6  ,    2445
 1472.1  ,    2403
 1496.6  ,    2761
 1521.1  ,    3071
 1545.6  ,    3488
 1570.1  ,    3807
 1594.6  ,    4294
 1619.1  ,    4966
 1643.6  ,    5454
 1668.1  ,    5949
 1692.6  ,    6322
 1717.1  ,    6530
 1741.6  ,    6548
 1766.1  ,    6362
 1790.5  ,    5819
 1815.0  ,    5202
 1839.5  ,    4455
 1864.0  ,    3554
 1888.5  ,    2986
 1913.0  ,    2254
 1937.5  ,    1668
 1962.0  ,    1288
 1986.5  ,     934
 2011.0  ,     668
 2035.5  ,     476
 2060.0  ,     351
 2084.5  ,     277
 2109.0  ,     269
 2133.5  ,     275
 2158.0  ,     264
 2182.5  ,     285
 2207.0  ,     280
 2231.5  ,     318
 2256.0  ,     309
 2280.5  ,     352
 2304.9  ,     334
 2329.4  ,     359
 2353.9  ,     353
 2378.4  ,     293
 2402.9  ,     300
 2427.4  ,     289
 2451.9  ,     265
 2476.4  ,     256
 2500.9  ,     264
 2525.4  ,     254
 2549.9  ,     280
 2574.4  ,     290
 2598.9  ,     282
 2623.4  ,     272
 2647.9  ,     283
 2672.4  ,     235
 2696.9  ,     207
 2721.4  ,     195
 2745.9  ,     164
 2770.4  ,     175
 2794.8  ,     135
 2819.3  ,     113
 2843.8  ,      81
 2868.3  ,      90
 2892.8  ,      72
 2917.3  ,      70
 2941.8  ,      55
 2966.3  ,      35
 2990.8  ,      43
 3015.3  ,      43
 3039.8  ,      43
 3064.3  ,      45
 3088.8  ,      53
 3113.3  ,      52
 3137.8  ,      48
 3162.3  ,      54
 3186.8  ,      72
 3211.3  ,      78
 3235.8  ,      95
 3260.3  ,      85
 3284.8  ,      95
 3309.2  ,      87
 3333.7  ,      93
 3358.2  ,     100
 3382.7  ,     116
 3407.2  ,     133
 3431.7  ,     139
 3456.2  ,     174
 3480.7  ,     217
 3505.2  ,     265
 3529.7  ,     311
 3554.2  ,     315
 3578.7  ,     392
 3603.2  ,     405
 3627.7  ,     460
 3652.2  ,     495
 3676.7  ,     489
 3701.2  ,     473
 3725.7  ,     454
 3750.2  ,     431
 3774.7  ,     385
 3799.2  ,     329
 3823.6  ,     291
 3848.1  ,     228
 3872.6  ,     180
 3897.1  ,     176
 3921.6  ,     141
 3946.1  ,     119
 3970.6  ,     118
 3995.1  ,      98
 4019.6  ,      99
 4044.1  ,      83
 4068.6  ,      90
 4093.1  ,      77
 4117.6  ,      76
 4142.1  ,      62
 4166.6  ,      63
 4191.1  ,      62
 4215.6  ,      42
 4240.1  ,      50
 4264.6  ,      50
 4289.1  ,      59
 4313.6  ,      54
 4338.0  ,      75
 4362.5  ,      52
 4387.0  ,      81
 4411.5  ,      78
 4436.0  ,      94
 4460.5  ,      84
 4485.0  ,     106
 4509.5  ,      96
 4534.0  ,      77
 4558.5  ,     109
 4583.0  ,      92
 4607.5  ,      90
 4632.0  ,      71
 4656.5  ,      76
 4681.0  ,      59
 4705.5  ,      58
 4730.0  ,      47
 4754.5  ,      56
 4779.0  ,      43
 4803.5  ,      51
 4828.0  ,      57
 4852.4  ,      42
 4876.9  ,      38
 4901.4  ,      42
 4925.9  ,      50
 4950.4  ,      45
 4974.9  ,      39
 4999.4  ,      25
 5023.9  ,      33
 5048.4  ,      47
 5072.9  ,      49
 5097.4  ,      34
 5121.9  ,      44
 5146.4  ,      38
 5170.9  ,      59
 5195.4  ,      51
 5219.9  ,      44
 5244.4  ,      42
 5268.9  ,      61
 5293.4  ,      71
 5317.9  ,      71
 5342.4  ,      67
 5366.8  ,      95
 5391.3  ,      89
 5415.8  ,      73
 5440.3  ,      74
 5464.8  ,      88
 5489.3  ,      71
 5513.8  ,      67
 5538.3  ,      72
 5562.8  ,      67
 5587.3  ,      61
 5611.8  ,      59
 5636.3  ,      70
 5660.8  ,      50
 5685.3  ,      64
 5709.8  ,      60
 5734.3  ,      78
 5758.8  ,      84
 5783.3  ,     109
 5807.8  ,     101
 5832.3  ,     104
 5856.8  ,     101
 5881.2  ,     122
 5905.7  ,     112
 5930.2  ,     147
 5954.7  ,     148
 5979.2  ,     163
 6003.7  ,     176
 6028.2  ,     205
 6052.7  ,     264
 6077.2  ,     332
 6101.7  ,     461
 6126.2  ,     645
 6150.7  ,     892
 6175.2  ,    1130
 6199.7  ,    1560
 6224.2  ,    1976
 6248.7  ,    2426
 6273.2  ,    2918
 6297.7  ,    3345
 6322.2  ,    3831
 6346.7  ,    3997
 6371.2  ,    4230
 6395.6  ,    4245
 6420.1  ,    4166
 6444.6  ,    3811
 6469.1  ,    3467
 6493.6  ,    2997
 6518.1  ,    2497
 6542.6  ,    1952
 6567.1  ,    1607
 6591.6  ,    1169
 6616.1  ,     877
 6640.6  ,     592
 6665.1  ,     460
 6689.6  ,     308
 6714.1  ,     259
 6738.6  ,     188
 6763.1  ,     163
 6787.6  ,     166
 6812.1  ,     212
 6836.6  ,     266
 6861.1  ,     305
 6885.5  ,     368
 6910.0  ,     459
 6934.5  ,     479
 6959.0  ,     584
 6983.5  ,     649
 7008.0  ,     684
 7032.5  ,     744
 7057.0  ,     737
 7081.5  ,     608
 7106.0  ,     621
 7130.5  ,     567
 7155.0  ,     449
 7179.5  ,     381
 7204.0  ,     309
 7228.5  ,     238
 7253.0  ,     170
 7277.5  ,     146
 7302.0  ,     103
 7326.5  ,      84
 7351.0  ,      57
 7375.5  ,      37
 7399.9  ,      27
 7424.4  ,      25
 7448.9  ,      24
 7473.4  ,      15
 7497.9  ,      17
 7522.4  ,      18
 7546.9  ,      11
 7571.4  ,       7
 7595.9  ,      23
 7620.4  ,       8
 7644.9  ,      11
 7669.4  ,       8
 7693.9  ,      12
 7718.4  ,       7
 7742.9  ,      10
 7767.4  ,       8
 7791.9  ,      12
 7816.4  ,      10
 7840.9  ,      19
 7865.4  ,       8
 7889.9  ,       7
 7914.3  ,       8
 7938.8  ,      13
 7963.3  ,      10
 7987.8  ,      15
 8012.3  ,      16
 8036.8  ,      13
 8061.3  ,      10
 8085.8  ,       9
 8110.3  ,      11
 8134.8  ,       8
 8159.3  ,      12
 8183.8  ,      12
 8208.3  ,      10
 8232.8  ,      12
 8257.3  ,       8
 8281.8  ,      18
 8306.3  ,      10
 8330.8  ,       9
 8355.3  ,      23
 8379.8  ,      20
 8404.3  ,      23
 8428.7  ,      20
 8453.2  ,      21
 8477.7  ,      21
 8502.2  ,      41
 8526.7  ,      34
 8551.2  ,      54
 8575.7  ,      44
 8600.2  ,      39
 8624.7  ,      39
 8649.2  ,      43
 8673.7  ,      35
 8698.2  ,      39
 8722.7  ,      26
 8747.2  ,      32
 8771.7  ,      35
 8796.2  ,      18
 8820.7  ,      31
 8845.2  ,      17
 8869.7  ,      12
 8894.2  ,      18
 8918.7  ,      14
 8943.1  ,       8
 8967.6  ,       7
 8992.1  ,       6
 9016.6  ,       7
 9041.1  ,      12
 9065.6  ,       5
 9090.1  ,       8
 9114.6  ,       7
 9139.1  ,      12
 9163.6  ,       9
 9188.1  ,       7
 9212.6  ,       7
 9237.1  ,      13
 9261.6  ,       4
 9286.1  ,      16
 9310.6  ,      13
 9335.1  ,      17
 9359.6  ,      14
 9384.1  ,       9
 9408.6  ,      17
 9433.1  ,      11
 9457.5  ,      13
 9482.0  ,       9
 9506.5  ,      13
 9531.0  ,      14
 9555.5  ,      16
 9580.0  ,      12
 9604.5  ,      15
 9629.0  ,       6
