"Target: Mavor, Contains DAT files: APA_411516167ESC01580051954_______M2.DAT"
  484.8  ,     669
  509.2  ,       0
  533.7  ,       0
  558.1  ,       0
  582.5  ,       0
  607.0  ,     116
  631.4  ,       0
  655.8  ,       0
  680.3  ,      13
  704.7  ,     152
  729.1  ,     152
  753.6  ,     132
  778.0  ,     130
  802.4  ,     103
  826.9  ,     130
  851.3  ,     120
  875.7  ,     134
  900.2  ,     160
  924.6  ,     161
  949.0  ,     223
  973.5  ,     258
  997.9  ,     383
 1022.4  ,     450
 1046.8  ,     427
 1071.2  ,     377
 1095.7  ,     305
 1120.1  ,     260
 1144.5  ,     362
 1169.0  ,     642
 1193.4  ,     979
 1217.8  ,    1272
 1242.3  ,    1354
 1266.7  ,    1303
 1291.1  ,     948
 1315.6  ,     649
 1340.0  ,     420
 1364.4  ,     399
 1388.9  ,     590
 1413.3  ,     927
 1437.7  ,    1394
 1462.2  ,    1788
 1486.6  ,    1814
 1511.0  ,    1607
 1535.5  ,    1042
 1559.9  ,     701
 1584.3  ,     577
 1608.8  ,     805
 1633.2  ,    1389
 1657.6  ,    2701
 1682.1  ,    4553
 1706.5  ,    6183
 1730.9  ,    6909
 1755.4  ,    6006
 1779.8  ,    4246
 1804.2  ,    2455
 1828.7  ,    1319
 1853.1  ,     670
 1877.5  ,     406
 1902.0  ,     295
 1926.4  ,     277
 1950.8  ,     232
 1975.3  ,     267
 1999.7  ,     263
 2024.1  ,     281
 2048.6  ,     232
 2073.0  ,     223
 2097.5  ,     193
 2121.9  ,     244
 2146.3  ,     301
 2170.8  ,     477
 2195.2  ,     837
 2219.6  ,    1476
 2244.1  ,    2440
 2268.5  ,    3632
 2292.9  ,    4035
 2317.4  ,    3773
 2341.8  ,    3017
 2366.2  ,    1818
 2390.7  ,    1021
 2415.1  ,     643
 2439.5  ,     418
 2464.0  ,     337
 2488.4  ,     311
 2512.8  ,     283
 2537.3  ,     250
 2561.7  ,     251
 2586.1  ,     251
 2610.6  ,     238
 2635.0  ,     239
 2659.4  ,     175
 2683.9  ,      91
 2708.3  ,      77
 2732.7  ,      42
 2757.2  ,      35
 2781.6  ,      43
 2806.0  ,      49
 2830.5  ,      35
 2854.9  ,      40
 2879.3  ,      38
 2903.8  ,      45
 2928.2  ,      50
 2952.6  ,      42
 2977.1  ,      43
 3001.5  ,      40
 3025.9  ,      36
 3050.4  ,      32
 3074.8  ,      28
 3099.3  ,      29
 3123.7  ,      32
 3148.1  ,      41
 3172.6  ,      59
 3197.0  ,      35
 3221.4  ,      50
 3245.9  ,      81
 3270.3  ,      77
 3294.7  ,      98
 3319.2  ,     105
 3343.6  ,      97
 3368.0  ,      87
 3392.5  ,      73
 3416.9  ,      68
 3441.3  ,      69
 3465.8  ,      78
 3490.2  ,      96
 3514.6  ,     121
 3539.1  ,     227
 3563.5  ,     427
 3587.9  ,     712
 3612.4  ,    1235
 3636.8  ,    1806
 3661.2  ,    2220
 3685.7  ,    2325
 3710.1  ,    2023
 3734.5  ,    1588
 3759.0  ,     981
 3783.4  ,     524
 3807.8  ,     247
 3832.3  ,     132
 3856.7  ,      69
 3881.1  ,      75
 3905.6  ,     102
 3930.0  ,     173
 3954.4  ,     249
 3978.9  ,     277
 4003.3  ,     280
 4027.7  ,     264
 4052.2  ,     237
 4076.6  ,     178
 4101.0  ,     118
 4125.5  ,      67
 4149.9  ,      55
 4174.4  ,      31
 4198.8  ,      17
 4223.2  ,      20
 4247.7  ,      16
 4272.1  ,      21
 4296.5  ,      12
 4321.0  ,      14
 4345.4  ,      23
 4369.8  ,      19
 4394.3  ,      29
 4418.7  ,      36
 4443.1  ,      57
 4467.6  ,      43
 4492.0  ,      85
 4516.4  ,      65
 4540.9  ,      49
 4565.3  ,      36
 4589.7  ,      34
 4614.2  ,      27
 4638.6  ,      27
 4663.0  ,      21
 4687.5  ,      27
 4711.9  ,      20
 4736.3  ,      12
 4760.8  ,      15
 4785.2  ,      14
 4809.6  ,      16
 4834.1  ,      12
 4858.5  ,      16
 4882.9  ,      33
 4907.4  ,      25
 4931.8  ,      14
 4956.2  ,      16
 4980.7  ,      14
 5005.1  ,      17
 5029.5  ,      23
 5054.0  ,      15
 5078.4  ,      14
 5102.8  ,      17
 5127.3  ,      13
 5151.7  ,      14
 5176.1  ,      13
 5200.6  ,      17
 5225.0  ,      18
 5249.5  ,      18
 5273.9  ,      23
 5298.3  ,      20
 5322.8  ,      24
 5347.2  ,      34
 5371.6  ,      27
 5396.1  ,      34
 5420.5  ,      39
 5444.9  ,      35
 5469.4  ,      26
 5493.8  ,      19
 5518.2  ,      23
 5542.7  ,      21
 5567.1  ,      12
 5591.5  ,      17
 5616.0  ,      17
 5640.4  ,      21
 5664.8  ,      20
 5689.3  ,      19
 5713.7  ,      15
 5738.1  ,      21
 5762.6  ,      26
 5787.0  ,      31
 5811.4  ,      30
 5835.9  ,      48
 5860.3  ,      54
 5884.7  ,      56
 5909.2  ,      66
 5933.6  ,      55
 5958.0  ,      51
 5982.5  ,      37
 6006.9  ,      39
 6031.3  ,      39
 6055.8  ,      35
 6080.2  ,      38
 6104.6  ,      34
 6129.1  ,      48
 6153.5  ,      38
 6177.9  ,      90
 6202.4  ,     130
 6226.8  ,     259
 6251.3  ,     470
 6275.7  ,     841
 6300.1  ,    1346
 6324.6  ,    1990
 6349.0  ,    2568
 6373.4  ,    2851
 6397.9  ,    2808
 6422.3  ,    2510
 6446.7  ,    1864
 6471.2  ,    1212
 6495.6  ,     760
 6520.0  ,     411
 6544.5  ,     183
 6568.9  ,      89
 6593.3  ,      39
 6617.8  ,      26
 6642.2  ,      19
 6666.6  ,      24
 6691.1  ,      21
 6715.5  ,      12
 6739.9  ,      25
 6764.4  ,      24
 6788.8  ,      35
 6813.2  ,      26
 6837.7  ,      34
 6862.1  ,      46
 6886.5  ,      54
 6911.0  ,     115
 6935.4  ,     192
 6959.8  ,     256
 6984.3  ,     336
 7008.7  ,     419
 7033.1  ,     439
 7057.6  ,     437
 7082.0  ,     342
 7106.4  ,     289
 7130.9  ,     199
 7155.3  ,     110
 7179.7  ,      80
 7204.2  ,      43
 7228.6  ,      15
 7253.0  ,      14
 7277.5  ,       5
 7301.9  ,      11
 7326.4  ,       4
 7350.8  ,       4
 7375.2  ,      11
 7399.7  ,      18
 7424.1  ,      23
 7448.5  ,      15
 7473.0  ,      21
 7497.4  ,      16
 7521.8  ,      13
 7546.3  ,      14
 7570.7  ,      18
 7595.1  ,       4
 7619.6  ,       7
 7644.0  ,       9
 7668.4  ,       6
 7692.9  ,      11
 7717.3  ,       6
 7741.7  ,       4
 7766.2  ,       8
 7790.6  ,       9
 7815.0  ,       8
 7839.5  ,      12
 7863.9  ,       5
 7888.3  ,       7
 7912.8  ,      10
 7937.2  ,       6
 7961.6  ,       8
 7986.1  ,       9
 8010.5  ,       8
 8034.9  ,       7
 8059.4  ,       9
 8083.8  ,       8
 8108.2  ,       9
 8132.7  ,       9
 8157.1  ,      11
 8181.5  ,       9
 8206.0  ,       5
 8230.4  ,      12
