"Target: Bonnet_Plume_2_and_APXS_RP, Contains DAT files: APA_411782708ESC01610051986_______M2.DAT"
  486.9  ,     669
  511.3  ,       0
  535.8  ,       0
  560.2  ,       0
  584.6  ,       0
  609.1  ,     116
  633.5  ,       0
  658.0  ,       0
  682.4  ,       0
  706.8  ,      47
  731.3  ,     187
  755.7  ,     170
  780.1  ,     189
  804.6  ,     193
  829.0  ,     183
  853.4  ,     202
  877.9  ,     164
  902.3  ,     246
  926.8  ,     292
  951.2  ,     376
  975.6  ,     434
 1000.1  ,     467
 1024.5  ,     552
 1048.9  ,     537
 1073.4  ,     519
 1097.8  ,     525
 1122.2  ,     643
 1146.7  ,     863
 1171.1  ,    1069
 1195.6  ,    1401
 1220.0  ,    1712
 1244.4  ,    1846
 1268.9  ,    1676
 1293.3  ,    1482
 1317.7  ,    1260
 1342.2  ,    1059
 1366.6  ,    1093
 1391.0  ,    1330
 1415.5  ,    1782
 1439.9  ,    2083
 1464.4  ,    2375
 1488.8  ,    2521
 1513.2  ,    2212
 1537.7  ,    1876
 1562.1  ,    1720
 1586.5  ,    1813
 1611.0  ,    2491
 1635.4  ,    3623
 1659.8  ,    5514
 1684.3  ,    7273
 1708.7  ,    8886
 1733.1  ,    9257
 1757.6  ,    8476
 1782.0  ,    6843
 1806.5  ,    5097
 1830.9  ,    3241
 1855.3  ,    1906
 1879.8  ,    1032
 1904.2  ,     671
 1928.6  ,     404
 1953.1  ,     325
 1977.5  ,     273
 2001.9  ,     240
 2026.4  ,     225
 2050.8  ,     180
 2075.3  ,     177
 2099.7  ,     148
 2124.1  ,     140
 2148.6  ,     136
 2173.0  ,     160
 2197.4  ,     231
 2221.9  ,     351
 2246.3  ,     396
 2270.7  ,     444
 2295.2  ,     523
 2319.6  ,     507
 2344.1  ,     437
 2368.5  ,     318
 2392.9  ,     243
 2417.4  ,     168
 2441.8  ,     136
 2466.2  ,     144
 2490.7  ,     160
 2515.1  ,     191
 2539.5  ,     209
 2564.0  ,     300
 2588.4  ,     354
 2612.9  ,     383
 2637.3  ,     309
 2661.7  ,     269
 2686.2  ,     184
 2710.6  ,     158
 2735.0  ,     111
 2759.5  ,      95
 2783.9  ,      63
 2808.3  ,      78
 2832.8  ,      50
 2857.2  ,      65
 2881.7  ,      55
 2906.1  ,      54
 2930.5  ,      42
 2955.0  ,      42
 2979.4  ,      36
 3003.8  ,      35
 3028.3  ,      30
 3052.7  ,      36
 3077.1  ,      25
 3101.6  ,      35
 3126.0  ,      30
 3150.5  ,      35
 3174.9  ,      58
 3199.3  ,      62
 3223.8  ,      89
 3248.2  ,      98
 3272.6  ,     126
 3297.1  ,     108
 3321.5  ,     104
 3345.9  ,     132
 3370.4  ,      88
 3394.8  ,      85
 3419.3  ,      54
 3443.7  ,      65
 3468.1  ,      71
 3492.6  ,      92
 3517.0  ,     113
 3541.4  ,     167
 3565.9  ,     236
 3590.3  ,     328
 3614.7  ,     452
 3639.2  ,     558
 3663.6  ,     623
 3688.1  ,     677
 3712.5  ,     567
 3736.9  ,     537
 3761.4  ,     358
 3785.8  ,     231
 3810.2  ,     162
 3834.7  ,     108
 3859.1  ,      67
 3883.5  ,      63
 3908.0  ,      60
 3932.4  ,      72
 3956.8  ,      93
 3981.3  ,     101
 4005.7  ,      86
 4030.2  ,     123
 4054.6  ,     110
 4079.0  ,      72
 4103.5  ,      62
 4127.9  ,      57
 4152.3  ,      48
 4176.8  ,      20
 4201.2  ,      34
 4225.6  ,      25
 4250.1  ,      21
 4274.5  ,      21
 4299.0  ,      24
 4323.4  ,      32
 4347.8  ,      41
 4372.3  ,      24
 4396.7  ,      50
 4421.1  ,      71
 4445.6  ,      86
 4470.0  ,      83
 4494.4  ,     113
 4518.9  ,      90
