"Target: Hudson_Bay_dust_free, Contains DAT files: APA_411786284ESC01610051986_______M2.DAT"
  489.1  ,     669
  513.6  ,       0
  538.0  ,       0
  562.5  ,       0
  586.9  ,       0
  611.4  ,     116
  635.8  ,       0
  660.3  ,       0
  684.8  ,       0
  709.2  ,       1
  733.7  ,     194
  758.1  ,     214
  782.6  ,     203
  807.0  ,     197
  831.5  ,     216
  855.9  ,     240
  880.4  ,     294
  904.9  ,     314
  929.3  ,     371
  953.8  ,     475
  978.2  ,     524
 1002.7  ,     579
 1027.1  ,     655
 1051.6  ,     676
 1076.1  ,     745
 1100.5  ,     803
 1125.0  ,     949
 1149.4  ,    1197
 1173.9  ,    1431
 1198.3  ,    1610
 1222.8  ,    1885
 1247.2  ,    1993
 1271.7  ,    1840
 1296.2  ,    1765
 1320.6  ,    1656
 1345.1  ,    1564
 1369.5  ,    1674
 1394.0  ,    1867
 1418.4  ,    2167
 1442.9  ,    2380
 1467.4  ,    2578
 1491.8  ,    2809
 1516.3  ,    2636
 1540.7  ,    2688
 1565.2  ,    2706
 1589.6  ,    3230
 1614.1  ,    4070
 1638.6  ,    5442
 1663.0  ,    6889
 1687.5  ,    8349
 1711.9  ,    9328
 1736.4  ,    9578
 1760.8  ,    8902
 1785.3  ,    7738
 1809.7  ,    6099
 1834.2  ,    4428
 1858.7  ,    2921
 1883.1  ,    1993
 1907.6  ,    1192
 1932.0  ,     803
 1956.5  ,     538
 1980.9  ,     391
 2005.4  ,     273
 2029.9  ,     290
 2054.3  ,     214
 2078.8  ,     228
 2103.2  ,     190
 2127.7  ,     211
 2152.1  ,     210
 2176.6  ,     275
 2201.0  ,     333
 2225.5  ,     433
 2250.0  ,     501
 2274.4  ,     530
 2298.9  ,     536
 2323.3  ,     522
 2347.8  ,     478
 2372.2  ,     409
 2396.7  ,     288
 2421.2  ,     275
 2445.6  ,     225
 2470.1  ,     191
 2494.5  ,     198
 2519.0  ,     197
 2543.4  ,     244
 2567.9  ,     296
 2592.4  ,     319
 2616.8  ,     314
 2641.3  ,     291
 2665.7  ,     248
 2690.2  ,     203
 2714.6  ,     175
 2739.1  ,     127
 2763.5  ,     115
 2788.0  ,      82
 2812.5  ,      66
 2836.9  ,      75
 2861.4  ,      49
 2885.8  ,      55
 2910.3  ,      39
 2934.7  ,      45
 2959.2  ,      49
 2983.7  ,      41
 3008.1  ,      40
 3032.6  ,      35
 3057.0  ,      31
 3081.5  ,      50
 3105.9  ,      43
 3130.4  ,      58
 3154.8  ,      68
 3179.3  ,      67
 3203.8  ,      80
 3228.2  ,      82
 3252.7  ,     115
 3277.1  ,     112
 3301.6  ,     123
 3326.0  ,     145
 3350.5  ,     119
 3375.0  ,      99
 3399.4  ,     104
 3423.9  ,      91
 3448.3  ,      91
 3472.8  ,     102
 3497.2  ,     118
 3521.7  ,     167
 3546.2  ,     272
 3570.6  ,     356
 3595.1  ,     444
 3619.5  ,     556
 3644.0  ,     693
 3668.4  ,     762
 3692.9  ,     709
 3717.3  ,     611
 3741.8  ,     591
 3766.3  ,     402
 3790.7  ,     364
 3815.2  ,     215
 3839.6  ,     148
 3864.1  ,     140
 3888.5  ,     105
 3913.0  ,     102
 3937.5  ,      94
 3961.9  ,     103
 3986.4  ,     117
 4010.8  ,     107
 4035.3  ,     112
 4059.7  ,      93
 4084.2  ,      95
 4108.6  ,      77
 4133.1  ,      57
 4157.6  ,      38
 4182.0  ,      46
 4206.5  ,      33
 4230.9  ,      44
 4255.4  ,      25
 4279.8  ,      25
 4304.3  ,      33
 4328.8  ,      45
 4353.2  ,      53
 4377.7  ,      56
 4402.1  ,      81
 4426.6  ,      87
 4451.0  ,      97
 4475.5  ,     106
 4499.9  ,     134
 4524.4  ,     134
 4548.9  ,     114
 4573.3  ,      99
 4597.8  ,      82
 4622.2  ,      78
 4646.7  ,      75
 4671.1  ,      57
 4695.6  ,      63
 4720.1  ,      43
 4744.5  ,      40
 4769.0  ,      36
 4793.4  ,      37
 4817.9  ,      30
 4842.3  ,      48
 4866.8  ,      41
 4891.3  ,      49
 4915.7  ,      46
 4940.2  ,      36
 4964.6  ,      40
 4989.1  ,      37
 5013.5  ,      39
 5038.0  ,      34
 5062.4  ,      22
 5086.9  ,      20
 5111.4  ,      30
 5135.8  ,      33
 5160.3  ,      29
 5184.7  ,      49
 5209.2  ,      48
 5233.6  ,      49
 5258.1  ,      38
 5282.6  ,      51
 5307.0  ,      70
 5331.5  ,      55
 5355.9  ,     106
 5380.4  ,      86
 5404.8  ,      90
 5429.3  ,      85
 5453.7  ,      85
 5478.2  ,      79
 5502.7  ,      65
 5527.1  ,      60
 5551.6  ,      41
 5576.0  ,      27
 5600.5  ,      42
 5624.9  ,      32
 5649.4  ,      42
 5673.9  ,      34
 5698.3  ,      42
 5722.8  ,      68
 5747.2  ,      63
 5771.7  ,      63
 5796.1  ,      84
 5820.6  ,     116
 5845.1  ,     105
 5869.5  ,     108
 5894.0  ,     126
 5918.4  ,     100
 5942.9  ,     131
 5967.3  ,     112
 5991.8  ,     100
 6016.2  ,     125
 6040.7  ,      92
 6065.2  ,      98
 6089.6  ,     150
 6114.1  ,     190
 6138.5  ,     266
 6163.0  ,     424
 6187.4  ,     662
 6211.9  ,    1061
 6236.4  ,    1611
 6260.8  ,    2342
 6285.3  ,    3239
 6309.7  ,    4063
 6334.2  ,    4983
 6358.6  ,    5424
 6383.1  ,    5760
 6407.5  ,    5517
 6432.0  ,    4866
 6456.5  ,    4268
 6480.9  ,    3425
 6505.4  ,    2470
 6529.8  ,    1724
 6554.3  ,    1112
 6578.7  ,     675
 6603.2  ,     375
 6627.7  ,     215
 6652.1  ,     105
 6676.6  ,      85
 6701.0  ,      61
 6725.5  ,      51
 6749.9  ,      51
 6774.4  ,      53
 6798.9  ,      84
 6823.3  ,     142
 6847.8  ,     192
 6872.2  ,     232
 6896.7  ,     344
 6921.1  ,     459
 6945.6  ,     587
 6970.0  ,     728
 6994.5  ,     853
 7019.0  ,     896
 7043.4  ,     919
 7067.9  ,     888
 7092.3  ,     857
 7116.8  ,     620
 7141.2  ,     528
 7165.7  ,     417
 7190.2  ,     304
 7214.6  ,     176
 7239.1  ,     117
 7263.5  ,      64
 7288.0  ,      47
 7312.4  ,      32
 7336.9  ,      25
 7361.3  ,      29
 7385.8  ,      40
 7410.3  ,      31
 7434.7  ,      34
 7459.2  ,      31
 7483.6  ,      33
 7508.1  ,      32
 7532.5  ,      27
 7557.0  ,      28
 7581.5  ,      14
 7605.9  ,      14
 7630.4  ,      18
 7654.8  ,      10
 7679.3  ,      15
 7703.7  ,       9
 7728.2  ,      13
 7752.7  ,      10
 7777.1  ,      10
 7801.6  ,       8
 7826.0  ,      11
 7850.5  ,      11
 7874.9  ,       8
 7899.4  ,      15
 7923.8  ,      10
 7948.3  ,      15
 7972.8  ,       7
 7997.2  ,       9
 8021.7  ,      10
 8046.1  ,      13
 8070.6  ,       9
 8095.0  ,      13
 8119.5  ,      15
 8144.0  ,       8
 8168.4  ,      16
 8192.9  ,      15
 8217.3  ,      12
 8241.8  ,      17
 8266.2  ,      10
 8290.7  ,      12
 8315.1  ,      17
 8339.6  ,       7
 8364.1  ,      13
 8388.5  ,      14
 8413.0  ,      15
 8437.4  ,      23
 8461.9  ,      28
 8486.3  ,      25
 8510.8  ,      31
 8535.3  ,      50
 8559.7  ,      52
 8584.2  ,      71
 8608.6  ,      69
 8633.1  ,      67
 8657.5  ,      65
 8682.0  ,      58
 8706.5  ,      53
 8730.9  ,      25
 8755.4  ,      31
 8779.8  ,      20
 8804.3  ,      17
 8828.7  ,      11
 8853.2  ,      16
 8877.6  ,      11
 8902.1  ,      11
 8926.6  ,      14
 8951.0  ,       8
 8975.5  ,      10
 8999.9  ,       5
 9024.4  ,       8
 9048.8  ,       8
 9073.3  ,       8
 9097.8  ,      11
 9122.2  ,       9
 9146.7  ,       8
 9171.1  ,       9
 9195.6  ,      10
 9220.0  ,      13
 9244.5  ,      12
 9268.9  ,       7
 9293.4  ,       9
 9317.9  ,       9
 9342.3  ,      12
 9366.8  ,       9
 9391.2  ,       9
 9415.7  ,      17
 9440.1  ,      15
 9464.6  ,      20
 9489.1  ,      18
 9513.5  ,      19
 9538.0  ,      12
 9562.4  ,      23
 9586.9  ,      16
 9611.3  ,      13
 9635.8  ,      13
 9660.3  ,      16
 9684.7  ,      20
 9709.2  ,      15
 9733.6  ,      12
 9758.1  ,      10
 9782.5  ,      20
 9807.0  ,      17
 9831.4  ,      13
 9855.9  ,      17
 9880.4  ,      19
 9904.8  ,      16
 9929.3  ,      12
 9953.7  ,      24
 9978.2  ,      13
10002.6  ,      13
10027.1  ,      13
10051.6  ,      12
10076.0  ,      10
10100.5  ,      11
10124.9  ,       9
10149.4  ,      11
10173.8  ,       7
10198.3  ,      13
10222.7  ,      11
10247.2  ,      12
10271.7  ,       9
10296.1  ,       8
10320.6  ,      11
10345.0  ,       8
10369.5  ,      10
10393.9  ,      14
10418.4  ,      12
10442.9  ,      14
10467.3  ,       6
10491.8  ,      13
10516.2  ,       8
10540.7  ,      16
10565.1  ,      11
10589.6  ,       5
10614.1  ,      10
10638.5  ,       9
10663.0  ,       6
10687.4  ,      14
10711.9  ,       7
10736.3  ,       8
10760.8  ,      10
10785.2  ,      14
10809.7  ,      11
10834.2  ,       9
10858.6  ,       6
10883.1  ,      13
10907.5  ,      10
10932.0  ,      11
10956.4  ,      11
10980.9  ,      12
11005.4  ,      14
11029.8  ,       7
11054.3  ,       9
11078.7  ,      20
11103.2  ,       3
11127.6  ,      15
11152.1  ,       9
11176.5  ,       5
11201.0  ,       7
11225.5  ,      12
11249.9  ,       8
11274.4  ,       9
11298.8  ,      13
11323.3  ,      16
11347.7  ,      11
11372.2  ,      13
11396.7  ,      11
11421.1  ,      11
11445.6  ,      16
11470.0  ,      13
11494.5  ,      10
11518.9  ,      23
11543.4  ,      10
11567.9  ,      15
11592.3  ,      14
11616.8  ,      15
11641.2  ,      11
11665.7  ,      18
11690.1  ,      27
11714.6  ,      29
11739.0  ,      26
11763.5  ,      28
11788.0  ,      46
11812.4  ,      39
11836.9  ,      55
11861.3  ,      55
11885.8  ,      53
11910.2  ,      65
11934.7  ,      52
11959.2  ,      47
11983.6  ,      45
12008.1  ,      39
12032.5  ,      46
12057.0  ,      42
12081.4  ,      39
12105.9  ,      27
12130.3  ,      28
12154.8  ,      18
12179.3  ,      19
12203.7  ,      21
12228.2  ,      24
12252.6  ,      20
12277.1  ,      19
12301.5  ,      17
12326.0  ,      14
12350.5  ,       9
12374.9  ,      11
12399.4  ,      10
12423.8  ,      15
12448.3  ,      10
12472.7  ,      12
12497.2  ,      16
12521.6  ,      16
12546.1  ,       9
12570.6  ,      14
12595.0  ,      20
12619.5  ,      22
12643.9  ,      15
12668.4  ,      12
12692.8  ,      15
12717.3  ,      17
12741.8  ,      19
12766.2  ,      25
12790.7  ,      17
12815.1  ,      24
12839.6  ,      20
12864.0  ,      24
12888.5  ,      25
12913.0  ,      25
12937.4  ,      30
12961.9  ,      33
12986.3  ,      26
13010.8  ,      31
13035.2  ,      37
13059.7  ,      51
13084.1  ,      36
13108.6  ,      51
13133.1  ,      58
13157.5  ,      52
13182.0  ,      59
13206.4  ,      85
13230.9  ,      83
13255.3  ,      78
13279.8  ,      88
13304.3  ,      99
13328.7  ,      99
13353.2  ,     111
13377.6  ,     130
13402.1  ,     126
13426.5  ,     131
13451.0  ,     147
13475.4  ,     160
13499.9  ,     146
13524.4  ,     152
13548.8  ,     153
13573.3  ,     146
13597.7  ,     155
13622.2  ,     126
13646.6  ,     137
13671.1  ,     128
13695.6  ,     118
13720.0  ,     125
13744.5  ,     105
13768.9  ,     110
13793.4  ,      89
13817.8  ,      83
13842.3  ,      80
13866.8  ,      79
13891.2  ,      67
13915.7  ,      65
13940.1  ,      63
13964.6  ,      74
13989.0  ,      74
14013.5  ,      75
14037.9  ,      85
14062.4  ,      86
14086.9  ,     104
14111.3  ,     122
14135.8  ,     143
14160.2  ,     157
14184.7  ,     187
14209.1  ,     197
14233.6  ,     227
