"Target: Hay_Creek_marsviewer_tweaked, Contains DAT files: APA_411871303ESC01620051986_______M2.DAT"
  485.4  ,     669
  509.9  ,       0
  534.3  ,       0
  558.8  ,       0
  583.2  ,       0
  607.7  ,     116
  632.1  ,       0
  656.6  ,       0
  681.0  ,      79
  705.5  ,     187
  729.9  ,     184
  754.4  ,     194
  778.9  ,     180
  803.3  ,     157
  827.8  ,     141
  852.2  ,     164
  876.7  ,     200
  901.1  ,     166
  925.6  ,     204
  950.0  ,     294
  974.5  ,     402
  998.9  ,     566
 1023.4  ,     670
 1047.9  ,     601
 1072.3  ,     537
 1096.8  ,     395
 1121.2  ,     358
 1145.7  ,     441
 1170.1  ,     813
 1194.6  ,    1361
 1219.0  ,    2059
 1243.5  ,    2400
 1267.9  ,    2071
 1292.4  ,    1385
 1316.9  ,     845
 1341.3  ,     537
 1365.8  ,     527
 1390.2  ,     777
 1414.7  ,    1422
 1439.1  ,    2366
 1463.6  ,    2930
 1488.0  ,    3103
 1512.5  ,    2414
 1536.9  ,    1537
 1561.4  ,     958
 1585.9  ,     769
 1610.3  ,    1030
 1634.8  ,    2078
 1659.2  ,    4274
 1683.7  ,    7808
 1708.1  ,   10842
 1732.6  ,   12033
 1757.0  ,   10091
 1781.5  ,    6741
 1805.9  ,    3610
 1830.4  ,    1666
 1854.8  ,     870
 1879.3  ,     476
 1903.8  ,     319
 1928.2  ,     239
 1952.7  ,     233
 1977.1  ,     260
 2001.6  ,     275
 2026.0  ,     260
 2050.5  ,     192
 2074.9  ,     151
 2099.4  ,     100
 2123.8  ,     103
 2148.3  ,     102
 2172.8  ,     140
 2197.2  ,     208
 2221.7  ,     347
 2246.1  ,     574
 2270.6  ,     778
 2295.0  ,     869
 2319.5  ,     790
 2343.9  ,     580
 2368.4  ,     372
 2392.8  ,     199
 2417.3  ,     134
 2441.8  ,     105
 2466.2  ,     133
 2490.7  ,     119
 2515.1  ,     119
 2539.6  ,     200
 2564.0  ,     251
 2588.5  ,     369
 2612.9  ,     410
 2637.4  ,     316
 2661.8  ,     246
 2686.3  ,     160
 2710.8  ,      88
 2735.2  ,      66
 2759.7  ,      56
 2784.1  ,      50
 2808.6  ,      61
 2833.0  ,      52
 2857.5  ,      53
 2881.9  ,      61
 2906.4  ,      43
 2930.8  ,      45
 2955.3  ,      63
 2979.8  ,      49
 3004.2  ,      29
 3028.7  ,      24
 3053.1  ,      30
 3077.6  ,      15
 3102.0  ,      35
 3126.5  ,      21
 3150.9  ,      27
 3175.4  ,      46
 3199.8  ,      53
 3224.3  ,      70
 3248.8  ,      87
 3273.2  ,     133
 3297.7  ,     133
 3322.1  ,     132
 3346.6  ,     123
 3371.0  ,      94
 3395.5  ,      71
 3419.9  ,      46
 3444.4  ,      42
 3468.8  ,      41
 3493.3  ,      46
 3517.8  ,      74
 3542.2  ,     104
 3566.7  ,     165
 3591.1  ,     301
 3615.6  ,     476
 3640.0  ,     649
 3664.5  ,     810
 3688.9  ,     832
 3713.4  ,     692
 3737.8  ,     504
 3762.3  ,     305
 3786.8  ,     156
 3811.2  ,      80
 3835.7  ,      67
 3860.1  ,      33
 3884.6  ,      46
 3909.0  ,      46
 3933.5  ,      75
 3957.9  ,      86
 3982.4  ,     102
 4006.8  ,     118
 4031.3  ,     121
 4055.7  ,     101
 4080.2  ,      71
 4104.7  ,      43
 4129.1  ,      37
 4153.6  ,      30
 4178.0  ,      15
 4202.5  ,      18
 4226.9  ,      21
 4251.4  ,      23
 4275.8  ,      31
 4300.3  ,      29
 4324.7  ,      17
 4349.2  ,      24
 4373.7  ,      28
 4398.1  ,      55
 4422.6  ,      83
 4447.0  ,      91
 4471.5  ,     114
 4495.9  ,     136
 4520.4  ,     137
 4544.8  ,      84
 4569.3  ,      88
 4593.7  ,      77
 4618.2  ,      56
 4642.7  ,      42
 4667.1  ,      49
 4691.6  ,      35
 4716.0  ,      33
 4740.5  ,      25
 4764.9  ,      20
 4789.4  ,      29
 4813.8  ,      30
 4838.3  ,      29
 4862.7  ,      29
 4887.2  ,      39
 4911.7  ,      39
 4936.1  ,      30
 4960.6  ,      49
 4985.0  ,      29
 5009.5  ,      38
 5033.9  ,      36
 5058.4  ,      25
 5082.8  ,      18
 5107.3  ,      36
 5131.7  ,      29
 5156.2  ,      26
 5180.7  ,      30
 5205.1  ,      32
 5229.6  ,      26
 5254.0  ,      39
 5278.5  ,      41
 5302.9  ,      46
 5327.4  ,      49
 5351.8  ,      45
 5376.3  ,      67
 5400.7  ,      61
 5425.2  ,      73
 5449.7  ,      67
 5474.1  ,      48
 5498.6  ,      41
 5523.0  ,      38
 5547.5  ,      38
 5571.9  ,      29
 5596.4  ,      32
 5620.8  ,      22
 5645.3  ,      21
 5669.7  ,      33
 5694.2  ,      32
 5718.7  ,      37
 5743.1  ,      44
 5767.6  ,      54
 5792.0  ,      70
 5816.5  ,      74
 5840.9  ,     101
 5865.4  ,     107
 5889.8  ,     102
 5914.3  ,     131
 5938.7  ,      91
 5963.2  ,      86
 5987.7  ,      73
 6012.1  ,      60
 6036.6  ,      66
 6061.0  ,      69
 6085.5  ,      65
 6109.9  ,      91
 6134.4  ,      95
 6158.8  ,     147
 6183.3  ,     185
 6207.7  ,     308
 6232.2  ,     550
 6256.6  ,    1089
 6281.1  ,    1976
 6305.6  ,    3125
 6330.0  ,    4715
 6354.5  ,    5916
 6378.9  ,    6612
 6403.4  ,    6203
 6427.8  ,    5449
 6452.3  ,    3964
 6476.7  ,    2452
 6501.2  ,    1398
 6525.6  ,     715
 6550.1  ,     311
 6574.6  ,     134
 6599.0  ,      63
 6623.5  ,      39
 6647.9  ,      40
 6672.4  ,      31
 6696.8  ,      29
 6721.3  ,      34
 6745.7  ,      33
 6770.2  ,      29
 6794.6  ,      50
 6819.1  ,      57
 6843.6  ,      71
 6868.0  ,     103
 6892.5  ,     164
 6916.9  ,     259
 6941.4  ,     389
 6965.8  ,     614
 6990.3  ,     782
 7014.7  ,     989
 7039.2  ,    1055
 7063.6  ,    1023
 7088.1  ,     828
 7112.6  ,     583
 7137.0  ,     382
 7161.5  ,     212
 7185.9  ,     145
 7210.4  ,      63
 7234.8  ,      35
 7259.3  ,      20
 7283.7  ,      15
 7308.2  ,      11
 7332.6  ,       8
 7357.1  ,      23
 7381.6  ,      19
 7406.0  ,      32
 7430.5  ,      30
 7454.9  ,      45
 7479.4  ,      26
 7503.8  ,      18
 7528.3  ,      25
 7552.7  ,      19
 7577.2  ,      19
 7601.6  ,      13
 7626.1  ,       2
 7650.6  ,       6
