"Target: Sayunei_RP_a, Contains DAT files: APA_412166565ESC01650052270_______M2.DAT"
  482.3  ,     670
  506.8  ,       0
  531.2  ,       0
  555.7  ,       0
  580.2  ,       0
  604.6  ,     116
  629.1  ,       0
  653.5  ,      43
  678.0  ,      83
  702.5  ,      95
  726.9  ,      98
  751.4  ,      79
  775.9  ,      65
  800.3  ,      78
  824.8  ,      90
  849.2  ,      70
  873.7  ,      93
  898.2  ,      83
  922.6  ,      93
  947.1  ,      98
  971.6  ,     156
  996.0  ,     256
 1020.5  ,     343
 1044.9  ,     314
 1069.4  ,     230
 1093.9  ,     182
 1118.3  ,     137
 1142.8  ,     173
 1167.3  ,     320
 1191.7  ,     677
 1216.2  ,    1093
 1240.6  ,    1419
 1265.1  ,    1199
 1289.6  ,     713
 1314.0  ,     397
 1338.5  ,     210
 1363.0  ,     167
 1387.4  ,     288
 1411.9  ,     573
 1436.3  ,    1034
 1460.8  ,    1575
 1485.3  ,    1645
 1509.7  ,    1249
 1534.2  ,     695
 1558.7  ,     416
 1583.1  ,     309
 1607.6  ,     308
 1632.0  ,     620
 1656.5  ,    1636
 1681.0  ,    3481
 1705.4  ,    5504
 1729.9  ,    6385
 1754.4  ,    5374
 1778.8  ,    3288
 1803.3  ,    1432
 1827.7  ,     663
 1852.2  ,     352
 1876.7  ,     231
 1901.1  ,     173
 1925.6  ,     137
 1950.1  ,     112
 1974.5  ,     121
 1999.0  ,     153
 2023.4  ,     148
 2047.9  ,     103
 2072.4  ,      95
 2096.8  ,      92
 2121.3  ,      57
 2145.8  ,      65
 2170.2  ,      84
 2194.7  ,     140
 2219.1  ,     270
 2243.6  ,     526
 2268.1  ,     903
 2292.5  ,    1086
 2317.0  ,     954
 2341.5  ,     736
 2365.9  ,     354
 2390.4  ,     181
 2414.8  ,      93
 2439.3  ,      83
 2463.8  ,      94
 2488.2  ,     101
 2512.7  ,      79
 2537.2  ,     103
 2561.6  ,     141
 2586.1  ,     195
 2610.5  ,     210
 2635.0  ,     186
 2659.5  ,     157
 2683.9  ,      61
 2708.4  ,      52
 2732.9  ,      20
 2757.3  ,      27
 2781.8  ,      29
 2806.2  ,      35
 2830.7  ,      34
 2855.2  ,      31
 2879.6  ,      39
 2904.1  ,      32
 2928.6  ,      40
 2953.0  ,      53
 2977.5  ,      46
 3001.9  ,      26
 3026.4  ,      20
 3050.9  ,      16
