"Target: Sayunei_RP_b, Contains DAT files: APA_412167507ESC01650052270_______M2.DAT"
  482.8  ,     669
  507.3  ,       0
  531.7  ,       0
  556.2  ,       0
  580.6  ,       0
  605.1  ,     116
  629.5  ,       0
  654.0  ,      42
  678.4  ,      78
  702.9  ,      92
  727.3  ,      88
  751.8  ,      69
  776.2  ,      70
  800.7  ,      70
  825.1  ,      83
  849.6  ,      78
  874.0  ,      74
  898.5  ,      73
  922.9  ,      95
  947.4  ,     111
  971.9  ,     161
  996.3  ,     240
 1020.8  ,     335
 1045.2  ,     275
 1069.7  ,     222
 1094.1  ,     156
 1118.6  ,     115
 1143.0  ,     150
 1167.5  ,     282
 1191.9  ,     596
 1216.4  ,     906
 1240.8  ,    1269
 1265.3  ,    1007
 1289.7  ,     612
 1314.2  ,     296
 1338.6  ,     198
 1363.1  ,     190
 1387.5  ,     270
 1412.0  ,     526
 1436.5  ,    1017
 1460.9  ,    1493
 1485.4  ,    1532
 1509.8  ,    1133
 1534.3  ,     622
 1558.7  ,     325
 1583.2  ,     250
 1607.6  ,     289
 1632.1  ,     611
 1656.5  ,    1389
 1681.0  ,    3189
 1705.4  ,    5047
 1729.9  ,    5982
 1754.3  ,    4896
 1778.8  ,    2982
 1803.2  ,    1418
 1827.7  ,     607
 1852.2  ,     308
 1876.6  ,     249
 1901.1  ,     144
 1925.5  ,     121
 1950.0  ,     114
 1974.4  ,     115
 1998.9  ,      98
 2023.3  ,     138
 2047.8  ,      88
 2072.2  ,      88
 2096.7  ,      68
 2121.1  ,      47
 2145.6  ,      61
 2170.0  ,      89
 2194.5  ,     119
 2218.9  ,     229
 2243.4  ,     444
 2267.8  ,     711
 2292.3  ,     932
 2316.8  ,     824
 2341.2  ,     595
 2365.7  ,     338
 2390.1  ,     168
 2414.6  ,      71
 2439.0  ,      74
 2463.5  ,      63
 2487.9  ,      66
 2512.4  ,      73
 2536.8  ,      98
 2561.3  ,     134
 2585.7  ,     169
 2610.2  ,     167
 2634.6  ,     187
 2659.1  ,     121
 2683.5  ,      68
 2708.0  ,      47
 2732.4  ,      29
 2756.9  ,      20
 2781.4  ,      37
 2805.8  ,      28
 2830.3  ,      33
 2854.7  ,      28
 2879.2  ,      30
 2903.6  ,      45
 2928.1  ,      36
 2952.5  ,      44
 2977.0  ,      37
 3001.4  ,      27
 3025.9  ,      18
 3050.3  ,      14
 3074.8  ,      11
 3099.2  ,       9
 3123.7  ,      11
