"Target: Sayunei_RP_c, Contains DAT files: APA_412168451ESC01650052270_______M2.DAT"
  481.6  ,     669
  506.1  ,       0
  530.5  ,       0
  555.0  ,       0
  579.4  ,       0
  603.9  ,     116
  628.3  ,       0
  652.8  ,      19
  677.2  ,      58
  701.7  ,      76
  726.1  ,      64
  750.6  ,      60
  775.0  ,      64
  799.5  ,      82
  823.9  ,      81
  848.4  ,      70
  872.8  ,      61
  897.3  ,      66
  921.7  ,      82
  946.2  ,      78
  970.6  ,     130
  995.1  ,     217
 1019.5  ,     283
 1044.0  ,     267
 1068.4  ,     212
 1092.9  ,     144
 1117.3  ,     118
 1141.8  ,     118
 1166.2  ,     229
 1190.7  ,     457
 1215.1  ,     760
 1239.6  ,    1030
 1264.0  ,     869
 1288.5  ,     567
 1312.9  ,     273
 1337.4  ,     175
 1361.8  ,     162
 1386.3  ,     249
 1410.7  ,     521
 1435.2  ,     949
 1459.6  ,    1398
 1484.1  ,    1503
 1508.5  ,    1144
 1533.0  ,     673
 1557.4  ,     367
 1581.9  ,     267
 1606.3  ,     275
 1630.8  ,     513
 1655.2  ,    1288
 1679.7  ,    2853
 1704.1  ,    4710
 1728.6  ,    5526
 1753.0  ,    4694
 1777.5  ,    2752
 1802.0  ,    1361
 1826.4  ,     593
 1850.9  ,     299
 1875.3  ,     169
 1899.8  ,     127
 1924.2  ,      98
 1948.7  ,      73
 1973.1  ,      82
 1997.6  ,     117
 2022.0  ,     108
 2046.5  ,      79
 2070.9  ,      66
 2095.4  ,      36
 2119.8  ,      42
 2144.3  ,      39
 2168.7  ,      39
 2193.2  ,      50
 2217.6  ,      99
 2242.1  ,     149
 2266.5  ,     226
 2291.0  ,     291
 2315.4  ,     262
 2339.9  ,     191
 2364.3  ,     136
 2388.8  ,      61
 2413.2  ,      32
 2437.7  ,      37
 2462.1  ,      44
 2486.6  ,      37
 2511.0  ,      52
 2535.5  ,      49
 2559.9  ,      96
 2584.4  ,     116
 2608.8  ,     161
 2633.3  ,     123
 2657.7  ,      98
 2682.2  ,      71
 2706.6  ,      30
 2731.1  ,      25
 2755.5  ,      21
 2780.0  ,      15
 2804.4  ,      21
 2828.9  ,      24
 2853.3  ,      34
 2877.8  ,      35
 2902.2  ,      36
 2926.7  ,      32
 2951.1  ,      40
 2975.6  ,      33
 3000.0  ,      19
 3024.5  ,      28
 3048.9  ,      14
 3073.4  ,      12
 3097.8  ,      12
 3122.3  ,      16
 3146.8  ,      11
 3171.2  ,      14
 3195.7  ,      23
 3220.1  ,      22
 3244.6  ,      42
 3269.0  ,      60
 3293.5  ,      81
 3317.9  ,      86
 3342.4  ,      60
 3366.8  ,      50
 3391.3  ,      31
 3415.7  ,      22
 3440.2  ,      20
 3464.6  ,      22
 3489.1  ,      25
 3513.5  ,      19
 3538.0  ,      29
 3562.4  ,      60
 3586.9  ,      99
 3611.3  ,     159
 3635.8  ,     265
 3660.2  ,     361
 3684.7  ,     308
 3709.1  ,     313
 3733.6  ,     216
 3758.0  ,     116
 3782.5  ,      57
 3806.9  ,      30
 3831.4  ,      25
 3855.8  ,      13
 3880.3  ,      16
 3904.7  ,      16
 3929.2  ,      22
 3953.6  ,      31
 3978.1  ,      41
 4002.5  ,      46
 4027.0  ,      53
 4051.4  ,      57
 4075.9  ,      38
 4100.3  ,      23
 4124.8  ,      15
 4149.2  ,      17
 4173.7  ,       6
 4198.1  ,       7
 4222.6  ,       9
 4247.0  ,       3
 4271.5  ,       9
 4295.9  ,       8
 4320.4  ,       6
 4344.8  ,       4
 4369.3  ,      14
 4393.7  ,      24
 4418.2  ,      36
 4442.7  ,      34
 4467.1  ,      46
 4491.6  ,      53
 4516.0  ,      61
 4540.5  ,      41
 4564.9  ,      31
 4589.4  ,      19
 4613.8  ,      18
 4638.3  ,      15
 4662.7  ,      20
 4687.2  ,      17
 4711.6  ,      15
 4736.1  ,      12
 4760.5  ,       9
 4785.0  ,      12
 4809.4  ,       8
 4833.9  ,      10
 4858.3  ,      15
 4882.8  ,      15
 4907.2  ,      15
 4931.7  ,      20
 4956.1  ,      17
 4980.6  ,      18
 5005.0  ,      15
 5029.5  ,       9
 5053.9  ,      10
 5078.4  ,      10
 5102.8  ,       6
 5127.3  ,       8
 5151.7  ,      10
 5176.2  ,      13
 5200.6  ,      11
 5225.1  ,      12
 5249.5  ,       8
 5274.0  ,      11
 5298.4  ,      18
 5322.9  ,      22
 5347.3  ,      24
 5371.8  ,      31
 5396.2  ,      36
 5420.7  ,      39
 5445.1  ,      32
 5469.6  ,      26
 5494.0  ,      11
 5518.5  ,      13
 5542.9  ,      22
 5567.4  ,      16
 5591.8  ,      10
 5616.3  ,      16
 5640.7  ,       8
 5665.2  ,       9
 5689.6  ,      13
 5714.1  ,      10
 5738.5  ,      12
 5763.0  ,      20
 5787.5  ,      28
 5811.9  ,      26
 5836.4  ,      41
 5860.8  ,      43
 5885.3  ,      54
 5909.7  ,      53
 5934.2  ,      43
 5958.6  ,      23
 5983.1  ,      24
 6007.5  ,      32
 6032.0  ,      23
 6056.4  ,      22
 6080.9  ,      15
 6105.3  ,      27
 6129.8  ,      34
 6154.2  ,      44
 6178.7  ,      39
 6203.1  ,      79
 6227.6  ,     121
 6252.0  ,     256
 6276.5  ,     533
 6300.9  ,     979
 6325.4  ,    1561
 6349.8  ,    1965
 6374.3  ,    2433
 6398.7  ,    2339
 6423.2  ,    2008
 6447.6  ,    1401
 6472.1  ,     859
 6496.5  ,     477
 6521.0  ,     221
 6545.4  ,      92
 6569.9  ,      29
 6594.3  ,      17
 6618.8  ,      17
 6643.2  ,       8
 6667.7  ,      15
 6692.1  ,      12
 6716.6  ,      16
 6741.0  ,      12
 6765.5  ,       8
 6789.9  ,      20
 6814.4  ,      21
 6838.8  ,      25
 6863.3  ,      29
 6887.7  ,      49
 6912.2  ,      74
 6936.6  ,     141
 6961.1  ,     171
 6985.5  ,     259
 7010.0  ,     313
 7034.4  ,     396
 7058.9  ,     389
 7083.4  ,     317
 7107.8  ,     214
 7132.3  ,     156
 7156.7  ,      72
 7181.2  ,      41
 7205.6  ,      18
 7230.1  ,       7
 7254.5  ,       6
 7279.0  ,       6
 7303.4  ,       8
 7327.9  ,       9
 7352.3  ,       8
 7376.8  ,       6
 7401.2  ,      11
 7425.7  ,      13
 7450.1  ,      15
 7474.6  ,      13
 7499.0  ,      16
 7523.5  ,      12
 7547.9  ,       5
 7572.4  ,       7
 7596.8  ,       7
 7621.3  ,       6
 7645.7  ,       4
 7670.2  ,       3
 7694.6  ,       3
