"Target: Sayunei_RP_d, Contains DAT files: APA_412169393ESC01650052270_______M2.DAT"
  482.5  ,     668
  506.9  ,       0
  531.4  ,       0
  555.8  ,       0
  580.3  ,       0
  604.7  ,     116
  629.1  ,       0
  653.6  ,      28
  678.0  ,      98
  702.5  ,      78
  726.9  ,     102
  751.3  ,      63
  775.8  ,      76
  800.2  ,      68
  824.7  ,      84
  849.1  ,      96
  873.6  ,      79
  898.0  ,     101
  922.4  ,     111
  946.9  ,     104
  971.3  ,     168
  995.8  ,     239
 1020.2  ,     327
 1044.6  ,     307
 1069.1  ,     232
 1093.5  ,     170
 1118.0  ,     145
 1142.4  ,     170
 1166.8  ,     294
 1191.3  ,     650
 1215.7  ,    1042
 1240.2  ,    1362
 1264.6  ,    1154
 1289.0  ,     715
 1313.5  ,     379
 1337.9  ,     187
 1362.4  ,     172
 1386.8  ,     255
 1411.2  ,     538
 1435.7  ,     985
 1460.1  ,    1448
 1484.6  ,    1541
 1509.0  ,    1183
 1533.4  ,     611
 1557.9  ,     374
 1582.3  ,     257
 1606.8  ,     309
 1631.2  ,     608
 1655.7  ,    1611
 1680.1  ,    3313
 1704.5  ,    5425
 1729.0  ,    6532
 1753.4  ,    5486
 1777.9  ,    3316
 1802.3  ,    1536
 1826.7  ,     703
 1851.2  ,     355
 1875.6  ,     251
 1900.1  ,     149
 1924.5  ,     117
 1948.9  ,     117
 1973.4  ,     115
 1997.8  ,     124
 2022.3  ,     106
 2046.7  ,     114
 2071.1  ,      70
 2095.6  ,      53
 2120.0  ,      49
 2144.5  ,      57
 2168.9  ,      63
 2193.3  ,      78
 2217.8  ,     135
 2242.2  ,     244
 2266.7  ,     358
 2291.1  ,     437
 2315.5  ,     466
 2340.0  ,     308
 2364.4  ,     198
 2388.9  ,      82
 2413.3  ,      52
 2437.8  ,      40
 2462.2  ,      70
 2486.6  ,      54
 2511.1  ,      63
 2535.5  ,      86
 2560.0  ,     133
 2584.4  ,     165
 2608.8  ,     227
 2633.3  ,     189
 2657.7  ,     156
 2682.2  ,      70
 2706.6  ,      46
 2731.0  ,      27
 2755.5  ,      29
 2779.9  ,      37
 2804.4  ,      31
 2828.8  ,      42
 2853.2  ,      27
 2877.7  ,      36
 2902.1  ,      33
 2926.6  ,      45
 2951.0  ,      37
 2975.4  ,      32
 2999.9  ,      36
 3024.3  ,      21
 3048.8  ,      14
 3073.2  ,      11
 3097.7  ,      25
 3122.1  ,      12
 3146.5  ,      19
 3171.0  ,      20
 3195.4  ,      29
 3219.9  ,      24
 3244.3  ,      32
 3268.7  ,      59
 3293.2  ,      44
 3317.6  ,      73
 3342.1  ,      57
 3366.5  ,      56
 3390.9  ,      27
 3415.4  ,      21
 3439.8  ,      23
 3464.3  ,      17
 3488.7  ,      21
 3513.1  ,      34
 3537.6  ,      40
 3562.0  ,      59
 3586.5  ,      95
 3610.9  ,     178
 3635.3  ,     246
 3659.8  ,     325
 3684.2  ,     393
