"Target: Sayunei_RP_center, Contains DAT files: APA_412192430ESC01660052270_______M2.DAT"
  487.0  ,   14539
  511.4  ,       0
  535.7  ,       0
  560.1  ,       0
  584.5  ,       0
  608.9  ,      89
  633.2  ,    3521
  657.6  ,    3987
  682.0  ,    4144
  706.4  ,    4152
  730.7  ,    4009
  755.1  ,    3714
  779.5  ,    3802
  803.9  ,    3689
  828.2  ,    3692
  852.6  ,    3858
  877.0  ,    4125
  901.3  ,    4416
  925.7  ,    5316
  950.1  ,    6718
  974.5  ,    8952
  998.8  ,   11408
 1023.2  ,   13077
 1047.6  ,   12882
 1072.0  ,   11495
 1096.3  ,    9837
 1120.7  ,   10221
 1145.1  ,   13595
 1169.5  ,   20917
 1193.8  ,   31369
 1218.2  ,   40792
 1242.6  ,   45215
 1266.9  ,   41892
 1291.3  ,   32465
 1315.7  ,   22491
 1340.1  ,   16639
 1364.4  ,   16271
 1388.8  ,   21813
 1413.2  ,   33250
 1437.6  ,   47333
 1461.9  ,   58396
 1486.3  ,   59537
 1510.7  ,   51593
 1535.1  ,   38785
 1559.4  ,   27589
 1583.8  ,   24331
 1608.2  ,   32063
 1632.6  ,   55678
 1656.9  ,   97502
 1681.3  ,  153904
 1705.7  ,  205044
 1730.0  ,  224107
 1754.4  ,  204322
 1778.8  ,  155524
 1803.2  ,  100166
 1827.5  ,   56505
 1851.9  ,   30122
 1876.3  ,   16400
 1900.7  ,   10215
 1925.0  ,    7323
 1949.4  ,    5991
 1973.8  ,    5893
 1998.2  ,    5858
 2022.5  ,    5517
 2046.9  ,    4833
 2071.3  ,    4219
 2095.6  ,    3608
 2120.0  ,    3544
 2144.4  ,    4054
 2168.8  ,    5637
 2193.1  ,    9049
 2217.5  ,   14550
 2241.9  ,   22299
 2266.3  ,   30596
 2290.6  ,   34995
 2315.0  ,   34083
 2339.4  ,   28399
 2363.8  ,   19849
 2388.1  ,   12779
 2412.5  ,    7969
 2436.9  ,    5359
 2461.2  ,    4353
 2485.6  ,    4084
 2510.0  ,    4271
 2534.4  ,    4629
 2558.7  ,    5605
 2583.1  ,    6463
 2607.5  ,    6778
 2631.9  ,    6534
 2656.2  ,    5574
 2680.6  ,    4011
 2705.0  ,    2729
 2729.4  ,    1749
 2753.7  ,    1378
 2778.1  ,    1233
 2802.5  ,    1294
 2826.8  ,    1207
 2851.2  ,    1229
 2875.6  ,    1228
 2900.0  ,    1093
 2924.3  ,    1127
 2948.7  ,    1074
 2973.1  ,     987
 2997.5  ,     929
 3021.8  ,     775
 3046.2  ,     786
 3070.6  ,     751
 3095.0  ,     687
 3119.3  ,     724
 3143.7  ,     754
 3168.1  ,     922
 3192.4  ,    1062
 3216.8  ,    1334
 3241.2  ,    1786
 3265.6  ,    2105
 3289.9  ,    2425
 3314.3  ,    2546
 3338.7  ,    2438
 3363.1  ,    1996
 3387.4  ,    1719
 3411.8  ,    1369
 3436.2  ,    1237
 3460.6  ,    1307
 3484.9  ,    1582
 3509.3  ,    2219
 3533.7  ,    3467
 3558.0  ,    5688
 3582.4  ,    9404
 3606.8  ,   14706
 3631.2  ,   20852
 3655.5  ,   26242
 3679.9  ,   28029
 3704.3  ,   25929
 3728.7  ,   21363
 3753.0  ,   15029
 3777.4  ,    9155
 3801.8  ,    5149
 3826.2  ,    2682
 3850.5  ,    1628
 3874.9  ,    1456
 3899.3  ,    1603
 3923.7  ,    2152
 3948.0  ,    2922
 3972.4  ,    3689
 3996.8  ,    3868
 4021.1  ,    3879
 4045.5  ,    3464
 4069.9  ,    2771
 4094.3  ,    2102
 4118.6  ,    1405
 4143.0  ,    1000
 4167.4  ,     758
 4191.8  ,     552
 4216.1  ,     504
 4240.5  ,     453
 4264.9  ,     457
 4289.3  ,     508
 4313.6  ,     512
 4338.0  ,     538
 4362.4  ,     684
 4386.7  ,     948
 4411.1  ,    1310
 4435.5  ,    1619
 4459.9  ,    2099
 4484.2  ,    2416
 4508.6  ,    2443
 4533.0  ,    2203
 4557.4  ,    1827
 4581.7  ,    1513
 4606.1  ,    1256
 4630.5  ,    1042
 4654.9  ,     942
 4679.2  ,     835
 4703.6  ,     738
 4728.0  ,     615
 4752.3  ,     579
 4776.7  ,     548
 4801.1  ,     549
 4825.5  ,     573
 4849.8  ,     608
 4874.2  ,     680
 4898.6  ,     746
 4923.0  ,     785
 4947.3  ,     734
 4971.7  ,     694
 4996.1  ,     616
 5020.5  ,     624
 5044.8  ,     536
 5069.2  ,     462
 5093.6  ,     512
 5117.9  ,     491
 5142.3  ,     507
 5166.7  ,     489
 5191.1  ,     558
 5215.4  ,     570
 5239.8  ,     662
 5264.2  ,     729
 5288.6  ,     856
 5312.9  ,    1095
 5337.3  ,    1319
 5361.7  ,    1566
 5386.1  ,    1670
 5410.4  ,    1689
 5434.8  ,    1412
 5459.2  ,    1358
 5483.5  ,    1033
 5507.9  ,     884
 5532.3  ,     680
 5556.7  ,     643
 5581.0  ,     588
 5605.4  ,     634
 5629.8  ,     637
 5654.2  ,     639
 5678.5  ,     667
 5702.9  ,     682
 5727.3  ,     774
 5751.7  ,     894
 5776.0  ,    1134
 5800.4  ,    1379
 5824.8  ,    1639
 5849.2  ,    1953
 5873.5  ,    2065
 5897.9  ,    2124
 5922.3  ,    2034
 5946.6  ,    1869
 5971.0  ,    1649
 5995.4  ,    1502
 6019.8  ,    1343
 6044.1  ,    1428
 6068.5  ,    1443
 6092.9  ,    1586
 6117.3  ,    1924
 6141.6  ,    2348
 6166.0  ,    3473
 6190.4  ,    5498
 6214.8  ,    9860
 6239.1  ,   17210
 6263.5  ,   30501
 6287.9  ,   48313
 6312.2  ,   70263
 6336.6  ,   92891
 6361.0  ,  108379
 6385.4  ,  114573
 6409.7  ,  106333
 6434.1  ,   89365
 6458.5  ,   65469
 6482.9  ,   43064
 6507.2  ,   25836
 6531.6  ,   13873
 6556.0  ,    6731
 6580.4  ,    3096
 6604.7  ,    1513
 6629.1  ,     924
 6653.5  ,     653
 6677.8  ,     606
 6702.2  ,     606
 6726.6  ,     649
 6751.0  ,     722
 6775.3  ,     778
 6799.7  ,    1001
 6824.1  ,    1302
 6848.5  ,    1721
 6872.8  ,    2516
 6897.2  ,    3942
 6921.6  ,    6050
 6946.0  ,    8967
 6970.3  ,   12458
 6994.7  ,   15394
 7019.1  ,   17520
 7043.4  ,   18122
 7067.8  ,   17070
 7092.2  ,   14013
 7116.6  ,   10591
 7140.9  ,    7111
 7165.3  ,    4506
 7189.7  ,    2633
 7214.1  ,    1344
 7238.4  ,     691
 7262.8  ,     463
 7287.2  ,     329
 7311.6  ,     306
 7335.9  ,     379
 7360.3  ,     464
 7384.7  ,     631
 7409.0  ,     679
 7433.4  ,     779
 7457.8  ,     768
 7482.2  ,     755
 7506.5  ,     697
 7530.9  ,     541
 7555.3  ,     433
 7579.7  ,     343
 7604.0  ,     234
 7628.4  ,     209
 7652.8  ,     198
 7677.2  ,     190
 7701.5  ,     195
 7725.9  ,     197
 7750.3  ,     201
 7774.6  ,     206
 7799.0  ,     190
 7823.4  ,     207
 7847.8  ,     201
 7872.1  ,     200
 7896.5  ,     207
 7920.9  ,     194
 7945.3  ,     214
 7969.6  ,     190
 7994.0  ,     196
 8018.4  ,     214
 8042.8  ,     222
 8067.1  ,     220
 8091.5  ,     243
 8115.9  ,     214
 8140.3  ,     219
 8164.6  ,     248
 8189.0  ,     227
 8213.4  ,     259
 8237.7  ,     289
 8262.1  ,     280
 8286.5  ,     260
 8310.9  ,     262
 8335.2  ,     253
 8359.6  ,     216
 8384.0  ,     188
 8408.4  ,     215
 8432.7  ,     265
 8457.1  ,     310
 8481.5  ,     422
 8505.9  ,     569
 8530.2  ,     768
 8554.6  ,     911
 8579.0  ,    1129
 8603.3  ,    1228
 8627.7  ,    1186
 8652.1  ,    1153
 8676.5  ,     980
 8700.8  ,     760
 8725.2  ,     609
 8749.6  ,     426
 8774.0  ,     286
 8798.3  ,     252
 8822.7  ,     223
 8847.1  ,     158
 8871.5  ,     168
 8895.8  ,     171
 8920.2  ,     203
 8944.6  ,     192
 8968.9  ,     164
 8993.3  ,     191
 9017.7  ,     214
 9042.1  ,     184
 9066.4  ,     159
 9090.8  ,     158
 9115.2  ,     180
 9139.6  ,     170
 9163.9  ,     167
 9188.3  ,     205
 9212.7  ,     190
 9237.1  ,     192
 9261.4  ,     220
 9285.8  ,     168
 9310.2  ,     187
 9334.5  ,     175
 9358.9  ,     185
 9383.3  ,     180
 9407.7  ,     212
 9432.0  ,     233
 9456.4  ,     221
 9480.8  ,     265
 9505.2  ,     266
 9529.5  ,     328
 9553.9  ,     329
 9578.3  ,     394
 9602.7  ,     330
 9627.0  ,     280
 9651.4  ,     246
 9675.8  ,     251
 9700.1  ,     223
 9724.5  ,     258
 9748.9  ,     248
 9773.3  ,     285
 9797.6  ,     316
 9822.0  ,     316
 9846.4  ,     335
 9870.8  ,     316
 9895.1  ,     334
 9919.5  ,     304
 9943.9  ,     300
 9968.3  ,     280
 9992.6  ,     239
10017.0  ,     205
10041.4  ,     171
10065.8  ,     156
10090.1  ,     134
10114.5  ,     152
10138.9  ,     185
10163.2  ,     153
10187.6  ,     154
10212.0  ,     159
10236.4  ,     145
10260.7  ,     166
10285.1  ,     166
10309.5  ,     148
10333.9  ,     154
10358.2  ,     164
10382.6  ,     168
10407.0  ,     176
10431.4  ,     164
10455.7  ,     173
10480.1  ,     171
10504.5  ,     173
10528.8  ,     172
10553.2  ,     181
10577.6  ,     203
10602.0  ,     163
10626.3  ,     173
10650.7  ,     152
10675.1  ,     161
10699.5  ,     155
10723.8  ,     187
10748.2  ,     159
10772.6  ,     149
10797.0  ,     188
10821.3  ,     197
10845.7  ,     162
10870.1  ,     162
10894.4  ,     215
10918.8  ,     197
10943.2  ,     215
10967.6  ,     206
10991.9  ,     201
11016.3  ,     201
11040.7  ,     200
11065.1  ,     199
11089.4  ,     180
11113.8  ,     165
11138.2  ,     181
11162.6  ,     191
11186.9  ,     178
11211.3  ,     231
11235.7  ,     203
11260.0  ,     207
11284.4  ,     227
11308.8  ,     233
11333.2  ,     233
11357.5  ,     231
11381.9  ,     233
11406.3  ,     221
11430.7  ,     280
11455.0  ,     263
11479.4  ,     307
11503.8  ,     283
11528.2  ,     324
11552.5  ,     311
11576.9  ,     313
11601.3  ,     325
11625.6  ,     303
11650.0  ,     296
11674.4  ,     323
11698.8  ,     357
11723.1  ,     408
11747.5  ,     480
11771.9  ,     566
11796.3  ,     661
11820.6  ,     729
11845.0  ,     781
