"Target: Drill_RP, Contains DAT files: APA_412405219ESC01680060000_______M2.DAT"
  489.8  ,     670
  514.2  ,       0
  538.7  ,       0
  563.1  ,       0
  587.5  ,       0
  612.0  ,     116
  636.4  ,       0
  660.8  ,       0
  685.3  ,       0
  709.7  ,       1
  734.2  ,     156
  758.6  ,     208
  783.0  ,     188
  807.5  ,     211
  831.9  ,     224
  856.3  ,     230
  880.8  ,     258
  905.2  ,     287
  929.6  ,     338
  954.1  ,     452
  978.5  ,     485
 1002.9  ,     492
 1027.4  ,     550
 1051.8  ,     622
 1076.2  ,     633
 1100.7  ,     691
 1125.1  ,     821
 1149.5  ,     973
 1174.0  ,    1207
 1198.4  ,    1383
 1222.9  ,    1608
 1247.3  ,    1673
 1271.7  ,    1700
 1296.2  ,    1545
 1320.6  ,    1373
 1345.0  ,    1363
 1369.5  ,    1442
 1393.9  ,    1683
 1418.3  ,    1912
 1442.8  ,    2170
 1467.2  ,    2305
 1491.6  ,    2347
 1516.1  ,    2294
 1540.5  ,    2317
 1564.9  ,    2395
 1589.4  ,    2762
 1613.8  ,    3537
 1638.2  ,    4552
 1662.7  ,    5755
 1687.1  ,    6964
 1711.6  ,    7808
 1736.0  ,    7935
 1760.4  ,    7551
 1784.9  ,    6497
 1809.3  ,    5285
 1833.7  ,    3848
 1858.2  ,    2750
 1882.6  ,    1673
 1907.0  ,    1067
 1931.5  ,     748
 1955.9  ,     468
 1980.3  ,     342
 2004.8  ,     285
 2029.2  ,     263
 2053.6  ,     227
 2078.1  ,     183
 2102.5  ,     208
 2127.0  ,     245
 2151.4  ,     281
 2175.8  ,     321
 2200.3  ,     467
 2224.7  ,     569
 2249.1  ,     673
 2273.6  ,     743
 2298.0  ,     784
 2322.4  ,     693
 2346.9  ,     690
 2371.3  ,     536
 2395.7  ,     417
 2420.2  ,     373
 2444.6  ,     255
 2469.0  ,     221
 2493.5  ,     217
 2517.9  ,     219
 2542.3  ,     232
 2566.8  ,     230
 2591.2  ,     265
 2615.7  ,     261
 2640.1  ,     220
 2664.5  ,     226
 2689.0  ,     150
 2713.4  ,     151
 2737.8  ,     122
 2762.3  ,      78
 2786.7  ,      74
 2811.1  ,      67
 2835.6  ,      58
 2860.0  ,      56
 2884.4  ,      57
 2908.9  ,      50
 2933.3  ,      42
 2957.7  ,      42
 2982.2  ,      42
 3006.6  ,      47
 3031.0  ,      41
 3055.5  ,      33
 3079.9  ,      28
 3104.4  ,      36
 3128.8  ,      45
 3153.2  ,      50
 3177.7  ,      65
 3202.1  ,      74
 3226.5  ,      86
 3251.0  ,      89
 3275.4  ,     106
 3299.8  ,     133
 3324.3  ,     126
 3348.7  ,     121
 3373.1  ,     102
 3397.6  ,      93
 3422.0  ,      93
 3446.4  ,      80
 3470.9  ,     101
 3495.3  ,     113
 3519.8  ,     182
 3544.2  ,     238
 3568.6  ,     376
 3593.1  ,     463
 3617.5  ,     551
 3641.9  ,     670
 3666.4  ,     746
 3690.8  ,     729
 3715.2  ,     649
 3739.7  ,     651
 3764.1  ,     489
 3788.5  ,     346
 3813.0  ,     263
 3837.4  ,     186
 3861.8  ,     143
 3886.3  ,     105
 3910.7  ,     100
 3935.1  ,      98
 3959.6  ,     119
 3984.0  ,     112
 4008.5  ,     101
 4032.9  ,     137
 4057.3  ,     103
 4081.8  ,     110
 4106.2  ,      79
 4130.6  ,      56
 4155.1  ,      56
 4179.5  ,      47
 4203.9  ,      25
 4228.4  ,      22
 4252.8  ,      24
 4277.2  ,      19
 4301.7  ,      37
 4326.1  ,      45
 4350.5  ,      32
 4375.0  ,      64
 4399.4  ,      61
 4423.8  ,      83
 4448.3  ,      83
 4472.7  ,     112
 4497.2  ,     130
 4521.6  ,     108
 4546.0  ,      85
 4570.5  ,     116
 4594.9  ,      75
 4619.3  ,      66
 4643.8  ,      71
 4668.2  ,      49
 4692.6  ,      46
 4717.1  ,      37
 4741.5  ,      29
 4765.9  ,      32
 4790.4  ,      37
 4814.8  ,      29
 4839.2  ,      31
 4863.7  ,      36
 4888.1  ,      53
 4912.6  ,      36
 4937.0  ,      46
 4961.4  ,      39
 4985.9  ,      35
 5010.3  ,      28
 5034.7  ,      34
 5059.2  ,      29
 5083.6  ,      26
 5108.0  ,      30
 5132.5  ,      23
 5156.9  ,      25
 5181.3  ,      32
 5205.8  ,      25
 5230.2  ,      45
 5254.6  ,      47
 5279.1  ,      57
 5303.5  ,      55
 5327.9  ,      69
 5352.4  ,      70
 5376.8  ,      65
 5401.3  ,      62
 5425.7  ,      58
 5450.1  ,      59
 5474.6  ,      74
 5499.0  ,      50
 5523.4  ,      43
 5547.9  ,      40
 5572.3  ,      39
 5596.7  ,      47
 5621.2  ,      41
 5645.6  ,      40
 5670.0  ,      35
 5694.5  ,      49
 5718.9  ,      48
 5743.3  ,      49
 5767.8  ,      61
 5792.2  ,      75
 5816.7  ,     100
 5841.1  ,     108
 5865.5  ,     126
 5890.0  ,      88
 5914.4  ,     122
 5938.8  ,     117
 5963.3  ,     119
 5987.7  ,     102
 6012.1  ,      82
 6036.6  ,     114
 6061.0  ,     104
 6085.4  ,     136
 6109.9  ,     155
 6134.3  ,     239
 6158.7  ,     336
 6183.2  ,     551
 6207.6  ,    1013
 6232.0  ,    1441
 6256.5  ,    2090
 6280.9  ,    2814
 6305.4  ,    3636
 6329.8  ,    4291
 6354.2  ,    4969
 6378.7  ,    5175
 6403.1  ,    5101
 6427.5  ,    4616
 6452.0  ,    3841
 6476.4  ,    3134
 6500.8  ,    2329
 6525.3  ,    1677
 6549.7  ,    1059
 6574.1  ,     648
 6598.6  ,     408
 6623.0  ,     230
 6647.4  ,     130
 6671.9  ,      74
 6696.3  ,      57
 6720.7  ,      34
 6745.2  ,      54
 6769.6  ,      60
 6794.1  ,      73
 6818.5  ,     106
 6842.9  ,     143
 6867.4  ,     233
 6891.8  ,     287
 6916.2  ,     398
 6940.7  ,     568
 6965.1  ,     645
 6989.5  ,     694
 7014.0  ,     833
 7038.4  ,     862
 7062.8  ,     861
 7087.3  ,     717
 7111.7  ,     618
 7136.1  ,     521
 7160.6  ,     399
 7185.0  ,     246
 7209.5  ,     171
 7233.9  ,     134
 7258.3  ,      73
 7282.8  ,      43
 7307.2  ,      30
 7331.6  ,      20
 7356.1  ,      28
 7380.5  ,      26
 7404.9  ,      34
 7429.4  ,      29
 7453.8  ,      45
 7478.2  ,      37
 7502.7  ,      33
 7527.1  ,      24
 7551.5  ,      23
 7576.0  ,      13
 7600.4  ,      19
 7624.8  ,      21
 7649.3  ,      14
 7673.7  ,      11
 7698.2  ,       9
 7722.6  ,      16
 7747.0  ,       9
 7771.5  ,      13
 7795.9  ,       9
 7820.3  ,      12
 7844.8  ,      11
 7869.2  ,      10
 7893.6  ,      15
 7918.1  ,       9
 7942.5  ,      16
 7966.9  ,      13
 7991.4  ,      10
 8015.8  ,      14
 8040.2  ,      12
 8064.7  ,      14
 8089.1  ,       6
 8113.5  ,      10
 8138.0  ,      15
 8162.4  ,      11
 8186.9  ,      13
 8211.3  ,      10
 8235.7  ,      15
 8260.2  ,       7
 8284.6  ,      19
 8309.0  ,      14
 8333.5  ,       8
 8357.9  ,       8
 8382.3  ,       5
 8406.8  ,      19
 8431.2  ,      16
 8455.6  ,      23
 8480.1  ,      29
 8504.5  ,      39
 8528.9  ,      43
 8553.4  ,      41
 8577.8  ,      50
 8602.3  ,      54
 8626.7  ,      85
 8651.1  ,      48
 8675.6  ,      63
 8700.0  ,      44
 8724.4  ,      47
 8748.9  ,      28
 8773.3  ,      23
 8797.7  ,      20
 8822.2  ,      19
 8846.6  ,      13
 8871.0  ,       7
 8895.5  ,       7
 8919.9  ,      14
 8944.3  ,      13
 8968.8  ,      10
 8993.2  ,      16
 9017.6  ,      12
 9042.1  ,       5
 9066.5  ,       7
 9091.0  ,      11
 9115.4  ,       8
 9139.8  ,      12
 9164.3  ,       9
 9188.7  ,      10
 9213.1  ,      12
 9237.6  ,      11
 9262.0  ,       7
 9286.4  ,       9
 9310.9  ,      15
 9335.3  ,      11
 9359.7  ,       5
 9384.2  ,      14
 9408.6  ,       9
 9433.0  ,      14
 9457.5  ,      15
 9481.9  ,      18
 9506.3  ,      15
 9530.8  ,      16
 9555.2  ,      12
 9579.7  ,      17
 9604.1  ,      12
 9628.5  ,      18
 9653.0  ,      19
 9677.4  ,      11
 9701.8  ,      14
 9726.3  ,      20
 9750.7  ,      15
 9775.1  ,      12
 9799.6  ,      14
 9824.0  ,      18
 9848.4  ,      14
 9872.9  ,      16
 9897.3  ,      11
 9921.7  ,      10
 9946.2  ,      10
 9970.6  ,      12
 9995.1  ,       8
10019.5  ,       7
10043.9  ,      12
10068.4  ,       7
10092.8  ,       4
10117.2  ,       5
10141.7  ,       8
10166.1  ,      11
10190.5  ,       5
10215.0  ,       7
10239.4  ,       1
10263.8  ,       6
10288.3  ,       8
10312.7  ,       7
10337.1  ,       9
10361.6  ,      12
10386.0  ,       9
10410.4  ,       8
10434.9  ,      10
10459.3  ,       9
10483.8  ,      12
10508.2  ,       5
10532.6  ,      11
10557.1  ,       8
10581.5  ,      10
10605.9  ,      14
10630.4  ,       9
10654.8  ,      10
10679.2  ,      10
10703.7  ,       9
10728.1  ,       8
10752.5  ,       9
10777.0  ,       6
10801.4  ,      14
10825.8  ,      11
10850.3  ,      15
10874.7  ,       4
10899.1  ,      10
10923.6  ,      12
10948.0  ,       8
10972.5  ,      10
10996.9  ,      12
11021.3  ,       9
11045.8  ,      11
11070.2  ,      13
11094.6  ,       9
11119.1  ,       6
11143.5  ,      10
11167.9  ,      12
11192.4  ,       8
11216.8  ,      11
11241.2  ,       8
11265.7  ,      16
11290.1  ,      13
11314.5  ,      11
11339.0  ,      17
11363.4  ,      13
11387.9  ,      12
11412.3  ,      12
11436.7  ,      14
11461.2  ,      17
11485.6  ,      11
11510.0  ,      16
11534.5  ,      22
11558.9  ,      17
11583.3  ,      15
11607.8  ,      13
11632.2  ,      14
11656.6  ,      16
11681.1  ,      19
11705.5  ,      42
11729.9  ,      48
11754.4  ,      59
11778.8  ,      59
11803.2  ,      78
11827.7  ,      93
11852.1  ,      99
11876.6  ,     117
11901.0  ,     121
11925.4  ,     107
11949.9  ,      99
11974.3  ,      90
11998.7  ,      85
12023.2  ,      74
12047.6  ,      64
12072.0  ,      57
12096.5  ,      39
12120.9  ,      38
12145.3  ,      24
12169.8  ,      32
12194.2  ,      20
12218.6  ,      19
12243.1  ,      25
12267.5  ,      21
12291.9  ,      21
12316.4  ,      14
12340.8  ,      12
12365.3  ,      15
12389.7  ,      13
12414.1  ,       9
12438.6  ,      14
12463.0  ,      10
12487.4  ,      13
12511.9  ,       9
12536.3  ,       7
12560.7  ,      19
12585.2  ,      18
12609.6  ,      21
12634.0  ,      15
12658.5  ,      16
12682.9  ,      16
12707.3  ,      10
12731.8  ,      18
12756.2  ,       7
12780.7  ,      16
12805.1  ,      26
12829.5  ,      26
12854.0  ,      22
12878.4  ,      24
12902.8  ,      22
12927.3  ,      21
12951.7  ,      20
12976.1  ,      32
13000.6  ,      36
13025.0  ,      38
13049.4  ,      41
13073.9  ,      48
13098.3  ,      41
13122.7  ,      53
13147.2  ,      50
13171.6  ,      68
13196.0  ,      87
13220.5  ,      78
13244.9  ,      88
13269.4  ,      92
13293.8  ,     100
13318.2  ,     102
13342.7  ,     112
13367.1  ,     138
13391.5  ,     133
13416.0  ,     115
13440.4  ,     128
13464.8  ,     155
13489.3  ,     135
13513.7  ,     146
13538.1  ,     146
13562.6  ,     115
13587.0  ,     157
13611.4  ,     136
13635.9  ,     143
13660.3  ,     120
13684.8  ,     113
13709.2  ,     104
13733.6  ,      78
13758.1  ,      97
13782.5  ,      79
13806.9  ,      72
13831.4  ,      68
13855.8  ,      78
13880.2  ,      66
13904.7  ,      53
13929.1  ,      63
13953.5  ,      66
13978.0  ,      72
14002.4  ,      72
14026.8  ,      69
14051.3  ,      89
14075.7  ,      94
14100.1  ,     119
14124.6  ,     128
14149.0  ,     165
14173.5  ,     171
14197.9  ,     196
14222.3  ,     211
14246.8  ,     198
14271.2  ,     206
14295.6  ,     243
14320.1  ,     190
14344.5  ,     168
14368.9  ,     165
14393.4  ,     133
14417.8  ,     101
14442.2  ,      87
14466.7  ,      47
14491.1  ,      47
14515.5  ,      36
14540.0  ,      23
14564.4  ,      21
14588.8  ,      19
14613.3  ,      14
14637.7  ,      11
14662.2  ,      11
14686.6  ,       9
14711.0  ,      15
14735.5  ,       9
14759.9  ,      15
14784.3  ,      11
14808.8  ,      12
14833.2  ,      11
14857.6  ,      12
14882.1  ,      22
14906.5  ,      17
14930.9  ,      11
14955.4  ,      22
14979.8  ,      15
15004.2  ,      16
15028.7  ,      19
15053.1  ,      26
15077.6  ,      20
15102.0  ,      13
15126.4  ,      23
15150.9  ,      26
15175.3  ,      19
15199.7  ,      27
15224.2  ,      22
15248.6  ,      20
15273.0  ,      23
15297.5  ,      22
15321.9  ,      21
15346.3  ,      23
15370.8  ,      23
15395.2  ,      34
15419.6  ,      36
15444.1  ,      27
15468.5  ,      28
15492.9  ,      34
15517.4  ,      54
15541.8  ,      58
15566.3  ,      80
15590.7  ,     120
15615.1  ,      96
15639.6  ,     134
15664.0  ,     153
15688.4  ,     163
15712.9  ,     190
15737.3  ,     195
15761.7  ,     193
15786.2  ,     183
15810.6  ,     196
15835.0  ,     175
15859.5  ,     169
15883.9  ,     133
15908.3  ,     119
15932.8  ,      98
15957.2  ,      93
15981.6  ,      75
16006.1  ,      62
16030.5  ,      44
16055.0  ,      46
16079.4  ,      58
16103.8  ,      64
16128.3  ,      59
16152.7  ,      66
16177.1  ,      71
16201.6  ,      65
16226.0  ,      64
16250.4  ,      73
16274.9  ,      74
16299.3  ,      68
16323.7  ,      67
16348.2  ,      90
16372.6  ,      63
16397.0  ,      68
16421.5  ,      60
16445.9  ,      60
16470.4  ,      58
16494.8  ,      68
16519.2  ,      61
16543.7  ,      66
16568.1  ,      64
16592.5  ,      76
16617.0  ,      68
16641.4  ,      72
16665.8  ,      68
16690.3  ,      82
16714.7  ,      82
16739.1  ,      79
16763.6  ,      94
16788.0  ,     101
16812.4  ,     100
16836.9  ,     114
16861.3  ,     135
16885.7  ,     109
16910.2  ,     116
16934.6  ,     137
16959.1  ,     149
16983.5  ,     166
17007.9  ,     166
17032.4  ,     169
17056.8  ,     185
17081.2  ,     167
17105.7  ,     194
17130.1  ,     190
17154.5  ,     208
17179.0  ,     176
17203.4  ,     171
17227.8  ,     204
17252.3  ,     189
17276.7  ,     178
17301.1  ,     166
17325.6  ,     146
17350.0  ,     158
17374.4  ,     122
17398.9  ,     126
17423.3  ,     133
17447.8  ,     119
17472.2  ,     103
17496.6  ,      83
17521.1  ,      86
17545.5  ,     100
17569.9  ,      81
17594.4  ,      72
17618.8  ,      82
17643.2  ,      73
17667.7  ,      53
17692.1  ,      62
17716.5  ,      78
17741.0  ,      60
17765.4  ,      60
17789.8  ,      51
17814.3  ,      59
17838.7  ,      61
17863.2  ,      39
17887.6  ,      32
17912.0  ,      35
17936.5  ,      43
17960.9  ,      33
17985.3  ,      34
18009.8  ,      41
18034.2  ,      39
18058.6  ,      53
18083.1  ,      41
18107.5  ,      60
18131.9  ,      89
18156.4  ,     103
18180.8  ,     109
18205.2  ,     126
18229.7  ,     121
18254.1  ,     165
18278.5  ,     178
18303.0  ,     169
18327.4  ,     155
18351.9  ,     151
18376.3  ,     156
18400.7  ,     140
18425.2  ,      94
18449.6  ,      72
18474.0  ,      50
18498.5  ,      43
18522.9  ,      36
18547.3  ,      37
18571.8  ,      20
18596.2  ,      15
18620.6  ,      21
18645.1  ,      14
18669.5  ,      13
18693.9  ,      12
18718.4  ,       5
18742.8  ,      17
18767.2  ,       9
18791.7  ,       8
18816.1  ,       9
18840.6  ,       9
18865.0  ,      14
18889.4  ,      13
18913.9  ,      13
18938.3  ,      11
18962.7  ,       8
18987.2  ,       6
19011.6  ,      14
19036.0  ,      13
