"Target: Brock_Inlier_RP, Contains DAT files: APA_412492605ESC01690060000_______M2.DAT"
  484.6  ,     668
  509.1  ,       0
  533.5  ,       0
  558.0  ,       0
  582.4  ,       0
  606.9  ,     116
  631.3  ,       0
  655.8  ,       0
  680.2  ,      90
  704.7  ,     189
  729.1  ,     180
  753.6  ,     159
  778.0  ,     157
  802.5  ,     160
  826.9  ,     154
  851.4  ,     159
  875.8  ,     181
  900.3  ,     205
  924.7  ,     212
  949.2  ,     277
  973.6  ,     379
  998.1  ,     572
 1022.5  ,     616
 1047.0  ,     632
 1071.4  ,     505
 1095.9  ,     349
 1120.3  ,     349
 1144.8  ,     456
 1169.3  ,     732
 1193.7  ,    1396
 1218.2  ,    2039
 1242.6  ,    2427
 1267.1  ,    2092
 1291.5  ,    1430
 1316.0  ,     829
 1340.4  ,     507
 1364.9  ,     487
 1389.3  ,     779
 1413.8  ,    1406
 1438.2  ,    2407
 1462.7  ,    3100
 1487.1  ,    3157
 1511.6  ,    2490
 1536.0  ,    1646
 1560.5  ,     937
 1584.9  ,     776
 1609.4  ,     954
 1633.8  ,    2002
 1658.3  ,    4235
 1682.7  ,    7531
 1707.2  ,   10999
 1731.6  ,   12329
 1756.1  ,   10457
 1780.5  ,    6968
 1805.0  ,    3585
 1829.4  ,    1781
 1853.9  ,     902
 1878.4  ,     500
 1902.8  ,     320
 1927.3  ,     281
 1951.7  ,     252
 1976.2  ,     241
 2000.6  ,     274
 2025.1  ,     239
 2049.5  ,     177
 2074.0  ,     171
 2098.4  ,     111
 2122.9  ,      93
 2147.3  ,      98
 2171.8  ,     117
 2196.2  ,     168
 2220.7  ,     277
 2245.1  ,     465
 2269.6  ,     667
 2294.0  ,     854
 2318.5  ,     753
 2342.9  ,     520
 2367.4  ,     344
 2391.8  ,     189
 2416.3  ,     111
 2440.7  ,     108
 2465.2  ,     101
 2489.6  ,     116
 2514.1  ,     123
 2538.6  ,     176
 2563.0  ,     224
 2587.5  ,     284
 2611.9  ,     300
 2636.4  ,     265
 2660.8  ,     244
 2685.3  ,     143
 2709.7  ,      67
 2734.2  ,      65
 2758.6  ,      48
 2783.1  ,      48
 2807.5  ,      55
