"Target: APXS_Drill_Site_Raster_Integration_Site3, Contains DAT files: APB_417934656ESC02300060000_______M2.DAT"
  483.3  ,    1329
  507.7  ,       0
  532.1  ,       0
  556.5  ,       0
  581.0  ,       0
  605.4  ,     116
  629.8  ,       0
  654.2  ,       0
  678.6  ,       0
  703.0  ,      83
  727.4  ,     152
  751.8  ,     111
  776.3  ,     112
  800.7  ,     119
  825.1  ,     114
  849.5  ,     100
  873.9  ,     129
  898.3  ,     147
  922.7  ,     154
  947.1  ,     216
  971.6  ,     252
  996.0  ,     320
 1020.4  ,     352
 1044.8  ,     348
 1069.2  ,     331
 1093.6  ,     301
 1118.0  ,     305
 1142.4  ,     408
 1166.9  ,     552
 1191.3  ,     842
 1215.7  ,    1074
 1240.1  ,    1218
 1264.5  ,    1154
 1288.9  ,     905
 1313.3  ,     692
 1337.7  ,     503
 1362.2  ,     487
 1386.6  ,     614
 1411.0  ,     965
 1435.4  ,    1307
 1459.8  ,    1565
 1484.2  ,    1580
 1508.6  ,    1419
 1533.0  ,    1193
 1557.5  ,     840
 1581.9  ,     764
 1606.3  ,     970
 1630.7  ,    1644
 1655.1  ,    2816
 1679.5  ,    4245
 1703.9  ,    5655
 1728.3  ,    6134
 1752.8  ,    5731
 1777.2  ,    4490
 1801.6  ,    2858
 1826.0  ,    1744
 1850.4  ,     940
 1874.8  ,     501
 1899.2  ,     335
 1923.6  ,     196
 1948.1  ,     174
 1972.5  ,     170
 1996.9  ,     173
 2021.3  ,     157
 2045.7  ,     150
 2070.1  ,     130
 2094.5  ,     101
 2118.9  ,      84
 2143.4  ,      90
 2167.8  ,     114
 2192.2  ,     148
 2216.6  ,     242
 2241.0  ,     346
 2265.4  ,     438
 2289.8  ,     498
 2314.2  ,     492
 2338.7  ,     448
 2363.1  ,     318
 2387.5  ,     198
 2411.9  ,     122
 2436.3  ,     100
 2460.7  ,      71
 2485.1  ,      97
 2509.5  ,      87
 2534.0  ,     106
 2558.4  ,     147
 2582.8  ,     143
 2607.2  ,     163
 2631.6  ,     151
 2656.0  ,     118
 2680.4  ,      99
 2704.8  ,      81
 2729.3  ,      41
 2753.7  ,      41
 2778.1  ,      42
 2802.5  ,      37
 2826.9  ,      45
 2851.3  ,      38
 2875.7  ,      59
 2900.1  ,      70
 2924.6  ,      67
 2949.0  ,      46
 2973.4  ,      58
 2997.8  ,      44
 3022.2  ,      38
 3046.6  ,      40
 3071.0  ,      27
 3095.4  ,      33
 3119.9  ,      18
 3144.3  ,      28
 3168.7  ,      38
 3193.1  ,      44
 3217.5  ,      41
 3241.9  ,      61
 3266.3  ,      81
 3290.8  ,      81
 3315.2  ,      87
 3339.6  ,      72
 3364.0  ,      70
 3388.4  ,      52
 3412.8  ,      54
 3437.2  ,      50
 3461.6  ,      36
 3486.1  ,      44
 3510.5  ,      61
 3534.9  ,      84
 3559.3  ,     154
 3583.7  ,     223
 3608.1  ,     324
 3632.5  ,     440
 3656.9  ,     596
 3681.4  ,     625
 3705.8  ,     548
 3730.2  ,     452
 3754.6  ,     322
 3779.0  ,     204
 3803.4  ,     120
 3827.8  ,      71
 3852.2  ,      46
 3876.7  ,      40
 3901.1  ,      42
 3925.5  ,      53
 3949.9  ,      71
 3974.3  ,      78
 3998.7  ,      83
 4023.1  ,      84
 4047.5  ,      73
 4072.0  ,      53
 4096.4  ,      51
 4120.8  ,      35
 4145.2  ,      22
 4169.6  ,      22
 4194.0  ,      18
