"Target: McGrath_2, Contains DAT files: APB_421483339ESC02700060000_______M2.DAT"
  486.2  ,    1200
  510.6  ,       0
  535.1  ,       0
  559.5  ,       0
  583.9  ,       0
  608.3  ,     116
  632.8  ,       0
  657.2  ,       0
  681.6  ,       0
  706.0  ,      28
  730.5  ,     329
  754.9  ,     295
  779.3  ,     301
  803.7  ,     288
  828.2  ,     262
  852.6  ,     315
  877.0  ,     363
  901.4  ,     371
  925.9  ,     478
  950.3  ,     561
  974.7  ,     655
  999.1  ,     722
 1023.6  ,     791
 1048.0  ,     888
 1072.4  ,     863
 1096.9  ,     905
 1121.3  ,    1174
 1145.7  ,    1487
 1170.1  ,    2005
 1194.6  ,    2546
 1219.0  ,    2912
 1243.4  ,    3155
 1267.8  ,    3107
 1292.3  ,    2692
 1316.7  ,    2227
 1341.1  ,    1973
 1365.5  ,    1822
 1390.0  ,    2021
 1414.4  ,    2369
 1438.8  ,    2785
 1463.2  ,    3104
 1487.7  ,    3134
 1512.1  ,    3031
 1536.5  ,    2780
 1560.9  ,    2685
 1585.4  ,    3096
 1609.8  ,    4273
 1634.2  ,    6208
 1658.6  ,    8593
 1683.1  ,   11042
 1707.5  ,   12917
 1731.9  ,   13651
 1756.4  ,   12932
 1780.8  ,   10795
 1805.2  ,    8233
 1829.6  ,    5613
 1854.1  ,    3466
 1878.5  ,    2195
 1902.9  ,    1334
 1927.3  ,     815
 1951.8  ,     519
 1976.2  ,     417
 2000.6  ,     348
 2025.0  ,     314
 2049.5  ,     285
 2073.9  ,     220
 2098.3  ,     205
 2122.7  ,     233
 2147.2  ,     205
 2171.6  ,     279
 2196.0  ,     397
 2220.4  ,     495
 2244.9  ,     658
 2269.3  ,     752
 2293.7  ,     779
 2318.2  ,     773
 2342.6  ,     636
 2367.0  ,     594
 2391.4  ,     424
 2415.9  ,     317
 2440.3  ,     263
 2464.7  ,     255
 2489.1  ,     239
 2513.6  ,     305
 2538.0  ,     378
 2562.4  ,     446
 2586.8  ,     500
 2611.3  ,     506
 2635.7  ,     467
 2660.1  ,     416
 2684.5  ,     343
 2709.0  ,     252
 2733.4  ,     199
 2757.8  ,     151
 2782.2  ,     125
 2806.7  ,     111
 2831.1  ,      99
 2855.5  ,      94
 2879.9  ,      79
 2904.4  ,      80
 2928.8  ,      79
 2953.2  ,      71
 2977.7  ,      81
 3002.1  ,      54
 3026.5  ,      49
 3050.9  ,      61
 3075.4  ,      48
 3099.8  ,      65
 3124.2  ,      51
 3148.6  ,      47
 3173.1  ,      64
 3197.5  ,      85
 3221.9  ,      89
 3246.3  ,     108
 3270.8  ,     121
 3295.2  ,     133
 3319.6  ,     148
 3344.0  ,     109
 3368.5  ,     144
 3392.9  ,     105
 3417.3  ,      83
 3441.7  ,     101
 3466.2  ,     120
 3490.6  ,     115
 3515.0  ,     144
 3539.5  ,     240
 3563.9  ,     313
 3588.3  ,     435
 3612.7  ,     568
 3637.2  ,     647
 3661.6  ,     753
 3686.0  ,     768
 3710.4  ,     719
 3734.9  ,     600
 3759.3  ,     530
 3783.7  ,     374
 3808.1  ,     228
 3832.6  ,     157
 3857.0  ,     108
 3881.4  ,      92
 3905.8  ,     100
 3930.3  ,     103
 3954.7  ,     122
 3979.1  ,     122
 4003.5  ,     128
 4028.0  ,     146
 4052.4  ,     139
 4076.8  ,     111
 4101.2  ,      73
 4125.7  ,      78
 4150.1  ,      68
 4174.5  ,      47
 4199.0  ,      46
 4223.4  ,      54
 4247.8  ,      40
 4272.2  ,      44
 4296.7  ,      41
 4321.1  ,      49
 4345.5  ,      63
 4369.9  ,      83
 4394.4  ,      93
 4418.8  ,     114
 4443.2  ,     134
 4467.6  ,     158
 4492.1  ,     159
 4516.5  ,     164
 4540.9  ,     139
 4565.3  ,     139
 4589.8  ,     149
 4614.2  ,     103
 4638.6  ,      91
 4663.0  ,      72
 4687.5  ,      83
 4711.9  ,      60
 4736.3  ,      58
 4760.8  ,      48
 4785.2  ,      49
 4809.6  ,      40
 4834.0  ,      45
 4858.5  ,      56
 4882.9  ,      67
 4907.3  ,      57
 4931.7  ,      54
 4956.2  ,      50
 4980.6  ,      54
 5005.0  ,      51
 5029.4  ,      57
 5053.9  ,      47
 5078.3  ,      47
 5102.7  ,      51
 5127.1  ,      49
 5151.6  ,      37
 5176.0  ,      52
 5200.4  ,      53
 5224.8  ,      52
 5249.3  ,      66
 5273.7  ,      71
 5298.1  ,      80
 5322.5  ,      93
 5347.0  ,     113
 5371.4  ,     108
 5395.8  ,     108
 5420.3  ,     105
 5444.7  ,     106
 5469.1  ,     107
 5493.5  ,      83
 5518.0  ,      71
 5542.4  ,      69
 5566.8  ,      64
 5591.2  ,      59
 5615.7  ,      64
 5640.1  ,      71
 5664.5  ,      58
 5688.9  ,      79
 5713.4  ,      79
 5737.8  ,      82
 5762.2  ,     107
 5786.6  ,     136
 5811.1  ,     143
 5835.5  ,     173
 5859.9  ,     218
 5884.3  ,     205
 5908.8  ,     193
 5933.2  ,     175
 5957.6  ,     176
 5982.1  ,     161
 6006.5  ,     164
 6030.9  ,     160
 6055.3  ,     152
 6079.8  ,     171
 6104.2  ,     195
 6128.6  ,     275
 6153.0  ,     427
 6177.5  ,     741
 6201.9  ,    1174
 6226.3  ,    1895
 6250.7  ,    3079
 6275.2  ,    4268
 6299.6  ,    5924
 6324.0  ,    7395
 6348.4  ,    8917
 6372.9  ,    9491
 6397.3  ,    9576
 6421.7  ,    8896
 6446.1  ,    7630
 6470.6  ,    6105
 6495.0  ,    4244
 6519.4  ,    3002
 6543.8  ,    1788
 6568.3  ,     999
 6592.7  ,     536
 6617.1  ,     297
 6641.6  ,     149
 6666.0  ,      98
 6690.4  ,      85
 6714.8  ,      73
 6739.3  ,      85
 6763.7  ,      68
 6788.1  ,     101
 6812.5  ,     135
 6837.0  ,     185
 6861.4  ,     257
 6885.8  ,     414
 6910.2  ,     600
 6934.7  ,     791
 6959.1  ,    1075
 6983.5  ,    1307
 7007.9  ,    1459
 7032.4  ,    1607
 7056.8  ,    1559
 7081.2  ,    1457
 7105.6  ,    1170
 7130.1  ,     952
 7154.5  ,     715
 7178.9  ,     481
 7203.4  ,     265
 7227.8  ,     187
 7252.2  ,      98
 7276.6  ,      50
 7301.1  ,      44
 7325.5  ,      36
 7349.9  ,      39
 7374.3  ,      49
 7398.8  ,      45
 7423.2  ,      46
 7447.6  ,      60
 7472.0  ,      51
 7496.5  ,      43
 7520.9  ,      48
 7545.3  ,      45
 7569.7  ,      36
 7594.2  ,      31
 7618.6  ,      27
 7643.0  ,      15
 7667.4  ,      24
 7691.9  ,      20
 7716.3  ,      11
 7740.7  ,       9
 7765.1  ,      14
 7789.6  ,      14
 7814.0  ,      16
 7838.4  ,      17
 7862.9  ,      21
 7887.3  ,      13
 7911.7  ,      21
 7936.1  ,      15
 7960.6  ,      21
 7985.0  ,      13
 8009.4  ,      14
 8033.8  ,      15
 8058.3  ,      13
 8082.7  ,      18
 8107.1  ,      18
 8131.5  ,      14
 8156.0  ,      12
 8180.4  ,      26
 8204.8  ,      19
 8229.2  ,      21
 8253.7  ,      16
 8278.1  ,      21
 8302.5  ,      18
 8326.9  ,      24
 8351.4  ,      17
 8375.8  ,      18
 8400.2  ,      21
 8424.7  ,      22
 8449.1  ,      26
 8473.5  ,      35
 8497.9  ,      57
 8522.4  ,      50
 8546.8  ,      74
 8571.2  ,      99
 8595.6  ,      91
 8620.1  ,     106
 8644.5  ,     106
 8668.9  ,      99
 8693.3  ,      74
 8717.8  ,      71
 8742.2  ,      44
 8766.6  ,      49
 8791.0  ,      27
 8815.5  ,      19
 8839.9  ,      13
 8864.3  ,      12
 8888.7  ,       9
 8913.2  ,      15
 8937.6  ,      10
 8962.0  ,      12
 8986.4  ,      17
 9010.9  ,      18
 9035.3  ,      18
 9059.7  ,      11
 9084.2  ,      18
 9108.6  ,      15
 9133.0  ,      13
 9157.4  ,      13
 9181.9  ,      12
 9206.3  ,      18
 9230.7  ,      16
 9255.1  ,      15
 9279.6  ,      16
 9304.0  ,      14
 9328.4  ,      20
 9352.8  ,      20
 9377.3  ,      15
 9401.7  ,      19
 9426.1  ,      14
 9450.5  ,      22
 9475.0  ,      22
 9499.4  ,      22
 9523.8  ,      22
 9548.2  ,      22
 9572.7  ,      13
 9597.1  ,      37
 9621.5  ,      31
 9646.0  ,      24
 9670.4  ,      28
 9694.8  ,      21
 9719.2  ,      23
 9743.7  ,      22
 9768.1  ,      20
 9792.5  ,      25
 9816.9  ,      25
 9841.4  ,      30
 9865.8  ,      35
 9890.2  ,      26
 9914.6  ,      24
 9939.1  ,      14
