"Target: McGrath_center, Contains DAT files: APB_421512512ESC02710060000_______M2.DAT"
  488.2  ,   13516
  512.6  ,       0
  536.9  ,       0
  561.3  ,       0
  585.7  ,       0
  610.0  ,     116
  634.4  ,    2554
  658.8  ,    3081
  683.1  ,    3170
  707.5  ,    3297
  731.9  ,    3360
  756.2  ,    3145
  780.6  ,    3057
  805.0  ,    2925
  829.3  ,    3100
  853.7  ,    3057
  878.1  ,    3381
  902.5  ,    3614
  926.8  ,    4402
  951.2  ,    5495
  975.6  ,    6950
  999.9  ,    8690
 1024.3  ,    9363
 1048.7  ,    9409
 1073.0  ,    9140
 1097.4  ,    8621
 1121.8  ,    9808
 1146.1  ,   13532
 1170.5  ,   19781
 1194.9  ,   27319
 1219.2  ,   34378
 1243.6  ,   37589
 1268.0  ,   35127
 1292.3  ,   28714
 1316.7  ,   21370
 1341.1  ,   16143
 1365.4  ,   15234
 1389.8  ,   18690
 1414.2  ,   25512
 1438.5  ,   33896
 1462.9  ,   40249
 1487.3  ,   40676
 1511.6  ,   36568
 1536.0  ,   29962
 1560.4  ,   23836
 1584.7  ,   23667
 1609.1  ,   32443
 1633.5  ,   52859
 1657.9  ,   85070
 1682.2  ,  124171
 1706.6  ,  156990
 1731.0  ,  170779
 1755.3  ,  156393
 1779.7  ,  124743
 1804.1  ,   86082
 1828.4  ,   52170
 1852.8  ,   29717
 1877.2  ,   16627
 1901.5  ,    9829
 1925.9  ,    6268
 1950.3  ,    5022
 1974.6  ,    4275
 1999.0  ,    3916
 2023.4  ,    3730
 2047.7  ,    3360
 2072.1  ,    2791
 2096.5  ,    2350
 2120.8  ,    2057
 2145.2  ,    2274
 2169.6  ,    2717
 2193.9  ,    3988
 2218.3  ,    5801
 2242.7  ,    7991
 2267.0  ,   10181
 2291.4  ,   11503
 2315.8  ,   11122
 2340.1  ,    9720
 2364.5  ,    7422
 2388.9  ,    5069
 2413.3  ,    3536
 2437.6  ,    2523
 2462.0  ,    2236
 2486.4  ,    2382
 2510.7  ,    2875
 2535.1  ,    3568
 2559.5  ,    4547
 2583.8  ,    5532
 2608.2  ,    5736
 2632.6  ,    5642
 2656.9  ,    4727
 2681.3  ,    3586
 2705.7  ,    2570
 2730.0  ,    1803
 2754.4  ,    1330
 2778.8  ,    1138
 2803.1  ,    1133
 2827.5  ,    1070
 2851.9  ,    1066
 2876.2  ,    1030
 2900.6  ,     967
 2925.0  ,     972
 2949.3  ,     899
 2973.7  ,     873
 2998.1  ,     790
 3022.4  ,     677
 3046.8  ,     636
 3071.2  ,     533
 3095.5  ,     536
 3119.9  ,     543
 3144.3  ,     676
 3168.7  ,     670
 3193.0  ,     839
 3217.4  ,     984
 3241.8  ,    1269
 3266.1  ,    1573
 3290.5  ,    1722
 3314.9  ,    1854
 3339.2  ,    1673
 3363.6  ,    1449
 3388.0  ,    1224
 3412.3  ,    1031
 3436.7  ,     892
 3461.1  ,     933
 3485.4  ,    1101
 3509.8  ,    1434
 3534.2  ,    1848
 3558.5  ,    2978
 3582.9  ,    4394
 3607.3  ,    6441
 3631.6  ,    8706
 3656.0  ,   10355
 3680.4  ,   10957
 3704.7  ,    9989
 3729.1  ,    8714
 3753.5  ,    6428
 3777.8  ,    4264
 3802.2  ,    2687
 3826.6  ,    1609
 3850.9  ,    1051
 3875.3  ,     908
 3899.7  ,     960
 3924.1  ,    1122
 3948.4  ,    1383
 3972.8  ,    1623
 3997.2  ,    1745
 4021.5  ,    1778
 4045.9  ,    1530
 4070.3  ,    1383
 4094.6  ,    1104
 4119.0  ,     857
 4143.4  ,     647
 4167.7  ,     585
 4192.1  ,     484
 4216.5  ,     418
 4240.8  ,     453
 4265.2  ,     415
 4289.6  ,     436
 4313.9  ,     478
 4338.3  ,     545
 4362.7  ,     713
 4387.0  ,     913
 4411.4  ,    1146
 4435.8  ,    1414
 4460.1  ,    1770
 4484.5  ,    1932
 4508.9  ,    2040
 4533.2  ,    1843
 4557.6  ,    1593
 4582.0  ,    1450
 4606.3  ,    1240
 4630.7  ,    1102
 4655.1  ,     898
 4679.5  ,     865
 4703.8  ,     712
 4728.2  ,     628
 4752.6  ,     566
 4776.9  ,     518
 4801.3  ,     558
 4825.7  ,     566
 4850.0  ,     537
 4874.4  ,     609
 4898.8  ,     654
 4923.1  ,     642
 4947.5  ,     675
 4971.9  ,     630
 4996.2  ,     590
 5020.6  ,     506
 5045.0  ,     481
 5069.3  ,     485
 5093.7  ,     491
 5118.1  ,     496
 5142.4  ,     478
 5166.8  ,     541
 5191.2  ,     483
 5215.5  ,     590
 5239.9  ,     615
 5264.3  ,     691
 5288.6  ,     856
 5313.0  ,     980
 5337.4  ,    1167
 5361.7  ,    1311
 5386.1  ,    1402
 5410.5  ,    1355
 5434.9  ,    1283
 5459.2  ,    1067
 5483.6  ,     957
 5508.0  ,     845
 5532.3  ,     693
 5556.7  ,     631
 5581.1  ,     624
 5605.4  ,     635
 5629.8  ,     602
 5654.2  ,     612
 5678.5  ,     665
 5702.9  ,     708
 5727.3  ,     822
 5751.6  ,     961
 5776.0  ,    1229
 5800.4  ,    1498
 5824.7  ,    1759
 5849.1  ,    2082
 5873.5  ,    2147
 5897.8  ,    2195
 5922.2  ,    2123
 5946.6  ,    1892
 5970.9  ,    1789
 5995.3  ,    1532
 6019.7  ,    1473
 6044.0  ,    1528
 6068.4  ,    1517
 6092.8  ,    1706
