"Target: Cumberland_A_adjusted_Target1, Contains DAT files: APB_422635407ESC02830060082_______M2.DAT"
  484.8  ,    1200
  509.2  ,       0
  533.6  ,       0
  558.1  ,       0
  582.5  ,       0
  606.9  ,     116
  631.3  ,       0
  655.8  ,       0
  680.2  ,       0
  704.6  ,       7
  729.0  ,     108
  753.5  ,     111
  777.9  ,     112
  802.3  ,     122
  826.7  ,     125
  851.2  ,     116
  875.6  ,     134
  900.0  ,     157
  924.4  ,     182
  948.9  ,     265
  973.3  ,     274
  997.7  ,     285
 1022.1  ,     352
 1046.6  ,     358
 1071.0  ,     357
 1095.4  ,     373
 1119.8  ,     437
 1144.3  ,     540
 1168.7  ,     703
 1193.1  ,     858
 1217.5  ,     989
 1241.9  ,    1040
 1266.4  ,    1028
 1290.8  ,     916
 1315.2  ,     820
 1339.6  ,     731
 1364.1  ,     803
 1388.5  ,     810
 1412.9  ,    1031
 1437.3  ,    1288
 1461.8  ,    1307
 1486.2  ,    1402
 1510.6  ,    1345
 1535.0  ,    1279
 1559.5  ,    1260
 1583.9  ,    1339
 1608.3  ,    1799
 1632.7  ,    2528
 1657.2  ,    3224
 1681.6  ,    4310
 1706.0  ,    4892
 1730.4  ,    5226
 1754.9  ,    5065
 1779.3  ,    4177
 1803.7  ,    3363
 1828.1  ,    2327
 1852.6  ,    1498
 1877.0  ,     961
 1901.4  ,     538
 1925.8  ,     365
 1950.2  ,     226
 1974.7  ,     178
 1999.1  ,     133
 2023.5  ,     137
 2047.9  ,     119
 2072.4  ,     102
 2096.8  ,     110
 2121.2  ,      70
 2145.6  ,      81
 2170.1  ,      77
 2194.5  ,      87
 2218.9  ,     124
 2243.3  ,     123
 2267.8  ,     149
 2292.2  ,     175
 2316.6  ,     173
 2341.0  ,     166
 2365.5  ,     130
 2389.9  ,     113
 2414.3  ,      96
 2438.7  ,      86
 2463.2  ,      70
 2487.6  ,      77
 2512.0  ,     106
 2536.4  ,     117
 2560.9  ,     177
 2585.3  ,     157
 2609.7  ,     178
 2634.1  ,     151
 2658.5  ,     125
 2683.0  ,     127
 2707.4  ,     107
 2731.8  ,      63
 2756.2  ,      52
 2780.7  ,      47
 2805.1  ,      45
 2829.5  ,      43
 2853.9  ,      44
 2878.4  ,      50
 2902.8  ,      44
 2927.2  ,      52
 2951.6  ,      47
 2976.1  ,      39
 3000.5  ,      32
 3024.9  ,      28
 3049.3  ,      33
 3073.8  ,      39
 3098.2  ,      29
 3122.6  ,      25
 3147.0  ,      35
 3171.5  ,      25
 3195.9  ,      38
 3220.3  ,      37
 3244.7  ,      44
 3269.2  ,      72
 3293.6  ,      82
 3318.0  ,      75
 3342.4  ,      75
 3366.8  ,      55
 3391.3  ,      50
 3415.7  ,      46
 3440.1  ,      44
 3464.5  ,      55
 3489.0  ,      60
 3513.4  ,      71
 3537.8  ,     108
 3562.2  ,     165
 3586.7  ,     222
