"Target: Cumberland_DRT_RP_twk_preBrush, Contains DAT files: APB_423343606ESC02910060082_______M1.DAT"
  488.5  ,     540
  512.9  ,       0
  537.4  ,       0
  561.8  ,       0
  586.2  ,       0
  610.6  ,     116
  635.1  ,       0
  659.5  ,       0
  683.9  ,       0
  708.3  ,       4
  732.8  ,     142
  757.2  ,     135
  781.6  ,     117
  806.0  ,     101
  830.5  ,     140
  854.9  ,     138
  879.3  ,     161
  903.7  ,     168
  928.2  ,     217
  952.6  ,     257
  977.0  ,     281
 1001.5  ,     340
 1025.9  ,     339
 1050.3  ,     386
 1074.7  ,     424
 1099.2  ,     433
 1123.6  ,     535
 1148.0  ,     640
 1172.4  ,     776
 1196.9  ,     918
 1221.3  ,    1068
 1245.7  ,    1055
 1270.1  ,    1041
 1294.6  ,     955
 1319.0  ,     922
 1343.4  ,     896
 1367.8  ,     929
 1392.3  ,    1035
 1416.7  ,    1281
 1441.1  ,    1498
 1465.6  ,    1553
 1490.0  ,    1617
 1514.4  ,    1510
 1538.8  ,    1486
 1563.3  ,    1420
 1587.7  ,    1658
 1612.1  ,    2050
 1636.5  ,    2825
 1661.0  ,    3944
 1685.4  ,    4747
 1709.8  ,    5475
 1734.2  ,    5720
 1758.7  ,    5286
 1783.1  ,    4551
 1807.5  ,    3596
 1831.9  ,    2546
 1856.4  ,    1654
 1880.8  ,    1019
 1905.2  ,     670
 1929.7  ,     415
 1954.1  ,     277
 1978.5  ,     202
 2002.9  ,     177
 2027.4  ,     155
 2051.8  ,     125
 2076.2  ,     137
 2100.6  ,     126
 2125.1  ,     109
 2149.5  ,     135
 2173.9  ,     180
 2198.3  ,     233
 2222.8  ,     266
 2247.2  ,     380
 2271.6  ,     374
 2296.0  ,     401
 2320.5  ,     357
 2344.9  ,     359
 2369.3  ,     305
 2393.8  ,     228
 2418.2  ,     197
 2442.6  ,     129
 2467.0  ,     112
 2491.5  ,     119
 2515.9  ,     134
 2540.3  ,     135
 2564.7  ,     163
 2589.2  ,     164
