"Target: Aillik_RP_Spot2, Contains DAT files: APB_426102426ESC03220060804_______M2.DAT"
  485.3  ,    1200
  509.7  ,       0
  534.1  ,       0
  558.5  ,       0
  583.0  ,       0
  607.4  ,     116
  631.8  ,       0
  656.2  ,       0
  680.6  ,      98
  705.0  ,     405
  729.4  ,     426
  753.8  ,     404
  778.3  ,     360
  802.7  ,     357
  827.1  ,     354
  851.5  ,     387
  875.9  ,     413
  900.3  ,     387
  924.7  ,     500
  949.1  ,     675
  973.6  ,     980
  998.0  ,    1231
 1022.4  ,    1572
 1046.8  ,    1520
 1071.2  ,    1192
 1095.6  ,     923
 1120.0  ,     919
 1144.4  ,    1119
 1168.9  ,    1883
 1193.3  ,    3137
 1217.7  ,    4629
 1242.1  ,    5198
 1266.5  ,    4660
 1290.9  ,    3355
 1315.3  ,    1999
 1339.7  ,    1413
 1364.2  ,    1272
 1388.6  ,    2099
 1413.0  ,    3400
 1437.4  ,    5335
 1461.8  ,    6740
 1486.2  ,    6862
 1510.6  ,    5708
 1535.0  ,    3840
 1559.5  ,    2358
 1583.9  ,    1858
 1608.3  ,    2554
 1632.7  ,    4828
 1657.1  ,    9225
 1681.5  ,   16486
 1705.9  ,   23178
 1730.3  ,   25858
 1754.8  ,   22835
 1779.2  ,   15704
 1803.6  ,    8828
 1828.0  ,    4448
 1852.4  ,    2154
 1876.8  ,    1244
 1901.2  ,     717
 1925.6  ,     517
 1950.1  ,     467
 1974.5  ,     465
 1998.9  ,     418
 2023.3  ,     398
 2047.7  ,     394
 2072.1  ,     300
 2096.5  ,     210
 2120.9  ,     209
 2145.4  ,     228
 2169.8  ,     272
 2194.2  ,     399
 2218.6  ,     714
 2243.0  ,    1014
 2267.4  ,    1477
 2291.8  ,    1637
 2316.2  ,    1718
 2340.7  ,    1263
 2365.1  ,     898
 2389.5  ,     512
 2413.9  ,     334
 2438.3  ,     239
 2462.7  ,     237
 2487.1  ,     251
 2511.5  ,     294
 2536.0  ,     352
 2560.4  ,     449
 2584.8  ,     570
 2609.2  ,     693
 2633.6  ,     649
 2658.0  ,     498
 2682.4  ,     324
 2706.8  ,     220
 2731.3  ,     115
 2755.7  ,     105
 2780.1  ,     119
 2804.5  ,     106
 2828.9  ,     118
 2853.3  ,     121
 2877.7  ,      88
 2902.1  ,      96
 2926.6  ,      89
 2951.0  ,      91
 2975.4  ,      79
 2999.8  ,      71
 3024.2  ,      77
 3048.6  ,      59
 3073.0  ,      72
 3097.4  ,      62
 3121.9  ,      69
 3146.3  ,      83
 3170.7  ,      70
 3195.1  ,     117
 3219.5  ,     152
 3243.9  ,     189
 3268.3  ,     254
 3292.8  ,     322
 3317.2  ,     261
 3341.6  ,     258
 3366.0  ,     236
 3390.4  ,     143
 3414.8  ,     119
 3439.2  ,     102
 3463.6  ,     114
 3488.1  ,     116
 3512.5  ,     168
 3536.9  ,     227
 3561.3  ,     383
 3585.7  ,     602
 3610.1  ,    1100
 3634.5  ,    1601
 3658.9  ,    2063
 3683.4  ,    2127
 3707.8  ,    1980
 3732.2  ,    1504
 3756.6  ,     994
 3781.0  ,     489
 3805.4  ,     252
 3829.8  ,     156
 3854.2  ,     105
 3878.7  ,     102
 3903.1  ,     122
 3927.5  ,     147
 3951.9  ,     206
 3976.3  ,     274
 4000.7  ,     289
 4025.1  ,     296
 4049.5  ,     280
 4074.0  ,     204
 4098.4  ,     150
 4122.8  ,     112
 4147.2  ,      90
 4171.6  ,      60
 4196.0  ,      62
 4220.4  ,      52
 4244.8  ,      49
 4269.3  ,      46
 4293.7  ,      39
 4318.1  ,      48
 4342.5  ,      73
 4366.9  ,      78
 4391.3  ,     107
 4415.7  ,     133
 4440.1  ,     199
 4464.6  ,     228
 4489.0  ,     233
 4513.4  ,     233
 4537.8  ,     232
 4562.2  ,     211
 4586.6  ,     170
 4611.0  ,     130
 4635.4  ,     118
 4659.9  ,      85
 4684.3  ,      87
 4708.7  ,      62
 4733.1  ,      54
 4757.5  ,      61
 4781.9  ,      67
 4806.3  ,      56
 4830.7  ,      59
 4855.2  ,      76
 4879.6  ,      65
 4904.0  ,      64
 4928.4  ,      80
 4952.8  ,      85
 4977.2  ,      66
 5001.6  ,      53
 5026.0  ,      59
 5050.5  ,      54
 5074.9  ,      47
 5099.3  ,      56
 5123.7  ,      46
 5148.1  ,      47
 5172.5  ,      44
 5196.9  ,      70
 5221.3  ,      71
 5245.8  ,      87
 5270.2  ,      87
 5294.6  ,     127
 5319.0  ,     146
 5343.4  ,     217
 5367.8  ,     298
 5392.2  ,     283
 5416.6  ,     278
 5441.1  ,     251
 5465.5  ,     207
 5489.9  ,     131
 5514.3  ,     118
 5538.7  ,      82
 5563.1  ,      74
 5587.5  ,      75
 5611.9  ,      65
 5636.4  ,      66
 5660.8  ,      88
 5685.2  ,      77
 5709.6  ,      79
 5734.0  ,      90
 5758.4  ,     116
 5782.8  ,     132
 5807.2  ,     181
 5831.7  ,     243
 5856.1  ,     265
 5880.5  ,     318
 5904.9  ,     312
 5929.3  ,     286
 5953.7  ,     207
 5978.1  ,     188
 6002.5  ,     184
 6027.0  ,     157
 6051.4  ,     174
 6075.8  ,     169
 6100.2  ,     184
 6124.6  ,     221
 6149.0  ,     246
 6173.4  ,     401
 6197.9  ,     585
 6222.3  ,    1056
 6246.7  ,    1946
 6271.1  ,    3546
 6295.5  ,    6126
 6319.9  ,    8860
 6344.3  ,   11706
 6368.7  ,   13834
 6393.2  ,   14569
 6417.6  ,   12717
 6442.0  ,   10089
 6466.4  ,    7036
 6490.8  ,    4337
 6515.2  ,    2271
 6539.6  ,    1070
 6564.0  ,     461
 6588.5  ,     229
 6612.9  ,     115
 6637.3  ,      70
 6661.7  ,      71
 6686.1  ,      71
 6710.5  ,      72
 6734.9  ,      75
 6759.3  ,      64
 6783.8  ,      92
 6808.2  ,     126
 6832.6  ,     164
 6857.0  ,     199
 6881.4  ,     299
 6905.8  ,     451
 6930.2  ,     787
 6954.6  ,    1090
 6979.1  ,    1576
 7003.5  ,    1904
 7027.9  ,    2178
 7052.3  ,    2230
 7076.7  ,    2058
 7101.1  ,    1559
 7125.5  ,    1149
 7149.9  ,     696
 7174.4  ,     398
 7198.8  ,     191
 7223.2  ,      79
 7247.6  ,      43
 7272.0  ,      35
 7296.4  ,      20
 7320.8  ,      24
 7345.2  ,      23
 7369.7  ,      33
 7394.1  ,      41
 7418.5  ,      34
 7442.9  ,      30
 7467.3  ,      34
 7491.7  ,      42
 7516.1  ,      28
 7540.5  ,      34
 7565.0  ,      23
 7589.4  ,      16
 7613.8  ,      14
 7638.2  ,      26
 7662.6  ,      19
 7687.0  ,      14
 7711.4  ,      10
 7735.8  ,      18
 7760.3  ,      13
 7784.7  ,      13
 7809.1  ,      19
 7833.5  ,      16
 7857.9  ,      27
 7882.3  ,      14
 7906.7  ,      21
 7931.1  ,      26
 7955.6  ,      24
 7980.0  ,      15
 8004.4  ,      23
 8028.8  ,      22
 8053.2  ,      17
 8077.6  ,      17
 8102.0  ,      21
 8126.4  ,      19
 8150.9  ,      20
 8175.3  ,      17
 8199.7  ,      15
 8224.1  ,      13
 8248.5  ,      22
 8272.9  ,      18
 8297.3  ,      22
 8321.7  ,      10
 8346.2  ,      19
 8370.6  ,      19
 8395.0  ,      19
 8419.4  ,      33
 8443.8  ,      27
 8468.2  ,      45
 8492.6  ,      56
 8517.0  ,      99
 8541.5  ,     109
 8565.9  ,     163
 8590.3  ,     177
 8614.7  ,     179
 8639.1  ,     185
 8663.5  ,     152
 8687.9  ,     130
 8712.3  ,      92
 8736.8  ,      74
 8761.2  ,      40
 8785.6  ,      20
 8810.0  ,      23
 8834.4  ,       9
 8858.8  ,      15
 8883.2  ,      23
 8907.7  ,      17
 8932.1  ,      17
 8956.5  ,      14
 8980.9  ,      15
 9005.3  ,      18
 9029.7  ,      21
 9054.1  ,      20
 9078.5  ,      13
 9103.0  ,      22
 9127.4  ,      13
 9151.8  ,      18
 9176.2  ,      17
 9200.6  ,      17
 9225.0  ,      16
 9249.4  ,      15
 9273.8  ,      17
 9298.3  ,      13
 9322.7  ,      13
 9347.1  ,      27
 9371.5  ,      13
 9395.9  ,      19
 9420.3  ,      15
 9444.7  ,      28
 9469.1  ,      38
 9493.6  ,      34
 9518.0  ,      38
 9542.4  ,      43
 9566.8  ,      48
 9591.2  ,      43
 9615.6  ,      42
 9640.0  ,      28
 9664.4  ,      25
 9688.9  ,      22
 9713.3  ,      27
 9737.7  ,      13
 9762.1  ,      25
 9786.5  ,      23
 9810.9  ,      18
 9835.3  ,      25
 9859.7  ,      30
 9884.2  ,      29
 9908.6  ,      30
 9933.0  ,      16
 9957.4  ,      29
 9981.8  ,      18
10006.2  ,      20
10030.6  ,       9
10055.0  ,      15
10079.5  ,      12
10103.9  ,      14
10128.3  ,      11
10152.7  ,      13
10177.1  ,      12
10201.5  ,      10
10225.9  ,      13
10250.3  ,      15
10274.8  ,      17
10299.2  ,      14
10323.6  ,      16
10348.0  ,      18
10372.4  ,      12
10396.8  ,      17
10421.2  ,      12
10445.6  ,      21
10470.1  ,      18
10494.5  ,      17
10518.9  ,      14
10543.3  ,      17
10567.7  ,      16
10592.1  ,       9
10616.5  ,      14
10640.9  ,      14
10665.4  ,      14
10689.8  ,      16
10714.2  ,      14
10738.6  ,      19
10763.0  ,      12
10787.4  ,      21
10811.8  ,      17
10836.2  ,      18
10860.7  ,      13
10885.1  ,      19
10909.5  ,      19
10933.9  ,      18
10958.3  ,      16
10982.7  ,      22
11007.1  ,      18
11031.5  ,      14
11056.0  ,      15
11080.4  ,      18
11104.8  ,      12
11129.2  ,      13
11153.6  ,      15
11178.0  ,      22
11202.4  ,      10
11226.8  ,      17
11251.3  ,      19
11275.7  ,      23
11300.1  ,      16
11324.5  ,      15
11348.9  ,      30
11373.3  ,      29
11397.7  ,      23
11422.1  ,      37
11446.6  ,      26
11471.0  ,      15
11495.4  ,      17
11519.8  ,      30
11544.2  ,      30
11568.6  ,      32
11593.0  ,      37
11617.4  ,      38
11641.9  ,      37
11666.3  ,      42
11690.7  ,      38
11715.1  ,      50
11739.5  ,      68
11763.9  ,      68
11788.3  ,     102
11812.8  ,     134
11837.2  ,     141
