"Target: Aillik_RP, Contains DAT files: APB_426124444ESC03230060804_______M2.DAT"
  486.0  ,   14400
  510.4  ,       0
  534.9  ,       0
  559.3  ,       0
  583.7  ,       0
  608.1  ,     116
  632.6  ,     212
  657.0  ,    3424
  681.4  ,    4301
  705.8  ,    4591
  730.3  ,    4257
  754.7  ,    3876
  779.1  ,    3759
  803.6  ,    3715
  828.0  ,    3727
  852.4  ,    3904
  876.8  ,    4140
  901.3  ,    4409
  925.7  ,    4675
  950.1  ,    5929
  974.6  ,    9074
  999.0  ,   14516
 1023.4  ,   18764
 1047.8  ,   17989
 1072.3  ,   12760
 1096.7  ,    8526
 1121.1  ,    7240
 1145.5  ,    8780
 1170.0  ,   15626
 1194.4  ,   30958
 1218.8  ,   52014
 1243.3  ,   63486
 1267.7  ,   53679
 1292.1  ,   32398
 1316.5  ,   16281
 1341.0  ,   10161
 1365.4  ,   10042
 1389.8  ,   15058
 1414.2  ,   30664
 1438.7  ,   57904
 1463.1  ,   82571
 1487.5  ,   84768
 1512.0  ,   61957
 1536.4  ,   34711
 1560.8  ,   19115
 1585.2  ,   14010
 1609.7  ,   17348
 1634.1  ,   33924
 1658.5  ,   82395
 1683.0  ,  176514
 1707.4  ,  280803
 1731.8  ,  322517
 1756.2  ,  263385
 1780.7  ,  153737
 1805.1  ,   70575
 1829.5  ,   30372
 1853.9  ,   16060
 1878.4  ,   10387
 1902.8  ,    6867
 1927.2  ,    4809
 1951.7  ,    4274
 1976.1  ,    4857
 2000.5  ,    5251
 2024.9  ,    4867
 2049.4  ,    3657
 2073.8  ,    2755
 2098.2  ,    2210
 2122.6  ,    1975
 2147.1  ,    2163
 2171.5  ,    2455
 2195.9  ,    3414
 2220.4  ,    6021
 2244.8  ,   11025
 2269.2  ,   16775
 2293.6  ,   20610
 2318.1  ,   19096
 2342.5  ,   13201
 2366.9  ,    7245
 2391.4  ,    3730
 2415.8  ,    2441
 2440.2  ,    2298
 2464.6  ,    2488
 2489.1  ,    2490
 2513.5  ,    2649
 2537.9  ,    3309
 2562.3  ,    4844
 2586.8  ,    6733
 2611.2  ,    7823
 2635.6  ,    7154
 2660.1  ,    4982
 2684.5  ,    2972
 2708.9  ,    1620
 2733.3  ,    1083
 2757.8  ,    1077
 2782.2  ,    1178
 2806.6  ,    1261
 2831.0  ,    1271
 2855.5  ,    1266
 2879.9  ,    1109
 2904.3  ,    1073
 2928.8  ,    1034
 2953.2  ,    1043
 2977.6  ,     998
 3002.0  ,     810
 3026.5  ,     732
 3050.9  ,     651
 3075.3  ,     649
 3099.7  ,     698
 3124.2  ,     738
 3148.6  ,     770
 3173.0  ,     847
 3197.5  ,    1033
 3221.9  ,    1396
 3246.3  ,    2109
 3270.7  ,    2848
 3295.2  ,    3429
 3319.6  ,    3287
 3344.0  ,    2690
 3368.5  ,    2059
 3392.9  ,    1476
 3417.3  ,    1128
 3441.7  ,    1067
 3466.2  ,    1103
 3490.6  ,    1315
 3515.0  ,    1551
 3539.4  ,    2249
 3563.9  ,    3548
 3588.3  ,    6479
 3612.7  ,   11667
 3637.2  ,   18487
 3661.6  ,   24505
 3686.0  ,   25905
 3710.4  ,   21539
 3734.9  ,   14825
 3759.3  ,    8405
 3783.7  ,    4026
 3808.1  ,    1828
 3832.6  ,     949
 3857.0  ,     781
 3881.4  ,     939
 3905.9  ,    1247
 3930.3  ,    1806
 3954.7  ,    2562
 3979.1  ,    3198
 4003.6  ,    3544
 4028.0  ,    3321
 4052.4  ,    2828
 4076.9  ,    1946
 4101.3  ,    1340
 4125.7  ,     909
 4150.1  ,     664
 4174.6  ,     618
 4199.0  ,     547
 4223.4  ,     501
 4247.8  ,     474
 4272.3  ,     499
 4296.7  ,     563
 4321.1  ,     539
 4345.6  ,     541
 4370.0  ,     685
 4394.4  ,     932
 4418.8  ,    1378
 4443.3  ,    1939
 4467.7  ,    2439
 4492.1  ,    2904
 4516.5  ,    2562
 4541.0  ,    2252
 4565.4  ,    1717
 4589.8  ,    1388
 4614.3  ,    1277
 4638.7  ,    1136
 4663.1  ,    1046
 4687.5  ,     931
 4712.0  ,     764
 4736.4  ,     646
 4760.8  ,     599
 4785.3  ,     547
 4809.7  ,     560
 4834.1  ,     652
 4858.5  ,     735
 4883.0  ,     799
 4907.4  ,     892
 4931.8  ,     962
 4956.2  ,     873
 4980.7  ,     738
 5005.1  ,     682
 5029.5  ,     627
 5054.0  ,     566
 5078.4  ,     583
 5102.8  ,     564
 5127.2  ,     589
 5151.7  ,     536
 5176.1  ,     586
 5200.5  ,     623
 5224.9  ,     691
 5249.4  ,     793
 5273.8  ,     979
 5298.2  ,    1337
 5322.7  ,    1806
 5347.1  ,    2633
 5371.5  ,    3069
 5395.9  ,    3281
 5420.4  ,    3150
 5444.8  ,    2446
 5469.2  ,    1863
 5493.7  ,    1320
 5518.1  ,     948
 5542.5  ,     764
 5566.9  ,     700
 5591.4  ,     678
 5615.8  ,     698
 5640.2  ,     744
 5664.6  ,     720
 5689.1  ,     781
 5713.5  ,     821
 5737.9  ,     930
 5762.4  ,    1141
 5786.8  ,    1468
 5811.2  ,    1942
 5835.6  ,    2682
 5860.1  ,    3100
 5884.5  ,    3348
 5908.9  ,    3284
 5933.3  ,    2866
 5957.8  ,    2420
 5982.2  ,    1956
 6006.6  ,    1650
 6031.1  ,    1534
 6055.5  ,    1527
 6079.9  ,    1731
 6104.3  ,    1910
 6128.8  ,    2153
 6153.2  ,    2645
 6177.6  ,    3433
 6202.1  ,    5338
 6226.5  ,    9651
 6250.9  ,   19284
 6275.3  ,   37043
 6299.8  ,   64527
 6324.2  ,  101438
 6348.6  ,  136861
 6373.0  ,  159539
 6397.5  ,  158133
 6421.9  ,  133978
 6446.3  ,   97806
 6470.8  ,   60254
 6495.2  ,   31982
 6519.6  ,   14741
 6544.0  ,    6156
 6568.5  ,    2535
 6592.9  ,    1214
 6617.3  ,     800
 6641.7  ,     661
 6666.2  ,     650
 6690.6  ,     667
 6715.0  ,     692
 6739.5  ,     762
 6763.9  ,     791
 6788.3  ,     972
 6812.7  ,    1109
 6837.2  ,    1410
 6861.6  ,    1886
 6886.0  ,    2792
 6910.4  ,    4958
 6934.9  ,    8114
 6959.3  ,   12280
 6983.7  ,   17880
 7008.2  ,   22855
 7032.6  ,   24988
 7057.0  ,   24355
 7081.4  ,   20498
 7105.9  ,   14959
 7130.3  ,    9800
 7154.7  ,    5387
 7179.2  ,    2652
 7203.6  ,    1308
 7228.0  ,     581
 7252.4  ,     327
 7276.9  ,     248
 7301.3  ,     221
 7325.7  ,     210
 7350.1  ,     266
 7374.6  ,     299
 7399.0  ,     325
 7423.4  ,     388
 7447.9  ,     426
 7472.3  ,     443
 7496.7  ,     390
 7521.1  ,     314
 7545.6  ,     275
 7570.0  ,     240
 7594.4  ,     211
 7618.8  ,     196
 7643.3  ,     177
 7667.7  ,     192
 7692.1  ,     170
 7716.6  ,     197
 7741.0  ,     175
 7765.4  ,     183
 7789.8  ,     156
 7814.3  ,     162
 7838.7  ,     167
 7863.1  ,     195
 7887.6  ,     210
 7912.0  ,     204
 7936.4  ,     192
 7960.8  ,     181
 7985.3  ,     161
 8009.7  ,     219
 8034.1  ,     207
 8058.5  ,     211
 8083.0  ,     219
 8107.4  ,     217
 8131.8  ,     204
 8156.3  ,     179
 8180.7  ,     216
 8205.1  ,     213
 8229.5  ,     221
 8254.0  ,     208
 8278.4  ,     215
 8302.8  ,     230
 8327.2  ,     182
 8351.7  ,     206
 8376.1  ,     210
 8400.5  ,     199
 8425.0  ,     243
 8449.4  ,     302
 8473.8  ,     405
 8498.2  ,     659
 8522.7  ,     892
 8547.1  ,    1374
 8571.5  ,    1665
 8596.0  ,    2009
 8620.4  ,    2157
 8644.8  ,    1980
 8669.2  ,    1579
 8693.7  ,    1167
 8718.1  ,     841
 8742.5  ,     547
 8766.9  ,     353
 8791.4  ,     251
 8815.8  ,     215
 8840.2  ,     167
 8864.7  ,     173
 8889.1  ,     151
 8913.5  ,     169
 8937.9  ,     168
 8962.4  ,     194
 8986.8  ,     189
 9011.2  ,     181
 9035.6  ,     164
 9060.1  ,     183
 9084.5  ,     159
 9108.9  ,     154
 9133.4  ,     166
 9157.8  ,     205
 9182.2  ,     205
 9206.6  ,     181
 9231.1  ,     183
 9255.5  ,     193
 9279.9  ,     183
 9304.4  ,     185
 9328.8  ,     209
 9353.2  ,     208
 9377.6  ,     204
 9402.1  ,     187
 9426.5  ,     236
 9450.9  ,     275
 9475.3  ,     311
 9499.8  ,     360
 9524.2  ,     401
 9548.6  ,     440
 9573.1  ,     492
 9597.5  ,     473
 9621.9  ,     393
 9646.3  ,     289
 9670.8  ,     246
 9695.2  ,     220
 9719.6  ,     189
 9744.0  ,     204
 9768.5  ,     235
 9792.9  ,     210
 9817.3  ,     300
 9841.8  ,     267
 9866.2  ,     285
 9890.6  ,     289
 9915.0  ,     255
 9939.5  ,     235
 9963.9  ,     204
 9988.3  ,     178
10012.8  ,     179
10037.2  ,     168
10061.6  ,     140
10086.0  ,     155
10110.5  ,     154
10134.9  ,     133
10159.3  ,     160
10183.7  ,     155
10208.2  ,     161
10232.6  ,     144
10257.0  ,     164
10281.5  ,     156
10305.9  ,     152
10330.3  ,     165
10354.7  ,     141
10379.2  ,     147
10403.6  ,     149
10428.0  ,     169
10452.4  ,     153
10476.9  ,     169
10501.3  ,     150
10525.7  ,     158
10550.2  ,     167
10574.6  ,     170
10599.0  ,     165
10623.4  ,     140
10647.9  ,     161
10672.3  ,     155
10696.7  ,     145
10721.2  ,     175
10745.6  ,     146
10770.0  ,     139
10794.4  ,     163
10818.9  ,     153
10843.3  ,     158
10867.7  ,     162
10892.1  ,     191
10916.6  ,     183
10941.0  ,     182
10965.4  ,     174
10989.9  ,     198
11014.3  ,     192
11038.7  ,     171
11063.1  ,     181
11087.6  ,     185
11112.0  ,     188
11136.4  ,     170
11160.8  ,     186
11185.3  ,     175
11209.7  ,     187
11234.1  ,     206
11258.6  ,     200
11283.0  ,     194
11307.4  ,     219
11331.8  ,     193
11356.3  ,     235
11380.7  ,     266
11405.1  ,     204
11429.5  ,     280
11454.0  ,     265
11478.4  ,     272
11502.8  ,     273
11527.3  ,     313
11551.7  ,     282
11576.1  ,     317
11600.5  ,     298
11625.0  ,     348
11649.4  ,     341
11673.8  ,     333
11698.3  ,     409
11722.7  ,     500
11747.1  ,     643
11771.5  ,     830
11796.0  ,    1116
11820.4  ,    1487
11844.8  ,    1704
11869.2  ,    2034
11893.7  ,    2156
11918.1  ,    2134
11942.5  ,    1962
11967.0  ,    1731
11991.4  ,    1340
12015.8  ,    1073
12040.2  ,     818
12064.7  ,     690
12089.1  ,     596
12113.5  ,     575
12137.9  ,     537
12162.4  ,     444
12186.8  ,     399
12211.2  ,     380
12235.7  ,     333
12260.1  ,     308
12284.5  ,     272
12308.9  ,     267
12333.4  ,     252
12357.8  ,     211
12382.2  ,     233
12406.7  ,     245
12431.1  ,     249
12455.5  ,     280
12479.9  ,     259
12504.4  ,     287
12528.8  ,     251
12553.2  ,     290
12577.6  ,     290
12602.1  ,     314
12626.5  ,     304
12650.9  ,     335
12675.4  ,     344
12699.8  ,     316
12724.2  ,     317
12748.6  ,     379
12773.1  ,     340
12797.5  ,     400
12821.9  ,     436
12846.3  ,     388
12870.8  ,     468
12895.2  ,     481
12919.6  ,     499
12944.1  ,     475
12968.5  ,     506
12992.9  ,     617
13017.3  ,     608
13041.8  ,     660
13066.2  ,     676
13090.6  ,     817
13115.1  ,     839
13139.5  ,     921
13163.9  ,    1081
13188.3  ,    1175
13212.8  ,    1376
13237.2  ,    1520
13261.6  ,    1689
13286.0  ,    1841
13310.5  ,    1989
13334.9  ,    2130
13359.3  ,    2312
13383.8  ,    2298
13408.2  ,    2436
13432.6  ,    2408
13457.0  ,    2677
13481.5  ,    2631
13505.9  ,    2781
13530.3  ,    2707
13554.7  ,    2691
13579.2  ,    2695
13603.6  ,    2676
13628.0  ,    2496
13652.5  ,    2443
13676.9  ,    2236
13701.3  ,    2032
13725.7  ,    1909
13750.2  ,    1725
13774.6  ,    1544
13799.0  ,    1358
13823.5  ,    1261
13847.9  ,    1195
13872.3  ,    1061
13896.7  ,    1011
13921.2  ,     972
13945.6  ,     985
13970.0  ,    1009
13994.4  ,    1093
14018.9  ,    1220
14043.3  ,    1313
14067.7  ,    1430
14092.2  ,    1662
14116.6  ,    2005
14141.0  ,    2434
14165.4  ,    2789
14189.9  ,    3476
14214.3  ,    3937
14238.7  ,    4408
14263.1  ,    4642
14287.6  ,    4860
14312.0  ,    4248
14336.4  ,    3808
14360.9  ,    3008
14385.3  ,    2352
14409.7  ,    1687
14434.1  ,    1209
14458.6  ,     771
14483.0  ,     524
14507.4  ,     370
14531.9  ,     305
14556.3  ,     223
14580.7  ,     235
14605.1  ,     221
14629.6  ,     228
14654.0  ,     221
14678.4  ,     240
14702.8  ,     209
14727.3  ,     240
14751.7  ,     244
14776.1  ,     256
14800.6  ,     249
14825.0  ,     254
14849.4  ,     289
14873.8  ,     317
14898.3  ,     325
14922.7  ,     297
14947.1  ,     348
14971.5  ,     326
14996.0  ,     344
15020.4  ,     331
15044.8  ,     318
15069.3  ,     330
15093.7  ,     307
15118.1  ,     355
15142.5  ,     346
15167.0  ,     305
15191.4  ,     338
15215.8  ,     361
15240.3  ,     377
15264.7  ,     368
15289.1  ,     381
15313.5  ,     372
15338.0  ,     401
15362.4  ,     418
15386.8  ,     441
15411.2  ,     489
15435.7  ,     488
15460.1  ,     504
15484.5  ,     604
15509.0  ,     726
15533.4  ,     947
15557.8  ,    1160
15582.2  ,    1561
15606.7  ,    1907
15631.1  ,    2444
15655.5  ,    3164
15679.9  ,    3698
15704.4  ,    4265
15728.8  ,    4484
15753.2  ,    4545
15777.7  ,    4497
15802.1  ,    4188
15826.5  ,    3591
15850.9  ,    3025
15875.4  ,    2502
15899.8  ,    1898
15924.2  ,    1586
15948.6  ,    1318
15973.1  ,    1013
15997.5  ,    1057
16021.9  ,    1005
16046.4  ,    1013
16070.8  ,    1075
16095.2  ,    1077
16119.6  ,    1082
16144.1  ,    1084
16168.5  ,    1125
16192.9  ,    1206
16217.4  ,    1215
16241.8  ,    1299
16266.2  ,    1216
16290.6  ,    1344
16315.1  ,    1352
16339.5  ,    1266
16363.9  ,    1353
16388.3  ,    1285
16412.8  ,    1328
16437.2  ,    1330
16461.6  ,    1253
16486.1  ,    1318
16510.5  ,    1285
16534.9  ,    1281
16559.3  ,    1242
16583.8  ,    1306
16608.2  ,    1356
16632.6  ,    1326
16657.0  ,    1307
16681.5  ,    1465
16705.9  ,    1506
16730.3  ,    1583
16754.8  ,    1680
16779.2  ,    1794
16803.6  ,    1904
16828.0  ,    1977
16852.5  ,    2196
16876.9  ,    2365
16901.3  ,    2345
16925.8  ,    2546
16950.2  ,    2625
16974.6  ,    2794
16999.0  ,    2996
17023.5  ,    3062
17047.9  ,    3207
17072.3  ,    3316
17096.7  ,    3488
17121.2  ,    3449
17145.6  ,    3620
17170.0  ,    3652
17194.5  ,    3737
17218.9  ,    3699
17243.3  ,    3627
17267.7  ,    3570
17292.2  ,    3485
17316.6  ,    3282
17341.0  ,    2950
17365.4  ,    2638
17389.9  ,    2405
17414.3  ,    2007
17438.7  ,    1872
17463.2  ,    1682
