"Target: Howells, Contains DAT files: APB_426163787ESC03230060804_______M2.DAT"
  484.5  ,    1080
  509.0  ,       0
  533.4  ,       0
  557.9  ,       0
  582.3  ,       0
  606.8  ,     116
  631.2  ,       0
  655.7  ,     139
  680.1  ,     283
  704.6  ,     343
  729.0  ,     312
  753.5  ,     253
  777.9  ,     227
  802.4  ,     270
  826.8  ,     263
  851.3  ,     240
  875.7  ,     284
  900.2  ,     285
  924.6  ,     302
  949.1  ,     425
  973.5  ,     677
  998.0  ,    1026
 1022.4  ,    1328
 1046.9  ,    1294
 1071.4  ,     953
 1095.8  ,     657
 1120.3  ,     423
 1144.7  ,     586
 1169.2  ,     980
 1193.6  ,    1904
 1218.1  ,    3092
 1242.5  ,    3759
 1267.0  ,    3275
 1291.4  ,    1928
 1315.9  ,    1081
 1340.3  ,     684
 1364.8  ,     692
 1389.2  ,    1151
 1413.7  ,    2339
 1438.1  ,    4316
 1462.6  ,    6143
 1487.0  ,    6408
 1511.5  ,    4593
 1535.9  ,    2558
 1560.4  ,    1375
 1584.8  ,    1072
 1609.3  ,    1201
 1633.8  ,    2540
 1658.2  ,    5872
 1682.7  ,   12389
 1707.1  ,   19631
 1731.6  ,   22476
 1756.0  ,   18384
 1780.5  ,   11004
 1804.9  ,    5161
 1829.4  ,    2213
 1853.8  ,    1139
 1878.3  ,     739
 1902.7  ,     482
 1927.2  ,     336
 1951.6  ,     311
 1976.1  ,     334
 2000.5  ,     355
 2025.0  ,     315
 2049.4  ,     235
 2073.9  ,     185
 2098.3  ,     147
 2122.8  ,     125
 2147.2  ,     122
 2171.7  ,     127
 2196.2  ,     193
 2220.6  ,     368
 2245.1  ,     639
 2269.5  ,     989
 2294.0  ,    1200
 2318.4  ,    1131
 2342.9  ,     759
 2367.3  ,     437
 2391.8  ,     219
 2416.2  ,     148
 2440.7  ,     124
 2465.1  ,     138
 2489.6  ,     159
 2514.0  ,     163
 2538.5  ,     184
 2562.9  ,     237
 2587.4  ,     385
 2611.8  ,     387
 2636.3  ,     352
 2660.7  ,     257
 2685.2  ,     140
 2709.7  ,      85
 2734.1  ,      64
 2758.6  ,      69
 2783.0  ,      58
 2807.5  ,      84
 2831.9  ,      79
 2856.4  ,      60
 2880.8  ,      82
 2905.3  ,      83
 2929.7  ,      65
 2954.2  ,      73
 2978.6  ,      66
 3003.1  ,      56
 3027.5  ,      47
 3052.0  ,      42
 3076.4  ,      36
 3100.9  ,      49
 3125.3  ,      53
 3149.8  ,      70
 3174.2  ,      73
 3198.7  ,     109
 3223.1  ,     169
 3247.6  ,     294
 3272.1  ,     389
 3296.5  ,     431
 3321.0  ,     432
 3345.4  ,     331
 3369.9  ,     245
 3394.3  ,     132
 3418.8  ,      81
 3443.2  ,      72
 3467.7  ,      75
 3492.1  ,     103
 3516.6  ,     125
 3541.0  ,     185
 3565.5  ,     262
 3589.9  ,     468
 3614.4  ,     807
 3638.8  ,    1220
 3663.3  ,    1523
 3687.7  ,    1643
 3712.2  ,    1365
 3736.6  ,     823
 3761.1  ,     499
 3785.5  ,     243
 3810.0  ,      95
 3834.5  ,      69
 3858.9  ,      55
 3883.4  ,      67
 3907.8  ,      66
 3932.3  ,     100
 3956.7  ,     174
 3981.2  ,     214
 4005.6  ,     227
 4030.1  ,     195
 4054.5  ,     159
 4079.0  ,     106
 4103.4  ,      97
 4127.9  ,      59
 4152.3  ,      43
 4176.8  ,      27
 4201.2  ,      47
 4225.7  ,      30
 4250.1  ,      29
 4274.6  ,      28
 4299.0  ,      36
 4323.5  ,      39
 4347.9  ,      37
 4372.4  ,      47
 4396.9  ,      74
 4421.3  ,      78
 4445.8  ,     162
 4470.2  ,     208
 4494.7  ,     217
 4519.1  ,     217
 4543.6  ,     144
 4568.0  ,     117
 4592.5  ,     111
 4616.9  ,      83
 4641.4  ,      71
 4665.8  ,      79
 4690.3  ,      62
 4714.7  ,      47
 4739.2  ,      43
 4763.6  ,      32
 4788.1  ,      34
 4812.5  ,      30
 4837.0  ,      30
 4861.4  ,      47
 4885.9  ,      52
 4910.3  ,      53
 4934.8  ,      49
 4959.3  ,      41
 4983.7  ,      45
 5008.2  ,      38
 5032.6  ,      39
 5057.1  ,      32
 5081.5  ,      42
 5106.0  ,      27
 5130.4  ,      33
 5154.9  ,      40
 5179.3  ,      41
 5203.8  ,      27
 5228.2  ,      49
 5252.7  ,      49
 5277.1  ,      60
 5301.6  ,      73
 5326.0  ,     117
 5350.5  ,     128
 5374.9  ,     177
 5399.4  ,     174
 5423.8  ,     163
 5448.3  ,     135
 5472.7  ,     102
 5497.2  ,      73
 5521.7  ,      56
 5546.1  ,      51
 5570.6  ,      42
 5595.0  ,      38
 5619.5  ,      52
 5643.9  ,      46
 5668.4  ,      39
 5692.8  ,      51
 5717.3  ,      45
 5741.7  ,      61
 5766.2  ,      60
 5790.6  ,      92
 5815.1  ,     136
 5839.5  ,     160
 5864.0  ,     194
 5888.4  ,     223
 5912.9  ,     207
 5937.3  ,     171
 5961.8  ,     150
 5986.2  ,     139
 6010.7  ,     101
 6035.1  ,      84
 6059.6  ,     104
 6084.1  ,      79
 6108.5  ,     132
 6133.0  ,     135
 6157.4  ,     152
 6181.9  ,     214
 6206.3  ,     328
 6230.8  ,     619
 6255.2  ,    1281
 6279.7  ,    2470
 6304.1  ,    4235
 6328.6  ,    6537
 6353.0  ,    8619
 6377.5  ,    9752
 6401.9  ,    9429
 6426.4  ,    7761
 6450.8  ,    5710
 6475.3  ,    3381
 6499.7  ,    1700
 6524.2  ,     849
 6548.6  ,     365
 6573.1  ,     136
 6597.5  ,      65
 6622.0  ,      60
 6646.5  ,      41
 6670.9  ,      40
 6695.4  ,      47
 6719.8  ,      63
 6744.3  ,      48
 6768.7  ,      54
 6793.2  ,      67
 6817.6  ,      80
 6842.1  ,      85
 6866.5  ,     123
 6891.0  ,     204
 6915.4  ,     305
 6939.9  ,     543
 6964.3  ,     834
 6988.8  ,    1148
 7013.2  ,    1356
 7037.7  ,    1517
 7062.1  ,    1514
 7086.6  ,    1201
 7111.0  ,     887
 7135.5  ,     522
 7160.0  ,     281
 7184.4  ,     134
 7208.9  ,      63
 7233.3  ,      25
 7257.8  ,      25
 7282.2  ,      22
 7306.7  ,      13
 7331.1  ,      14
 7355.6  ,      20
 7380.0  ,      23
 7404.5  ,      20
 7428.9  ,      34
 7453.4  ,      28
 7477.8  ,      30
 7502.3  ,      38
 7526.7  ,      21
 7551.2  ,      19
 7575.6  ,      20
 7600.1  ,      17
 7624.5  ,      14
 7649.0  ,      12
 7673.4  ,      11
 7697.9  ,       8
 7722.4  ,      13
 7746.8  ,      15
 7771.3  ,      15
 7795.7  ,       6
 7820.2  ,      10
 7844.6  ,      13
 7869.1  ,      11
 7893.5  ,       9
 7918.0  ,      14
 7942.4  ,      10
 7966.9  ,      23
 7991.3  ,      16
 8015.8  ,      16
 8040.2  ,      13
 8064.7  ,       9
 8089.1  ,      18
 8113.6  ,      10
 8138.0  ,      17
 8162.5  ,      20
 8186.9  ,       6
 8211.4  ,      14
 8235.8  ,       8
 8260.3  ,      17
 8284.8  ,      10
 8309.2  ,       8
 8333.7  ,      15
 8358.1  ,       9
 8382.6  ,      13
 8407.0  ,      11
 8431.5  ,      12
 8455.9  ,      16
 8480.4  ,      32
 8504.8  ,      41
 8529.3  ,      58
 8553.7  ,      83
 8578.2  ,     128
 8602.6  ,     129
 8627.1  ,     111
 8651.5  ,     101
 8676.0  ,      88
 8700.4  ,      65
 8724.9  ,      40
 8749.3  ,      43
 8773.8  ,      22
 8798.2  ,      14
 8822.7  ,      13
 8847.2  ,      13
 8871.6  ,      16
 8896.1  ,      10
 8920.5  ,      12
 8945.0  ,       3
 8969.4  ,      14
 8993.9  ,      16
 9018.3  ,       8
 9042.8  ,       9
 9067.2  ,      12
 9091.7  ,       8
 9116.1  ,      13
 9140.6  ,      18
 9165.0  ,      15
 9189.5  ,       9
 9213.9  ,      19
 9238.4  ,      12
 9262.8  ,      13
 9287.3  ,      15
 9311.7  ,      15
 9336.2  ,      14
 9360.6  ,      11
 9385.1  ,      19
 9409.6  ,      13
 9434.0  ,      16
 9458.5  ,      11
 9482.9  ,      13
 9507.4  ,      17
 9531.8  ,      21
 9556.3  ,      42
 9580.7  ,      32
 9605.2  ,      21
 9629.6  ,      25
 9654.1  ,      13
 9678.5  ,      13
 9703.0  ,      13
 9727.4  ,      14
 9751.9  ,      16
 9776.3  ,      12
 9800.8  ,      14
 9825.2  ,      19
 9849.7  ,      17
 9874.1  ,      22
 9898.6  ,      18
 9923.0  ,      14
 9947.5  ,      21
 9972.0  ,      17
 9996.4  ,       8
10020.9  ,       6
10045.3  ,      15
10069.8  ,       8
10094.2  ,      14
10118.7  ,      10
10143.1  ,       7
10167.6  ,      18
10192.0  ,       7
10216.5  ,       8
10240.9  ,       7
10265.4  ,      12
10289.8  ,      14
10314.3  ,      16
10338.7  ,      12
10363.2  ,      11
10387.6  ,       9
10412.1  ,      19
10436.5  ,       9
10461.0  ,       8
10485.4  ,      10
10509.9  ,      17
10534.4  ,      15
10558.8  ,       9
10583.3  ,       7
10607.7  ,      11
10632.2  ,       5
10656.6  ,      10
10681.1  ,      13
10705.5  ,       9
10730.0  ,       5
10754.4  ,      14
10778.9  ,      11
10803.3  ,      13
10827.8  ,      10
10852.2  ,       5
10876.7  ,      11
10901.1  ,      14
10925.6  ,      10
10950.0  ,      15
10974.5  ,      17
10998.9  ,       8
11023.4  ,      18
11047.9  ,      24
11072.3  ,      15
11096.8  ,      14
11121.2  ,       6
11145.7  ,      11
11170.1  ,      14
11194.6  ,      12
11219.0  ,      14
11243.5  ,      13
11267.9  ,      15
11292.4  ,      12
11316.8  ,      11
11341.3  ,      19
11365.7  ,      15
11390.2  ,      19
11414.6  ,      23
11439.1  ,      14
11463.5  ,      31
11488.0  ,      16
11512.4  ,      22
11536.9  ,      23
11561.3  ,      24
11585.8  ,      23
11610.3  ,      21
11634.7  ,      24
11659.2  ,       8
11683.6  ,      20
11708.1  ,      25
11732.5  ,      24
11757.0  ,      14
11781.4  ,      28
11805.9  ,      20
11830.3  ,      33
11854.8  ,      26
11879.2  ,      31
11903.7  ,      21
11928.1  ,      33
11952.6  ,      37
11977.0  ,      38
12001.5  ,      27
12025.9  ,      30
12050.4  ,      38
12074.8  ,      34
12099.3  ,      31
12123.7  ,      30
12148.2  ,      34
12172.7  ,      34
12197.1  ,      32
12221.6  ,      18
12246.0  ,      21
12270.5  ,      25
12294.9  ,      16
12319.4  ,      14
12343.8  ,      16
12368.3  ,      19
12392.7  ,      23
12417.2  ,      18
12441.6  ,      18
12466.1  ,      22
12490.5  ,      22
12515.0  ,      22
12539.4  ,      16
12563.9  ,      31
12588.3  ,      27
12612.8  ,      26
12637.2  ,      27
12661.7  ,      23
12686.1  ,      12
12710.6  ,      30
12735.1  ,      32
12759.5  ,      35
12784.0  ,      16
12808.4  ,      34
12832.9  ,      32
12857.3  ,      45
12881.8  ,      41
12906.2  ,      31
12930.7  ,      37
12955.1  ,      41
12979.6  ,      37
13004.0  ,      38
13028.5  ,      43
13052.9  ,      45
13077.4  ,      49
13101.8  ,      68
13126.3  ,      49
13150.7  ,      66
13175.2  ,      75
13199.6  ,      85
13224.1  ,      77
13248.5  ,      88
13273.0  ,     104
13297.5  ,     138
13321.9  ,     147
13346.4  ,     139
13370.8  ,     155
13395.3  ,     169
13419.7  ,     173
13444.2  ,     172
13468.6  ,     183
13493.1  ,     194
13517.5  ,     206
13542.0  ,     202
13566.4  ,     206
13590.9  ,     185
13615.3  ,     202
13639.8  ,     196
13664.2  ,     166
13688.7  ,     144
13713.1  ,     153
13737.6  ,     138
13762.0  ,     113
13786.5  ,     110
13810.9  ,      91
13835.4  ,      93
13859.9  ,      95
13884.3  ,      68
13908.8  ,      60
13933.2  ,      66
13957.7  ,      72
13982.1  ,      65
14006.6  ,      88
14031.0  ,      94
