"Target: Eqalulik, Contains DAT files: APB_426205423ESC03230060804_______M2.DAT"
  485.2  ,   14400
  509.6  ,       0
  534.0  ,       0
  558.4  ,       0
  582.9  ,       0
  607.3  ,     116
  631.7  ,       6
  656.1  ,    1050
  680.5  ,    3698
  704.9  ,    3860
  729.4  ,    3666
  753.8  ,    3406
  778.2  ,    3255
  802.6  ,    3232
  827.0  ,    3347
  851.4  ,    3409
  875.9  ,    3569
  900.3  ,    3683
  924.7  ,    4127
  949.1  ,    5279
  973.5  ,    8183
  997.9  ,   12444
 1022.3  ,   16265
 1046.8  ,   15374
 1071.2  ,   11474
 1095.6  ,    7668
 1120.0  ,    6313
 1144.4  ,    7489
 1168.8  ,   13419
 1193.3  ,   25966
 1217.7  ,   41609
 1242.1  ,   50506
 1266.5  ,   43443
 1290.9  ,   27600
 1315.3  ,   14815
 1339.8  ,    9166
 1364.2  ,    8772
 1388.6  ,   13900
 1413.0  ,   27640
 1437.4  ,   50049
 1461.8  ,   70606
 1486.2  ,   73538
 1510.7  ,   55365
 1535.1  ,   32770
 1559.5  ,   18433
 1583.9  ,   13380
 1608.3  ,   15478
 1632.7  ,   30615
 1657.2  ,   72400
 1681.6  ,  149385
 1706.0  ,  234310
 1730.4  ,  270246
 1754.8  ,  227387
 1779.2  ,  140697
 1803.7  ,   68385
 1828.1  ,   30145
 1852.5  ,   15303
 1876.9  ,    9507
 1901.3  ,    6302
 1925.7  ,    4455
 1950.2  ,    4041
 1974.6  ,    4522
 1999.0  ,    4703
 2023.4  ,    4436
 2047.8  ,    3549
 2072.2  ,    2453
 2096.6  ,    1995
 2121.1  ,    1864
 2145.5  ,    1808
 2169.9  ,    2158
 2194.3  ,    3090
 2218.7  ,    5387
 2243.1  ,    9783
 2267.6  ,   14653
 2292.0  ,   18070
 2316.4  ,   16872
 2340.8  ,   12485
 2365.2  ,    7069
 2389.6  ,    3732
 2414.1  ,    2369
 2438.5  ,    2085
 2462.9  ,    2174
 2487.3  ,    2213
 2511.7  ,    2312
 2536.1  ,    2991
 2560.5  ,    4357
 2585.0  ,    5889
 2609.4  ,    6765
 2633.8  ,    6226
 2658.2  ,    4546
 2682.6  ,    2951
 2707.0  ,    1495
 2731.5  ,    1061
 2755.9  ,     962
 2780.3  ,     997
 2804.7  ,    1111
 2829.1  ,    1125
 2853.5  ,    1097
 2878.0  ,     971
 2902.4  ,     931
 2926.8  ,    1033
 2951.2  ,    1018
 2975.6  ,     901
 3000.0  ,     795
 3024.4  ,     693
 3048.9  ,     666
 3073.3  ,     571
 3097.7  ,     625
 3122.1  ,     616
 3146.5  ,     687
 3170.9  ,     810
 3195.4  ,    1038
 3219.8  ,    1543
 3244.2  ,    2383
 3268.6  ,    3403
 3293.0  ,    4122
 3317.4  ,    4078
 3341.9  ,    3544
 3366.3  ,    2527
 3390.7  ,    1657
 3415.1  ,    1144
 3439.5  ,     943
 3463.9  ,    1002
 3488.3  ,    1106
 3512.8  ,    1460
 3537.2  ,    1999
 3561.6  ,    3079
 3586.0  ,    5353
 3610.4  ,    9307
 3634.8  ,   14454
 3659.3  ,   18907
 3683.7  ,   20621
 3708.1  ,   18146
 3732.5  ,   12742
 3756.9  ,    7549
 3781.3  ,    3786
 3805.8  ,    1807
 3830.2  ,     894
 3854.6  ,     727
 3879.0  ,     719
 3903.4  ,     977
 3927.8  ,    1499
 3952.2  ,    2058
 3976.7  ,    2615
 4001.1  ,    2913
 4025.5  ,    2840
 4049.9  ,    2304
 4074.3  ,    1736
 4098.7  ,    1203
 4123.2  ,     844
 4147.6  ,     668
 4172.0  ,     516
 4196.4  ,     481
 4220.8  ,     441
 4245.2  ,     451
 4269.7  ,     430
 4294.1  ,     470
 4318.5  ,     470
 4342.9  ,     496
 4367.3  ,     629
 4391.7  ,     786
 4416.1  ,    1213
 4440.6  ,    1742
 4465.0  ,    2280
 4489.4  ,    2554
 4513.8  ,    2522
 4538.2  ,    2180
 4562.6  ,    1747
 4587.1  ,    1363
 4611.5  ,    1144
 4635.9  ,    1045
 4660.3  ,     941
 4684.7  ,     780
 4709.1  ,     692
 4733.6  ,     570
 4758.0  ,     515
 4782.4  ,     483
 4806.8  ,     503
 4831.2  ,     545
 4855.6  ,     621
 4880.1  ,     761
 4904.5  ,     822
 4928.9  ,     791
 4953.3  ,     776
 4977.7  ,     680
 5002.1  ,     620
 5026.5  ,     568
 5051.0  ,     481
 5075.4  ,     500
 5099.8  ,     457
 5124.2  ,     489
 5148.6  ,     500
 5173.0  ,     535
 5197.5  ,     545
 5221.9  ,     600
 5246.3  ,     637
 5270.7  ,     750
 5295.1  ,    1063
 5319.5  ,    1369
 5344.0  ,    1839
 5368.4  ,    2328
 5392.8  ,    2534
 5417.2  ,    2403
 5441.6  ,    2096
 5466.0  ,    1556
 5490.4  ,    1111
 5514.9  ,     877
 5539.3  ,     708
 5563.7  ,     655
 5588.1  ,     593
 5612.5  ,     605
 5636.9  ,     606
 5661.4  ,     658
 5685.8  ,     618
 5710.2  ,     703
 5734.6  ,     804
 5759.0  ,     951
 5783.4  ,    1167
 5807.9  ,    1667
 5832.3  ,    2171
 5856.7  ,    2562
 5881.1  ,    2808
 5905.5  ,    2776
 5929.9  ,    2486
 5954.3  ,    2048
 5978.8  ,    1713
 6003.2  ,    1450
 6027.6  ,    1421
 6052.0  ,    1306
 6076.4  ,    1383
 6100.8  ,    1648
 6125.3  ,    1774
 6149.7  ,    2163
 6174.1  ,    2848
 6198.5  ,    4521
 6222.9  ,    7894
 6247.3  ,   15685
 6271.8  ,   30592
 6296.2  ,   53605
 6320.6  ,   83007
 6345.0  ,  115291
 6369.4  ,  135795
 6393.8  ,  138932
 6418.2  ,  121252
 6442.7  ,   90824
 6467.1  ,   59389
 6491.5  ,   32931
 6515.9  ,   15905
 6540.3  ,    7016
 6564.7  ,    2848
 6589.2  ,    1321
 6613.6  ,     746
 6638.0  ,     609
 6662.4  ,     620
 6686.8  ,     610
 6711.2  ,     628
 6735.7  ,     678
 6760.1  ,     699
 6784.5  ,     802
 6808.9  ,     928
 6833.3  ,    1111
 6857.7  ,    1595
 6882.1  ,    2388
 6906.6  ,    3914
 6931.0  ,    6628
 6955.4  ,   10304
 6979.8  ,   14780
 7004.2  ,   19322
 7028.6  ,   21477
 7053.1  ,   21597
 7077.5  ,   18620
 7101.9  ,   13942
 7126.3  ,    9448
 7150.7  ,    5528
 7175.1  ,    2895
 7199.6  ,    1438
 7224.0  ,     668
 7248.4  ,     372
 7272.8  ,     237
 7297.2  ,     239
 7321.6  ,     202
 7346.1  ,     210
 7370.5  ,     296
 7394.9  ,     334
 7419.3  ,     377
 7443.7  ,     380
 7468.1  ,     417
 7492.5  ,     370
 7517.0  ,     324
 7541.4  ,     280
 7565.8  ,     239
 7590.2  ,     194
 7614.6  ,     170
 7639.0  ,     176
 7663.5  ,     140
 7687.9  ,     145
 7712.3  ,     150
 7736.7  ,     131
 7761.1  ,     183
 7785.5  ,     165
 7810.0  ,     182
 7834.4  ,     181
 7858.8  ,     172
 7883.2  ,     185
 7907.6  ,     175
 7932.0  ,     195
 7956.4  ,     185
 7980.9  ,     207
 8005.3  ,     161
 8029.7  ,     185
 8054.1  ,     153
 8078.5  ,     161
 8102.9  ,     161
 8127.4  ,     160
 8151.8  ,     174
 8176.2  ,     200
 8200.6  ,     160
 8225.0  ,     195
 8249.4  ,     177
 8273.9  ,     208
 8298.3  ,     179
 8322.7  ,     157
 8347.1  ,     162
 8371.5  ,     179
 8395.9  ,     164
 8420.3  ,     201
 8444.8  ,     266
 8469.2  ,     352
 8493.6  ,     539
 8518.0  ,     787
 8542.4  ,    1002
 8566.8  ,    1372
 8591.3  ,    1592
 8615.7  ,    1813
 8640.1  ,    1653
 8664.5  ,    1427
 8688.9  ,    1126
 8713.3  ,     796
 8737.8  ,     518
 8762.2  ,     332
 8786.6  ,     226
 8811.0  ,     181
 8835.4  ,     148
 8859.8  ,     154
 8884.2  ,     146
 8908.7  ,     148
 8933.1  ,     134
 8957.5  ,     147
 8981.9  ,     153
 9006.3  ,     165
 9030.7  ,     156
 9055.2  ,     147
 9079.6  ,     151
 9104.0  ,     149
 9128.4  ,     174
 9152.8  ,     170
 9177.2  ,     158
 9201.7  ,     157
 9226.1  ,     171
 9250.5  ,     192
 9274.9  ,     190
 9299.3  ,     163
 9323.7  ,     148
 9348.1  ,     138
 9372.6  ,     159
 9397.0  ,     173
 9421.4  ,     231
 9445.8  ,     223
 9470.2  ,     297
 9494.6  ,     337
 9519.1  ,     393
 9543.5  ,     422
 9567.9  ,     415
 9592.3  ,     400
 9616.7  ,     356
 9641.1  ,     267
 9665.6  ,     254
 9690.0  ,     190
 9714.4  ,     175
 9738.8  ,     183
 9763.2  ,     172
 9787.6  ,     205
 9812.0  ,     266
 9836.5  ,     233
 9860.9  ,     259
 9885.3  ,     244
 9909.7  ,     243
 9934.1  ,     219
 9958.5  ,     203
 9983.0  ,     154
10007.4  ,     145
10031.8  ,     151
10056.2  ,     116
10080.6  ,     160
10105.0  ,     149
10129.5  ,     120
10153.9  ,     112
10178.3  ,     147
10202.7  ,     148
10227.1  ,     137
10251.5  ,     129
10276.0  ,     140
10300.4  ,     139
10324.8  ,     132
10349.2  ,     133
10373.6  ,     115
10398.0  ,     152
10422.4  ,     140
10446.9  ,     131
10471.3  ,     121
10495.7  ,     152
10520.1  ,     140
10544.5  ,     161
10568.9  ,     161
10593.4  ,     136
10617.8  ,     123
10642.2  ,     160
10666.6  ,     136
10691.0  ,     142
10715.4  ,     146
10739.9  ,     157
10764.3  ,     134
10788.7  ,     156
10813.1  ,     129
10837.5  ,     146
10861.9  ,     171
10886.3  ,     167
10910.8  ,     171
10935.2  ,     182
10959.6  ,     158
10984.0  ,     160
11008.4  ,     156
11032.8  ,     134
11057.3  ,     169
11081.7  ,     181
11106.1  ,     150
11130.5  ,     155
11154.9  ,     175
11179.3  ,     161
11203.8  ,     200
11228.2  ,     171
11252.6  ,     179
11277.0  ,     202
11301.4  ,     185
11325.8  ,     205
11350.2  ,     198
11374.7  ,     216
11399.1  ,     217
11423.5  ,     223
11447.9  ,     223
11472.3  ,     236
11496.7  ,     244
11521.2  ,     240
11545.6  ,     273
11570.0  ,     276
11594.4  ,     271
11618.8  ,     281
11643.2  ,     280
11667.7  ,     300
11692.1  ,     278
11716.5  ,     324
11740.9  ,     358
11765.3  ,     416
11789.7  ,     511
11814.1  ,     579
11838.6  ,     679
11863.0  ,     875
11887.4  ,     843
11911.8  ,     888
11936.2  ,     807
11960.6  ,     762
11985.1  ,     689
12009.5  ,     580
12033.9  ,     498
12058.3  ,     472
12082.7  ,     481
12107.1  ,     452
12131.6  ,     442
12156.0  ,     409
12180.4  ,     415
12204.8  ,     362
12229.2  ,     299
12253.6  ,     302
12278.0  ,     229
12302.5  ,     236
12326.9  ,     206
12351.3  ,     192
12375.7  ,     201
12400.1  ,     169
