"Target: Matthew, Contains DAT files: APB_429504116ESC03610120000_______M2.DAT"
  486.3  ,   14400
  510.7  ,       0
  535.0  ,       0
  559.4  ,       0
  583.7  ,       0
  608.1  ,     116
  632.4  ,    3000
  656.8  ,    3050
  681.1  ,    3331
  705.5  ,    3330
  729.8  ,    3293
  754.2  ,    3218
  778.5  ,    3110
  802.9  ,    3108
  827.2  ,    3251
  851.6  ,    3377
  875.9  ,    3405
  900.3  ,    3962
  924.6  ,    4997
  949.0  ,    7003
  973.3  ,   11488
  997.7  ,   16380
 1022.0  ,   19639
 1046.4  ,   18849
 1070.7  ,   14740
 1095.1  ,   10056
 1119.4  ,    7505
 1143.8  ,    7630
 1168.1  ,   10920
 1192.5  ,   16531
 1216.8  ,   22654
 1241.2  ,   25515
 1265.5  ,   23389
 1289.9  ,   17603
 1314.2  ,   12466
 1338.6  ,   10667
 1362.9  ,   13262
 1387.3  ,   23406
 1411.6  ,   42815
 1436.0  ,   68873
 1460.3  ,   90273
 1484.7  ,   92975
 1509.0  ,   76400
 1533.4  ,   50495
 1557.7  ,   30073
 1582.1  ,   21241
 1606.4  ,   24537
 1630.8  ,   44820
 1655.1  ,   89326
 1679.5  ,  154827
 1703.8  ,  221856
 1728.2  ,  250625
 1752.5  ,  220331
 1776.9  ,  155864
 1801.2  ,   90146
 1825.6  ,   44852
 1849.9  ,   21857
 1874.3  ,   11893
 1898.6  ,    7133
 1923.0  ,    4826
 1947.3  ,    3734
 1971.7  ,    3633
 1996.0  ,    3585
 2020.4  ,    3333
 2044.7  ,    2852
 2069.1  ,    2090
 2093.4  ,    1693
 2117.8  ,    1522
 2142.1  ,    1388
 2166.5  ,    1654
 2190.8  ,    2192
 2215.2  ,    3528
 2239.5  ,    5466
 2263.9  ,    7618
 2288.2  ,    9235
 2312.6  ,    8926
 2336.9  ,    7082
 2361.3  ,    4774
 2385.6  ,    2845
 2410.0  ,    1760
 2434.3  ,    1535
 2458.7  ,    1342
 2483.0  ,    1379
 2507.4  ,    1471
 2531.7  ,    1736
 2556.1  ,    2245
 2580.4  ,    2835
 2604.8  ,    3137
 2629.1  ,    2965
 2653.5  ,    2440
 2677.8  ,    1694
 2702.2  ,    1203
 2726.5  ,     835
 2750.9  ,     700
 2775.2  ,     703
 2799.6  ,     774
 2823.9  ,     700
 2848.3  ,     725
 2872.6  ,     774
 2897.0  ,     802
 2921.3  ,     827
 2945.7  ,     937
 2970.0  ,     915
 2994.4  ,     770
 3018.7  ,     691
 3043.1  ,     604
 3067.4  ,     545
 3091.8  ,     577
 3116.1  ,     606
 3140.5  ,     751
 3164.8  ,     911
 3189.2  ,    1375
 3213.5  ,    2142
 3237.9  ,    3475
 3262.2  ,    4896
 3286.6  ,    5826
 3310.9  ,    6343
 3335.3  ,    5377
 3359.6  ,    4213
 3384.0  ,    2756
 3408.3  ,    1713
 3432.7  ,    1211
 3457.0  ,    1027
 3481.4  ,    1150
 3505.7  ,    1457
 3530.1  ,    2098
 3554.4  ,    3233
 3578.8  ,    5222
 3603.1  ,    8597
 3627.5  ,   12539
 3651.8  ,   16353
 3676.2  ,   17498
 3700.5  ,   16752
 3724.9  ,   13150
 3749.2  ,    9008
 3773.6  ,    5008
 3797.9  ,    2617
 3822.3  ,    1327
 3846.6  ,     785
 3871.0  ,     707
 3895.3  ,     898
 3919.7  ,    1165
 3944.0  ,    1699
 3968.4  ,    2094
 3992.7  ,    2437
 4017.1  ,    2417
 4041.4  ,    2159
 4065.8  ,    1632
 4090.1  ,    1264
 4114.5  ,     870
 4138.8  ,     617
 4163.2  ,     453
 4187.5  ,     384
 4211.9  ,     347
 4236.2  ,     325
 4260.6  ,     342
 4284.9  ,     344
 4309.3  ,     362
 4333.6  ,     379
 4358.0  ,     509
 4382.3  ,     639
 4406.7  ,     836
 4431.0  ,    1207
 4455.4  ,    1593
 4479.7  ,    1834
 4504.1  ,    1838
 4528.4  ,    1729
 4552.8  ,    1311
 4577.1  ,    1089
 4601.5  ,     813
 4625.8  ,     712
 4650.2  ,     598
 4674.5  ,     497
 4698.9  ,     442
 4723.2  ,     380
 4747.6  ,     381
 4771.9  ,     360
 4796.3  ,     362
 4820.6  ,     391
 4845.0  ,     419
 4869.3  ,     471
 4893.7  ,     493
 4918.0  ,     536
 4942.4  ,     523
 4966.7  ,     479
 4991.1  ,     474
 5015.4  ,     400
 5039.8  ,     354
 5064.1  ,     329
 5088.5  ,     320
 5112.8  ,     343
 5137.2  ,     338
 5161.5  ,     336
 5185.9  ,     325
 5210.2  ,     352
 5234.6  ,     376
 5258.9  ,     401
 5283.3  ,     418
 5307.6  ,     444
 5332.0  ,     467
 5356.3  ,     510
 5380.7  ,     561
 5405.0  ,     599
 5429.4  ,     539
 5453.7  ,     500
 5478.1  ,     415
 5502.4  ,     389
 5526.8  ,     391
 5551.1  ,     390
 5575.5  ,     378
 5599.8  ,     374
 5624.2  ,     407
 5648.5  ,     407
 5672.9  ,     423
 5697.2  ,     425
 5721.6  ,     504
 5745.9  ,     596
 5770.3  ,     758
 5794.6  ,     972
 5819.0  ,    1210
 5843.3  ,    1465
 5867.7  ,    1560
 5892.0  ,    1607
 5916.4  ,    1437
 5940.7  ,    1181
 5965.1  ,    1064
 5989.4  ,     856
 6013.8  ,     799
 6038.1  ,     728
 6062.5  ,     822
 6086.8  ,     872
 6111.2  ,     966
 6135.5  ,    1205
 6159.9  ,    1536
 6184.2  ,    2322
 6208.6  ,    4036
 6232.9  ,    7267
 6257.3  ,   13744
 6281.6  ,   23300
 6306.0  ,   37074
 6330.3  ,   51078
 6354.7  ,   62856
 6379.0  ,   67458
 6403.4  ,   64047
 6427.7  ,   53072
 6452.1  ,   39175
 6476.4  ,   24909
 6500.8  ,   13990
 6525.1  ,    7158
 6549.5  ,    3420
 6573.8  ,    1500
 6598.2  ,     705
 6622.5  ,     485
 6646.9  ,     373
 6671.2  ,     361
 6695.6  ,     358
 6719.9  ,     390
 6744.3  ,     415
 6768.6  ,     442
 6793.0  ,     523
 6817.3  ,     619
 6841.7  ,     845
 6866.0  ,    1223
 6890.4  ,    1837
 6914.7  ,    2958
 6939.1  ,    4551
 6963.4  ,    6493
 6987.8  ,    8788
