"Target: Maya, Contains DAT files: APB_430653584ESC03740140000_______M4.DAT"
  484.0  ,    7200
  508.4  ,       0
  532.7  ,       0
  557.1  ,       0
  581.4  ,       0
  605.8  ,     116
  630.1  ,     598
  654.5  ,     609
  678.8  ,     669
  703.2  ,     666
  727.5  ,     692
  751.9  ,     618
  776.2  ,     617
  800.6  ,     618
  824.9  ,     651
  849.3  ,     608
  873.7  ,     668
  898.0  ,     712
  922.4  ,     815
  946.7  ,    1157
  971.1  ,    1503
  995.4  ,    2070
 1019.8  ,    2372
 1044.1  ,    2364
 1068.5  ,    2135
 1092.8  ,    1608
 1117.2  ,    1398
 1141.5  ,    1648
 1165.9  ,    2623
 1190.2  ,    4180
 1214.6  ,    5600
 1238.9  ,    6497
 1263.3  ,    5879
 1287.7  ,    4512
 1312.0  ,    3167
 1336.4  ,    2346
 1360.7  ,    2415
 1385.1  ,    3742
 1409.4  ,    6328
 1433.8  ,    9930
 1458.1  ,   12697
 1482.5  ,   13166
 1506.8  ,   11164
 1531.2  ,    7819
 1555.5  ,    5130
 1579.9  ,    3825
 1604.2  ,    4560
 1628.6  ,    8203
 1653.0  ,   15588
 1677.3  ,   26677
 1701.7  ,   37289
 1726.0  ,   42713
 1750.4  ,   38771
 1774.7  ,   28503
 1799.1  ,   17666
 1823.4  ,    9234
 1847.8  ,    4778
 1872.1  ,    2599
 1896.5  ,    1625
 1920.8  ,    1076
 1945.2  ,     910
 1969.5  ,     835
 1993.9  ,     913
 2018.3  ,     841
 2042.6  ,     750
 2067.0  ,     621
 2091.3  ,     487
 2115.7  ,     387
 2140.0  ,     385
 2164.4  ,     494
 2188.7  ,     699
 2213.1  ,    1125
 2237.4  ,    1695
 2261.8  ,    2412
 2286.1  ,    2871
 2310.5  ,    2795
 2334.8  ,    2331
 2359.2  ,    1660
 2383.5  ,     994
 2407.9  ,     596
 2432.3  ,     453
 2456.6  ,     434
 2481.0  ,     421
 2505.3  ,     413
 2529.7  ,     526
 2554.0  ,     684
 2578.4  ,     762
 2602.7  ,     885
 2627.1  ,     789
 2651.4  ,     651
 2675.8  ,     512
 2700.1  ,     335
 2724.5  ,     219
 2748.8  ,     186
 2773.2  ,     155
 2797.6  ,     197
 2821.9  ,     220
 2846.3  ,     230
 2870.6  ,     236
 2895.0  ,     280
 2919.3  ,     310
 2943.7  ,     334
 2968.0  ,     356
 2992.4  ,     305
 3016.7  ,     239
 3041.1  ,     184
 3065.4  ,     164
 3089.8  ,     116
 3114.1  ,     146
 3138.5  ,     159
 3162.8  ,     191
 3187.2  ,     219
 3211.6  ,     308
 3235.9  ,     372
 3260.3  ,     559
 3284.6  ,     604
 3309.0  ,     677
 3333.3  ,     589
 3357.7  ,     524
 3382.0  ,     407
 3406.4  ,     257
 3430.7  ,     211
 3455.1  ,     215
 3479.4  ,     234
 3503.8  ,     279
 3528.1  ,     410
 3552.5  ,     581
 3576.9  ,     993
 3601.2  ,    1574
 3625.6  ,    2302
 3649.9  ,    2922
 3674.3  ,    3269
 3698.6  ,    3061
 3723.0  ,    2508
 3747.3  ,    1817
 3771.7  ,    1072
 3796.0  ,     615
 3820.4  ,     307
 3844.7  ,     202
 3869.1  ,     171
 3893.4  ,     185
 3917.8  ,     228
 3942.2  ,     342
 3966.5  ,     412
 3990.9  ,     487
 4015.2  ,     508
 4039.6  ,     441
 4063.9  ,     348
 4088.3  ,     278
 4112.6  ,     196
 4137.0  ,     173
 4161.3  ,     119
 4185.7  ,     105
 4210.0  ,      81
 4234.4  ,      77
 4258.7  ,      88
 4283.1  ,      81
 4307.4  ,      86
 4331.8  ,      98
 4356.2  ,     134
 4380.5  ,     168
 4404.9  ,     203
 4429.2  ,     317
 4453.6  ,     392
 4477.9  ,     423
 4502.3  ,     440
 4526.6  ,     438
 4551.0  ,     339
 4575.3  ,     271
 4599.7  ,     203
 4624.0  ,     171
 4648.4  ,     135
 4672.7  ,     139
 4697.1  ,     126
 4721.5  ,      98
 4745.8  ,      94
 4770.2  ,      89
 4794.5  ,     103
 4818.9  ,      94
 4843.2  ,     112
 4867.6  ,     137
 4891.9  ,     142
 4916.3  ,     119
 4940.6  ,     105
 4965.0  ,     138
 4989.3  ,     101
 5013.7  ,     104
 5038.0  ,      93
 5062.4  ,      89
 5086.8  ,      97
 5111.1  ,      87
 5135.5  ,      80
 5159.8  ,      92
 5184.2  ,      87
 5208.5  ,      92
 5232.9  ,     104
 5257.2  ,     126
 5281.6  ,     129
 5305.9  ,     146
 5330.3  ,     179
 5354.6  ,     195
 5379.0  ,     196
 5403.3  ,     218
 5427.7  ,     202
 5452.0  ,     167
 5476.4  ,     142
 5500.8  ,     118
 5525.1  ,      94
 5549.5  ,     119
 5573.8  ,      83
 5598.2  ,     109
 5622.5  ,     105
 5646.9  ,     100
 5671.2  ,     102
 5695.6  ,      98
 5719.9  ,     117
 5744.3  ,     148
 5768.6  ,     188
 5793.0  ,     213
 5817.3  ,     276
 5841.7  ,     309
 5866.1  ,     341
 5890.4  ,     381
 5914.8  ,     331
 5939.1  ,     282
 5963.5  ,     223
 5987.8  ,     223
 6012.2  ,     201
 6036.5  ,     202
 6060.9  ,     187
 6085.2  ,     209
 6109.6  ,     245
 6133.9  ,     287
 6158.3  ,     353
 6182.6  ,     568
 6207.0  ,     910
 6231.3  ,    1715
 6255.7  ,    3272
 6280.1  ,    5391
 6304.4  ,    8242
 6328.8  ,   11638
 6353.1  ,   13960
 6377.5  ,   15050
 6401.8  ,   14462
 6426.2  ,   12230
 6450.5  ,    9243
 6474.9  ,    5895
 6499.2  ,    3461
 6523.6  ,    1836
 6547.9  ,     880
 6572.3  ,     366
 6596.6  ,     203
 6621.0  ,     142
 6645.4  ,      91
 6669.7  ,     105
 6694.1  ,      79
 6718.4  ,      85
 6742.8  ,      87
 6767.1  ,     122
 6791.5  ,     145
 6815.8  ,     152
 6840.2  ,     182
 6864.5  ,     311
 6888.9  ,     449
 6913.2  ,     710
 6937.6  ,    1091
 6961.9  ,    1505
 6986.3  ,    1963
 7010.7  ,    2234
 7035.0  ,    2364
 7059.4  ,    2289
 7083.7  ,    1918
 7108.1  ,    1474
 7132.4  ,     989
 7156.8  ,     631
 7181.1  ,     352
 7205.5  ,     208
 7229.8  ,     103
 7254.2  ,      64
 7278.5  ,      54
 7302.9  ,      59
 7327.2  ,      55
 7351.6  ,      71
 7375.9  ,      77
 7400.3  ,      85
 7424.7  ,      99
 7449.0  ,      87
 7473.4  ,      91
 7497.7  ,     100
 7522.1  ,      78
 7546.4  ,      62
 7570.8  ,      65
 7595.1  ,      52
 7619.5  ,      36
 7643.8  ,      41
 7668.2  ,      41
 7692.5  ,      43
 7716.9  ,      43
 7741.2  ,      42
 7765.6  ,      44
 7790.0  ,      41
 7814.3  ,      48
 7838.7  ,      50
 7863.0  ,      53
 7887.4  ,      47
 7911.7  ,      55
 7936.1  ,      47
