"Target: BardinBluffs2_pebble, Contains DAT files: APB_432465123ESC03940160050_______M2.DAT"
  480.6  ,     660
  505.0  ,       0
  529.4  ,       0
  553.8  ,       0
  578.2  ,       0
  602.6  ,     116
  627.0  ,       0
  651.4  ,       2
  675.8  ,      97
  700.2  ,     122
  724.6  ,     110
  749.0  ,     111
  773.4  ,      88
  797.8  ,      97
  822.2  ,     117
  846.6  ,     108
  871.0  ,     111
  895.4  ,     115
  919.8  ,     135
  944.2  ,     148
  968.6  ,     254
  993.0  ,     449
 1017.4  ,     579
 1041.8  ,     597
 1066.2  ,     447
 1090.6  ,     318
 1115.0  ,     187
 1139.4  ,     188
 1163.8  ,     210
 1188.2  ,     335
 1212.6  ,     523
 1237.0  ,     620
 1261.4  ,     589
 1285.8  ,     481
 1310.2  ,     305
 1334.6  ,     274
 1359.0  ,     308
 1383.4  ,     521
 1407.8  ,    1192
 1432.2  ,    2176
 1456.5  ,    3213
 1480.9  ,    3505
 1505.3  ,    2786
 1529.7  ,    1716
 1554.1  ,     876
 1578.5  ,     535
 1602.9  ,     546
 1627.3  ,     929
 1651.7  ,    2172
 1676.1  ,    4444
 1700.5  ,    7417
 1724.9  ,    8960
 1749.3  ,    7870
 1773.7  ,    5323
 1798.1  ,    2688
 1822.5  ,    1262
 1846.9  ,     579
 1871.3  ,     330
 1895.7  ,     225
 1920.1  ,     137
 1944.5  ,     112
 1968.9  ,     106
 1993.3  ,     107
 2017.7  ,     106
 2042.1  ,      86
 2066.5  ,      63
 2090.9  ,      48
 2115.3  ,      53
 2139.7  ,      45
 2164.1  ,      52
 2188.5  ,      84
 2212.9  ,     101
 2237.3  ,     221
 2261.7  ,     268
 2286.1  ,     369
 2310.5  ,     363
 2334.9  ,     257
 2359.3  ,     179
 2383.7  ,     100
 2408.1  ,      71
 2432.5  ,      57
 2456.9  ,      59
 2481.3  ,      53
 2505.7  ,      68
 2530.1  ,     108
 2554.5  ,     124
 2578.9  ,     195
 2603.3  ,     259
 2627.7  ,     223
 2652.1  ,     151
 2676.5  ,      91
 2700.9  ,      69
 2725.3  ,      31
 2749.7  ,      41
 2774.1  ,      33
 2798.5  ,      44
 2822.9  ,      25
 2847.3  ,      40
 2871.7  ,      30
 2896.1  ,      39
 2920.5  ,      39
 2944.9  ,      33
 2969.3  ,      24
 2993.7  ,      23
 3018.1  ,      21
 3042.5  ,      19
 3066.9  ,      14
 3091.3  ,      14
 3115.7  ,      22
 3140.1  ,      18
 3164.5  ,      19
 3188.9  ,      25
 3213.3  ,      26
 3237.7  ,      51
 3262.1  ,      71
 3286.5  ,      76
 3310.9  ,     104
 3335.3  ,      91
 3359.7  ,      57
 3384.0  ,      37
 3408.4  ,      37
 3432.8  ,      27
 3457.2  ,      25
 3481.6  ,      27
 3506.0  ,      38
 3530.4  ,      57
 3554.8  ,      70
 3579.2  ,     125
 3603.6  ,     199
 3628.0  ,     307
 3652.4  ,     484
 3676.8  ,     514
 3701.2  ,     400
 3725.6  ,     342
 3750.0  ,     203
 3774.4  ,     122
 3798.8  ,      52
 3823.2  ,      34
 3847.6  ,      18
 3872.0  ,      19
 3896.4  ,      24
 3920.8  ,      35
 3945.2  ,      46
 3969.6  ,      65
 3994.0  ,      64
 4018.4  ,      60
 4042.8  ,      60
 4067.2  ,      39
 4091.6  ,      39
 4116.0  ,      31
 4140.4  ,      18
 4164.8  ,      14
 4189.2  ,       9
 4213.6  ,      15
 4238.0  ,      16
 4262.4  ,      10
 4286.8  ,      20
 4311.2  ,      17
 4335.6  ,      13
 4360.0  ,      20
 4384.4  ,      16
 4408.8  ,      28
 4433.2  ,      35
 4457.6  ,      61
 4482.0  ,      53
 4506.4  ,      54
 4530.8  ,      52
 4555.2  ,      51
 4579.6  ,      26
 4604.0  ,      24
 4628.4  ,      15
 4652.8  ,      31
 4677.2  ,      28
 4701.6  ,      21
 4726.0  ,      19
 4750.4  ,      15
 4774.8  ,      16
 4799.2  ,      11
 4823.6  ,      16
 4848.0  ,      19
 4872.4  ,      18
 4896.8  ,      24
 4921.2  ,      10
 4945.6  ,      17
 4970.0  ,      14
 4994.4  ,      13
 5018.8  ,      15
 5043.2  ,       6
 5067.6  ,      20
 5092.0  ,      15
 5116.4  ,      15
 5140.8  ,      14
 5165.2  ,      13
 5189.6  ,      14
 5214.0  ,       8
 5238.4  ,      10
 5262.8  ,      17
 5287.1  ,      16
 5311.5  ,      13
 5335.9  ,      13
 5360.3  ,      17
 5384.7  ,      25
 5409.1  ,      12
 5433.5  ,      14
 5457.9  ,      15
 5482.3  ,      14
 5506.7  ,      17
 5531.1  ,      25
 5555.5  ,      11
 5579.9  ,      28
 5604.3  ,      13
 5628.7  ,      12
 5653.1  ,      22
 5677.5  ,      13
 5701.9  ,      17
 5726.3  ,      23
 5750.7  ,      21
 5775.1  ,      16
 5799.5  ,      31
 5823.9  ,      24
 5848.3  ,      39
 5872.7  ,      32
 5897.1  ,      46
 5921.5  ,      30
 5945.9  ,      29
 5970.3  ,      33
 5994.7  ,      30
 6019.1  ,      34
 6043.5  ,      28
 6067.9  ,      20
 6092.3  ,      39
 6116.7  ,      39
 6141.1  ,      44
 6165.5  ,      42
 6189.9  ,      94
 6214.3  ,     163
 6238.7  ,     313
 6263.1  ,     643
 6287.5  ,    1095
 6311.9  ,    1788
 6336.3  ,    2406
 6360.7  ,    2911
 6385.1  ,    3037
 6409.5  ,    2754
 6433.9  ,    2088
 6458.3  ,    1425
 6482.7  ,     819
 6507.1  ,     394
 6531.5  ,     185
 6555.9  ,      86
 6580.3  ,      27
 6604.7  ,      15
 6629.1  ,      20
 6653.5  ,      23
 6677.9  ,      16
 6702.3  ,      28
 6726.7  ,      13
 6751.1  ,      12
 6775.5  ,      26
 6799.9  ,      18
 6824.3  ,      30
 6848.7  ,      25
 6873.1  ,      59
 6897.5  ,      88
 6921.9  ,     133
 6946.3  ,     196
 6970.7  ,     350
 6995.1  ,     413
 7019.5  ,     516
 7043.9  ,     463
 7068.3  ,     426
 7092.7  ,     311
 7117.1  ,     223
 7141.5  ,     136
 7165.9  ,      81
 7190.3  ,      48
 7214.6  ,      22
 7239.0  ,      13
 7263.4  ,       4
 7287.8  ,       4
 7312.2  ,       5
 7336.6  ,      10
 7361.0  ,       7
 7385.4  ,       4
 7409.8  ,       7
 7434.2  ,       7
 7458.6  ,       7
 7483.0  ,       5
 7507.4  ,      11
 7531.8  ,       8
 7556.2  ,       5
 7580.6  ,       2
 7605.0  ,      10
 7629.4  ,       5
 7653.8  ,       5
 7678.2  ,       2
 7702.6  ,       1
 7727.0  ,       5
 7751.4  ,       2
 7775.8  ,       2
 7800.2  ,       5
 7824.6  ,       4
 7849.0  ,       2
 7873.4  ,       4
 7897.8  ,       6
 7922.2  ,       5
 7946.6  ,       5
 7971.0  ,       7
 7995.4  ,      10
 8019.8  ,       4
 8044.2  ,      10
 8068.6  ,       7
 8093.0  ,       1
 8117.4  ,       5
 8141.8  ,       6
 8166.2  ,       6
 8190.6  ,       6
 8215.0  ,       2
 8239.4  ,       3
 8263.8  ,       2
 8288.2  ,       1
 8312.6  ,       4
 8337.0  ,       4
 8361.4  ,       8
 8385.8  ,       4
 8410.2  ,       6
 8434.6  ,       7
 8459.0  ,      10
 8483.4  ,       8
 8507.8  ,      10
 8532.2  ,      20
 8556.6  ,      14
 8581.0  ,      11
 8605.4  ,      21
 8629.8  ,      14
 8654.2  ,      18
 8678.6  ,      13
 8703.0  ,       8
 8727.4  ,      15
 8751.8  ,       3
 8776.2  ,       8
 8800.6  ,       7
 8825.0  ,       3
 8849.4  ,       8
 8873.8  ,       7
 8898.2  ,       6
 8922.6  ,       8
 8947.0  ,       6
 8971.4  ,       6
 8995.8  ,       5
 9020.2  ,       5
 9044.6  ,       4
 9069.0  ,       6
 9093.4  ,       5
 9117.8  ,       6
 9142.1  ,       7
 9166.5  ,       5
 9190.9  ,       6
 9215.3  ,       4
 9239.7  ,       8
 9264.1  ,       7
 9288.5  ,       5
 9312.9  ,       6
 9337.3  ,       5
 9361.7  ,       6
 9386.1  ,       3
 9410.5  ,       9
 9434.9  ,       7
 9459.3  ,       9
 9483.7  ,       4
 9508.1  ,       8
 9532.5  ,       9
 9556.9  ,       4
 9581.3  ,       4
 9605.7  ,       8
 9630.1  ,       8
 9654.5  ,      10
 9678.9  ,       2
 9703.3  ,       6
 9727.7  ,       5
 9752.1  ,       7
 9776.5  ,       6
 9800.9  ,       4
 9825.3  ,       5
 9849.7  ,       5
 9874.1  ,       4
 9898.5  ,       4
 9922.9  ,       4
 9947.3  ,       8
 9971.7  ,       5
 9996.1  ,       4
10020.5  ,       5
10044.9  ,       8
10069.3  ,       6
10093.7  ,       5
10118.1  ,       5
10142.5  ,       6
10166.9  ,       5
10191.3  ,       4
10215.7  ,       8
10240.1  ,       3
10264.5  ,       4
10288.9  ,       2
10313.3  ,      11
10337.7  ,       2
10362.1  ,      14
10386.5  ,       8
10410.9  ,       7
10435.3  ,       3
10459.7  ,       6
10484.1  ,       6
10508.5  ,       4
10532.9  ,       6
10557.3  ,       2
10581.7  ,       2
10606.1  ,       1
10630.5  ,       6
10654.9  ,       9
10679.3  ,       6
10703.7  ,       4
10728.1  ,       5
10752.5  ,       6
10776.9  ,       6
10801.3  ,       5
10825.7  ,       1
10850.1  ,       2
10874.5  ,       5
10898.9  ,       4
10923.3  ,       4
10947.7  ,       5
10972.1  ,       9
10996.5  ,       5
11020.9  ,       4
11045.2  ,       3
11069.6  ,       0
11094.0  ,       6
11118.4  ,       5
11142.8  ,       6
11167.2  ,       8
11191.6  ,       4
11216.0  ,       5
11240.4  ,       6
11264.8  ,       9
11289.2  ,       9
11313.6  ,      11
11338.0  ,       5
11362.4  ,       5
11386.8  ,       3
11411.2  ,       7
11435.6  ,       9
11460.0  ,      10
11484.4  ,      11
11508.8  ,       9
11533.2  ,       9
11557.6  ,      12
11582.0  ,      10
11606.4  ,       5
11630.8  ,       7
11655.2  ,      14
11679.6  ,      12
11704.0  ,      17
11728.4  ,      11
11752.8  ,      20
11777.2  ,      16
