"Target: Glossopteris_Gully, Contains DAT files: APB_432964693ESC04000160148_______M2.DAT"
  486.8  ,   14400
  511.2  ,       0
  535.5  ,       0
  559.9  ,       0
  584.2  ,       0
  608.6  ,     116
  632.9  ,    2260
  657.3  ,    2394
  681.6  ,    2518
  706.0  ,    2623
  730.3  ,    2545
  754.7  ,    2450
  779.0  ,    2352
  803.4  ,    2418
  827.7  ,    2411
  852.1  ,    2591
  876.4  ,    2645
  900.8  ,    2878
  925.1  ,    3376
  949.5  ,    4636
  973.8  ,    7267
  998.2  ,   10476
 1022.5  ,   12741
 1046.9  ,   12212
 1071.2  ,    9478
 1095.6  ,    6621
 1119.9  ,    5138
 1144.3  ,    5871
 1168.6  ,    8566
 1193.0  ,   14279
 1217.3  ,   20395
 1241.7  ,   23718
 1266.0  ,   20975
 1290.4  ,   15297
 1314.7  ,    9687
 1339.1  ,    7587
 1363.4  ,    9151
 1387.8  ,   16241
 1412.1  ,   31050
 1436.5  ,   52370
 1460.8  ,   69817
 1485.2  ,   72144
 1509.5  ,   57142
 1533.9  ,   36009
 1558.2  ,   20197
 1582.6  ,   13407
 1606.9  ,   15764
 1631.3  ,   29737
 1655.6  ,   61315
 1680.0  ,  113163
 1704.3  ,  166175
 1728.7  ,  187708
 1753.0  ,  164339
 1777.4  ,  111440
 1801.7  ,   60473
 1826.1  ,   28933
 1850.4  ,   14207
 1874.8  ,    8014
 1899.1  ,    5205
 1923.5  ,    3611
 1947.8  ,    3105
 1972.2  ,    3092
 1996.5  ,    3254
 2020.9  ,    3069
 2045.2  ,    2457
 2069.6  ,    1806
 2093.9  ,    1574
 2118.3  ,    1278
 2142.6  ,    1342
 2167.0  ,    1619
 2191.3  ,    2335
 2215.7  ,    4022
 2240.0  ,    6771
 2264.4  ,    9797
 2288.7  ,   11587
 2313.1  ,   11367
 2337.4  ,    8786
 2361.8  ,    5593
 2386.1  ,    3111
 2410.5  ,    1831
 2434.9  ,    1596
 2459.2  ,    1447
 2483.6  ,    1575
 2507.9  ,    1725
 2532.3  ,    2231
 2556.6  ,    3136
 2581.0  ,    4146
 2605.3  ,    4591
 2629.7  ,    4502
 2654.0  ,    3432
 2678.4  ,    2215
 2702.7  ,    1305
 2727.1  ,     825
 2751.4  ,     771
 2775.8  ,     695
 2800.1  ,     717
 2824.5  ,     783
 2848.8  ,     753
 2873.2  ,     840
 2897.5  ,     850
 2921.9  ,     842
 2946.2  ,     842
 2970.6  ,     795
 2994.9  ,     702
 3019.3  ,     524
 3043.6  ,     448
 3068.0  ,     428
 3092.3  ,     413
 3116.7  ,     418
 3141.0  ,     455
 3165.4  ,     589
 3189.7  ,     660
 3214.1  ,    1071
 3238.4  ,    1528
 3262.8  ,    2121
 3287.1  ,    2635
 3311.5  ,    2693
 3335.8  ,    2377
 3360.2  ,    1804
 3384.5  ,    1294
 3408.9  ,     842
 3433.2  ,     709
 3457.6  ,     670
 3481.9  ,     704
 3506.3  ,     909
 3530.6  ,    1287
 3555.0  ,    2018
 3579.3  ,    3405
 3603.7  ,    5589
 3628.0  ,    8691
 3652.4  ,   11274
 3676.7  ,   12473
 3701.1  ,   11710
 3725.4  ,    8812
 3749.8  ,    5741
 3774.1  ,    3207
 3798.5  ,    1567
 3822.8  ,     801
 3847.2  ,     542
 3871.5  ,     533
 3895.9  ,     611
 3920.2  ,     861
 3944.6  ,    1159
 3968.9  ,    1540
 3993.3  ,    1779
 4017.6  ,    1794
 4042.0  ,    1534
 4066.3  ,    1260
 4090.7  ,     850
 4115.0  ,     596
 4139.4  ,     414
 4163.7  ,     359
 4188.1  ,     286
 4212.4  ,     276
 4236.8  ,     258
 4261.1  ,     235
 4285.5  ,     246
 4309.8  ,     286
 4334.2  ,     308
 4358.6  ,     346
 4382.9  ,     449
 4407.3  ,     701
 4431.6  ,     865
 4456.0  ,    1196
 4480.3  ,    1451
 4504.7  ,    1401
 4529.0  ,    1186
 4553.4  ,     997
 4577.7  ,     812
 4602.1  ,     630
 4626.4  ,     523
 4650.8  ,     492
 4675.1  ,     421
 4699.5  ,     333
 4723.8  ,     295
 4748.2  ,     280
 4772.5  ,     279
 4796.9  ,     304
 4821.2  ,     308
 4845.6  ,     361
 4869.9  ,     404
 4894.3  ,     420
 4918.6  ,     431
 4943.0  ,     413
 4967.3  ,     409
 4991.7  ,     368
 5016.0  ,     284
 5040.4  ,     264
 5064.7  ,     243
 5089.1  ,     258
 5113.4  ,     270
 5137.8  ,     234
 5162.1  ,     257
 5186.5  ,     258
 5210.8  ,     271
 5235.2  ,     274
 5259.5  ,     277
 5283.9  ,     321
 5308.2  ,     346
 5332.6  ,     430
 5356.9  ,     414
 5381.3  ,     468
 5405.6  ,     472
 5430.0  ,     468
 5454.3  ,     444
 5478.7  ,     359
 5503.0  ,     342
 5527.4  ,     299
 5551.7  ,     301
 5576.1  ,     318
 5600.4  ,     345
 5624.8  ,     300
 5649.1  ,     275
 5673.5  ,     311
 5697.8  ,     315
 5722.2  ,     383
 5746.5  ,     415
 5770.9  ,     463
 5795.2  ,     585
 5819.6  ,     729
 5843.9  ,     801
 5868.3  ,     918
 5892.6  ,     906
 5917.0  ,     829
 5941.3  ,     763
 5965.7  ,     671
 5990.0  ,     636
 6014.4  ,     538
 6038.7  ,     562
 6063.1  ,     629
 6087.4  ,     678
 6111.8  ,     774
 6136.1  ,     890
 6160.5  ,    1134
 6184.8  ,    1678
 6209.2  ,    2873
 6233.5  ,    5214
 6257.9  ,   10118
 6282.3  ,   17667
 6306.6  ,   28182
 6331.0  ,   39491
 6355.3  ,   49006
 6379.7  ,   52413
 6404.0  ,   49892
 6428.4  ,   40713
 6452.7  ,   29229
 6477.1  ,   18162
 6501.4  ,   10176
 6525.8  ,    4788
 6550.1  ,    2158
 6574.5  ,    1017
 6598.8  ,     505
 6623.2  ,     367
 6647.5  ,     343
 6671.9  ,     295
 6696.2  ,     300
 6720.6  ,     266
 6744.9  ,     338
 6769.3  ,     344
 6793.6  ,     389
 6818.0  ,     469
 6842.3  ,     649
 6866.7  ,     912
 6891.0  ,    1430
 6915.4  ,    2196
 6939.7  ,    3351
 6964.1  ,    5078
 6988.4  ,    6550
 7012.8  ,    7828
 7037.1  ,    8257
 7061.5  ,    7711
 7085.8  ,    6383
 7110.2  ,    4704
 7134.5  ,    2928
 7158.9  ,    1812
 7183.2  ,     925
 7207.6  ,     509
 7231.9  ,     316
 7256.3  ,     200
 7280.6  ,     150
 7305.0  ,     172
 7329.3  ,     147
 7353.7  ,     154
 7378.0  ,     151
 7402.4  ,     192
 7426.7  ,     191
 7451.1  ,     208
 7475.4  ,     244
 7499.8  ,     187
 7524.1  ,     155
 7548.5  ,     184
 7572.8  ,     136
 7597.2  ,     125
 7621.5  ,     113
 7645.9  ,     133
 7670.2  ,     130
 7694.6  ,     119
 7718.9  ,     107
 7743.3  ,     120
 7767.6  ,     114
 7792.0  ,     112
 7816.3  ,     139
 7840.7  ,     120
 7865.0  ,     140
 7889.4  ,     157
 7913.7  ,     147
 7938.1  ,     182
 7962.4  ,     197
 7986.8  ,     198
 8011.1  ,     168
 8035.5  ,     221
 8059.8  ,     197
 8084.2  ,     166
 8108.5  ,     161
 8132.9  ,     136
 8157.3  ,     134
 8181.6  ,     148
 8206.0  ,     126
 8230.3  ,     134
 8254.7  ,     136
 8279.0  ,     140
 8303.4  ,     129
 8327.7  ,     145
 8352.1  ,     143
 8376.4  ,     151
 8400.8  ,     155
 8425.1  ,     169
 8449.5  ,     196
 8473.8  ,     249
 8498.2  ,     385
 8522.5  ,     544
 8546.9  ,     671
 8571.2  ,     846
 8595.6  ,     888
 8619.9  ,     993
 8644.3  ,     890
 8668.6  ,     765
 8693.0  ,     557
 8717.3  ,     403
 8741.7  ,     312
 8766.0  ,     216
 8790.4  ,     173
 8814.7  ,     160
 8839.1  ,     134
 8863.4  ,     118
 8887.8  ,     129
 8912.1  ,     135
 8936.5  ,     150
 8960.8  ,     127
 8985.2  ,     156
 9009.5  ,     149
 9033.9  ,     123
 9058.2  ,     150
 9082.6  ,     152
 9106.9  ,     135
 9131.3  ,     171
 9155.6  ,     164
 9180.0  ,     137
 9204.3  ,     175
 9228.7  ,     166
 9253.0  ,     154
 9277.4  ,     178
 9301.7  ,     141
 9326.1  ,     143
 9350.4  ,     124
 9374.8  ,     153
 9399.1  ,     141
 9423.5  ,     161
 9447.8  ,     170
 9472.2  ,     201
 9496.5  ,     210
 9520.9  ,     250
 9545.2  ,     263
 9569.6  ,     267
 9593.9  ,     234
 9618.3  ,     224
 9642.6  ,     202
 9667.0  ,     166
 9691.3  ,     158
 9715.7  ,     148
 9740.0  ,     123
 9764.4  ,     143
 9788.7  ,     128
 9813.1  ,     125
 9837.4  ,     112
 9861.8  ,     124
 9886.1  ,     138
 9910.5  ,     121
 9934.8  ,     107
 9959.2  ,     116
 9983.5  ,      98
10007.9  ,     120
10032.2  ,     126
10056.6  ,     120
10081.0  ,     100
10105.3  ,     117
10129.7  ,     113
10154.0  ,     101
10178.4  ,     114
10202.7  ,     119
10227.1  ,     128
10251.4  ,     118
10275.8  ,     148
10300.1  ,     141
10324.5  ,     127
10348.8  ,     144
10373.2  ,     128
10397.5  ,     125
10421.9  ,     147
10446.2  ,     112
10470.6  ,     132
10494.9  ,     155
10519.3  ,     132
10543.6  ,     134
10568.0  ,     134
10592.3  ,     131
10616.7  ,     138
10641.0  ,     126
10665.4  ,     140
10689.7  ,     131
10714.1  ,     123
10738.4  ,     112
10762.8  ,     130
10787.1  ,     104
10811.5  ,     143
10835.8  ,     139
10860.2  ,     149
10884.5  ,     130
10908.9  ,     113
10933.2  ,     123
10957.6  ,     134
10981.9  ,     137
11006.3  ,     122
11030.6  ,     141
11055.0  ,     132
11079.3  ,     138
11103.7  ,     148
11128.0  ,     142
11152.4  ,     133
11176.7  ,     144
11201.1  ,     134
11225.4  ,     148
11249.8  ,     144
11274.1  ,     129
11298.5  ,     162
11322.8  ,     196
11347.2  ,     182
11371.5  ,     193
11395.9  ,     202
11420.2  ,     216
11444.6  ,     209
11468.9  ,     228
11493.3  ,     250
11517.6  ,     246
11542.0  ,     263
11566.3  ,     270
11590.7  ,     269
11615.0  ,     250
11639.4  ,     264
11663.7  ,     240
11688.1  ,     276
11712.4  ,     297
11736.8  ,     300
11761.1  ,     342
11785.5  ,     335
11809.8  ,     453
11834.2  ,     475
11858.5  ,     543
11882.9  ,     512
11907.2  ,     547
11931.6  ,     505
11955.9  ,     468
11980.3  ,     442
12004.7  ,     417
12029.0  ,     413
12053.4  ,     411
12077.7  ,     392
12102.1  ,     438
12126.4  ,     389
12150.8  ,     335
12175.1  ,     378
12199.5  ,     325
12223.8  ,     280
12248.2  ,     254
12272.5  ,     236
12296.9  ,     209
12321.2  ,     213
12345.6  ,     199
12369.9  ,     212
12394.3  ,     208
12418.6  ,     209
12443.0  ,     227
12467.3  ,     221
12491.7  ,     226
12516.0  ,     225
12540.4  ,     271
12564.7  ,     252
12589.1  ,     239
12613.4  ,     292
12637.8  ,     293
12662.1  ,     294
12686.5  ,     290
12710.8  ,     306
12735.2  ,     308
12759.5  ,     311
12783.9  ,     379
12808.2  ,     347
12832.6  ,     381
12856.9  ,     393
12881.3  ,     408
12905.6  ,     439
12930.0  ,     460
12954.3  ,     504
12978.7  ,     529
13003.0  ,     574
13027.4  ,     595
13051.7  ,     650
13076.1  ,     746
13100.4  ,     797
13124.8  ,     861
13149.1  ,     988
13173.5  ,    1128
13197.8  ,    1227
13222.2  ,    1440
13246.5  ,    1491
13270.9  ,    1661
13295.2  ,    1903
13319.6  ,    2160
13343.9  ,    2318
13368.3  ,    2392
13392.6  ,    2471
13417.0  ,    2621
13441.3  ,    2673
13465.7  ,    2652
13490.0  ,    2787
13514.4  ,    2830
13538.7  ,    2591
13563.1  ,    2629
13587.4  ,    2529
13611.8  ,    2465
13636.1  ,    2294
13660.5  ,    2079
13684.8  ,    1954
13709.2  ,    1748
13733.5  ,    1716
13757.9  ,    1508
13782.2  ,    1370
13806.6  ,    1211
13830.9  ,    1092
13855.3  ,     977
13879.6  ,     953
13904.0  ,     832
13928.4  ,     881
13952.7  ,     915
13977.1  ,     978
14001.4  ,    1037
14025.8  ,    1201
14050.1  ,    1309
14074.5  ,    1568
14098.8  ,    1846
14123.2  ,    2069
14147.5  ,    2538
14171.9  ,    2780
14196.2  ,    3080
14220.6  ,    3502
14244.9  ,    3573
14269.3  ,    3562
14293.6  ,    3366
14318.0  ,    3001
14342.3  ,    2540
14366.7  ,    1923
14391.0  ,    1529
14415.4  ,    1013
14439.7  ,     689
14464.1  ,     499
14488.4  ,     378
14512.8  ,     237
14537.1  ,     225
14561.5  ,     201
14585.8  ,     227
14610.2  ,     177
14634.5  ,     169
14658.9  ,     199
14683.2  ,     213
14707.6  ,     195
14731.9  ,     190
14756.3  ,     224
14780.6  ,     201
14805.0  ,     244
14829.3  ,     229
14853.7  ,     253
14878.0  ,     282
