"Target: Rensselaer, Contains DAT files: APB_436781880ESC04430220000_______M2.DAT"
  489.0  ,    9000
  513.4  ,       0
  537.7  ,       0
  562.1  ,       0
  586.5  ,       0
  610.8  ,     116
  635.2  ,    2497
  659.6  ,    2792
  683.9  ,    3060
  708.3  ,    3150
  732.7  ,    2903
  757.0  ,    2645
  781.4  ,    2574
  805.8  ,    2595
  830.2  ,    2599
  854.5  ,    2630
  878.9  ,    2800
  903.3  ,    3059
  927.6  ,    3398
  952.0  ,    4346
  976.4  ,    6370
 1000.7  ,    9258
 1025.1  ,   11092
 1049.5  ,   10476
 1073.8  ,    7876
 1098.2  ,    5750
 1122.6  ,    5515
 1146.9  ,    7219
 1171.3  ,   12799
 1195.7  ,   22899
 1220.0  ,   34513
 1244.4  ,   39714
 1268.8  ,   33646
 1293.1  ,   21787
 1317.5  ,   12084
 1341.9  ,    7873
 1366.2  ,    8010
 1390.6  ,   12856
 1415.0  ,   23791
 1439.3  ,   40122
 1463.7  ,   53182
 1488.1  ,   53461
 1512.5  ,   40798
 1536.8  ,   24926
 1561.2  ,   14471
 1585.6  ,   11222
 1609.9  ,   15688
 1634.3  ,   31432
 1658.7  ,   69021
 1683.0  ,  130520
 1707.4  ,  191291
 1731.8  ,  210313
 1756.1  ,  176985
 1780.5  ,  111741
 1804.9  ,   56497
 1829.2  ,   25776
 1853.6  ,   12671
 1878.0  ,    7650
 1902.3  ,    4972
 1926.7  ,    3581
 1951.1  ,    3165
 1975.4  ,    3404
 1999.8  ,    3710
 2024.2  ,    3209
 2048.5  ,    2640
 2072.9  ,    1999
 2097.3  ,    1650
 2121.7  ,    1525
 2146.0  ,    1493
 2170.4  ,    1820
 2194.8  ,    2628
 2219.1  ,    4605
 2243.5  ,    7788
 2267.9  ,   11084
 2292.2  ,   13214
 2316.6  ,   12328
 2341.0  ,    9015
 2365.3  ,    5486
 2389.7  ,    3122
 2414.1  ,    1924
 2438.4  ,    1646
 2462.8  ,    1687
 2487.2  ,    1718
 2511.5  ,    1948
 2535.9  ,    2643
 2560.3  ,    3624
 2584.6  ,    4926
 2609.0  ,    5702
 2633.4  ,    5134
 2657.7  ,    3837
 2682.1  ,    2402
 2706.5  ,    1409
 2730.9  ,     952
 2755.2  ,     884
 2779.6  ,     908
 2804.0  ,     937
 2828.3  ,     967
 2852.7  ,     834
 2877.1  ,     759
 2901.4  ,     797
 2925.8  ,     786
 2950.2  ,     759
 2974.5  ,     708
 2998.9  ,     630
 3023.3  ,     581
 3047.6  ,     541
 3072.0  ,     515
 3096.4  ,     628
 3120.7  ,     635
 3145.1  ,     787
 3169.5  ,    1019
 3193.8  ,    1575
 3218.2  ,    2932
 3242.6  ,    4832
 3266.9  ,    7001
 3291.3  ,    8471
 3315.7  ,    8599
 3340.0  ,    7182
 3364.4  ,    4894
 3388.8  ,    2831
 3413.2  ,    1594
 3437.5  ,    1044
 3461.9  ,     860
 3486.3  ,    1130
 3510.6  ,    1434
 3535.0  ,    1881
 3559.4  ,    3005
 3583.7  ,    4571
 3608.1  ,    7265
 3632.5  ,   10366
 3656.8  ,   13266
 3681.2  ,   13613
 3705.6  ,   12401
 3729.9  ,    9116
 3754.3  ,    5518
 3778.7  ,    2979
 3803.0  ,    1436
 3827.4  ,     726
 3851.8  ,     602
 3876.1  ,     632
 3900.5  ,     749
 3924.9  ,    1069
 3949.2  ,    1445
 3973.6  ,    1837
 3998.0  ,    1987
 4022.4  ,    1890
 4046.7  ,    1662
 4071.1  ,    1220
 4095.5  ,     933
 4119.8  ,     635
 4144.2  ,     468
 4168.6  ,     380
 4192.9  ,     342
 4217.3  ,     325
 4241.7  ,     334
 4266.0  ,     354
 4290.4  ,     367
 4314.8  ,     354
 4339.1  ,     400
 4363.5  ,     513
 4387.9  ,     721
 4412.2  ,     912
 4436.6  ,    1270
 4461.0  ,    1794
 4485.3  ,    1955
 4509.7  ,    1867
 4534.1  ,    1716
 4558.4  ,    1366
 4582.8  ,    1108
 4607.2  ,     886
 4631.5  ,     793
 4655.9  ,     671
 4680.3  ,     629
 4704.7  ,     589
 4729.0  ,     444
 4753.4  ,     395
 4777.8  ,     365
 4802.1  ,     404
 4826.5  ,     437
 4850.9  ,     470
 4875.2  ,     550
 4899.6  ,     587
 4924.0  ,     613
 4948.3  ,     577
 4972.7  ,     497
 4997.1  ,     497
 5021.4  ,     388
 5045.8  ,     378
 5070.2  ,     351
 5094.5  ,     375
 5118.9  ,     374
 5143.3  ,     409
 5167.6  ,     365
 5192.0  ,     392
 5216.4  ,     422
 5240.7  ,     468
 5265.1  ,     574
 5289.5  ,     695
 5313.9  ,     952
 5338.2  ,    1145
 5362.6  ,    1396
 5387.0  ,    1491
 5411.3  ,    1509
 5435.7  ,    1276
 5460.1  ,    1095
 5484.4  ,     817
 5508.8  ,     615
 5533.2  ,     484
 5557.5  ,     507
 5581.9  ,     458
 5606.3  ,     449
 5630.6  ,     473
 5655.0  ,     509
 5679.4  ,     509
 5703.7  ,     501
 5728.1  ,     654
 5752.5  ,     777
 5776.8  ,     991
 5801.2  ,    1318
 5825.6  ,    1770
 5849.9  ,    2164
 5874.3  ,    2272
 5898.7  ,    2166
 5923.0  ,    2101
 5947.4  ,    1637
 5971.8  ,    1405
 5996.2  ,    1151
 6020.5  ,    1028
 6044.9  ,    1055
 6069.3  ,    1131
 6093.6  ,    1234
 6118.0  ,    1362
 6142.4  ,    1633
 6166.7  ,    2227
 6191.1  ,    3437
 6215.5  ,    6233
 6239.8  ,   11491
 6264.2  ,   21633
 6288.6  ,   37518
 6312.9  ,   59042
 6337.3  ,   80435
 6361.7  ,   98729
 6386.0  ,  102011
 6410.4  ,   93396
 6434.8  ,   72751
 6459.1  ,   49344
 6483.5  ,   28631
 6507.9  ,   14828
 6532.2  ,    6912
 6556.6  ,    2831
 6581.0  ,    1259
 6605.4  ,     705
 6629.7  ,     491
 6654.1  ,     522
 6678.5  ,     464
 6702.8  ,     447
 6727.2  ,     484
 6751.6  ,     494
 6775.9  ,     576
 6800.3  ,     635
 6824.7  ,     800
 6849.0  ,    1191
 6873.4  ,    1818
 6897.8  ,    2692
 6922.1  ,    4589
 6946.5  ,    7134
 6970.9  ,   10249
 6995.2  ,   13220
 7019.6  ,   15460
 7044.0  ,   15603
 7068.3  ,   14200
 7092.7  ,   11305
 7117.1  ,    7670
 7141.4  ,    4786
 7165.8  ,    2661
 7190.2  ,    1347
 7214.6  ,     644
 7238.9  ,     350
 7263.3  ,     206
 7287.7  ,     167
 7312.0  ,     143
 7336.4  ,     180
 7360.8  ,     226
 7385.1  ,     231
 7409.5  ,     285
 7433.9  ,     320
 7458.2  ,     311
 7482.6  ,     286
 7507.0  ,     284
 7531.3  ,     231
 7555.7  ,     200
 7580.1  ,     145
 7604.4  ,     159
 7628.8  ,     134
 7653.2  ,     117
 7677.5  ,     110
 7701.9  ,     131
 7726.3  ,     132
 7750.6  ,     114
 7775.0  ,     124
 7799.4  ,     117
 7823.7  ,     132
 7848.1  ,     129
 7872.5  ,     127
 7896.9  ,     142
 7921.2  ,     125
 7945.6  ,     139
 7970.0  ,     130
 7994.3  ,     122
 8018.7  ,     120
 8043.1  ,     129
 8067.4  ,     133
 8091.8  ,     146
 8116.2  ,     166
 8140.5  ,     147
 8164.9  ,     145
 8189.3  ,     132
 8213.6  ,     174
 8238.0  ,     145
 8262.4  ,     143
 8286.7  ,     147
 8311.1  ,     149
 8335.5  ,     113
 8359.8  ,     146
 8384.2  ,     144
 8408.6  ,     160
 8432.9  ,     220
 8457.3  ,     265
 8481.7  ,     438
 8506.1  ,     622
 8530.4  ,     954
 8554.8  ,    1222
 8579.2  ,    1520
 8603.5  ,    1590
 8627.9  ,    1646
 8652.3  ,    1519
 8676.6  ,    1187
 8701.0  ,     891
 8725.4  ,     617
 8749.7  ,     366
 8774.1  ,     240
 8798.5  ,     191
 8822.8  ,     121
 8847.2  ,     118
 8871.6  ,     121
 8895.9  ,     101
 8920.3  ,      97
 8944.7  ,     116
 8969.0  ,     113
 8993.4  ,     113
 9017.8  ,     139
 9042.1  ,     123
 9066.5  ,      97
 9090.9  ,     112
 9115.2  ,     112
 9139.6  ,     118
 9164.0  ,     112
 9188.4  ,     117
 9212.7  ,     157
 9237.1  ,     132
 9261.5  ,     128
 9285.8  ,     122
 9310.2  ,     122
 9334.6  ,     121
 9358.9  ,     146
 9383.3  ,     150
 9407.7  ,     157
 9432.0  ,     183
 9456.4  ,     221
 9480.8  ,     273
 9505.1  ,     332
 9529.5  ,     385
 9553.9  ,     337
 9578.2  ,     334
 9602.6  ,     354
 9627.0  ,     280
 9651.3  ,     232
 9675.7  ,     203
 9700.1  ,     187
 9724.4  ,     189
 9748.8  ,     198
 9773.2  ,     229
 9797.6  ,     248
 9821.9  ,     313
 9846.3  ,     346
 9870.7  ,     324
 9895.0  ,     291
 9919.4  ,     262
 9943.8  ,     240
 9968.1  ,     179
 9992.5  ,     156
10016.9  ,     121
10041.2  ,     103
10065.6  ,     110
10090.0  ,      92
10114.3  ,      97
10138.7  ,      89
10163.1  ,      88
10187.4  ,     108
10211.8  ,     104
10236.2  ,      87
10260.5  ,      98
10284.9  ,     105
10309.3  ,     108
10333.6  ,      96
10358.0  ,     101
10382.4  ,      97
10406.8  ,      96
10431.1  ,      99
10455.5  ,     109
10479.9  ,     120
10504.2  ,     124
10528.6  ,      94
10553.0  ,     107
10577.3  ,      90
10601.7  ,     131
10626.1  ,     106
10650.4  ,      96
10674.8  ,      98
10699.2  ,      85
10723.5  ,     122
10747.9  ,     111
10772.3  ,     113
10796.6  ,     107
10821.0  ,     110
10845.4  ,      98
10869.7  ,     116
10894.1  ,     105
10918.5  ,     128
10942.8  ,     148
10967.2  ,     142
10991.6  ,     150
11015.9  ,     158
11040.3  ,     138
11064.7  ,     135
11089.1  ,     135
11113.4  ,     114
11137.8  ,     133
11162.2  ,     116
11186.5  ,     120
11210.9  ,     126
11235.3  ,     115
11259.6  ,     113
11284.0  ,     127
11308.4  ,     127
11332.7  ,     128
11357.1  ,     164
11381.5  ,     155
11405.8  ,     177
11430.2  ,     173
11454.6  ,     156
11478.9  ,     193
11503.3  ,     201
11527.7  ,     179
11552.0  ,     190
11576.4  ,     190
11600.8  ,     204
11625.1  ,     220
11649.5  ,     183
11673.9  ,     197
11698.3  ,     191
11722.6  ,     226
11747.0  ,     210
11771.4  ,     265
11795.7  ,     360
11820.1  ,     391
11844.5  ,     446
11868.8  ,     444
11893.2  ,     484
11917.6  ,     471
11941.9  ,     457
11966.3  ,     419
11990.7  ,     386
12015.0  ,     333
12039.4  ,     344
12063.8  ,     288
12088.1  ,     370
12112.5  ,     327
12136.9  ,     300
12161.2  ,     301
12185.6  ,     256
12210.0  ,     237
12234.3  ,     236
12258.7  ,     196
12283.1  ,     171
