"Target: Cumberland_dump_substrate_touch, Contains DAT files: APB_440547441ESC04850240366_______M2.DAT"
  482.8  ,     600
  507.2  ,       0
  531.6  ,       0
  556.0  ,       0
  580.4  ,       0
  604.8  ,     116
  629.2  ,       0
  653.6  ,      51
  678.0  ,     151
  702.4  ,     171
  726.8  ,     158
  751.2  ,     163
  775.6  ,     151
  800.0  ,     146
  824.4  ,     147
  848.8  ,     149
  873.2  ,     157
  897.6  ,     182
  922.0  ,     174
  946.4  ,     204
  970.8  ,     333
  995.2  ,     508
 1019.6  ,     679
 1044.0  ,     621
 1068.4  ,     483
 1092.8  ,     365
 1117.2  ,     300
 1141.6  ,     357
 1166.0  ,     554
 1190.4  ,    1134
 1214.8  ,    1810
 1239.2  ,    2264
 1263.6  ,    2032
 1288.0  ,    1351
 1312.4  ,     731
 1336.8  ,     439
 1361.2  ,     359
 1385.6  ,     603
 1410.0  ,    1207
 1434.4  ,    2082
 1458.8  ,    3063
 1483.2  ,    3232
 1507.6  ,    2543
 1532.0  ,    1569
 1556.4  ,     837
 1580.8  ,     645
 1605.2  ,     680
 1629.7  ,    1314
 1654.1  ,    3068
 1678.5  ,    6249
 1702.9  ,   10058
 1727.3  ,   11939
 1751.7  ,   10612
 1776.1  ,    6637
 1800.5  ,    3285
 1824.9  ,    1356
 1849.3  ,     735
 1873.7  ,     448
 1898.1  ,     260
 1922.5  ,     214
 1946.9  ,     179
 1971.3  ,     220
 1995.7  ,     239
 2020.1  ,     237
 2044.5  ,     193
 2068.9  ,     138
 2093.3  ,      95
 2117.7  ,      87
 2142.1  ,     100
 2166.5  ,     116
 2190.9  ,     166
 2215.3  ,     253
 2239.7  ,     400
 2264.1  ,     678
 2288.5  ,     892
 2312.9  ,     816
 2337.3  ,     599
 2361.7  ,     352
 2386.1  ,     184
 2410.5  ,     108
 2434.9  ,     112
 2459.3  ,     102
 2483.7  ,     107
 2508.1  ,     118
 2532.5  ,     116
 2556.9  ,     155
 2581.3  ,     237
 2605.7  ,     261
 2630.1  ,     229
 2654.5  ,     149
 2678.9  ,     116
 2703.3  ,      57
 2727.7  ,      44
 2752.1  ,      49
 2776.5  ,      47
 2800.9  ,      47
 2825.3  ,      45
 2849.7  ,      53
 2874.1  ,      40
 2898.5  ,      36
 2922.9  ,      37
 2947.3  ,      43
 2971.7  ,      47
 2996.1  ,      36
 3020.5  ,      36
 3044.9  ,      35
 3069.3  ,      33
 3093.7  ,      23
 3118.1  ,      37
 3142.5  ,      36
 3166.9  ,      34
 3191.3  ,      62
 3215.7  ,      92
 3240.1  ,     161
 3264.5  ,     259
 3288.9  ,     288
 3313.3  ,     277
 3337.7  ,     261
 3362.1  ,     156
 3386.5  ,     101
 3410.9  ,      54
 3435.3  ,      43
 3459.7  ,      52
 3484.1  ,      63
 3508.5  ,      76
 3532.9  ,      92
 3557.3  ,     160
 3581.7  ,     259
 3606.1  ,     441
 3630.5  ,     620
 3654.9  ,     801
 3679.3  ,     872
 3703.7  ,     736
 3728.1  ,     562
 3752.5  ,     335
 3776.9  ,     179
 3801.3  ,      83
 3825.7  ,      38
 3850.1  ,      27
 3874.5  ,      34
 3899.0  ,      51
 3923.4  ,      48
 3947.8  ,      87
 3972.2  ,     100
 3996.6  ,     125
 4021.0  ,     138
 4045.4  ,     121
 4069.8  ,      83
 4094.2  ,      57
 4118.6  ,      51
 4143.0  ,      29
 4167.4  ,      23
 4191.8  ,      26
 4216.2  ,      25
 4240.6  ,      27
 4265.0  ,      18
 4289.4  ,      16
 4313.8  ,      18
 4338.2  ,      25
 4362.6  ,      34
 4387.0  ,      37
 4411.4  ,      55
 4435.8  ,      81
 4460.2  ,     120
 4484.6  ,     145
 4509.0  ,     119
 4533.4  ,     128
 4557.8  ,      70
 4582.2  ,      68
 4606.6  ,      44
 4631.0  ,      39
 4655.4  ,      47
 4679.8  ,      41
 4704.2  ,      30
 4728.6  ,      24
 4753.0  ,      24
 4777.4  ,      14
 4801.8  ,      28
 4826.2  ,      31
 4850.6  ,      25
 4875.0  ,      33
 4899.4  ,      40
 4923.8  ,      43
 4948.2  ,      28
 4972.6  ,      28
 4997.0  ,      32
 5021.4  ,      16
 5045.8  ,      24
 5070.2  ,      16
 5094.6  ,      28
 5119.0  ,      26
 5143.4  ,      27
 5167.8  ,      19
 5192.2  ,      23
 5216.6  ,      24
 5241.0  ,      22
 5265.4  ,      34
 5289.8  ,      46
 5314.2  ,      41
 5338.6  ,      76
 5363.0  ,      95
 5387.4  ,      85
 5411.8  ,      86
 5436.2  ,      60
 5460.6  ,      40
 5485.0  ,      36
 5509.4  ,      31
 5533.8  ,      34
 5558.2  ,      34
 5582.6  ,      33
 5607.0  ,      33
 5631.4  ,      33
 5655.8  ,      35
 5680.2  ,      21
 5704.6  ,      29
 5729.0  ,      34
 5753.4  ,      48
 5777.8  ,      66
 5802.2  ,      74
 5826.6  ,     114
 5851.0  ,     109
 5875.4  ,     149
 5899.8  ,     120
 5924.2  ,     110
 5948.6  ,     105
 5973.0  ,      59
 5997.4  ,      67
 6021.8  ,      70
 6046.2  ,      52
 6070.6  ,      65
 6095.0  ,      83
 6119.4  ,      85
 6143.8  ,     103
 6168.3  ,     108
 6192.7  ,     185
 6217.1  ,     336
 6241.5  ,     664
 6265.9  ,    1235
 6290.3  ,    2264
 6314.7  ,    3681
 6339.1  ,    4922
 6363.5  ,    5928
 6387.9  ,    6041
 6412.3  ,    5445
 6436.7  ,    4095
 6461.1  ,    2594
 6485.5  ,    1432
 6509.9  ,     716
 6534.3  ,     333
 6558.7  ,     148
 6583.1  ,      66
 6607.5  ,      39
 6631.9  ,      34
 6656.3  ,      35
 6680.7  ,      30
 6705.1  ,      20
 6729.5  ,      37
 6753.9  ,      29
 6778.3  ,      32
 6802.7  ,      44
 6827.1  ,      64
 6851.5  ,      71
 6875.9  ,     103
 6900.3  ,     180
 6924.7  ,     282
 6949.1  ,     434
 6973.5  ,     607
 6997.9  ,     771
 7022.3  ,     957
 7046.7  ,     980
 7071.1  ,     817
 7095.5  ,     657
 7119.9  ,     440
 7144.3  ,     285
 7168.7  ,     123
 7193.1  ,      62
 7217.5  ,      27
 7241.9  ,      20
 7266.3  ,       8
 7290.7  ,       9
 7315.1  ,       9
 7339.5  ,      20
 7363.9  ,      12
 7388.3  ,      16
 7412.7  ,      20
 7437.1  ,      23
 7461.5  ,      17
 7485.9  ,      20
 7510.3  ,      17
 7534.7  ,      13
 7559.1  ,      12
 7583.5  ,      13
 7607.9  ,       6
 7632.3  ,      13
 7656.7  ,      10
 7681.1  ,       8
 7705.5  ,       6
 7729.9  ,       8
 7754.3  ,       9
 7778.7  ,       5
 7803.1  ,       7
 7827.5  ,       8
 7851.9  ,       4
 7876.3  ,      12
 7900.7  ,       8
 7925.1  ,       9
 7949.5  ,       2
 7973.9  ,       7
 7998.3  ,       9
 8022.7  ,       8
 8047.1  ,       5
 8071.5  ,      12
 8095.9  ,       6
 8120.3  ,       6
 8144.7  ,      12
 8169.1  ,       7
 8193.5  ,      10
 8217.9  ,      14
 8242.3  ,       9
 8266.7  ,      10
 8291.1  ,      11
 8315.5  ,       4
 8339.9  ,       6
 8364.3  ,      12
 8388.7  ,       5
 8413.1  ,       9
 8437.6  ,      11
 8462.0  ,      14
 8486.4  ,      22
 8510.8  ,      49
 8535.2  ,      54
 8559.6  ,      66
 8584.0  ,      96
 8608.4  ,     101
 8632.8  ,     100
 8657.2  ,      68
 8681.6  ,      52
 8706.0  ,      45
 8730.4  ,      30
 8754.8  ,      23
 8779.2  ,      16
 8803.6  ,       6
 8828.0  ,       8
 8852.4  ,      10
 8876.8  ,       8
