"Target: Cumberland_dump_pile_center, Contains DAT files: APB_440781134ESC04880240366_______M2.DAT"
  485.0  ,    7200
  509.4  ,       0
  533.8  ,       0
  558.2  ,       0
  582.6  ,       0
  607.0  ,     116
  631.4  ,     628
  655.8  ,     665
  680.2  ,     757
  704.5  ,     715
  728.9  ,     715
  753.3  ,     636
  777.7  ,     621
  802.1  ,     647
  826.5  ,     635
  850.9  ,     690
  875.3  ,     696
  899.7  ,     738
  924.1  ,     789
  948.5  ,     976
  972.9  ,    1500
  997.3  ,    2362
 1021.7  ,    3017
 1046.1  ,    2784
 1070.5  ,    2103
 1094.8  ,    1423
 1119.2  ,    1210
 1143.6  ,    1433
 1168.0  ,    2538
 1192.4  ,    5021
 1216.8  ,    8403
 1241.2  ,   10422
 1265.6  ,    8921
 1290.0  ,    5423
 1314.4  ,    2792
 1338.8  ,    1683
 1363.2  ,    1607
 1387.6  ,    2358
 1412.0  ,    4946
 1436.4  ,    9259
 1460.8  ,   13149
 1485.1  ,   13366
 1509.5  ,   10104
 1533.9  ,    5880
 1558.3  ,    3103
 1582.7  ,    2209
 1607.1  ,    2550
 1631.5  ,    5131
 1655.9  ,   13182
 1680.3  ,   28007
 1704.7  ,   45110
 1729.1  ,   52303
 1753.5  ,   43940
 1777.9  ,   26228
 1802.3  ,   12367
 1826.7  ,    5311
 1851.1  ,    2808
 1875.4  ,    1886
 1899.8  ,    1153
 1924.2  ,     854
 1948.6  ,     835
 1973.0  ,     954
 1997.4  ,     956
 2021.8  ,     946
 2046.2  ,     713
 2070.6  ,     567
 2095.0  ,     418
 2119.4  ,     364
 2143.8  ,     355
 2168.2  ,     334
 2192.6  ,     488
 2217.0  ,     880
 2241.4  ,    1415
 2265.8  ,    2217
 2290.1  ,    2781
 2314.5  ,    2535
 2338.9  ,    1839
 2363.3  ,    1047
 2387.7  ,     559
 2412.1  ,     412
 2436.5  ,     345
 2460.9  ,     335
 2485.3  ,     394
 2509.7  ,     405
 2534.1  ,     547
 2558.5  ,     851
 2582.9  ,    1160
 2607.3  ,    1419
 2631.7  ,    1256
 2656.1  ,     963
 2680.4  ,     578
 2704.8  ,     322
 2729.2  ,     223
 2753.6  ,     196
 2778.0  ,     220
 2802.4  ,     247
 2826.8  ,     260
 2851.2  ,     284
 2875.6  ,     283
 2900.0  ,     379
 2924.4  ,     405
 2948.8  ,     432
 2973.2  ,     419
 2997.6  ,     312
 3022.0  ,     206
 3046.4  ,     140
 3070.7  ,     127
 3095.1  ,     128
 3119.5  ,     163
 3143.9  ,     141
 3168.3  ,     164
 3192.7  ,     235
 3217.1  ,     291
 3241.5  ,     419
 3265.9  ,     549
 3290.3  ,     668
 3314.7  ,     714
 3339.1  ,     607
 3363.5  ,     426
 3387.9  ,     315
 3412.3  ,     231
 3436.7  ,     196
 3461.0  ,     203
 3485.4  ,     246
 3509.8  ,     282
 3534.2  ,     371
 3558.6  ,     570
 3583.0  ,     948
 3607.4  ,    1849
 3631.8  ,    2844
 3656.2  ,    3595
 3680.6  ,    4078
 3705.0  ,    3515
 3729.4  ,    2646
 3753.8  ,    1503
 3778.2  ,     697
 3802.6  ,     351
 3827.0  ,     203
 3851.4  ,     155
 3875.7  ,     155
 3900.1  ,     192
 3924.5  ,     298
 3948.9  ,     422
 3973.3  ,     549
 3997.7  ,     555
 4022.1  ,     573
 4046.5  ,     479
 4070.9  ,     335
 4095.3  ,     244
 4119.7  ,     199
 4144.1  ,     130
 4168.5  ,     113
 4192.9  ,     111
 4217.3  ,     112
 4241.7  ,     120
 4266.0  ,      99
 4290.4  ,     103
 4314.8  ,     101
 4339.2  ,     117
 4363.6  ,     144
 4388.0  ,     170
 4412.4  ,     240
 4436.8  ,     410
 4461.2  ,     513
 4485.6  ,     590
 4510.0  ,     559
 4534.4  ,     459
 4558.8  ,     377
 4583.2  ,     309
 4607.6  ,     241
 4632.0  ,     211
 4656.3  ,     204
 4680.7  ,     195
 4705.1  ,     143
 4729.5  ,     131
 4753.9  ,     117
 4778.3  ,     112
 4802.7  ,     113
 4827.1  ,     131
 4851.5  ,     139
 4875.9  ,     160
 4900.3  ,     158
 4924.7  ,     165
 4949.1  ,     195
 4973.5  ,     165
 4997.9  ,     131
 5022.3  ,     127
 5046.6  ,     133
 5071.0  ,     112
 5095.4  ,     120
 5119.8  ,     110
 5144.2  ,     107
 5168.6  ,     132
 5193.0  ,      90
 5217.4  ,     119
 5241.8  ,     149
 5266.2  ,     151
 5290.6  ,     183
 5315.0  ,     251
 5339.4  ,     288
 5363.8  ,     376
 5388.2  ,     399
 5412.6  ,     396
 5436.9  ,     348
 5461.3  ,     281
 5485.7  ,     198
 5510.1  ,     145
 5534.5  ,     165
 5558.9  ,     150
 5583.3  ,     142
 5607.7  ,     148
 5632.1  ,     120
 5656.5  ,     157
 5680.9  ,     163
 5705.3  ,     144
 5729.7  ,     163
 5754.1  ,     185
 5778.5  ,     216
 5802.9  ,     297
 5827.3  ,     403
 5851.6  ,     477
 5876.0  ,     464
 5900.4  ,     485
 5924.8  ,     446
 5949.2  ,     376
 5973.6  ,     316
 5998.0  ,     256
 6022.4  ,     286
 6046.8  ,     258
 6071.2  ,     304
 6095.6  ,     293
 6120.0  ,     372
 6144.4  ,     413
 6168.8  ,     509
 6193.2  ,     856
 6217.6  ,    1444
 6241.9  ,    2921
 6266.3  ,    5737
 6290.7  ,   10231
 6315.1  ,   16594
 6339.5  ,   23034
 6363.9  ,   27807
 6388.3  ,   28543
 6412.7  ,   25173
 6437.1  ,   18746
 6461.5  ,   12241
 6485.9  ,    6843
 6510.3  ,    3308
 6534.7  ,    1340
 6559.1  ,     569
 6583.5  ,     276
 6607.9  ,     151
 6632.2  ,     129
 6656.6  ,     116
 6681.0  ,     155
 6705.4  ,     147
 6729.8  ,     152
 6754.2  ,     144
 6778.6  ,     201
 6803.0  ,     185
 6827.4  ,     235
 6851.8  ,     325
 6876.2  ,     487
 6900.6  ,     788
 6925.0  ,    1321
 6949.4  ,    2021
 6973.8  ,    2912
 6998.2  ,    3786
 7022.5  ,    4508
 7046.9  ,    4419
 7071.3  ,    3853
 7095.7  ,    2954
 7120.1  ,    1983
 7144.5  ,    1153
 7168.9  ,     603
 7193.3  ,     288
 7217.7  ,     157
 7242.1  ,      75
 7266.5  ,      55
 7290.9  ,      49
 7315.3  ,      70
 7339.7  ,      70
 7364.1  ,     111
 7388.5  ,     164
 7412.9  ,     169
 7437.2  ,     202
 7461.6  ,     222
 7486.0  ,     190
 7510.4  ,     139
 7534.8  ,     133
 7559.2  ,      91
 7583.6  ,      63
 7608.0  ,      55
 7632.4  ,      47
 7656.8  ,      52
 7681.2  ,      53
 7705.6  ,      34
 7730.0  ,      45
 7754.4  ,      44
 7778.8  ,      48
 7803.2  ,      40
 7827.5  ,      60
 7851.9  ,      61
 7876.3  ,      49
 7900.7  ,      44
 7925.1  ,      41
 7949.5  ,      38
 7973.9  ,      49
 7998.3  ,      45
 8022.7  ,      49
 8047.1  ,      50
 8071.5  ,      43
 8095.9  ,      65
 8120.3  ,      53
 8144.7  ,      51
 8169.1  ,      63
 8193.5  ,      67
 8217.8  ,      68
 8242.2  ,      59
 8266.6  ,      68
 8291.0  ,      65
 8315.4  ,      65
 8339.8  ,      69
 8364.2  ,      66
 8388.6  ,      63
 8413.0  ,      45
 8437.4  ,      57
 8461.8  ,      79
 8486.2  ,      96
 8510.6  ,     148
 8535.0  ,     196
 8559.4  ,     243
 8583.8  ,     343
 8608.1  ,     335
 8632.5  ,     341
 8656.9  ,     260
 8681.3  ,     207
 8705.7  ,     169
 8730.1  ,     115
 8754.5  ,      82
 8778.9  ,      66
 8803.3  ,      45
 8827.7  ,      49
 8852.1  ,      51
 8876.5  ,      41
 8900.9  ,      47
 8925.3  ,      48
 8949.7  ,      40
 8974.1  ,      58
 8998.5  ,      54
 9022.8  ,      50
 9047.2  ,      46
 9071.6  ,      33
 9096.0  ,      43
 9120.4  ,      47
 9144.8  ,      42
 9169.2  ,      56
 9193.6  ,      52
 9218.0  ,      59
 9242.4  ,      57
 9266.8  ,      52
 9291.2  ,      61
 9315.6  ,      51
 9340.0  ,      48
 9364.4  ,      45
 9388.8  ,      41
 9413.1  ,      47
 9437.5  ,      60
 9461.9  ,      65
 9486.3  ,      73
 9510.7  ,      69
 9535.1  ,      89
 9559.5  ,      77
 9583.9  ,      89
 9608.3  ,      83
 9632.7  ,      56
 9657.1  ,      55
 9681.5  ,      65
 9705.9  ,      56
 9730.3  ,      80
 9754.7  ,      60
 9779.1  ,      70
 9803.4  ,      62
 9827.8  ,      83
 9852.2  ,      99
 9876.6  ,      83
 9901.0  ,      84
 9925.4  ,      75
 9949.8  ,      58
 9974.2  ,      45
 9998.6  ,      50
10023.0  ,      50
10047.4  ,      46
10071.8  ,      40
10096.2  ,      44
10120.6  ,      33
10145.0  ,      39
10169.4  ,      29
10193.7  ,      27
10218.1  ,      42
10242.5  ,      31
10266.9  ,      38
10291.3  ,      46
10315.7  ,      47
10340.1  ,      48
10364.5  ,      36
10388.9  ,      46
10413.3  ,      47
10437.7  ,      49
10462.1  ,      46
10486.5  ,      54
10510.9  ,      38
10535.3  ,      50
10559.7  ,      46
10584.1  ,      48
10608.4  ,      40
10632.8  ,      51
10657.2  ,      42
10681.6  ,      40
10706.0  ,      58
10730.4  ,      44
10754.8  ,      48
10779.2  ,      41
10803.6  ,      36
10828.0  ,      53
10852.4  ,      43
10876.8  ,      41
10901.2  ,      49
10925.6  ,      57
10950.0  ,      50
10974.4  ,      43
10998.7  ,      45
11023.1  ,      45
11047.5  ,      54
11071.9  ,      57
11096.3  ,      40
11120.7  ,      38
11145.1  ,      41
11169.5  ,      41
11193.9  ,      41
11218.3  ,      57
11242.7  ,      34
11267.1  ,      54
11291.5  ,      53
11315.9  ,      53
11340.3  ,      55
11364.7  ,      53
11389.0  ,      52
11413.4  ,      65
11437.8  ,      61
11462.2  ,      69
11486.6  ,      62
11511.0  ,      76
11535.4  ,      75
11559.8  ,      68
11584.2  ,      71
11608.6  ,      69
11633.0  ,      85
11657.4  ,      58
11681.8  ,      77
11706.2  ,      52
11730.6  ,      66
11755.0  ,      73
11779.3  ,      78
11803.7  ,      74
11828.1  ,      78
11852.5  ,      87
11876.9  ,      96
11901.3  ,     106
11925.7  ,      98
11950.1  ,     109
11974.5  ,      83
11998.9  ,      96
12023.3  ,     117
12047.7  ,     105
12072.1  ,     115
12096.5  ,     114
12120.9  ,     107
12145.3  ,     128
12169.6  ,     108
12194.0  ,      88
12218.4  ,      90
12242.8  ,      78
12267.2  ,      76
12291.6  ,      74
12316.0  ,      68
12340.4  ,      70
12364.8  ,      58
12389.2  ,      56
12413.6  ,      77
12438.0  ,      62
12462.4  ,      62
12486.8  ,      65
12511.2  ,      76
12535.6  ,      64
12560.0  ,      86
12584.3  ,      67
12608.7  ,      90
12633.1  ,      70
12657.5  ,      85
12681.9  ,      80
12706.3  ,      84
12730.7  ,      74
12755.1  ,      92
12779.5  ,      96
12803.9  ,      90
12828.3  ,     111
12852.7  ,      87
12877.1  ,     102
12901.5  ,      99
12925.9  ,     104
12950.3  ,     128
12974.6  ,     132
12999.0  ,     124
13023.4  ,     160
13047.8  ,     144
13072.2  ,     187
13096.6  ,     198
13121.0  ,     205
13145.4  ,     259
13169.8  ,     255
13194.2  ,     283
13218.6  ,     315
13243.0  ,     334
13267.4  ,     358
13291.8  ,     423
13316.2  ,     464
13340.6  ,     453
13364.9  ,     539
13389.3  ,     517
13413.7  ,     550
13438.1  ,     626
13462.5  ,     581
13486.9  ,     593
13511.3  ,     565
13535.7  ,     548
13560.1  ,     536
13584.5  ,     531
13608.9  ,     578
13633.3  ,     507
13657.7  ,     441
13682.1  ,     421
13706.5  ,     392
13730.9  ,     331
13755.2  ,     355
13779.6  ,     321
13804.0  ,     271
13828.4  ,     259
13852.8  ,     213
13877.2  ,     241
13901.6  ,     226
13926.0  ,     216
13950.4  ,     187
13974.8  ,     237
13999.2  ,     255
14023.6  ,     288
14048.0  ,     308
14072.4  ,     358
14096.8  ,     433
14121.2  ,     473
14145.6  ,     612
14169.9  ,     716
14194.3  ,     855
14218.7  ,     905
14243.1  ,    1032
14267.5  ,     939
14291.9  ,     993
14316.3  ,     813
14340.7  ,     720
14365.1  ,     565
14389.5  ,     444
14413.9  ,     284
14438.3  ,     189
14462.7  ,     162
14487.1  ,      96
14511.5  ,      75
14535.9  ,      66
14560.2  ,      51
14584.6  ,      72
14609.0  ,      64
14633.4  ,      49
14657.8  ,      57
14682.2  ,      44
14706.6  ,      52
14731.0  ,      58
14755.4  ,      71
14779.8  ,      69
14804.2  ,      69
14828.6  ,      81
14853.0  ,      69
14877.4  ,      92
14901.8  ,      80
14926.2  ,      96
14950.5  ,      91
14974.9  ,      88
14999.3  ,      77
15023.7  ,      98
15048.1  ,      81
15072.5  ,      87
15096.9  ,      82
15121.3  ,     102
15145.7  ,      67
15170.1  ,      87
15194.5  ,      88
15218.9  ,      98
15243.3  ,      81
15267.7  ,      92
15292.1  ,      93
15316.5  ,     128
15340.8  ,     110
15365.2  ,     135
15389.6  ,     124
15414.0  ,     138
15438.4  ,     124
15462.8  ,     170
15487.2  ,     222
15511.6  ,     260
15536.0  ,     342
15560.4  ,     479
15584.8  ,     659
15609.2  ,     873
15633.6  ,    1116
15658.0  ,    1270
15682.4  ,    1509
15706.8  ,    1640
15731.2  ,    1800
15755.5  ,    1777
15779.9  ,    1664
15804.3  ,    1522
15828.7  ,    1291
15853.1  ,     991
15877.5  ,     740
15901.9  ,     565
15926.3  ,     449
15950.7  ,     375
15975.1  ,     283
