"Target: Nedrow_RP, Contains DAT files: APB_442146515ESC05030250000_______M2.DAT"
  482.1  ,     660
  506.5  ,       0
  530.9  ,       0
  555.3  ,       0
  579.7  ,       0
  604.0  ,     116
  628.4  ,       0
  652.8  ,      15
  677.2  ,     122
  701.6  ,     168
  726.0  ,     174
  750.4  ,     148
  774.8  ,     147
  799.1  ,     137
  823.5  ,     155
  847.9  ,     165
  872.3  ,     164
  896.7  ,     126
  921.1  ,     180
  945.5  ,     243
  969.9  ,     383
  994.2  ,     658
 1018.6  ,     831
 1043.0  ,     844
 1067.4  ,     592
 1091.8  ,     417
 1116.2  ,     284
 1140.6  ,     275
 1165.0  ,     400
 1189.3  ,     701
 1213.7  ,    1195
 1238.1  ,    1441
 1262.5  ,    1382
 1286.9  ,     915
 1311.3  ,     626
 1335.7  ,     408
 1360.1  ,     425
 1384.4  ,     763
 1408.8  ,    1453
 1433.2  ,    2626
 1457.6  ,    3989
 1482.0  ,    4191
 1506.4  ,    3501
 1530.8  ,    2092
 1555.2  ,    1097
 1579.5  ,     715
 1603.9  ,     764
 1628.3  ,    1475
 1652.7  ,    3371
 1677.1  ,    6860
 1701.5  ,   10963
 1725.9  ,   13193
 1750.3  ,   11840
 1774.6  ,    7718
 1799.0  ,    3945
 1823.4  ,    1755
 1847.8  ,     848
 1872.2  ,     480
 1896.6  ,     303
 1921.0  ,     228
 1945.4  ,     175
 1969.7  ,     190
 1994.1  ,     203
 2018.5  ,     172
 2042.9  ,     158
 2067.3  ,     113
 2091.7  ,     108
 2116.1  ,      75
 2140.5  ,      69
 2164.8  ,      80
 2189.2  ,     106
 2213.6  ,     182
 2238.0  ,     356
 2262.4  ,     447
 2286.8  ,     582
 2311.2  ,     553
 2335.6  ,     461
 2359.9  ,     302
 2384.3  ,     166
 2408.7  ,      72
 2433.1  ,      77
 2457.5  ,      87
 2481.9  ,      78
 2506.3  ,      77
 2530.7  ,      92
 2555.0  ,     133
 2579.4  ,     193
 2603.8  ,     243
 2628.2  ,     255
 2652.6  ,     164
 2677.0  ,     116
 2701.4  ,      59
 2725.8  ,      39
 2750.1  ,      45
 2774.5  ,      35
 2798.9  ,      47
 2823.3  ,      38
 2847.7  ,      35
 2872.1  ,      49
 2896.5  ,      48
 2920.9  ,      50
 2945.2  ,      47
 2969.6  ,      41
 2994.0  ,      37
 3018.4  ,      38
 3042.8  ,      45
 3067.2  ,      29
 3091.6  ,      29
 3116.0  ,      35
 3140.3  ,      44
 3164.7  ,      51
 3189.1  ,      79
 3213.5  ,     148
 3237.9  ,     299
 3262.3  ,     507
 3286.7  ,     558
 3311.1  ,     566
 3335.4  ,     471
 3359.8  ,     328
 3384.2  ,     221
 3408.6  ,     108
 3433.0  ,      73
 3457.4  ,      64
 3481.8  ,      58
 3506.2  ,      68
 3530.5  ,     126
 3554.9  ,     157
 3579.3  ,     261
 3603.7  ,     402
 3628.1  ,     531
 3652.5  ,     751
 3676.9  ,     802
 3701.3  ,     726
 3725.6  ,     515
 3750.0  ,     352
 3774.4  ,     164
 3798.8  ,      94
 3823.2  ,      41
 3847.6  ,      27
 3872.0  ,      36
 3896.4  ,      41
 3920.7  ,      56
 3945.1  ,      94
 3969.5  ,     104
 3993.9  ,     100
 4018.3  ,     102
 4042.7  ,     105
 4067.1  ,      50
 4091.5  ,      45
 4115.9  ,      35
 4140.2  ,      26
 4164.6  ,      23
 4189.0  ,      16
 4213.4  ,      15
 4237.8  ,      10
 4262.2  ,      17
 4286.6  ,      18
 4311.0  ,      16
 4335.3  ,      16
 4359.7  ,      21
 4384.1  ,      27
 4408.5  ,      20
 4432.9  ,      47
 4457.3  ,      66
 4481.7  ,      80
 4506.1  ,      66
 4530.4  ,      76
 4554.8  ,      56
 4579.2  ,      31
 4603.6  ,      34
 4628.0  ,      31
 4652.4  ,      23
 4676.8  ,      16
 4701.2  ,      23
 4725.5  ,      23
 4749.9  ,       8
 4774.3  ,      13
 4798.7  ,      15
 4823.1  ,      18
 4847.5  ,      18
 4871.9  ,      12
 4896.3  ,      21
 4920.6  ,      16
 4945.0  ,      14
 4969.4  ,      28
 4993.8  ,      18
 5018.2  ,      13
 5042.6  ,      19
 5067.0  ,      15
 5091.4  ,      12
 5115.7  ,      18
 5140.1  ,      13
 5164.5  ,      14
 5188.9  ,      12
 5213.3  ,      17
 5237.7  ,      19
 5262.1  ,      17
 5286.5  ,      17
 5310.8  ,      17
 5335.2  ,      36
 5359.6  ,      23
 5384.0  ,      26
 5408.4  ,      29
 5432.8  ,      20
 5457.2  ,      22
 5481.6  ,      19
 5505.9  ,      18
 5530.3  ,      22
 5554.7  ,      15
 5579.1  ,       8
 5603.5  ,      20
 5627.9  ,      16
 5652.3  ,      14
 5676.7  ,      19
 5701.0  ,      19
 5725.4  ,      13
 5749.8  ,      23
 5774.2  ,      37
 5798.6  ,      35
 5823.0  ,      41
 5847.4  ,      68
 5871.8  ,      83
 5896.1  ,      61
 5920.5  ,      68
 5944.9  ,      50
 5969.3  ,      42
 5993.7  ,      29
 6018.1  ,      32
 6042.5  ,      34
 6066.9  ,      24
 6091.2  ,      26
 6115.6  ,      33
 6140.0  ,      65
 6164.4  ,      62
 6188.8  ,      87
 6213.2  ,     169
 6237.6  ,     329
 6262.0  ,     615
 6286.3  ,    1051
 6310.7  ,    1591
 6335.1  ,    2233
 6359.5  ,    2712
 6383.9  ,    2887
 6408.3  ,    2659
 6432.7  ,    2035
 6457.1  ,    1410
 6481.4  ,     844
 6505.8  ,     417
 6530.2  ,     198
 6554.6  ,      79
 6579.0  ,      39
 6603.4  ,      28
 6627.8  ,      17
 6652.2  ,      10
 6676.5  ,      19
 6700.9  ,      14
 6725.3  ,      21
 6749.7  ,      17
 6774.1  ,      20
 6798.5  ,      26
 6822.9  ,      33
 6847.3  ,      45
 6871.6  ,      60
 6896.0  ,      93
 6920.4  ,     116
 6944.8  ,     221
 6969.2  ,     285
 6993.6  ,     374
 7018.0  ,     469
 7042.4  ,     404
 7066.7  ,     400
 7091.1  ,     348
 7115.5  ,     204
 7139.9  ,     132
 7164.3  ,      93
 7188.7  ,      43
 7213.1  ,      28
 7237.5  ,       9
 7261.8  ,       5
 7286.2  ,       6
 7310.6  ,      11
 7335.0  ,       7
 7359.4  ,       9
 7383.8  ,      13
 7408.2  ,      13
 7432.6  ,       8
 7456.9  ,      10
 7481.3  ,      11
 7505.7  ,      16
 7530.1  ,      13
 7554.5  ,      10
 7578.9  ,       5
 7603.3  ,       6
 7627.7  ,       5
 7652.0  ,       3
 7676.4  ,      12
 7700.8  ,       7
 7725.2  ,       3
 7749.6  ,       8
 7774.0  ,      10
 7798.4  ,       4
 7822.8  ,       7
 7847.2  ,       4
 7871.5  ,      12
 7895.9  ,       9
 7920.3  ,      13
 7944.7  ,      15
 7969.1  ,      11
 7993.5  ,       7
 8017.9  ,       5
 8042.3  ,      10
 8066.6  ,       9
 8091.0  ,      12
 8115.4  ,      12
 8139.8  ,       8
 8164.2  ,      10
 8188.6  ,       7
 8213.0  ,       9
 8237.4  ,       4
 8261.7  ,      10
 8286.1  ,       7
 8310.5  ,       5
 8334.9  ,      10
 8359.3  ,       4
 8383.7  ,       4
 8408.1  ,      12
 8432.5  ,      10
 8456.8  ,      11
 8481.2  ,      25
 8505.6  ,      37
 8530.0  ,      46
 8554.4  ,      42
 8578.8  ,      58
 8603.2  ,      68
 8627.6  ,      71
 8651.9  ,      72
 8676.3  ,      49
 8700.7  ,      33
 8725.1  ,      31
 8749.5  ,      20
 8773.9  ,       7
 8798.3  ,       7
 8822.7  ,      11
 8847.0  ,       2
 8871.4  ,       5
 8895.8  ,      11
