"Target: Morehouse_RP, Contains DAT files: APB_442195119ESC05040250000_______M2.DAT"
  487.9  ,   14400
  512.3  ,       0
  536.7  ,       0
  561.1  ,       0
  585.5  ,       0
  609.9  ,     116
  634.3  ,    4017
  658.6  ,    4311
  683.0  ,    4424
  707.4  ,    4630
  731.8  ,    4527
  756.2  ,    4235
  780.6  ,    4198
  805.0  ,    4337
  829.4  ,    4508
  853.8  ,    4754
  878.2  ,    5116
  902.6  ,    5652
  927.0  ,    6765
  951.4  ,   10556
  975.7  ,   19242
 1000.1  ,   32875
 1024.5  ,   41929
 1048.9  ,   38956
 1073.3  ,   24853
 1097.7  ,   13698
 1122.1  ,    8546
 1146.5  ,    8165
 1170.9  ,   11027
 1195.3  ,   17416
 1219.7  ,   25813
 1244.1  ,   30076
 1268.5  ,   25696
 1292.8  ,   17694
 1317.2  ,   12343
 1341.6  ,   11136
 1366.0  ,   14827
 1390.4  ,   27914
 1414.8  ,   60271
 1439.2  ,  111823
 1463.6  ,  156168
 1488.0  ,  157969
 1512.4  ,  115199
 1536.8  ,   62487
 1561.2  ,   31732
 1585.6  ,   21540
 1609.9  ,   24562
 1634.3  ,   47795
 1658.7  ,  110277
 1683.1  ,  222470
 1707.5  ,  343967
 1731.9  ,  386759
 1756.3  ,  316074
 1780.7  ,  188665
 1805.1  ,   88415
 1829.5  ,   38339
 1853.9  ,   19459
 1878.3  ,   12158
 1902.7  ,    7694
 1927.0  ,    5542
 1951.4  ,    4987
 1975.8  ,    5470
 2000.2  ,    5770
 2024.6  ,    5148
 2049.0  ,    3923
 2073.4  ,    2681
 2097.8  ,    1954
 2122.2  ,    1647
 2146.6  ,    1635
 2171.0  ,    1728
 2195.4  ,    2039
 2219.8  ,    3080
 2244.1  ,    5022
 2268.5  ,    7307
 2292.9  ,    8955
 2317.3  ,    7992
 2341.7  ,    5788
 2366.1  ,    3501
 2390.5  ,    2041
 2414.9  ,    1423
 2439.3  ,    1403
 2463.7  ,    1519
 2488.1  ,    1574
 2512.5  ,    1988
 2536.9  ,    3043
 2561.2  ,    4818
 2585.6  ,    6520
 2610.0  ,    7457
 2634.4  ,    6842
 2658.8  ,    4840
 2683.2  ,    2973
 2707.6  ,    1671
 2732.0  ,    1153
 2756.4  ,    1052
 2780.8  ,    1241
 2805.2  ,    1189
 2829.6  ,    1247
 2854.0  ,    1237
 2878.3  ,    1167
 2902.7  ,    1052
 2927.1  ,    1121
 2951.5  ,    1142
 2975.9  ,    1041
 3000.3  ,     954
 3024.7  ,     842
 3049.1  ,     803
 3073.5  ,     779
 3097.9  ,     842
 3122.3  ,     881
 3146.7  ,    1129
 3171.1  ,    1572
 3195.4  ,    2547
 3219.8  ,    4656
 3244.2  ,    8032
 3268.6  ,   12084
 3293.0  ,   14644
 3317.4  ,   14540
 3341.8  ,   11321
 3366.2  ,    7522
 3390.6  ,    4047
 3415.0  ,    2269
 3439.4  ,    1362
 3463.8  ,    1298
 3488.2  ,    1585
 3512.5  ,    2089
 3536.9  ,    2912
 3561.3  ,    4273
 3585.7  ,    6861
 3610.1  ,   10998
 3634.5  ,   15615
 3658.9  ,   19483
 3683.3  ,   20807
 3707.7  ,   17989
 3732.1  ,   12647
 3756.5  ,    7360
 3780.9  ,    3639
 3805.2  ,    1585
