"Target: Square_Top_3_overnight, Contains DAT files: APB_449295235ESC05840300786_______M1.DAT"
  488.0  ,   14400
  512.4  ,       0
  536.7  ,       0
  561.1  ,       0
  585.5  ,       0
  609.9  ,     116
  634.2  ,    3236
  658.6  ,    3687
  683.0  ,    3892
  707.4  ,    3984
  731.7  ,    3891
  756.1  ,    3596
  780.5  ,    3280
  804.8  ,    3366
  829.2  ,    3413
  853.6  ,    3409
  878.0  ,    3564
  902.3  ,    3742
  926.7  ,    4226
  951.1  ,    5196
  975.4  ,    7024
  999.8  ,    9653
 1024.2  ,   11428
 1048.6  ,   10915
 1072.9  ,    8850
 1097.3  ,    7077
 1121.7  ,    7059
 1146.1  ,    9773
 1170.4  ,   17916
 1194.8  ,   32039
 1219.2  ,   48235
 1243.5  ,   55874
 1267.9  ,   47870
 1292.3  ,   31214
 1316.7  ,   17594
 1341.0  ,   10749
 1365.4  ,   10185
 1389.8  ,   15945
 1414.2  ,   28601
 1438.5  ,   48721
 1462.9  ,   63723
 1487.3  ,   65303
 1511.6  ,   50829
 1536.0  ,   31801
 1560.4  ,   18561
 1584.8  ,   14693
 1609.1  ,   19626
 1633.5  ,   39743
 1657.9  ,   86216
 1682.2  ,  161073
 1706.6  ,  236719
 1731.0  ,  261837
 1755.4  ,  222086
 1779.7  ,  144401
 1804.1  ,   74670
 1828.5  ,   34721
 1852.9  ,   17152
 1877.2  ,    9982
 1901.6  ,    6506
 1926.0  ,    4595
 1950.3  ,    3839
 1974.7  ,    4035
 1999.1  ,    3939
 2023.5  ,    3788
 2047.8  ,    3091
 2072.2  ,    2428
 2096.6  ,    1933
 2121.0  ,    1784
 2145.3  ,    1713
 2169.7  ,    1909
 2194.1  ,    2686
 2218.4  ,    4334
 2242.8  ,    6976
 2267.2  ,    9976
 2291.6  ,   11791
 2315.9  ,   11055
 2340.3  ,    8412
 2364.7  ,    5220
 2389.0  ,    2961
 2413.4  ,    2048
 2437.8  ,    1778
 2462.2  ,    1781
 2486.5  ,    1813
 2510.9  ,    2042
 2535.3  ,    2792
 2559.7  ,    3906
 2584.0  ,    5113
 2608.4  ,    5816
 2632.8  ,    5463
 2657.1  ,    4153
 2681.5  ,    2650
 2705.9  ,    1645
 2730.3  ,    1201
 2754.6  ,    1058
 2779.0  ,    1051
 2803.4  ,    1145
 2827.8  ,    1204
 2852.1  ,    1126
 2876.5  ,    1077
 2900.9  ,    1117
 2925.2  ,    1117
 2949.6  ,    1063
 2974.0  ,    1065
 2998.4  ,     919
 3022.7  ,     845
 3047.1  ,     793
 3071.5  ,     815
 3095.9  ,     871
 3120.2  ,     922
 3144.6  ,    1151
 3169.0  ,    1573
 3193.3  ,    2388
 3217.7  ,    4281
 3242.1  ,    7061
 3266.5  ,   10187
 3290.8  ,   12164
 3315.2  ,   12492
 3339.6  ,   10361
 3363.9  ,    7177
 3388.3  ,    4357
 3412.7  ,    2386
 3437.1  ,    1625
 3461.4  ,    1367
 3485.8  ,    1586
 3510.2  ,    2095
 3534.6  ,    2937
 3558.9  ,    4336
 3583.3  ,    6993
 3607.7  ,   10739
 3632.0  ,   15568
 3656.4  ,   19448
 3680.8  ,   20661
 3705.2  ,   18574
 3729.5  ,   13841
 3753.9  ,    8730
 3778.3  ,    4643
 3802.7  ,    2236
 3827.0  ,    1177
 3851.4  ,     835
 3875.8  ,     962
 3900.1  ,    1087
 3924.5  ,    1583
 3948.9  ,    2134
 3973.3  ,    2633
 3997.6  ,    2967
 4022.0  ,    2894
 4046.4  ,    2466
 4070.7  ,    1821
 4095.1  ,    1422
 4119.5  ,     975
 4143.9  ,     761
 4168.2  ,     598
 4192.6  ,     555
 4217.0  ,     441
 4241.4  ,     440
 4265.7  ,     460
 4290.1  ,     512
 4314.5  ,     539
 4338.8  ,     584
 4363.2  ,     736
 4387.6  ,     956
 4412.0  ,    1299
 4436.3  ,    1816
 4460.7  ,    2271
 4485.1  ,    2681
 4509.5  ,    2462
 4533.8  ,    2203
 4558.2  ,    1956
 4582.6  ,    1544
 4606.9  ,    1316
 4631.3  ,    1158
 4655.7  ,    1044
 4680.1  ,     887
 4704.4  ,     763
 4728.8  ,     639
 4753.2  ,     626
 4777.5  ,     518
 4801.9  ,     538
 4826.3  ,     648
 4850.7  ,     716
 4875.0  ,     742
 4899.4  ,     872
 4923.8  ,     861
 4948.2  ,     829
 4972.5  ,     777
 4996.9  ,     721
 5021.3  ,     621
 5045.6  ,     584
 5070.0  ,     501
 5094.4  ,     530
 5118.8  ,     567
 5143.1  ,     551
 5167.5  ,     578
 5191.9  ,     572
 5216.3  ,     647
 5240.6  ,     748
 5265.0  ,     882
 5289.4  ,    1208
 5313.7  ,    1625
 5338.1  ,    2092
 5362.5  ,    2549
 5386.9  ,    2833
 5411.2  ,    2643
 5435.6  ,    2368
 5460.0  ,    1773
 5484.3  ,    1385
 5508.7  ,    1035
 5533.1  ,     833
 5557.5  ,     742
 5581.8  ,     701
 5606.2  ,     667
 5630.6  ,     752
 5655.0  ,     727
 5679.3  ,     737
 5703.7  ,     816
 5728.1  ,     881
 5752.4  ,    1154
 5776.8  ,    1421
 5801.2  ,    1984
 5825.6  ,    2435
 5849.9  ,    2994
 5874.3  ,    3301
 5898.7  ,    3332
 5923.1  ,    3061
 5947.4  ,    2569
 5971.8  ,    2143
 5996.2  ,    1823
 6020.5  ,    1719
 6044.9  ,    1601
 6069.3  ,    1704
 6093.7  ,    1956
 6118.0  ,    2142
 6142.4  ,    2632
 6166.8  ,    3738
 6191.1  ,    5991
 6215.5  ,   10490
 6239.9  ,   18975
 6264.3  ,   34802
 6288.6  ,   58396
 6313.0  ,   89597
 6337.4  ,  122553
 6361.8  ,  147519
 6386.1  ,  154528
 6410.5  ,  140659
 6434.9  ,  111557
 6459.2  ,   76900
 6483.6  ,   45874
 6508.0  ,   24392
 6532.4  ,   11153
 6556.7  ,    4859
 6581.1  ,    2117
 6605.5  ,    1113
 6629.9  ,     796
 6654.2  ,     647
 6678.6  ,     682
 6703.0  ,     665
 6727.3  ,     766
 6751.7  ,     817
 6776.1  ,     953
 6800.5  ,    1062
 6824.8  ,    1426
 6849.2  ,    1978
 6873.6  ,    2862
 6898.0  ,    4450
 6922.3  ,    7176
 6946.7  ,   10845
 6971.1  ,   15581
 6995.4  ,   19961
 7019.8  ,   23092
 7044.2  ,   23728
 7068.6  ,   21960
 7092.9  ,   16980
 7117.3  ,   11917
 7141.7  ,    7543
 7166.0  ,    4368
 7190.4  ,    2224
 7214.8  ,    1023
 7239.2  ,     515
 7263.5  ,     316
 7287.9  ,     255
 7312.3  ,     252
 7336.7  ,     222
 7361.0  ,     253
 7385.4  ,     317
 7409.8  ,     309
 7434.1  ,     362
 7458.5  ,     378
 7482.9  ,     369
 7507.3  ,     316
 7531.6  ,     244
 7556.0  ,     229
 7580.4  ,     217
 7604.8  ,     202
 7629.1  ,     163
 7653.5  ,     200
 7677.9  ,     160
 7702.2  ,     151
 7726.6  ,     186
 7751.0  ,     183
 7775.4  ,     163
 7799.7  ,     169
 7824.1  ,     190
 7848.5  ,     165
 7872.8  ,     172
 7897.2  ,     198
 7921.6  ,     185
 7946.0  ,     195
 7970.3  ,     169
 7994.7  ,     196
 8019.1  ,     203
 8043.5  ,     180
 8067.8  ,     219
 8092.2  ,     188
 8116.6  ,     192
 8140.9  ,     195
 8165.3  ,     200
 8189.7  ,     203
 8214.1  ,     181
 8238.4  ,     188
 8262.8  ,     195
 8287.2  ,     192
 8311.6  ,     215
 8335.9  ,     199
 8360.3  ,     220
 8384.7  ,     262
 8409.0  ,     313
 8433.4  ,     365
 8457.8  ,     580
 8482.2  ,     851
 8506.5  ,    1210
 8530.9  ,    1684
 8555.3  ,    2422
 8579.6  ,    2856
 8604.0  ,    3210
 8628.4  ,    3181
 8652.8  ,    2852
 8677.1  ,    2283
 8701.5  ,    1636
 8725.9  ,    1076
 8750.3  ,     674
 8774.6  ,     404
 8799.0  ,     298
 8823.4  ,     198
 8847.7  ,     187
 8872.1  ,     142
 8896.5  ,     126
 8920.9  ,     173
 8945.2  ,     169
 8969.6  ,     150
 8994.0  ,     163
 9018.4  ,     164
 9042.7  ,     126
 9067.1  ,     143
 9091.5  ,     159
 9115.8  ,     190
 9140.2  ,     129
 9164.6  ,     182
 9189.0  ,     184
 9213.3  ,     167
 9237.7  ,     180
 9262.1  ,     191
 9286.4  ,     195
 9310.8  ,     202
 9335.2  ,     162
 9359.6  ,     183
 9383.9  ,     199
 9408.3  ,     220
 9432.7  ,     322
 9457.1  ,     393
 9481.4  ,     451
 9505.8  ,     565
 9530.2  ,     645
 9554.5  ,     633
 9578.9  ,     583
 9603.3  ,     571
 9627.7  ,     438
 9652.0  ,     358
 9676.4  ,     264
 9700.8  ,     221
 9725.2  ,     196
 9749.5  ,     172
