"Target: Windjana_center_preDRT, Contains DAT files: APB_451820687ESC06120311330_______M1.DAT"
  484.1  ,     660
  508.5  ,       0
  533.0  ,       0
  557.4  ,       0
  581.8  ,       0
  606.2  ,     116
  630.7  ,       0
  655.1  ,     140
  679.5  ,     205
  703.9  ,     207
  728.4  ,     199
  752.8  ,     203
  777.2  ,     183
  801.7  ,     200
  826.1  ,     182
  850.5  ,     178
  874.9  ,     193
  899.4  ,     201
  923.8  ,     193
  948.2  ,     272
  972.7  ,     345
  997.1  ,     566
 1021.5  ,     742
 1045.9  ,     700
 1070.4  ,     491
 1094.8  ,     375
 1119.2  ,     341
 1143.6  ,     397
 1168.1  ,     781
 1192.5  ,    1536
 1216.9  ,    2425
 1241.4  ,    2995
 1265.8  ,    2642
 1290.2  ,    1630
 1314.6  ,     897
 1339.1  ,     516
 1363.5  ,     454
 1387.9  ,     706
 1412.4  ,    1326
 1436.8  ,    2328
 1461.2  ,    3297
 1485.6  ,    3425
 1510.1  ,    2620
 1534.5  ,    1556
 1558.9  ,     902
 1583.3  ,     692
 1607.8  ,     870
 1632.2  ,    1649
 1656.6  ,    3901
 1681.1  ,    7928
 1705.5  ,   12169
 1729.9  ,   13926
 1754.3  ,   11838
 1778.8  ,    7215
 1803.2  ,    3459
 1827.6  ,    1584
 1852.1  ,     848
 1876.5  ,     520
 1900.9  ,     361
 1925.3  ,     257
 1949.8  ,     274
 1974.2  ,     254
 1998.6  ,     300
 2023.0  ,     255
 2047.5  ,     228
 2071.9  ,     144
 2096.3  ,     108
 2120.8  ,      96
 2145.2  ,     125
 2169.6  ,     116
 2194.0  ,     193
 2218.5  ,     345
 2242.9  ,     598
 2267.3  ,     922
 2291.8  ,    1055
 2316.2  ,     961
 2340.6  ,     711
 2365.0  ,     402
 2389.5  ,     200
 2413.9  ,     153
 2438.3  ,     132
 2462.7  ,     148
 2487.2  ,     125
 2511.6  ,     150
 2536.0  ,     180
 2560.5  ,     275
 2584.9  ,     383
 2609.3  ,     440
 2633.7  ,     413
 2658.2  ,     273
 2682.6  ,     177
 2707.0  ,      94
 2731.5  ,      66
 2755.9  ,      57
 2780.3  ,      66
 2804.7  ,      65
 2829.2  ,      66
 2853.6  ,      74
 2878.0  ,      62
 2902.4  ,      64
 2926.9  ,      56
 2951.3  ,      46
 2975.7  ,      48
 3000.2  ,      46
 3024.6  ,      43
 3049.0  ,      35
 3073.4  ,      46
 3097.9  ,      27
 3122.3  ,      35
 3146.7  ,      46
 3171.2  ,      55
 3195.6  ,     101
 3220.0  ,     164
 3244.4  ,     277
 3268.9  ,     364
 3293.3  ,     452
 3317.7  ,     474
 3342.1  ,     347
 3366.6  ,     204
 3391.0  ,     116
 3415.4  ,      65
 3439.9  ,      59
 3464.3  ,      56
 3488.7  ,      67
 3513.1  ,     105
 3537.6  ,     131
 3562.0  ,     207
 3586.4  ,     299
 3610.9  ,     483
 3635.3  ,     736
 3659.7  ,     959
 3684.1  ,    1020
 3708.6  ,     861
 3733.0  ,     558
 3757.4  ,     328
 3781.8  ,     174
 3806.3  ,      83
 3830.7  ,      42
 3855.1  ,      33
 3879.6  ,      46
 3904.0  ,      64
 3928.4  ,      81
 3952.8  ,      89
 3977.3  ,     132
 4001.7  ,     122
 4026.1  ,     154
 4050.6  ,      98
 4075.0  ,      75
 4099.4  ,      58
 4123.8  ,      44
 4148.3  ,      47
 4172.7  ,      36
 4197.1  ,      27
 4221.5  ,      19
 4246.0  ,      25
 4270.4  ,      22
 4294.8  ,      23
 4319.3  ,      36
 4343.7  ,      31
 4368.1  ,      31
 4392.5  ,      51
 4417.0  ,      84
 4441.4  ,     123
 4465.8  ,     164
 4490.3  ,     170
 4514.7  ,     148
 4539.1  ,     136
 4563.5  ,      98
 4588.0  ,      78
 4612.4  ,      63
 4636.8  ,      61
 4661.2  ,      71
 4685.7  ,      53
 4710.1  ,      36
 4734.5  ,      31
 4759.0  ,      36
 4783.4  ,      36
 4807.8  ,      34
 4832.2  ,      29
 4856.7  ,      33
 4881.1  ,      55
 4905.5  ,      42
 4930.0  ,      54
 4954.4  ,      44
 4978.8  ,      42
 5003.2  ,      28
 5027.7  ,      28
 5052.1  ,      31
 5076.5  ,      31
 5100.9  ,      26
 5125.4  ,      36
 5149.8  ,      32
 5174.2  ,      25
 5198.7  ,      27
 5223.1  ,      32
 5247.5  ,      42
 5271.9  ,      40
 5296.4  ,      57
 5320.8  ,      54
 5345.2  ,      82
 5369.7  ,     104
 5394.1  ,     102
 5418.5  ,      96
 5442.9  ,      79
 5467.4  ,      67
 5491.8  ,      60
 5516.2  ,      41
 5540.6  ,      47
 5565.1  ,      39
 5589.5  ,      40
 5613.9  ,      32
 5638.4  ,      44
 5662.8  ,      42
 5687.2  ,      39
 5711.6  ,      53
 5736.1  ,      56
 5760.5  ,      68
 5784.9  ,     114
 5809.4  ,     127
 5833.8  ,     182
 5858.2  ,     206
 5882.6  ,     243
 5907.1  ,     247
 5931.5  ,     169
 5955.9  ,     159
 5980.3  ,     108
 6004.8  ,      82
 6029.2  ,      63
 6053.6  ,      88
 6078.1  ,      97
 6102.5  ,     106
 6126.9  ,     133
 6151.3  ,     142
 6175.8  ,     210
 6200.2  ,     314
 6224.6  ,     642
 6249.1  ,    1219
 6273.5  ,    2197
 6297.9  ,    3677
 6322.3  ,    5599
 6346.8  ,    7574
 6371.2  ,    8563
 6395.6  ,    8384
 6420.0  ,    7193
 6444.5  ,    5086
 6468.9  ,    3256
 6493.3  ,    1735
 6517.8  ,     858
 6542.2  ,     333
 6566.6  ,     157
 6591.0  ,      77
 6615.5  ,      67
 6639.9  ,      33
 6664.3  ,      34
 6688.8  ,      46
 6713.2  ,      38
 6737.6  ,      31
 6762.0  ,      43
 6786.5  ,      46
 6810.9  ,      46
 6835.3  ,      83
 6859.7  ,     117
 6884.2  ,     185
 6908.6  ,     285
 6933.0  ,     476
 6957.5  ,     682
 6981.9  ,     947
 7006.3  ,    1201
 7030.7  ,    1407
 7055.2  ,    1312
 7079.6  ,    1158
 7104.0  ,     796
 7128.5  ,     505
 7152.9  ,     296
 7177.3  ,     146
 7201.7  ,      66
 7226.2  ,      23
 7250.6  ,      19
 7275.0  ,      18
 7299.4  ,      19
 7323.9  ,      12
 7348.3  ,      20
 7372.7  ,      20
 7397.2  ,      19
 7421.6  ,      14
 7446.0  ,      31
 7470.4  ,      30
 7494.9  ,      25
 7519.3  ,      27
 7543.7  ,      27
 7568.2  ,      15
 7592.6  ,      12
 7617.0  ,      12
 7641.4  ,      11
 7665.9  ,      12
 7690.3  ,       9
 7714.7  ,      10
 7739.1  ,       9
 7763.6  ,       4
 7788.0  ,       6
 7812.4  ,       9
 7836.9  ,       9
 7861.3  ,      13
 7885.7  ,       9
 7910.1  ,      10
 7934.6  ,       8
 7959.0  ,      15
 7983.4  ,      14
 8007.9  ,      13
 8032.3  ,      18
 8056.7  ,       9
 8081.1  ,      20
 8105.6  ,      11
 8130.0  ,      11
 8154.4  ,      18
 8178.8  ,      16
 8203.3  ,      12
 8227.7  ,      15
 8252.1  ,      11
 8276.6  ,      13
 8301.0  ,      15
 8325.4  ,       8
 8349.8  ,      17
 8374.3  ,      18
 8398.7  ,      22
 8423.1  ,      27
 8447.6  ,      40
 8472.0  ,      51
 8496.4  ,      86
 8520.8  ,     158
 8545.3  ,     205
 8569.7  ,     243
 8594.1  ,     295
 8618.5  ,     355
 8643.0  ,     299
 8667.4  ,     240
 8691.8  ,     185
 8716.3  ,     109
 8740.7  ,      56
 8765.1  ,      48
 8789.5  ,      28
 8814.0  ,      13
 8838.4  ,      10
 8862.8  ,       9
 8887.2  ,      11
 8911.7  ,      10
 8936.1  ,      10
 8960.5  ,       5
 8985.0  ,      10
 9009.4  ,       8
 9033.8  ,      13
 9058.2  ,       9
 9082.7  ,      13
 9107.1  ,      10
 9131.5  ,      11
 9156.0  ,       4
 9180.4  ,       5
 9204.8  ,      14
 9229.2  ,      13
 9253.7  ,      10
