"Target: Windjana_Raster2, Contains DAT files: APB_451822650ESC06120311330_______M1.DAT"
  485.0  ,     660
  509.4  ,       0
  533.8  ,       0
  558.2  ,       0
  582.6  ,       0
  607.0  ,     116
  631.4  ,       0
  655.8  ,       8
  680.2  ,     209
  704.6  ,     193
  729.0  ,     192
  753.4  ,     199
  777.8  ,     143
  802.2  ,     154
  826.7  ,     157
  851.1  ,     197
  875.5  ,     184
  899.9  ,     221
  924.3  ,     219
  948.7  ,     283
  973.1  ,     369
  997.5  ,     527
 1021.9  ,     660
 1046.3  ,     651
 1070.7  ,     499
 1095.1  ,     393
 1119.5  ,     377
 1143.9  ,     504
 1168.3  ,     849
 1192.7  ,    1584
 1217.1  ,    2373
 1241.5  ,    2768
 1265.9  ,    2380
 1290.3  ,    1620
 1314.7  ,     922
 1339.1  ,     551
 1363.5  ,     499
 1387.9  ,     787
 1412.3  ,    1384
 1436.7  ,    2273
 1461.1  ,    3011
 1485.6  ,    3179
 1510.0  ,    2430
 1534.4  ,    1617
 1558.8  ,     948
 1583.2  ,     742
 1607.6  ,    1005
 1632.0  ,    1898
 1656.4  ,    4184
 1680.8  ,    7621
 1705.2  ,   11239
 1729.6  ,   12777
 1754.0  ,   11145
 1778.4  ,    7473
 1802.8  ,    3862
 1827.2  ,    1800
 1851.6  ,     935
 1876.0  ,     507
 1900.4  ,     334
 1924.8  ,     286
 1949.2  ,     264
 1973.6  ,     236
 1998.0  ,     280
 2022.4  ,     266
 2046.8  ,     216
 2071.2  ,     169
 2095.6  ,     121
 2120.0  ,      98
 2144.5  ,     114
 2168.9  ,     137
 2193.3  ,     193
 2217.7  ,     316
 2242.1  ,     522
 2266.5  ,     826
 2290.9  ,     958
 2315.3  ,     854
 2339.7  ,     697
 2364.1  ,     422
 2388.5  ,     245
 2412.9  ,     149
 2437.3  ,     122
 2461.7  ,     128
 2486.1  ,     146
 2510.5  ,     153
 2534.9  ,     218
 2559.3  ,     252
 2583.7  ,     380
 2608.1  ,     383
 2632.5  ,     375
 2656.9  ,     292
 2681.3  ,     177
 2705.7  ,     103
 2730.1  ,      64
 2754.5  ,      44
 2778.9  ,      57
 2803.4  ,      73
 2827.8  ,      76
 2852.2  ,      65
 2876.6  ,      52
 2901.0  ,      60
 2925.4  ,      45
 2949.8  ,      57
 2974.2  ,      46
 2998.6  ,      42
 3023.0  ,      28
 3047.4  ,      38
 3071.8  ,      39
 3096.2  ,      39
 3120.6  ,      42
 3145.0  ,      63
 3169.4  ,      66
 3193.8  ,      98
 3218.2  ,     158
 3242.6  ,     242
 3267.0  ,     382
 3291.4  ,     403
 3315.8  ,     402
 3340.2  ,     352
 3364.6  ,     281
 3389.0  ,     153
 3413.4  ,      95
 3437.8  ,      65
 3462.3  ,      64
 3486.7  ,      62
 3511.1  ,      78
 3535.5  ,     133
 3559.9  ,     183
 3584.3  ,     315
 3608.7  ,     490
 3633.1  ,     658
 3657.5  ,     850
 3681.9  ,     942
 3706.3  ,     775
 3730.7  ,     550
 3755.1  ,     369
 3779.5  ,     193
 3803.9  ,     104
 3828.3  ,      64
 3852.7  ,      41
 3877.1  ,      48
 3901.5  ,      54
 3925.9  ,      91
 3950.3  ,     107
 3974.7  ,     128
 3999.1  ,     152
 4023.5  ,     130
 4047.9  ,     135
 4072.3  ,      89
 4096.7  ,      61
 4121.2  ,      50
 4145.6  ,      39
 4170.0  ,      28
 4194.4  ,      17
 4218.8  ,      31
 4243.2  ,      27
 4267.6  ,      37
 4292.0  ,      30
 4316.4  ,      30
 4340.8  ,      28
 4365.2  ,      37
 4389.6  ,      59
 4414.0  ,      79
 4438.4  ,     111
 4462.8  ,     146
 4487.2  ,     177
 4511.6  ,     144
 4536.0  ,     122
 4560.4  ,     110
 4584.8  ,      76
 4609.2  ,      65
 4633.6  ,      50
 4658.0  ,      63
 4682.4  ,      40
 4706.8  ,      45
 4731.2  ,      31
 4755.7  ,      29
 4780.1  ,      30
 4804.5  ,      29
 4828.9  ,      35
 4853.3  ,      46
 4877.7  ,      41
 4902.1  ,      51
 4926.5  ,      57
 4950.9  ,      38
 4975.3  ,      48
 4999.7  ,      42
 5024.1  ,      31
 5048.5  ,      22
 5072.9  ,      37
 5097.3  ,      34
 5121.7  ,      21
 5146.1  ,      31
 5170.5  ,      29
 5194.9  ,      47
 5219.3  ,      28
 5243.7  ,      38
 5268.1  ,      34
 5292.5  ,      53
 5316.9  ,      65
 5341.3  ,      82
 5365.7  ,      92
 5390.1  ,      95
 5414.6  ,      89
 5439.0  ,      84
 5463.4  ,      66
 5487.8  ,      55
 5512.2  ,      40
 5536.6  ,      34
 5561.0  ,      32
 5585.4  ,      33
 5609.8  ,      33
 5634.2  ,      39
 5658.6  ,      42
 5683.0  ,      41
 5707.4  ,      39
 5731.8  ,      50
 5756.2  ,      70
 5780.6  ,      85
 5805.0  ,     129
 5829.4  ,     145
 5853.8  ,     159
 5878.2  ,     199
 5902.6  ,     197
 5927.0  ,     173
 5951.4  ,     155
 5975.8  ,     117
 6000.2  ,      93
 6024.6  ,      82
 6049.0  ,      79
 6073.5  ,      79
 6097.9  ,     114
 6122.3  ,     111
 6146.7  ,     156
 6171.1  ,     229
 6195.5  ,     350
 6219.9  ,     620
 6244.3  ,    1127
 6268.7  ,    2086
 6293.1  ,    3384
 6317.5  ,    5127
 6341.9  ,    6805
 6366.3  ,    7757
 6390.7  ,    8151
 6415.1  ,    7259
 6439.5  ,    5474
 6463.9  ,    3630
 6488.3  ,    2158
 6512.7  ,    1091
 6537.1  ,     480
 6561.5  ,     209
 6585.9  ,      95
 6610.3  ,      61
 6634.7  ,      36
 6659.1  ,      49
 6683.5  ,      30
 6707.9  ,      35
 6732.4  ,      46
 6756.8  ,      40
 6781.2  ,      41
 6805.6  ,      55
 6830.0  ,      93
 6854.4  ,     124
 6878.8  ,     187
 6903.2  ,     283
 6927.6  ,     388
 6952.0  ,     661
 6976.4  ,     851
 7000.8  ,    1141
 7025.2  ,    1273
 7049.6  ,    1285
 7074.0  ,    1039
 7098.4  ,     833
 7122.8  ,     547
 7147.2  ,     379
 7171.6  ,     178
 7196.0  ,      91
 7220.4  ,      53
 7244.8  ,      25
 7269.2  ,      10
 7293.6  ,      10
 7318.0  ,      11
 7342.4  ,      14
 7366.8  ,      13
 7391.3  ,      21
 7415.7  ,      22
 7440.1  ,      27
 7464.5  ,      22
 7488.9  ,      19
 7513.3  ,      29
 7537.7  ,      14
 7562.1  ,       9
 7586.5  ,       8
 7610.9  ,      13
 7635.3  ,      12
 7659.7  ,      14
 7684.1  ,       9
 7708.5  ,      11
 7732.9  ,       8
 7757.3  ,      11
 7781.7  ,      10
 7806.1  ,       5
 7830.5  ,      12
 7854.9  ,       5
 7879.3  ,      10
 7903.7  ,      12
 7928.1  ,      15
 7952.5  ,      18
 7976.9  ,       9
 8001.3  ,      14
 8025.7  ,      18
 8050.2  ,      17
 8074.6  ,      17
 8099.0  ,      18
 8123.4  ,      14
 8147.8  ,      14
 8172.2  ,      15
 8196.6  ,       9
 8221.0  ,      14
 8245.4  ,      18
 8269.8  ,      20
 8294.2  ,       6
 8318.6  ,       8
 8343.0  ,      14
 8367.4  ,      12
 8391.8  ,      11
 8416.2  ,      19
 8440.6  ,      33
 8465.0  ,      52
 8489.4  ,      77
 8513.8  ,     128
 8538.2  ,     172
 8562.6  ,     216
 8587.0  ,     267
 8611.4  ,     281
 8635.8  ,     270
 8660.2  ,     225
 8684.6  ,     199
 8709.1  ,     118
 8733.5  ,      81
 8757.9  ,      55
 8782.3  ,      22
 8806.7  ,      14
 8831.1  ,      19
 8855.5  ,       8
 8879.9  ,       8
 8904.3  ,      10
 8928.7  ,       2
 8953.1  ,      10
 8977.5  ,       8
 9001.9  ,       5
 9026.3  ,      13
 9050.7  ,       9
 9075.1  ,       5
 9099.5  ,       8
 9123.9  ,      11
 9148.3  ,       8
 9172.7  ,       7
 9197.1  ,      10
 9221.5  ,      12
 9245.9  ,      16
 9270.3  ,      11
 9294.7  ,      12
 9319.1  ,       8
 9343.5  ,      17
 9368.0  ,      10
 9392.4  ,      14
 9416.8  ,      22
 9441.2  ,      24
 9465.6  ,      30
 9490.0  ,      36
 9514.4  ,      45
 9538.8  ,      55
 9563.2  ,      59
 9587.6  ,      57
 9612.0  ,      30
 9636.4  ,      35
 9660.8  ,      17
 9685.2  ,      23
 9709.6  ,      13
 9734.0  ,      15
 9758.4  ,      15
 9782.8  ,      17
 9807.2  ,      18
 9831.6  ,      16
 9856.0  ,      12
 9880.4  ,      11
 9904.8  ,      14
 9929.2  ,      18
 9953.6  ,      13
 9978.0  ,       6
10002.4  ,       9
10026.9  ,      14
10051.3  ,       7
10075.7  ,       7
10100.1  ,       5
10124.5  ,       9
10148.9  ,       7
10173.3  ,       8
10197.7  ,       6
10222.1  ,       8
10246.5  ,      12
10270.9  ,       8
10295.3  ,       6
10319.7  ,       7
10344.1  ,       4
10368.5  ,       8
10392.9  ,       8
10417.3  ,       5
10441.7  ,       7
10466.1  ,      11
10490.5  ,       7
10514.9  ,       9
10539.3  ,      12
10563.7  ,       9
