"Target: Stephen_Raster4, Contains DAT files: APB_453334302ESC06290311330_______M1.DAT"
  488.8  ,     900
  513.2  ,       0
  537.6  ,       0
  562.0  ,       0
  586.4  ,       0
  610.8  ,     116
  635.2  ,       0
  659.6  ,       0
  684.0  ,       0
  708.3  ,     209
  732.7  ,     289
  757.1  ,     266
  781.5  ,     273
  805.9  ,     286
  830.3  ,     308
  854.7  ,     266
  879.1  ,     340
  903.5  ,     344
  927.9  ,     388
  952.3  ,     492
  976.7  ,     564
 1001.1  ,     678
 1025.5  ,     700
 1049.9  ,     760
 1074.3  ,     863
 1098.7  ,     987
 1123.0  ,    1434
 1147.4  ,    1999
 1171.8  ,    2902
 1196.2  ,    3864
 1220.6  ,    4735
 1245.0  ,    4882
 1269.4  ,    4599
 1293.8  ,    3783
 1318.2  ,    2809
 1342.6  ,    2167
 1367.0  ,    1790
 1391.4  ,    1655
 1415.8  ,    1856
 1440.2  ,    2107
 1464.6  ,    2288
 1489.0  ,    2388
 1513.4  ,    2146
 1537.7  ,    2021
 1562.1  ,    1843
 1586.5  ,    2074
 1610.9  ,    2936
 1635.3  ,    4398
 1659.7  ,    6458
 1684.1  ,    8651
 1708.5  ,   10120
 1732.9  ,   10635
 1757.3  ,    9760
 1781.7  ,    7993
 1806.1  ,    5781
 1830.5  ,    3862
 1854.9  ,    2336
 1879.3  ,    1317
 1903.7  ,     810
 1928.1  ,     529
 1952.4  ,     406
 1976.8  ,     345
 2001.2  ,     333
 2025.6  ,     300
 2050.0  ,     236
 2074.4  ,     220
 2098.8  ,     211
 2123.2  ,     205
 2147.6  ,     247
 2172.0  ,     288
 2196.4  ,     372
 2220.8  ,     524
 2245.2  ,     650
 2269.6  ,     725
 2294.0  ,     819
 2318.4  ,     821
 2342.8  ,     716
 2367.1  ,     549
 2391.5  ,     410
 2415.9  ,     330
 2440.3  ,     258
 2464.7  ,     312
 2489.1  ,     404
 2513.5  ,     471
 2537.9  ,     652
 2562.3  ,     751
 2586.7  ,     928
 2611.1  ,     954
 2635.5  ,     991
 2659.9  ,     797
 2684.3  ,     593
 2708.7  ,     449
 2733.1  ,     310
 2757.5  ,     223
 2781.8  ,     182
 2806.2  ,     176
 2830.6  ,     169
 2855.0  ,     135
 2879.4  ,     106
 2903.8  ,     110
 2928.2  ,      91
 2952.6  ,      85
 2977.0  ,      72
 3001.4  ,      70
 3025.8  ,      73
 3050.2  ,      58
 3074.6  ,      64
 3099.0  ,      75
 3123.4  ,      88
 3147.8  ,     117
 3172.2  ,     160
 3196.5  ,     234
 3220.9  ,     347
 3245.3  ,     432
 3269.7  ,     511
 3294.1  ,     577
 3318.5  ,     584
 3342.9  ,     506
 3367.3  ,     445
 3391.7  ,     355
 3416.1  ,     224
 3440.5  ,     158
 3464.9  ,     165
 3489.3  ,     153
 3513.7  ,     202
 3538.1  ,     224
 3562.5  ,     336
 3586.9  ,     488
 3611.2  ,     597
 3635.6  ,     720
 3660.0  ,     796
 3684.4  ,     829
 3708.8  ,     750
 3733.2  ,     655
 3757.6  ,     487
 3782.0  ,     308
 3806.4  ,     233
 3830.8  ,     150
 3855.2  ,     110
 3879.6  ,      83
 3904.0  ,      92
 3928.4  ,      96
 3952.8  ,     122
 3977.2  ,     140
 4001.6  ,     142
 4025.9  ,     145
 4050.3  ,     136
 4074.7  ,     114
 4099.1  ,     102
 4123.5  ,      64
 4147.9  ,      68
 4172.3  ,      55
 4196.7  ,      54
 4221.1  ,      41
 4245.5  ,      46
 4269.9  ,      36
 4294.3  ,      40
 4318.7  ,      44
 4343.1  ,      54
 4367.5  ,      82
 4391.9  ,     103
 4416.3  ,     122
 4440.6  ,     137
 4465.0  ,     156
 4489.4  ,     168
 4513.8  ,     160
 4538.2  ,     149
 4562.6  ,     125
 4587.0  ,     115
 4611.4  ,     114
 4635.8  ,      96
 4660.2  ,      73
 4684.6  ,      50
 4709.0  ,      49
 4733.4  ,      52
 4757.8  ,      51
 4782.2  ,      42
 4806.6  ,      53
 4831.0  ,      44
 4855.4  ,      57
 4879.7  ,      56
 4904.1  ,      54
 4928.5  ,      61
 4952.9  ,      70
 4977.3  ,      63
 5001.7  ,      52
 5026.1  ,      37
 5050.5  ,      45
 5074.9  ,      49
 5099.3  ,      38
 5123.7  ,      48
 5148.1  ,      38
 5172.5  ,      56
 5196.9  ,      64
 5221.3  ,      69
 5245.7  ,      61
 5270.1  ,      72
 5294.4  ,      80
 5318.8  ,      92
 5343.2  ,     114
 5367.6  ,     101
 5392.0  ,     129
 5416.4  ,     117
 5440.8  ,     122
 5465.2  ,      92
 5489.6  ,      76
 5514.0  ,      63
 5538.4  ,      78
 5562.8  ,      78
 5587.2  ,      61
 5611.6  ,      73
 5636.0  ,     115
 5660.4  ,     116
 5684.8  ,     134
 5709.1  ,     193
 5733.5  ,     286
 5757.9  ,     394
 5782.3  ,     509
