"Target: Nova_RP, Contains DAT files: APB_458532061ESC06880390000_______M1.DAT"
  487.3  ,    5400
  511.7  ,       0
  536.0  ,       0
  560.4  ,       0
  584.7  ,       0
  609.1  ,     116
  633.4  ,    1506
  657.8  ,    1572
  682.1  ,    1626
  706.5  ,    1676
  730.8  ,    1603
  755.2  ,    1624
  779.5  ,    1563
  803.9  ,    1543
  828.2  ,    1598
  852.6  ,    1577
  876.9  ,    1720
  901.3  ,    2049
  925.6  ,    2596
  950.0  ,    3426
  974.3  ,    4789
  998.7  ,    6106
 1023.0  ,    7043
 1047.4  ,    6686
 1071.7  ,    5815
 1096.1  ,    4762
 1120.4  ,    4128
 1144.8  ,    4901
 1169.1  ,    6374
 1193.5  ,    8769
 1217.8  ,   10906
 1242.2  ,   11960
 1266.5  ,   11192
 1290.9  ,    9441
 1315.2  ,    7327
 1339.6  ,    7005
 1364.0  ,    8885
 1388.3  ,   13996
 1412.7  ,   21837
 1437.0  ,   30687
 1461.4  ,   36805
 1485.7  ,   37607
 1510.1  ,   32616
 1534.4  ,   24420
 1558.8  ,   17414
 1583.1  ,   13938
 1607.5  ,   17181
 1631.8  ,   27667
 1656.2  ,   46620
 1680.5  ,   69425
 1704.9  ,   89069
 1729.2  ,   96653
 1753.6  ,   89305
 1777.9  ,   68885
 1802.3  ,   45378
 1826.6  ,   26046
 1851.0  ,   14058
 1875.3  ,    7853
 1899.7  ,    5083
 1924.0  ,    4396
 1948.4  ,    4357
 1972.7  ,    4915
 1997.1  ,    5246
 2021.4  ,    4853
 2045.8  ,    4041
 2070.1  ,    3004
 2094.5  ,    2120
 2118.8  ,    1584
 2143.2  ,    1272
 2167.5  ,    1420
 2191.9  ,    1991
 2216.3  ,    2849
 2240.6  ,    3922
 2265.0  ,    4955
 2289.3  ,    5530
 2313.7  ,    5434
 2338.0  ,    4526
 2362.4  ,    3442
 2386.7  ,    2292
 2411.1  ,    1499
 2435.4  ,    1100
 2459.8  ,    1000
 2484.1  ,     987
 2508.5  ,    1238
 2532.8  ,    1608
 2557.2  ,    1886
 2581.5  ,    2371
 2605.9  ,    2646
 2630.2  ,    2524
 2654.6  ,    2114
 2678.9  ,    1584
 2703.3  ,    1014
 2727.6  ,     702
 2752.0  ,     529
 2776.3  ,     448
 2800.7  ,     454
 2825.0  ,     461
