"Target: BonanzaKing2_RP_raster2_DRT, Contains DAT files: APB_461584149ESC07220401378_______M2.DAT"
  488.3  ,     660
  512.7  ,       0
  537.1  ,       0
  561.5  ,       0
  585.9  ,       0
  610.3  ,     116
  634.7  ,       0
  659.1  ,       0
  683.5  ,       0
  707.9  ,     100
  732.3  ,     193
  756.7  ,     188
  781.2  ,     177
  805.6  ,     209
  830.0  ,     194
  854.4  ,     217
  878.8  ,     231
  903.2  ,     264
  927.6  ,     332
  952.0  ,     374
  976.4  ,     471
 1000.8  ,     530
 1025.2  ,     574
 1049.6  ,     580
 1074.0  ,     582
 1098.4  ,     577
 1122.8  ,     583
 1147.2  ,     631
 1171.6  ,     807
 1196.0  ,     915
 1220.4  ,    1059
 1244.8  ,    1014
 1269.2  ,    1065
 1293.6  ,    1075
 1318.1  ,     972
 1342.5  ,    1007
 1366.9  ,    1261
 1391.3  ,    1512
 1415.7  ,    1916
 1440.1  ,    2259
 1464.5  ,    2706
 1488.9  ,    2630
 1513.3  ,    2579
 1537.7  ,    2420
 1562.1  ,    2549
 1586.5  ,    2927
 1610.9  ,    4145
 1635.3  ,    5955
 1659.7  ,    7918
 1684.1  ,    9898
 1708.5  ,   11396
 1732.9  ,   11902
 1757.3  ,   11356
 1781.7  ,    9518
 1806.1  ,    7264
 1830.5  ,    5130
 1855.0  ,    3217
 1879.4  ,    2051
 1903.8  ,    1244
 1928.2  ,     725
 1952.6  ,     554
 1977.0  ,     451
 2001.4  ,     415
 2025.8  ,     347
 2050.2  ,     315
 2074.6  ,     267
 2099.0  ,     229
 2123.4  ,     175
 2147.8  ,     242
 2172.2  ,     222
 2196.6  ,     333
 2221.0  ,     434
 2245.4  ,     540
 2269.8  ,     623
 2294.2  ,     636
 2318.6  ,     612
 2343.0  ,     506
 2367.4  ,     427
 2391.9  ,     354
 2416.3  ,     243
 2440.7  ,     163
 2465.1  ,     147
 2489.5  ,     134
 2513.9  ,     130
 2538.3  ,     133
 2562.7  ,     144
 2587.1  ,     141
 2611.5  ,     170
 2635.9  ,     163
 2660.3  ,     119
