"Target: Maturango, Contains DAT files: APB_464560318ESC07560421020_______M1.DAT"
  486.5  ,   12600
  510.9  ,       0
  535.3  ,       0
  559.7  ,       0
  584.2  ,       0
  608.6  ,     116
  633.0  ,     301
  657.4  ,    3285
  681.8  ,    4216
  706.2  ,    4260
  730.7  ,    4050
  755.1  ,    3798
  779.5  ,    3783
  803.9  ,    3597
  828.3  ,    3718
  852.7  ,    3842
  877.2  ,    3959
  901.6  ,    4194
  926.0  ,    4608
  950.4  ,    6136
  974.8  ,    9315
  999.2  ,   14213
 1023.7  ,   18076
 1048.1  ,   17042
 1072.5  ,   12203
 1096.9  ,    8191
 1121.3  ,    6523
 1145.7  ,    7242
 1170.2  ,   10691
 1194.6  ,   18327
 1219.0  ,   28267
 1243.4  ,   33397
 1267.8  ,   28749
 1292.2  ,   18957
 1316.7  ,   12001
 1341.1  ,    9238
 1365.5  ,   10954
 1389.9  ,   18780
 1414.3  ,   38216
 1438.7  ,   69131
 1463.2  ,   98045
 1487.6  ,   98631
 1512.0  ,   73147
 1536.4  ,   42315
 1560.8  ,   23742
 1585.2  ,   17735
 1609.7  ,   22461
 1634.1  ,   45439
 1658.5  ,  106287
 1682.9  ,  214693
 1707.3  ,  332554
 1731.7  ,  377528
 1756.2  ,  310005
 1780.6  ,  184865
 1805.0  ,   86903
 1829.4  ,   37845
 1853.8  ,   18655
 1878.2  ,   11612
 1902.7  ,    7538
 1927.1  ,    5402
 1951.5  ,    5247
 1975.9  ,    5648
 2000.3  ,    6140
 2024.7  ,    5608
 2049.2  ,    4366
 2073.6  ,    2906
 2098.0  ,    2147
 2122.4  ,    1885
 2146.8  ,    1930
 2171.2  ,    2146
 2195.7  ,    3105
 2220.1  ,    5204
 2244.5  ,    9020
 2268.9  ,   13522
 2293.3  ,   16040
 2317.7  ,   14702
 2342.2  ,   10623
 2366.6  ,    5925
 2391.0  ,    3092
 2415.4  ,    1995
 2439.8  ,    1764
 2464.2  ,    1865
 2488.7  ,    1719
 2513.1  ,    1725
 2537.5  ,    1743
 2561.9  ,    2034
 2586.3  ,    2433
 2610.7  ,    2596
 2635.2  ,    2312
 2659.6  ,    1743
 2684.0  ,    1232
 2708.4  ,     823
 2732.8  ,     737
 2757.2  ,     676
 2781.7  ,     741
 2806.1  ,     713
 2830.5  ,     743
 2854.9  ,     741
 2879.3  ,     740
 2903.7  ,     754
 2928.2  ,     833
 2952.6  ,     781
 2977.0  ,     806
 3001.4  ,     726
 3025.8  ,     637
 3050.2  ,     585
 3074.7  ,     594
 3099.1  ,     578
 3123.5  ,     616
 3147.9  ,     730
 3172.3  ,     828
 3196.7  ,    1157
 3221.2  ,    1790
 3245.6  ,    2789
 3270.0  ,    3945
 3294.4  ,    4653
 3318.8  ,    4569
 3343.2  ,    3563
 3367.6  ,    2530
 3392.1  ,    1598
 3416.5  ,    1077
 3440.9  ,     885
 3465.3  ,     957
 3489.7  ,     994
 3514.1  ,    1229
 3538.6  ,    1679
 3563.0  ,    2506
 3587.4  ,    4056
 3611.8  ,    6520
 3636.2  ,    9828
 3660.6  ,   12392
 3685.1  ,   12906
 3709.5  ,   10924
 3733.9  ,    7785
 3758.3  ,    4512
 3782.7  ,    2312
 3807.1  ,    1135
 3831.6  ,     679
 3856.0  ,     601
 3880.4  ,     620
 3904.8  ,     834
 3929.2  ,    1157
 3953.6  ,    1529
 3978.1  ,    1835
 4002.5  ,    1945
 4026.9  ,    1902
 4051.3  ,    1562
 4075.7  ,    1182
 4100.1  ,     870
 4124.6  ,     657
 4149.0  ,     554
 4173.4  ,     496
 4197.8  ,     491
 4222.2  ,     442
 4246.6  ,     471
 4271.1  ,     491
 4295.5  ,     522
 4319.9  ,     466
 4344.3  ,     601
 4368.7  ,     750
 4393.1  ,    1141
 4417.6  ,    1608
 4442.0  ,    2468
 4466.4  ,    3028
 4490.8  ,    3394
 4515.2  ,    3203
 4539.6  ,    2596
 4564.1  ,    1940
 4588.5  ,    1414
 4612.9  ,    1218
 4637.3  ,    1000
 4661.7  ,     863
 4686.1  ,     756
 4710.6  ,     629
 4735.0  ,     548
 4759.4  ,     522
 4783.8  ,     512
 4808.2  ,     556
 4832.6  ,     585
 4857.1  ,     689
 4881.5  ,     811
 4905.9  ,     891
 4930.3  ,     853
 4954.7  ,     805
 4979.1  ,     746
 5003.6  ,     609
 5028.0  ,     528
 5052.4  ,     493
 5076.8  ,     508
 5101.2  ,     469
 5125.6  ,     501
 5150.1  ,     539
 5174.5  ,     506
 5198.9  ,     551
 5223.3  ,     596
 5247.7  ,     628
 5272.1  ,     717
 5296.6  ,     878
 5321.0  ,    1181
 5345.4  ,    1478
 5369.8  ,    1626
 5394.2  ,    1688
 5418.6  ,    1734
 5443.1  ,    1353
