"Target: Mammoth_rp, Contains DAT files: APB_464835267ESC07590421020_______M1.DAT"
  487.5  ,   14400
  511.9  ,       0
  536.2  ,       0
  560.6  ,       0
  585.0  ,       0
  609.3  ,     116
  633.7  ,    3272
  658.0  ,    3472
  682.4  ,    3715
  706.8  ,    3636
  731.1  ,    3436
  755.5  ,    3475
  779.9  ,    3310
  804.2  ,    3298
  828.6  ,    3267
  852.9  ,    3462
  877.3  ,    3642
  901.7  ,    4056
  926.0  ,    4776
  950.4  ,    6295
  974.8  ,    8197
  999.1  ,   10485
 1023.5  ,   11628
 1047.8  ,   11535
 1072.2  ,   10206
 1096.6  ,    8571
 1120.9  ,    8924
 1145.3  ,   11671
 1169.7  ,   17874
 1194.0  ,   26060
 1218.4  ,   33570
 1242.7  ,   36956
 1267.1  ,   33666
 1291.5  ,   26448
 1315.8  ,   18694
 1340.2  ,   14421
 1364.6  ,   15175
 1388.9  ,   21646
 1413.3  ,   33015
 1437.6  ,   46346
 1462.0  ,   56710
 1486.4  ,   57115
 1510.7  ,   49504
 1535.1  ,   36841
 1559.5  ,   26259
 1583.8  ,   23594
 1608.2  ,   32080
 1632.5  ,   56046
 1656.9  ,   96691
 1681.3  ,  149551
 1705.6  ,  196082
 1730.0  ,  213648
 1754.4  ,  191801
 1778.7  ,  143738
 1803.1  ,   92106
 1827.4  ,   51220
 1851.8  ,   26929
 1876.2  ,   14755
 1900.5  ,    8998
 1924.9  ,    6285
 1949.3  ,    5441
 1973.6  ,    5124
 1998.0  ,    5249
 2022.3  ,    4844
 2046.7  ,    4159
 2071.1  ,    3416
 2095.4  ,    2796
 2119.8  ,    2676
 2144.2  ,    2979
 2168.5  ,    4012
 2192.9  ,    6167
 2217.2  ,   10004
 2241.6  ,   14981
 2266.0  ,   19797
 2290.3  ,   22547
 2314.7  ,   21874
 2339.1  ,   18000
 2363.4  ,   12871
 2387.8  ,    8177
 2412.2  ,    5156
 2436.5  ,    3506
 2460.9  ,    2854
 2485.2  ,    2878
 2509.6  ,    2828
 2534.0  ,    3126
 2558.3  ,    3317
 2582.7  ,    3917
 2607.1  ,    4112
 2631.4  ,    3851
 2655.8  ,    3136
 2680.1  ,    2407
 2704.5  ,    1726
 2728.9  ,    1122
 2753.2  ,     920
 2777.6  ,     860
 2802.0  ,     849
 2826.3  ,     890
 2850.7  ,     871
 2875.0  ,     870
 2899.4  ,     857
 2923.8  ,     864
 2948.1  ,     876
 2972.5  ,     833
 2996.9  ,     806
 3021.2  ,     686
 3045.6  ,     644
 3069.9  ,     565
 3094.3  ,     597
 3118.7  ,     604
 3143.0  ,     610
 3167.4  ,     798
 3191.8  ,    1062
 3216.1  ,    1467
 3240.5  ,    1994
 3264.8  ,    2536
 3289.2  ,    2771
 3313.6  ,    2829
 3337.9  ,    2598
 3362.3  ,    2157
 3386.7  ,    1692
 3411.0  ,    1250
 3435.4  ,    1059
 3459.7  ,    1035
 3484.1  ,    1112
 3508.5  ,    1495
 3532.8  ,    2056
 3557.2  ,    3112
 3581.6  ,    4826
 3605.9  ,    7437
 3630.3  ,   10198
 3654.6  ,   12403
 3679.0  ,   13212
 3703.4  ,   12390
 3727.7  ,   10174
 3752.1  ,    7190
 3776.5  ,    4582
 3800.8  ,    2727
 3825.2  ,    1510
 3849.5  ,    1005
 3873.9  ,     814
 3898.3  ,     972
 3922.6  ,    1233
 3947.0  ,    1455
 3971.4  ,    1793
 3995.7  ,    1990
 4020.1  ,    1967
 4044.4  ,    1717
 4068.8  ,    1414
 4093.2  ,    1149
 4117.5  ,     900
 4141.9  ,     691
 4166.3  ,     561
 4190.6  ,     477
 4215.0  ,     410
 4239.3  ,     458
 4263.7  ,     436
 4288.1  ,     444
 4312.4  ,     513
 4336.8  ,     527
 4361.2  ,     777
 4385.5  ,     971
 4409.9  ,    1405
 4434.3  ,    1781
 4458.6  ,    2246
 4483.0  ,    2443
 4507.3  ,    2433
 4531.7  ,    2239
 4556.1  ,    1899
 4580.4  ,    1591
 4604.8  ,    1184
 4629.2  ,     982
 4653.5  ,     837
 4677.9  ,     749
 4702.2  ,     658
 4726.6  ,     551
 4751.0  ,     531
 4775.3  ,     487
 4799.7  ,     478
 4824.1  ,     575
 4848.4  ,     620
 4872.8  ,     692
 4897.1  ,     717
 4921.5  ,     676
 4945.9  ,     696
 4970.2  ,     656
 4994.6  ,     593
 5019.0  ,     582
 5043.3  ,     526
 5067.7  ,     470
 5092.0  ,     435
 5116.4  ,     459
 5140.8  ,     462
 5165.1  ,     418
 5189.5  ,     444
 5213.9  ,     485
 5238.2  ,     524
 5262.6  ,     638
 5286.9  ,     809
 5311.3  ,     913
 5335.7  ,    1127
 5360.0  ,    1276
 5384.4  ,    1362
 5408.8  ,    1335
 5433.1  ,    1233
 5457.5  ,    1058
 5481.8  ,     853
 5506.2  ,     782
 5530.6  ,     646
 5554.9  ,     563
 5579.3  ,     546
