"Target: Morrison_DRT_raster3, Contains DAT files: APB_466229570ESC07740421020_______M1.DAT"
  484.2  ,     900
  508.6  ,       0
  533.0  ,       0
  557.4  ,       0
  581.8  ,       0
  606.2  ,     116
  630.6  ,       0
  655.0  ,      31
  679.4  ,     214
  703.8  ,     235
  728.2  ,     233
  752.6  ,     206
  777.0  ,     204
  801.4  ,     257
  825.8  ,     230
  850.2  ,     233
  874.6  ,     225
  899.0  ,     256
  923.4  ,     313
  947.8  ,     348
  972.2  ,     530
  996.6  ,     782
 1021.1  ,     988
 1045.5  ,     854
 1069.9  ,     695
 1094.3  ,     471
 1118.7  ,     425
 1143.1  ,     470
 1167.5  ,     754
 1191.9  ,    1397
 1216.3  ,    2040
 1240.7  ,    2474
 1265.1  ,    2323
 1289.5  ,    1446
 1313.9  ,     933
 1338.3  ,     650
 1362.7  ,     671
 1387.1  ,    1089
 1411.5  ,    2062
 1435.9  ,    3740
 1460.3  ,    4927
 1484.7  ,    5208
 1509.1  ,    4119
 1533.5  ,    2471
 1557.9  ,    1438
 1582.3  ,    1112
 1606.7  ,    1378
 1631.1  ,    2622
 1655.5  ,    5704
 1679.9  ,   11174
 1704.3  ,   16913
 1728.7  ,   19228
 1753.1  ,   16632
 1777.5  ,   11036
 1801.9  ,    5573
 1826.3  ,    2599
 1850.7  ,    1262
 1875.1  ,     723
 1899.5  ,     481
 1923.9  ,     330
 1948.3  ,     300
 1972.7  ,     313
 1997.1  ,     380
 2021.5  ,     337
 2046.0  ,     275
 2070.4  ,     210
 2094.8  ,     165
 2119.2  ,     125
 2143.6  ,     136
 2168.0  ,     157
 2192.4  ,     241
 2216.8  ,     420
 2241.2  ,     737
 2265.6  ,    1036
 2290.0  ,    1346
 2314.4  ,    1263
 2338.8  ,     928
 2363.2  ,     572
 2387.6  ,     341
 2412.0  ,     185
 2436.4  ,     146
 2460.8  ,     148
 2485.2  ,     138
 2509.6  ,     129
 2534.0  ,     148
 2558.4  ,     189
 2582.8  ,     193
 2607.2  ,     204
 2631.6  ,     179
 2656.0  ,     165
 2680.4  ,      99
 2704.8  ,      60
 2729.2  ,      57
 2753.6  ,      42
 2778.0  ,      61
