"Target: Kelso, Contains DAT files: APB_468650567ESC08020441140_______M1.DAT"
  483.9  ,    5400
  508.3  ,       0
  532.7  ,       0
  557.2  ,       0
  581.6  ,       0
  606.0  ,     116
  630.4  ,      98
  654.8  ,    1104
  679.3  ,    1391
  703.7  ,    1472
  728.1  ,    1315
  752.5  ,    1303
  777.0  ,    1176
  801.4  ,    1151
  825.8  ,    1094
  850.2  ,    1238
  874.6  ,    1254
  899.1  ,    1296
  923.5  ,    1471
  947.9  ,    1732
  972.3  ,    2668
  996.7  ,    4019
 1021.2  ,    5331
 1045.6  ,    5180
 1070.0  ,    3932
 1094.4  ,    2703
 1118.8  ,    2286
 1143.3  ,    2703
 1167.7  ,    4740
 1192.1  ,    9547
 1216.5  ,   16399
 1241.0  ,   19834
 1265.4  ,   17287
 1289.8  ,   10741
 1314.2  ,    5553
 1338.6  ,    3208
 1363.1  ,    3113
 1387.5  ,    4916
 1411.9  ,    9454
 1436.3  ,   18062
 1460.7  ,   26849
 1485.2  ,   27920
 1509.6  ,   20725
 1534.0  ,   11987
 1558.4  ,    6369
 1582.9  ,    4613
 1607.3  ,    5456
 1631.7  ,   10628
 1656.1  ,   25174
 1680.5  ,   53255
 1705.0  ,   86978
 1729.4  ,   99572
 1753.8  ,   83672
 1778.2  ,   50581
 1802.6  ,   23803
 1827.1  ,   10224
 1851.5  ,    5321
 1875.9  ,    3315
 1900.3  ,    2176
 1924.7  ,    1633
 1949.2  ,    1423
 1973.6  ,    1615
 1998.0  ,    1809
 2022.4  ,    1636
 2046.9  ,    1273
 2071.3  ,     930
 2095.7  ,     662
 2120.1  ,     608
 2144.5  ,     603
 2169.0  ,     726
 2193.4  ,     926
 2217.8  ,    1571
 2242.2  ,    2772
 2266.6  ,    4045
 2291.1  ,    5064
 2315.5  ,    4726
 2339.9  ,    3406
 2364.3  ,    2039
 2388.7  ,     991
 2413.2  ,     647
 2437.6  ,     578
 2462.0  ,     641
 2486.4  ,     636
 2510.9  ,     576
 2535.3  ,     690
 2559.7  ,     954
 2584.1  ,    1280
 2608.5  ,    1399
 2633.0  ,    1275
 2657.4  ,     945
 2681.8  ,     596
 2706.2  ,     367
 2730.6  ,     291
 2755.1  ,     267
 2779.5  ,     310
 2803.9  ,     313
 2828.3  ,     311
 2852.7  ,     324
 2877.2  ,     320
 2901.6  ,     323
 2926.0  ,     355
 2950.4  ,     329
 2974.9  ,     321
 2999.3  ,     261
 3023.7  ,     228
 3048.1  ,     214
 3072.5  ,     214
 3097.0  ,     226
 3121.4  ,     180
 3145.8  ,     237
 3170.2  ,     263
 3194.6  ,     281
 3219.1  ,     392
 3243.5  ,     629
 3267.9  ,     844
 3292.3  ,    1003
 3316.7  ,    1050
 3341.2  ,     901
 3365.6  ,     642
 3390.0  ,     425
 3414.4  ,     350
 3438.9  ,     316
 3463.3  ,     348
 3487.7  ,     415
 3512.1  ,     531
 3536.5  ,     726
 3561.0  ,    1156
 3585.4  ,    2059
 3609.8  ,    3777
 3634.2  ,    5659
 3658.6  ,    7556
 3683.1  ,    8009
 3707.5  ,    6622
 3731.9  ,    4689
 3756.3  ,    2618
 3780.8  ,    1330
 3805.2  ,     548
 3829.6  ,     334
 3854.0  ,     246
 3878.4  ,     295
 3902.9  ,     386
 3927.3  ,     529
 3951.7  ,     810
 3976.1  ,    1069
 4000.5  ,    1163
 4025.0  ,    1037
 4049.4  ,     845
 4073.8  ,     621
 4098.2  ,     453
 4122.6  ,     267
 4147.1  ,     228
 4171.5  ,     176
 4195.9  ,     182
 4220.3  ,     162
 4244.8  ,     165
 4269.2  ,     154
 4293.6  ,     160
 4318.0  ,     165
 4342.4  ,     193
 4366.9  ,     213
 4391.3  ,     366
 4415.7  ,     537
 4440.1  ,     789
 4464.5  ,     961
 4489.0  ,    1112
 4513.4  ,    1110
 4537.8  ,     855
 4562.2  ,     674
 4586.6  ,     482
 4611.1  ,     380
 4635.5  ,     400
 4659.9  ,     319
 4684.3  ,     274
 4708.8  ,     224
 4733.2  ,     195
 4757.6  ,     182
 4782.0  ,     179
 4806.4  ,     216
 4830.9  ,     230
 4855.3  ,     229
 4879.7  ,     270
 4904.1  ,     295
 4928.5  ,     309
 4953.0  ,     286
 4977.4  ,     258
 5001.8  ,     232
 5026.2  ,     193
 5050.6  ,     202
 5075.1  ,     196
 5099.5  ,     190
 5123.9  ,     200
 5148.3  ,     176
 5172.8  ,     202
 5197.2  ,     209
 5221.6  ,     193
 5246.0  ,     244
 5270.4  ,     275
 5294.9  ,     347
 5319.3  ,     431
 5343.7  ,     533
 5368.1  ,     726
 5392.5  ,     679
 5417.0  ,     694
 5441.4  ,     582
 5465.8  ,     452
 5490.2  ,     338
 5514.6  ,     297
 5539.1  ,     222
 5563.5  ,     238
 5587.9  ,     210
 5612.3  ,     214
 5636.8  ,     242
 5661.2  ,     246
 5685.6  ,     243
 5710.0  ,     236
 5734.4  ,     288
 5758.9  ,     397
 5783.3  ,     497
 5807.7  ,     714
 5832.1  ,     893
 5856.5  ,    1081
 5881.0  ,    1106
 5905.4  ,    1083
 5929.8  ,     961
 5954.2  ,     744
 5978.7  ,     608
 6003.1  ,     551
 6027.5  ,     445
 6051.9  ,     473
 6076.3  ,     515
 6100.8  ,     604
 6125.2  ,     690
 6149.6  ,     867
 6174.0  ,    1232
 6198.4  ,    1767
 6222.9  ,    3396
 6247.3  ,    6527
 6271.7  ,   12210
 6296.1  ,   20982
 6320.5  ,   32290
 6345.0  ,   43564
 6369.4  ,   50002
 6393.8  ,   49486
 6418.2  ,   42257
 6442.7  ,   31123
 6467.1  ,   19352
 6491.5  ,   10556
 6515.9  ,    4982
 6540.3  ,    2106
 6564.8  ,     799
 6589.2  ,     448
 6613.6  ,     241
 6638.0  ,     213
 6662.4  ,     203
 6686.9  ,     221
 6711.3  ,     215
 6735.7  ,     241
 6760.1  ,     283
 6784.5  ,     304
 6809.0  ,     360
 6833.4  ,     461
 6857.8  ,     590
 6882.2  ,     925
 6906.7  ,    1615
 6931.1  ,    2539
 6955.5  ,    4074
 6979.9  ,    5721
 7004.3  ,    7138
 7028.8  ,    7758
 7053.2  ,    7691
 7077.6  ,    6424
 7102.0  ,    4787
 7126.4  ,    3100
 7150.9  ,    1719
 7175.3  ,     908
 7199.7  ,     425
 7224.1  ,     203
 7248.5  ,     121
 7273.0  ,      76
 7297.4  ,      86
 7321.8  ,     100
 7346.2  ,     120
 7370.7  ,     157
 7395.1  ,     175
 7419.5  ,     235
 7443.9  ,     251
 7468.3  ,     224
 7492.8  ,     214
 7517.2  ,     161
 7541.6  ,     131
 7566.0  ,     110
 7590.4  ,      84
 7614.9  ,      76
 7639.3  ,      52
 7663.7  ,      51
 7688.1  ,      62
 7712.5  ,      54
 7737.0  ,      60
 7761.4  ,      66
 7785.8  ,      56
 7810.2  ,      60
 7834.7  ,      64
 7859.1  ,      62
 7883.5  ,      62
 7907.9  ,      59
 7932.3  ,      56
 7956.8  ,      71
 7981.2  ,      58
 8005.6  ,      72
 8030.0  ,      63
 8054.4  ,      68
 8078.9  ,      76
 8103.3  ,      65
 8127.7  ,      68
 8152.1  ,      60
 8176.6  ,      76
 8201.0  ,      79
 8225.4  ,      69
 8249.8  ,      91
 8274.2  ,      98
 8298.7  ,      82
 8323.1  ,      64
 8347.5  ,      72
 8371.9  ,      67
 8396.3  ,      58
 8420.8  ,      62
 8445.2  ,      65
 8469.6  ,      69
 8494.0  ,      98
 8518.4  ,     128
 8542.9  ,     160
 8567.3  ,     179
 8591.7  ,     233
 8616.1  ,     244
 8640.6  ,     214
 8665.0  ,     172
 8689.4  ,     177
 8713.8  ,      88
 8738.2  ,      88
 8762.7  ,      76
 8787.1  ,      64
 8811.5  ,      63
 8835.9  ,      55
 8860.3  ,      72
 8884.8  ,      64
 8909.2  ,      57
 8933.6  ,      44
 8958.0  ,      65
 8982.4  ,      56
 9006.9  ,      54
 9031.3  ,      57
 9055.7  ,      48
 9080.1  ,      57
 9104.6  ,      55
 9129.0  ,      51
 9153.4  ,      66
 9177.8  ,      68
 9202.2  ,      69
 9226.7  ,      70
 9251.1  ,      53
 9275.5  ,      61
 9299.9  ,      68
 9324.3  ,      72
 9348.8  ,      69
 9373.2  ,      63
 9397.6  ,      63
 9422.0  ,      57
 9446.4  ,      55
 9470.9  ,      68
 9495.3  ,      86
 9519.7  ,      75
 9544.1  ,      88
 9568.6  ,      89
 9593.0  ,      73
 9617.4  ,      77
 9641.8  ,      65
 9666.2  ,      65
 9690.7  ,      56
 9715.1  ,      55
 9739.5  ,      67
 9763.9  ,      53
 9788.3  ,      64
 9812.8  ,      68
 9837.2  ,      63
 9861.6  ,      72
 9886.0  ,      68
 9910.4  ,      68
 9934.9  ,      54
 9959.3  ,      68
 9983.7  ,      55
10008.1  ,      55
10032.6  ,      48
10057.0  ,      58
10081.4  ,      45
10105.8  ,      46
10130.2  ,      49
10154.7  ,      37
10179.1  ,      50
10203.5  ,      60
10227.9  ,      59
10252.3  ,      57
10276.8  ,      47
10301.2  ,      36
10325.6  ,      63
10350.0  ,      49
10374.5  ,      61
10398.9  ,      56
10423.3  ,      57
10447.7  ,      58
10472.1  ,      67
10496.6  ,      41
10521.0  ,      65
10545.4  ,      55
10569.8  ,      49
10594.2  ,      58
10618.7  ,      56
10643.1  ,      51
10667.5  ,      53
10691.9  ,      51
10716.3  ,      66
10740.8  ,      48
10765.2  ,      53
10789.6  ,      48
10814.0  ,      62
10838.5  ,      50
10862.9  ,      50
10887.3  ,      73
10911.7  ,      49
10936.1  ,      64
10960.6  ,      65
10985.0  ,      48
11009.4  ,      72
11033.8  ,      76
11058.2  ,      55
11082.7  ,      67
11107.1  ,      60
11131.5  ,      67
11155.9  ,      58
11180.3  ,      70
11204.8  ,      62
11229.2  ,      66
11253.6  ,      59
11278.0  ,      74
11302.5  ,      78
11326.9  ,      73
11351.3  ,      73
11375.7  ,      91
11400.1  ,      73
11424.6  ,      87
11449.0  ,     101
11473.4  ,      89
11497.8  ,      88
11522.2  ,     105
11546.7  ,      93
11571.1  ,     105
11595.5  ,     111
11619.9  ,     114
11644.3  ,     110
11668.8  ,      93
11693.2  ,      97
11717.6  ,     115
11742.0  ,     112
11766.5  ,     122
11790.9  ,     115
11815.3  ,     119
11839.7  ,     149
11864.1  ,     147
11888.6  ,     172
11913.0  ,     151
11937.4  ,     129
11961.8  ,     150
11986.2  ,     166
12010.7  ,     148
12035.1  ,     174
12059.5  ,     156
12083.9  ,     202
12108.4  ,     197
12132.8  ,     177
12157.2  ,     168
12181.6  ,     142
12206.0  ,     137
12230.5  ,     118
12254.9  ,     105
12279.3  ,     105
12303.7  ,      89
12328.1  ,     108
12352.6  ,      68
12377.0  ,      91
12401.4  ,      91
12425.8  ,      97
12450.2  ,     110
12474.7  ,      93
12499.1  ,     108
12523.5  ,     115
12547.9  ,      94
12572.4  ,     123
12596.8  ,     105
12621.2  ,     118
12645.6  ,     114
12670.0  ,     142
12694.5  ,     122
12718.9  ,     113
12743.3  ,     132
12767.7  ,     121
12792.1  ,     135
12816.6  ,     132
12841.0  ,     142
12865.4  ,     168
12889.8  ,     188
12914.2  ,     174
12938.7  ,     180
12963.1  ,     216
12987.5  ,     214
13011.9  ,     227
13036.4  ,     232
13060.8  ,     230
13085.2  ,     259
13109.6  ,     284
13134.0  ,     332
13158.5  ,     393
13182.9  ,     423
13207.3  ,     458
13231.7  ,     521
13256.1  ,     563
13280.6  ,     633
13305.0  ,     626
13329.4  ,     748
13353.8  ,     809
13378.2  ,     845
13402.7  ,     875
13427.1  ,    1000
13451.5  ,     991
13475.9  ,    1036
13500.4  ,    1025
13524.8  ,    1011
