"Target: Mojave_DRT_raster2, Contains DAT files: APB_469359455ESC08100441432_______M1.DAT"
  484.9  ,   14400
  509.3  ,       0
  533.7  ,       0
  558.2  ,       0
  582.6  ,       0
  607.0  ,     116
  631.4  ,     332
  655.9  ,    3528
  680.3  ,    3705
  704.7  ,    3805
  729.1  ,    3655
  753.5  ,    3482
  778.0  ,    3414
  802.4  ,    3334
  826.8  ,    3606
  851.2  ,    3528
  875.7  ,    3813
  900.1  ,    3872
  924.5  ,    4240
  948.9  ,    5458
  973.4  ,    8375
  997.8  ,   13003
 1022.2  ,   16535
 1046.6  ,   16184
 1071.0  ,   11563
 1095.5  ,    7786
 1119.9  ,    6166
 1144.3  ,    6436
 1168.7  ,    9735
 1193.2  ,   16869
 1217.6  ,   26764
 1242.0  ,   32582
 1266.4  ,   28003
 1290.8  ,   18739
 1315.3  ,   11459
 1339.7  ,    9152
 1364.1  ,   10801
 1388.5  ,   18695
 1413.0  ,   39548
 1437.4  ,   74849
 1461.8  ,  108379
 1486.2  ,  112004
 1510.6  ,   83002
 1535.1  ,   46533
 1559.5  ,   24364
 1583.9  ,   16763
 1608.3  ,   19657
 1632.8  ,   38672
 1657.2  ,   92307
 1681.6  ,  193050
 1706.0  ,  307855
 1730.5  ,  354391
 1754.9  ,  293397
 1779.3  ,  176696
 1803.7  ,   82060
 1828.1  ,   34600
 1852.6  ,   17751
 1877.0  ,   10885
 1901.4  ,    7320
 1925.8  ,    5531
 1950.3  ,    5471
 1974.7  ,    6503
 1999.1  ,    7524
 2023.5  ,    6830
 2047.9  ,    4933
 2072.4  ,    3211
 2096.8  ,    2281
 2121.2  ,    1909
 2145.6  ,    1990
 2170.1  ,    2145
 2194.5  ,    2906
 2218.9  ,    5071
 2243.3  ,    9082
 2267.7  ,   13952
 2292.2  ,   16848
 2316.6  ,   15609
 2341.0  ,   10999
 2365.4  ,    6013
 2389.9  ,    3108
 2414.3  ,    2068
 2438.7  ,    1839
 2463.1  ,    1927
 2487.6  ,    1822
 2512.0  ,    1721
 2536.4  ,    1799
 2560.8  ,    2308
 2585.2  ,    2921
 2609.7  ,    3217
 2634.1  ,    2761
 2658.5  ,    2117
 2682.9  ,    1268
 2707.4  ,     870
 2731.8  ,     660
 2756.2  ,     690
 2780.6  ,     721
 2805.0  ,     743
 2829.5  ,     762
 2853.9  ,     689
 2878.3  ,     755
 2902.7  ,     795
 2927.2  ,     842
 2951.6  ,     816
 2976.0  ,     805
 3000.4  ,     726
 3024.8  ,     638
 3049.3  ,     578
 3073.7  ,     530
 3098.1  ,     553
 3122.5  ,     553
 3147.0  ,     591
 3171.4  ,     732
 3195.8  ,     940
 3220.2  ,    1299
 3244.7  ,    2050
