"Target: Potatoe_raster2, Contains DAT files: APB_469447387ESC08110441432_______M1.DAT"
  484.4  ,   12600
  508.8  ,       0
  533.2  ,       0
  557.7  ,       0
  582.1  ,       0
  606.5  ,     116
  630.9  ,     252
  655.4  ,    3053
  679.8  ,    3589
  704.2  ,    3723
  728.6  ,    3543
  753.0  ,    3184
  777.5  ,    3012
  801.9  ,    2963
  826.3  ,    3029
  850.7  ,    3210
  875.2  ,    3286
  899.6  ,    3459
  924.0  ,    3761
  948.4  ,    4782
  972.8  ,    7055
  997.3  ,   10821
 1021.7  ,   13776
 1046.1  ,   13556
 1070.5  ,   10041
 1095.0  ,    6895
 1119.4  ,    5895
 1143.8  ,    7080
 1168.2  ,   12109
 1192.7  ,   23965
 1217.1  ,   40001
 1241.5  ,   48685
 1265.9  ,   42280
 1290.3  ,   26131
 1314.8  ,   13975
 1339.2  ,    8531
 1363.6  ,    8437
 1388.0  ,   13262
 1412.5  ,   26322
 1436.9  ,   49340
 1461.3  ,   70979
 1485.7  ,   73782
 1510.1  ,   55053
 1534.6  ,   31230
 1559.0  ,   16998
 1583.4  ,   12207
 1607.8  ,   14702
 1632.3  ,   27821
 1656.7  ,   65552
 1681.1  ,  136719
 1705.5  ,  217705
 1729.9  ,  251680
 1754.4  ,  208040
 1778.8  ,  124854
 1803.2  ,   58902
 1827.6  ,   25683
 1852.1  ,   13598
 1876.5  ,    8771
 1900.9  ,    6007
 1925.3  ,    4472
 1949.7  ,    4591
 1974.2  ,    5232
 1998.6  ,    5893
 2023.0  ,    5403
 2047.4  ,    4218
 2071.9  ,    2962
 2096.3  ,    2510
 2120.7  ,    2309
 2145.1  ,    2445
 2169.6  ,    3204
 2194.0  ,    5008
 2218.4  ,    9462
 2242.8  ,   17941
 2267.2  ,   28098
 2291.7  ,   34007
 2316.1  ,   31251
 2340.5  ,   22290
 2364.9  ,   12147
 2389.4  ,    5921
 2413.8  ,    3425
 2438.2  ,    3156
 2462.6  ,    3200
 2487.0  ,    3114
 2511.5  ,    2864
 2535.9  ,    3052
 2560.3  ,    3706
 2584.7  ,    4698
 2609.2  ,    5158
 2633.6  ,    4624
 2658.0  ,    3420
 2682.4  ,    2049
 2706.8  ,    1116
 2731.3  ,     768
 2755.7  ,     771
 2780.1  ,     786
 2804.5  ,     831
 2829.0  ,     847
 2853.4  ,     768
 2877.8  ,     808
 2902.2  ,     736
 2926.6  ,     754
 2951.1  ,     759
 2975.5  ,     707
 2999.9  ,     595
 3024.3  ,     552
 3048.8  ,     493
 3073.2  ,     477
 3097.6  ,     452
 3122.0  ,     532
 3146.5  ,     495
 3170.9  ,     599
 3195.3  ,     764
 3219.7  ,    1109
 3244.1  ,    1574
 3268.6  ,    2144
 3293.0  ,    2569
 3317.4  ,    2453
 3341.8  ,    2109
 3366.3  ,    1535
 3390.7  ,    1087
 3415.1  ,     786
 3439.5  ,     737
 3463.9  ,     745
 3488.4  ,     836
 3512.8  ,    1017
 3537.2  ,    1526
 3561.6  ,    2380
 3586.1  ,    4054
 3610.5  ,    7055
 3634.9  ,   10917
 3659.3  ,   13889
 3683.7  ,   14577
 3708.2  ,   12489
 3732.6  ,    9021
 3757.0  ,    5051
 3781.4  ,    2494
 3805.9  ,    1169
 3830.3  ,     644
 3854.7  ,     505
 3879.1  ,     579
 3903.5  ,     764
 3928.0  ,    1075
 3952.4  ,    1447
 3976.8  ,    1859
 4001.2  ,    2071
 4025.7  ,    1928
