"Target: Mescal_DRT_raster1, Contains DAT files: APB_470254694ESC08200441828_______M1.DAT"
  485.3  ,   12600
  509.7  ,       0
  534.1  ,       0
  558.6  ,       0
  583.0  ,       0
  607.4  ,     116
  631.8  ,     726
  656.3  ,    3740
  680.7  ,    4159
  705.1  ,    4174
  729.5  ,    4090
  754.0  ,    3776
  778.4  ,    3703
  802.8  ,    3768
  827.2  ,    3836
  851.6  ,    4018
  876.1  ,    4040
  900.5  ,    4122
  924.9  ,    4844
  949.3  ,    5926
  973.8  ,    8985
  998.2  ,   14033
 1022.6  ,   18235
 1047.0  ,   17615
 1071.5  ,   12709
 1095.9  ,    8468
 1120.3  ,    6641
 1144.7  ,    7277
 1169.1  ,   10508
 1193.6  ,   18165
 1218.0  ,   28848
 1242.4  ,   34785
 1266.8  ,   30481
 1291.3  ,   20478
 1315.7  ,   12564
 1340.1  ,    9677
 1364.5  ,   11344
 1389.0  ,   19339
 1413.4  ,   40336
 1437.8  ,   76891
 1462.2  ,  111025
 1486.6  ,  114966
 1511.1  ,   85957
 1535.5  ,   48629
 1559.9  ,   25977
 1584.3  ,   18473
 1608.8  ,   22791
 1633.2  ,   44198
 1657.6  ,  105011
 1682.0  ,  220264
 1706.5  ,  350447
 1730.9  ,  405190
 1755.3  ,  333952
 1779.7  ,  198777
 1804.2  ,   91694
 1828.6  ,   38837
 1853.0  ,   19548
 1877.4  ,   11857
 1901.8  ,    7746
 1926.3  ,    5607
 1950.7  ,    5321
 1975.1  ,    6072
 1999.5  ,    6877
 2024.0  ,    6125
 2048.4  ,    4602
 2072.8  ,    3099
 2097.2  ,    2112
 2121.7  ,    1725
 2146.1  ,    1757
 2170.5  ,    1888
 2194.9  ,    2529
 2219.3  ,    4028
 2243.8  ,    6811
 2268.2  ,   10195
 2292.6  ,   12577
 2317.0  ,   11466
 2341.5  ,    8020
 2365.9  ,    4560
 2390.3  ,    2338
 2414.7  ,    1599
 2439.2  ,    1588
 2463.6  ,    1527
 2488.0  ,    1539
 2512.4  ,    1490
 2536.8  ,    1491
 2561.3  ,    1751
 2585.7  ,    2096
 2610.1  ,    2308
 2634.5  ,    2047
 2659.0  ,    1600
 2683.4  ,    1134
 2707.8  ,     798
 2732.2  ,     658
 2756.7  ,     656
 2781.1  ,     613
 2805.5  ,     732
 2829.9  ,     755
 2854.3  ,     641
 2878.8  ,     771
 2903.2  ,     808
 2927.6  ,     824
 2952.0  ,     848
 2976.5  ,     807
 3000.9  ,     694
 3025.3  ,     662
 3049.7  ,     579
 3074.2  ,     568
 3098.6  ,     575
 3123.0  ,     622
 3147.4  ,     663
 3171.8  ,     832
 3196.3  ,    1044
 3220.7  ,    1725
 3245.1  ,    2522
 3269.5  ,    3794
 3294.0  ,    4293
 3318.4  ,    4234
 3342.8  ,    3338
 3367.2  ,    2380
 3391.7  ,    1465
 3416.1  ,    1058
