"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.99    ,  0.14  
MgO     ,  4.47    ,  0.17  
Al2O3   , 11.88    ,  0.29  
SiO2    , 51.29    ,  0.54  
P2O5    ,  1.42    ,  0.09  
SO3     ,  5.32    ,  0.08  
Cl      ,  0.53    ,  0.01  
K2O     ,  0.63    ,  0.02  
CaO     ,  4.52    ,  0.06  
TiO2    ,  1.18    ,  0.05  
Cr2O3   ,  0.37    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 14.59    ,  0.20  
Ni      ,  0.0853  ,  0.0045
Zn      ,  0.2198  ,  0.0070
Br      ,  0.0050  ,  0.0005
