"Target: Mojave2_presieve_dump, Contains DAT files: APB_476380933ESC08890450000_______M1.DAT"
  482.8  ,   12600
  507.2  ,       0
  531.7  ,       0
  556.1  ,       0
  580.6  ,       0
  605.0  ,     116
  629.4  ,     870
  653.9  ,    2413
  678.3  ,    2636
  702.8  ,    2839
  727.2  ,    2584
  751.6  ,    2318
  776.1  ,    2377
  800.5  ,    2328
  825.0  ,    2345
  849.4  ,    2443
  873.8  ,    2608
  898.3  ,    2706
  922.7  ,    2875
  947.2  ,    3687
  971.6  ,    5720
  996.0  ,    9086
 1020.5  ,   11879
 1044.9  ,   11529
 1069.3  ,    8426
 1093.8  ,    5469
 1118.2  ,    4197
 1142.7  ,    4334
 1167.1  ,    6303
 1191.5  ,   11108
 1216.0  ,   18370
 1240.4  ,   22605
 1264.9  ,   20288
 1289.3  ,   13498
 1313.7  ,    7966
 1338.2  ,    6027
 1362.6  ,    6631
 1387.1  ,   10997
 1411.5  ,   23549
 1435.9  ,   45754
 1460.4  ,   68113
 1484.8  ,   72331
 1509.3  ,   54460
 1533.7  ,   31081
 1558.1  ,   16000
 1582.6  ,   10593
 1607.0  ,   12123
 1631.5  ,   23814
 1655.9  ,   57468
 1680.3  ,  123638
 1704.8  ,  201977
 1729.2  ,  238833
 1753.7  ,  199430
 1778.1  ,  120773
 1802.5  ,   56505
 1827.0  ,   23946
 1851.4  ,   12229
 1875.9  ,    7416
 1900.3  ,    5021
 1924.7  ,    3593
 1949.2  ,    3512
 1973.6  ,    4193
 1998.0  ,    4774
 2022.5  ,    4492
 2046.9  ,    3392
 2071.4  ,    2231
 2095.8  ,    1537
 2120.2  ,    1345
 2144.7  ,    1437
 2169.1  ,    1541
 2193.6  ,    2141
 2218.0  ,    3653
 2242.4  ,    6764
 2266.9  ,   10342
 2291.3  ,   12791
 2315.8  ,   11821
 2340.2  ,    8170
 2364.6  ,    4568
 2389.1  ,    2265
 2413.5  ,    1511
 2438.0  ,    1387
 2462.4  ,    1380
 2486.8  ,    1361
 2511.3  ,    1284
 2535.7  ,    1283
 2560.2  ,    1512
 2584.6  ,    1805
 2609.0  ,    2022
 2633.5  ,    1856
 2657.9  ,    1350
 2682.4  ,     904
 2706.8  ,     565
 2731.2  ,     513
 2755.7  ,     489
