"Target: Mojave2_postsieve_dump, Contains DAT files: APB_476905000ESC08950450000_______M1.DAT"
  484.1  ,   14400
  508.5  ,       0
  533.0  ,       0
  557.4  ,       0
  581.8  ,       0
  606.2  ,     116
  630.7  ,     449
  655.1  ,    2662
  679.5  ,    2914
  704.0  ,    2937
  728.4  ,    2923
  752.8  ,    2684
  777.2  ,    2621
  801.7  ,    2547
  826.1  ,    2731
  850.5  ,    2728
  875.0  ,    2888
  899.4  ,    2898
  923.8  ,    3374
  948.2  ,    4272
  972.7  ,    6495
  997.1  ,   10055
 1021.5  ,   13203
 1046.0  ,   12894
 1070.4  ,    9297
 1094.8  ,    6084
 1119.2  ,    4640
 1143.7  ,    4830
 1168.1  ,    7123
 1192.5  ,   12457
 1217.0  ,   19780
 1241.4  ,   24384
 1265.8  ,   21659
 1290.2  ,   14185
 1314.7  ,    8806
 1339.1  ,    6660
 1363.5  ,    7515
 1387.9  ,   12983
 1412.4  ,   27410
 1436.8  ,   52211
 1461.2  ,   76033
 1485.7  ,   78339
 1510.1  ,   59031
 1534.5  ,   33623
 1558.9  ,   17586
 1583.4  ,   12014
 1607.8  ,   14060
 1632.2  ,   27652
 1656.7  ,   66636
 1681.1  ,  140247
 1705.5  ,  224659
 1729.9  ,  261313
 1754.4  ,  216482
 1778.8  ,  131140
 1803.2  ,   61431
 1827.7  ,   26687
 1852.1  ,   13390
 1876.5  ,    8391
 1900.9  ,    5517
 1925.4  ,    4193
 1949.8  ,    4036
 1974.2  ,    4753
 1998.7  ,    5423
 2023.1  ,    5008
 2047.5  ,    3582
 2071.9  ,    2448
 2096.4  ,    1857
 2120.8  ,    1556
 2145.2  ,    1603
 2169.7  ,    1788
 2194.1  ,    2384
 2218.5  ,    4247
 2242.9  ,    7599
 2267.4  ,   11909
 2291.8  ,   14357
 2316.2  ,   13313
 2340.7  ,    9346
 2365.1  ,    5275
 2389.5  ,    2612
 2413.9  ,    1663
 2438.4  ,    1545
 2462.8  ,    1609
 2487.2  ,    1504
 2511.7  ,    1392
 2536.1  ,    1410
 2560.5  ,    1629
 2584.9  ,    1886
 2609.4  ,    2215
 2633.8  ,    1939
 2658.2  ,    1547
 2682.7  ,    1003
 2707.1  ,     622
 2731.5  ,     536
 2755.9  ,     539
 2780.4  ,     547
 2804.8  ,     545
 2829.2  ,     604
 2853.6  ,     618
 2878.1  ,     618
 2902.5  ,     684
 2926.9  ,     779
 2951.4  ,     756
 2975.8  ,     747
 3000.2  ,     608
 3024.6  ,     533
 3049.1  ,     465
 3073.5  ,     416
 3097.9  ,     511
 3122.4  ,     454
 3146.8  ,     484
 3171.2  ,     581
 3195.6  ,     814
 3220.1  ,    1107
 3244.5  ,    1809
 3268.9  ,    2519
 3293.4  ,    3009
 3317.8  ,    2989
 3342.2  ,    2397
 3366.6  ,    1759
 3391.1  ,    1103
 3415.5  ,     775
 3439.9  ,     668
 3464.4  ,     665
 3488.8  ,     796
 3513.2  ,     964
 3537.6  ,    1273
 3562.1  ,    1953
 3586.5  ,    3093
 3610.9  ,    5370
 3635.4  ,    8008
 3659.8  ,   10299
 3684.2  ,   10987
 3708.6  ,    9042
 3733.1  ,    6339
 3757.5  ,    3670
 3781.9  ,    1885
 3806.4  ,     875
 3830.8  ,     565
 3855.2  ,     446
 3879.6  ,     538
 3904.1  ,     653
 3928.5  ,     866
 3952.9  ,    1233
 3977.4  ,    1529
