"Target: Telegraph_Peak_DRT_raster2, Contains DAT files: APB_477874429ESC09050450450_______M1.DAT"
  486.7  ,   14400
  511.1  ,       0
  535.5  ,       0
  559.9  ,       0
  584.3  ,       0
  608.7  ,     116
  633.1  ,       0
  657.5  ,     975
  681.9  ,    3986
  706.3  ,    4629
  730.7  ,    4425
  755.1  ,    4131
  779.5  ,    4030
  803.9  ,    3989
  828.3  ,    4024
  852.7  ,    4131
  877.0  ,    4180
  901.4  ,    4558
  925.8  ,    5407
  950.2  ,    7055
  974.6  ,   10596
  999.0  ,   15573
 1023.4  ,   18879
 1047.8  ,   17969
 1072.2  ,   13994
 1096.6  ,    9631
 1121.0  ,    7496
 1145.4  ,    7705
 1169.8  ,   10571
 1194.2  ,   16361
 1218.6  ,   22826
 1243.0  ,   25917
 1267.4  ,   23250
 1291.8  ,   17121
 1316.2  ,   12396
 1340.6  ,   10597
 1365.0  ,   13132
 1389.4  ,   22187
 1413.8  ,   41928
 1438.2  ,   69923
 1462.6  ,   93655
 1487.0  ,   96237
 1511.4  ,   75367
 1535.8  ,   48944
 1560.2  ,   29545
 1584.6  ,   22858
 1609.0  ,   30837
 1633.4  ,   61409
 1657.7  ,  129021
 1682.1  ,  237799
 1706.5  ,  350443
 1730.9  ,  394278
 1755.3  ,  337563
 1779.7  ,  222318
 1804.1  ,  117203
 1828.5  ,   54882
 1852.9  ,   26562
 1877.3  ,   14798
 1901.7  ,    9438
 1926.1  ,    7261
 1950.5  ,    7018
 1974.9  ,    7759
 1999.3  ,    8433
 2023.7  ,    7706
 2048.1  ,    6055
 2072.5  ,    4087
 2096.9  ,    2787
 2121.3  ,    2187
 2145.7  ,    2006
 2170.1  ,    2112
 2194.5  ,    2545
 2218.9  ,    3785
 2243.3  ,    5835
 2267.7  ,    8207
 2292.1  ,    9313
 2316.5  ,    8852
 2340.9  ,    6678
 2365.3  ,    4270
 2389.7  ,    2550
 2414.1  ,    1784
 2438.4  ,    1499
 2462.8  ,    1448
 2487.2  ,    1487
 2511.6  ,    1497
 2536.0  ,    1672
 2560.4  ,    2001
 2584.8  ,    2409
 2609.2  ,    2540
 2633.6  ,    2419
 2658.0  ,    1936
 2682.4  ,    1374
 2706.8  ,    1009
 2731.2  ,     831
 2755.6  ,     822
 2780.0  ,     780
 2804.4  ,     814
 2828.8  ,     831
 2853.2  ,     863
 2877.6  ,     817
 2902.0  ,     855
 2926.4  ,     907
 2950.8  ,     875
 2975.2  ,     853
 2999.6  ,     806
 3024.0  ,     786
 3048.4  ,     647
 3072.8  ,     643
 3097.2  ,     663
 3121.6  ,     750
 3146.0  ,     795
 3170.4  ,    1010
 3194.8  ,    1350
 3219.1  ,    2070
 3243.5  ,    3146
 3267.9  ,    4169
 3292.3  ,    4994
 3316.7  ,    5076
 3341.1  ,    4314
 3365.5  ,    3073
 3389.9  ,    2085
 3414.3  ,    1327
 3438.7  ,    1083
 3463.1  ,    1074
 3487.5  ,    1211
 3511.9  ,    1534
 3536.3  ,    2020
 3560.7  ,    2970
 3585.1  ,    4702
 3609.5  ,    7180
 3633.9  ,   10127
 3658.3  ,   12729
 3682.7  ,   13508
 3707.1  ,   11858
 3731.5  ,    8949
 3755.9  ,    5367
 3780.3  ,    3111
 3804.7  ,    1634
 3829.1  ,     954
 3853.5  ,     732
 3877.9  ,     776
 3902.3  ,     972
 3926.7  ,    1252
 3951.1  ,    1528
 3975.5  ,    1919
 3999.8  ,    2126
 4024.2  ,    2035
 4048.6  ,    1718
 4073.0  ,    1394
 4097.4  ,    1097
 4121.8  ,     796
 4146.2  ,     636
 4170.6  ,     509
 4195.0  ,     540
 4219.4  ,     497
 4243.8  ,     510
 4268.2  ,     547
 4292.6  ,     522
 4317.0  ,     613
 4341.4  ,     650
 4365.8  ,     899
 4390.2  ,    1236
 4414.6  ,    1861
 4439.0  ,    2572
 4463.4  ,    3424
 4487.8  ,    3622
 4512.2  ,    3549
 4536.6  ,    2958
 4561.0  ,    2408
 4585.4  ,    1834
 4609.8  ,    1422
 4634.2  ,    1198
 4658.6  ,    1025
 4683.0  ,     872
 4707.4  ,     747
 4731.8  ,     634
 4756.2  ,     629
 4780.5  ,     599
 4804.9  ,     652
 4829.3  ,     717
 4853.7  ,     793
 4878.1  ,     894
 4902.5  ,    1013
 4926.9  ,    1004
 4951.3  ,     942
 4975.7  ,     830
 5000.1  ,     713
 5024.5  ,     641
 5048.9  ,     562
 5073.3  ,     505
 5097.7  ,     553
 5122.1  ,     577
 5146.5  ,     557
 5170.9  ,     577
 5195.3  ,     636
 5219.7  ,     652
 5244.1  ,     711
 5268.5  ,     868
 5292.9  ,     952
 5317.3  ,    1197
 5341.7  ,    1498
 5366.1  ,    1751
 5390.5  ,    1847
 5414.9  ,    1809
 5439.3  ,    1571
 5463.7  ,    1342
 5488.1  ,    1025
 5512.5  ,     836
 5536.9  ,     743
 5561.2  ,     733
 5585.6  ,     682
 5610.0  ,     693
 5634.4  ,     683
 5658.8  ,     726
 5683.2  ,     743
 5707.6  ,     800
 5732.0  ,     830
 5756.4  ,     996
 5780.8  ,    1150
 5805.2  ,    1408
 5829.6  ,    1707
 5854.0  ,    2073
 5878.4  ,    2055
 5902.8  ,    2081
 5927.2  ,    2007
 5951.6  ,    1879
 5976.0  ,    1598
 6000.4  ,    1542
 6024.8  ,    1560
 6049.2  ,    1608
 6073.6  ,    1731
 6098.0  ,    2068
 6122.4  ,    2530
 6146.8  ,    3377
 6171.2  ,    4857
 6195.6  ,    7708
 6220.0  ,   13127
 6244.4  ,   22470
 6268.8  ,   38750
 6293.2  ,   61920
 6317.6  ,   91706
 6341.9  ,  119971
 6366.3  ,  140656
 6390.7  ,  143019
 6415.1  ,  127518
 6439.5  ,   98813
 6463.9  ,   66935
 6488.3  ,   39248
 6512.7  ,   20529
 6537.1  ,    9539
 6561.5  ,    4073
 6585.9  ,    1837
 6610.3  ,    1057
 6634.7  ,     754
 6659.1  ,     698
 6683.5  ,     744
 6707.9  ,     726
 6732.3  ,     803
 6756.7  ,     895
 6781.1  ,    1041
 6805.5  ,    1243
 6829.9  ,    1643
 6854.3  ,    2382
 6878.7  ,    3460
 6903.1  ,    5180
 6927.5  ,    7935
 6951.9  ,   11674
 6976.3  ,   16110
 7000.7  ,   20146
 7025.1  ,   22589
 7049.5  ,   22740
 7073.9  ,   20169
 7098.3  ,   15462
 7122.6  ,   10797
 7147.0  ,    6679
 7171.4  ,    3706
 7195.8  ,    1847
 7220.2  ,     884
 7244.6  ,     534
 7269.0  ,     341
 7293.4  ,     267
 7317.8  ,     225
 7342.2  ,     297
 7366.6  ,     342
 7391.0  ,     390
 7415.4  ,     475
 7439.8  ,     477
 7464.2  ,     514
 7488.6  ,     478
 7513.0  ,     391
 7537.4  ,     369
 7561.8  ,     284
 7586.2  ,     244
 7610.6  ,     193
 7635.0  ,     225
 7659.4  ,     187
 7683.8  ,     168
 7708.2  ,     187
 7732.6  ,     171
 7757.0  ,     176
 7781.4  ,     198
 7805.8  ,     199
 7830.2  ,     205
 7854.6  ,     207
 7879.0  ,     220
 7903.3  ,     216
 7927.7  ,     210
 7952.1  ,     215
 7976.5  ,     210
 8000.9  ,     194
 8025.3  ,     214
 8049.7  ,     212
 8074.1  ,     228
 8098.5  ,     232
 8122.9  ,     177
 8147.3  ,     201
 8171.7  ,     227
 8196.1  ,     213
 8220.5  ,     247
 8244.9  ,     231
 8269.3  ,     216
 8293.7  ,     207
 8318.1  ,     209
 8342.5  ,     229
 8366.9  ,     215
 8391.3  ,     256
 8415.7  ,     304
 8440.1  ,     390
 8464.5  ,     520
 8488.9  ,     737
 8513.3  ,     992
 8537.7  ,    1363
 8562.1  ,    1679
 8586.5  ,    2034
 8610.9  ,    2111
 8635.3  ,    2066
 8659.7  ,    1785
 8684.0  ,    1536
 8708.4  ,    1049
 8732.8  ,     684
 8757.2  ,     480
 8781.6  ,     323
 8806.0  ,     240
 8830.4  ,     199
 8854.8  ,     166
 8879.2  ,     178
 8903.6  ,     159
 8928.0  ,     152
 8952.4  ,     183
 8976.8  ,     174
 9001.2  ,     156
 9025.6  ,     168
 9050.0  ,     171
 9074.4  ,     172
 9098.8  ,     185
 9123.2  ,     192
 9147.6  ,     185
 9172.0  ,     242
 9196.4  ,     243
 9220.8  ,     253
 9245.2  ,     248
 9269.6  ,     238
 9294.0  ,     247
 9318.4  ,     186
 9342.8  ,     214
 9367.2  ,     235
 9391.6  ,     190
 9416.0  ,     255
 9440.4  ,     298
 9464.7  ,     359
 9489.1  ,     400
 9513.5  ,     443
 9537.9  ,     493
 9562.3  ,     476
 9586.7  ,     457
 9611.1  ,     394
 9635.5  ,     371
 9659.9  ,     327
 9684.3  ,     263
 9708.7  ,     246
 9733.1  ,     252
 9757.5  ,     240
 9781.9  ,     309
 9806.3  ,     344
 9830.7  ,     362
 9855.1  ,     389
 9879.5  ,     362
 9903.9  ,     361
 9928.3  ,     339
 9952.7  ,     297
 9977.1  ,     298
10001.5  ,     194
10025.9  ,     178
10050.3  ,     177
10074.7  ,     169
10099.1  ,     180
10123.5  ,     168
10147.9  ,     163
10172.3  ,     170
10196.7  ,     169
10221.1  ,     171
10245.4  ,     174
10269.8  ,     172
10294.2  ,     188
10318.6  ,     166
10343.0  ,     176
10367.4  ,     188
10391.8  ,     205
10416.2  ,     257
10440.6  ,     251
10465.0  ,     317
10489.4  ,     337
10513.8  ,     373
10538.2  ,     345
10562.6  ,     358
10587.0  ,     330
10611.4  ,     280
10635.8  ,     239
10660.2  ,     226
10684.6  ,     218
10709.0  ,     174
10733.4  ,     195
10757.8  ,     154
10782.2  ,     192
10806.6  ,     163
10831.0  ,     153
10855.4  ,     188
10879.8  ,     168
10904.2  ,     187
10928.6  ,     197
10953.0  ,     213
10977.4  ,     208
11001.8  ,     220
11026.1  ,     191
11050.5  ,     206
11074.9  ,     233
11099.3  ,     237
11123.7  ,     198
11148.1  ,     207
11172.5  ,     187
11196.9  ,     211
11221.3  ,     207
11245.7  ,     224
11270.1  ,     198
11294.5  ,     210
11318.9  ,     206
11343.3  ,     252
11367.7  ,     241
11392.1  ,     260
11416.5  ,     274
11440.9  ,     289
11465.3  ,     294
11489.7  ,     301
11514.1  ,     266
11538.5  ,     325
11562.9  ,     327
11587.3  ,     302
11611.7  ,     299
11636.1  ,     332
11660.5  ,     348
11684.9  ,     381
11709.3  ,     361
11733.7  ,     445
11758.1  ,     454
11782.5  ,     568
11806.8  ,     628
11831.2  ,     750
11855.6  ,     832
11880.0  ,     872
11904.4  ,     867
11928.8  ,     878
11953.2  ,     793
11977.6  ,     770
12002.0  ,     647
12026.4  ,     641
12050.8  ,     612
12075.2  ,     536
12099.6  ,     531
12124.0  ,     516
12148.4  ,     500
12172.8  ,     466
12197.2  ,     435
12221.6  ,     409
12246.0  ,     355
12270.4  ,     344
12294.8  ,     294
12319.2  ,     318
12343.6  ,     243
12368.0  ,     270
12392.4  ,     301
12416.8  ,     271
12441.2  ,     305
12465.6  ,     310
12490.0  ,     337
12514.4  ,     380
12538.8  ,     430
12563.2  ,     413
12587.5  ,     479
12611.9  ,     478
12636.3  ,     445
12660.7  ,     439
12685.1  ,     460
12709.5  ,     461
12733.9  ,     439
12758.3  ,     449
12782.7  ,     429
12807.1  ,     407
12831.5  ,     487
12855.9  ,     496
12880.3  ,     495
12904.7  ,     504
12929.1  ,     564
12953.5  ,     570
12977.9  ,     650
13002.3  ,     663
13026.7  ,     689
13051.1  ,     808
13075.5  ,     838
13099.9  ,     955
13124.3  ,    1018
13148.7  ,    1101
13173.1  ,    1203
13197.5  ,    1315
13221.9  ,    1489
13246.3  ,    1686
13270.7  ,    1869
13295.1  ,    2100
13319.5  ,    2152
13343.9  ,    2399
13368.2  ,    2503
13392.6  ,    2575
13417.0  ,    2836
13441.4  ,    2862
13465.8  ,    2922
13490.2  ,    3016
13514.6  ,    2983
13539.0  ,    2880
13563.4  ,    3022
13587.8  ,    2885
13612.2  ,    2843
13636.6  ,    2698
13661.0  ,    2458
13685.4  ,    2300
13709.8  ,    2204
13734.2  ,    1970
13758.6  ,    1859
13783.0  ,    1636
13807.4  ,    1477
13831.8  ,    1376
13856.2  ,    1307
13880.6  ,    1265
13905.0  ,    1160
13929.4  ,    1177
13953.8  ,    1238
13978.2  ,    1326
14002.6  ,    1480
14027.0  ,    1543
14051.4  ,    1726
14075.8  ,    2010
14100.2  ,    2179
14124.6  ,    2553
14148.9  ,    2922
14173.3  ,    3593
14197.7  ,    3856
14222.1  ,    4405
14246.5  ,    4534
14270.9  ,    4579
14295.3  ,    4414
14319.7  ,    4121
14344.1  ,    3485
14368.5  ,    2737
14392.9  ,    2062
14417.3  ,    1549
14441.7  ,    1063
14466.1  ,     701
14490.5  ,     530
14514.9  ,     400
14539.3  ,     303
14563.7  ,     270
14588.1  ,     291
14612.5  ,     246
14636.9  ,     258
14661.3  ,     290
14685.7  ,     247
14710.1  ,     276
14734.5  ,     287
14758.9  ,     307
14783.3  ,     300
14807.7  ,     306
14832.1  ,     347
14856.5  ,     329
14880.9  ,     415
14905.3  ,     400
14929.6  ,     399
14954.0  ,     387
14978.4  ,     403
15002.8  ,     361
15027.2  ,     363
15051.6  ,     387
15076.0  ,     352
15100.4  ,     381
