"Target: Albert, Contains DAT files: APB_484092240ESC09760470598_______M1.DAT"
  484.4  ,   14400
  508.8  ,       0
  533.2  ,       0
  557.6  ,       0
  582.1  ,       0
  606.5  ,     116
  630.9  ,      61
  655.3  ,    2327
  679.7  ,    3409
  704.1  ,    3547
  728.6  ,    3221
  753.0  ,    3048
  777.4  ,    2756
  801.8  ,    2742
  826.2  ,    2811
  850.6  ,    2968
  875.1  ,    2991
  899.5  ,    3197
  923.9  ,    3432
  948.3  ,    4123
  972.7  ,    6089
  997.1  ,    9415
 1021.6  ,   11691
 1046.0  ,   11409
 1070.4  ,    8701
 1094.8  ,    5974
 1119.2  ,    5214
 1143.6  ,    6272
 1168.1  ,   10285
 1192.5  ,   19979
 1216.9  ,   32378
 1241.3  ,   39723
 1265.7  ,   34487
 1290.1  ,   21986
 1314.6  ,   12033
 1339.0  ,    7590
 1363.4  ,    7406
 1387.8  ,   11619
 1412.2  ,   23441
 1436.6  ,   43088
 1461.1  ,   61062
 1485.5  ,   62968
 1509.9  ,   47544
 1534.3  ,   28025
 1558.7  ,   15179
 1583.1  ,   10642
 1607.6  ,   12720
 1632.0  ,   24482
 1656.4  ,   56961
 1680.8  ,  116750
 1705.2  ,  183502
 1729.6  ,  210524
 1754.1  ,  177519
 1778.5  ,  110021
 1802.9  ,   53756
 1827.3  ,   23871
 1851.7  ,   12302
 1876.1  ,    7709
 1900.6  ,    5316
 1925.0  ,    4026
 1949.4  ,    3732
 1973.8  ,    4223
 1998.2  ,    4591
 2022.6  ,    4307
 2047.1  ,    3450
 2071.5  ,    2573
 2095.9  ,    1962
 2120.3  ,    1793
 2144.7  ,    1802
 2169.1  ,    2114
 2193.5  ,    3051
 2218.0  ,    5142
 2242.4  ,    9540
 2266.8  ,   14228
 2291.2  ,   17338
 2315.6  ,   16129
 2340.0  ,   11737
 2364.5  ,    6796
 2388.9  ,    3527
 2413.3  ,    2271
 2437.7  ,    2067
 2462.1  ,    2134
 2486.5  ,    2266
 2511.0  ,    2640
 2535.4  ,    3592
 2559.8  ,    5402
 2584.2  ,    7570
 2608.6  ,    8594
 2633.0  ,    7992
 2657.5  ,    5638
 2681.9  ,    3409
 2706.3  ,    1805
 2730.7  ,    1099
 2755.1  ,    1071
 2779.5  ,    1147
 2804.0  ,    1219
 2828.4  ,    1251
 2852.8  ,    1199
 2877.2  ,     998
 2901.6  ,    1059
 2926.0  ,     952
 2950.5  ,     994
 2974.9  ,     920
 2999.3  ,     756
 3023.7  ,     618
 3048.1  ,     597
 3072.5  ,     531
 3097.0  ,     557
 3121.4  ,     557
 3145.8  ,     613
 3170.2  ,     650
 3194.6  ,     783
 3219.0  ,    1157
 3243.5  ,    1594
 3267.9  ,    2167
 3292.3  ,    2555
 3316.7  ,    2577
 3341.1  ,    2280
 3365.5  ,    1597
 3390.0  ,    1152
 3414.4  ,     876
 3438.8  ,     810
 3463.2  ,     799
 3487.6  ,     935
 3512.0  ,    1155
 3536.5  ,    1631
 3560.9  ,    2413
 3585.3  ,    4098
 3609.7  ,    6729
 3634.1  ,   10128
 3658.5  ,   13171
 3683.0  ,   13997
 3707.4  ,   12109
 3731.8  ,    8824
 3756.2  ,    5235
 3780.6  ,    2623
 3805.0  ,    1331
 3829.4  ,     769
 3853.9  ,     598
 3878.3  ,     665
 3902.7  ,     854
 3927.1  ,    1213
 3951.5  ,    1567
 3975.9  ,    1963
 4000.4  ,    1994
 4024.8  ,    1977
 4049.2  ,    1711
 4073.6  ,    1282
 4098.0  ,     959
 4122.4  ,     676
 4146.9  ,     550
 4171.3  ,     515
 4195.7  ,     410
 4220.1  ,     437
 4244.5  ,     422
 4268.9  ,     449
 4293.4  ,     464
 4317.8  ,     483
 4342.2  ,     526
 4366.6  ,     666
 4391.0  ,     855
 4415.4  ,    1220
 4439.9  ,    1732
 4464.3  ,    2212
 4488.7  ,    2529
 4513.1  ,    2388
 4537.5  ,    2047
 4561.9  ,    1708
 4586.4  ,    1290
 4610.8  ,    1203
 4635.2  ,    1043
 4659.6  ,     945
 4684.0  ,     871
 4708.4  ,     669
 4732.9  ,     598
 4757.3  ,     517
 4781.7  ,     531
 4806.1  ,     515
 4830.5  ,     609
 4854.9  ,     654
 4879.4  ,     718
 4903.8  ,     714
 4928.2  ,     733
 4952.6  ,     727
 4977.0  ,     647
 5001.4  ,     598
 5025.9  ,     519
 5050.3  ,     518
 5074.7  ,     510
 5099.1  ,     532
 5123.5  ,     503
 5147.9  ,     475
 5172.4  ,     512
 5196.8  ,     588
 5221.2  ,     591
 5245.6  ,     631
 5270.0  ,     747
 5294.4  ,     806
 5318.9  ,     960
 5343.3  ,    1058
 5367.7  ,    1241
 5392.1  ,    1310
 5416.5  ,    1241
 5440.9  ,    1164
 5465.4  ,     941
 5489.8  ,     833
 5514.2  ,     649
 5538.6  ,     673
 5563.0  ,     637
 5587.4  ,     578
 5611.8  ,     635
 5636.3  ,     644
 5660.7  ,     693
 5685.1  ,     683
 5709.5  ,     813
 5733.9  ,     902
 5758.3  ,    1096
 5782.8  ,    1484
 5807.2  ,    1904
 5831.6  ,    2482
 5856.0  ,    2877
 5880.4  ,    3073
 5904.8  ,    2996
 5929.3  ,    2584
 5953.7  ,    2134
 5978.1  ,    1710
 6002.5  ,    1520
 6026.9  ,    1372
 6051.3  ,    1487
 6075.8  ,    1614
 6100.2  ,    1838
 6124.6  ,    2339
 6149.0  ,    3028
 6173.4  ,    4400
 6197.8  ,    6865
 6222.3  ,   11984
 6246.7  ,   21506
 6271.1  ,   38245
 6295.5  ,   63018
 6319.9  ,   95393
 6344.3  ,  127656
 6368.8  ,  147674
 6393.2  ,  148713
 6417.6  ,  127634
 6442.0  ,   96588
 6466.4  ,   61623
 6490.8  ,   34124
 6515.3  ,   16728
 6539.7  ,    7077
 6564.1  ,    2891
 6588.5  ,    1340
 6612.9  ,     878
 6637.3  ,     670
 6661.8  ,     611
 6686.2  ,     632
 6710.6  ,     670
 6735.0  ,     682
 6759.4  ,     810
 6783.8  ,     944
 6808.3  ,    1157
