"Target: Buckskin_DRT_raster2, Contains DAT files: APB_491372464ESC10580482542_______M1.DAT"
  486.3  ,   12600
  510.7  ,       0
  535.1  ,       0
  559.6  ,       0
  584.0  ,       0
  608.4  ,     116
  632.8  ,     792
  657.2  ,    3220
  681.6  ,    3462
  706.1  ,    3647
  730.5  ,    3503
  754.9  ,    3350
  779.3  ,    3234
  803.7  ,    3363
  828.2  ,    3329
  852.6  ,    3325
  877.0  ,    3525
  901.4  ,    3616
  925.8  ,    3901
  950.3  ,    4790
  974.7  ,    6524
  999.1  ,    9530
 1023.5  ,   11861
 1047.9  ,   11588
 1072.3  ,    8834
 1096.8  ,    6372
 1121.2  ,    5275
 1145.6  ,    5995
 1170.0  ,    8283
 1194.4  ,   13404
 1218.9  ,   20535
 1243.3  ,   24839
 1267.7  ,   21614
 1292.1  ,   14902
 1316.5  ,    9673
 1340.9  ,    7688
 1365.4  ,    8337
 1389.8  ,   12306
 1414.2  ,   22555
 1438.6  ,   39858
 1463.0  ,   56165
 1487.5  ,   57845
 1511.9  ,   44457
 1536.3  ,   27643
 1560.7  ,   18071
 1585.1  ,   17300
 1609.5  ,   25359
 1634.0  ,   53218
 1658.4  ,  126176
 1682.8  ,  259848
 1707.2  ,  407622
 1731.6  ,  469968
 1756.1  ,  387734
 1780.5  ,  234327
 1804.9  ,  108723
 1829.3  ,   45116
 1853.7  ,   21427
 1878.2  ,   12386
 1902.6  ,    7769
 1927.0  ,    5355
 1951.4  ,    4898
 1975.8  ,    5388
 2000.2  ,    5858
 2024.7  ,    5292
 2049.1  ,    4014
 2073.5  ,    2672
 2097.9  ,    2026
 2122.3  ,    1777
 2146.8  ,    1770
 2171.2  ,    2094
 2195.6  ,    3145
 2220.0  ,    5347
 2244.4  ,    9639
 2268.8  ,   14346
 2293.3  ,   17448
 2317.7  ,   16068
 2342.1  ,   11326
 2366.5  ,    6285
 2390.9  ,    3046
 2415.4  ,    1943
 2439.8  ,    1750
 2464.2  ,    1758
 2488.6  ,    1785
 2513.0  ,    1683
 2537.5  ,    1863
 2561.9  ,    2392
 2586.3  ,    3069
 2610.7  ,    3311
 2635.1  ,    2962
 2659.5  ,    2190
 2684.0  ,    1321
 2708.4  ,     826
 2732.8  ,     607
 2757.2  ,     597
 2781.6  ,     612
 2806.1  ,     630
 2830.5  ,     688
 2854.9  ,     617
 2879.3  ,     627
