"Target: Pilgrim, Contains DAT files: APB_498214247ESC11350500676_______M1.DAT"
  488.1  ,   10800
  512.5  ,       0
  536.8  ,       0
  561.2  ,       0
  585.6  ,       0
  610.0  ,     116
  634.3  ,    1104
  658.7  ,    1030
  683.1  ,    1026
  707.4  ,    1072
  731.8  ,    1013
  756.2  ,    1035
  780.6  ,    1097
  804.9  ,    1018
  829.3  ,    1074
  853.7  ,    1117
  878.0  ,    1123
  902.4  ,    1184
  926.8  ,    1336
  951.2  ,    1487
  975.5  ,    1943
  999.9  ,    2585
 1024.3  ,    3008
 1048.6  ,    2913
 1073.0  ,    2425
 1097.4  ,    1869
 1121.8  ,    1619
 1146.1  ,    1565
 1170.5  ,    1937
 1194.9  ,    2422
 1219.2  ,    3048
 1243.6  ,    3291
 1268.0  ,    3101
 1292.4  ,    2522
 1316.7  ,    2071
 1341.1  ,    1895
 1365.5  ,    2071
 1389.9  ,    2637
 1414.2  ,    3742
 1438.6  ,    5439
 1463.0  ,    6827
 1487.3  ,    6633
 1511.7  ,    6152
 1536.1  ,    4944
 1560.5  ,    4599
 1584.8  ,    5574
 1609.2  ,   10011
 1633.6  ,   21641
 1657.9  ,   46412
 1682.3  ,   84281
 1706.7  ,  122411
 1731.1  ,  136295
 1755.4  ,  117098
 1779.8  ,   78775
 1804.2  ,   42090
 1828.5  ,   19922
 1852.9  ,    9010
 1877.3  ,    4869
 1901.7  ,    3105
 1926.0  ,    2437
 1950.4  ,    2289
 1974.8  ,    2483
 1999.1  ,    2734
 2023.5  ,    2555
 2047.9  ,    2040
 2072.3  ,    1454
 2096.6  ,    1082
 2121.0  ,     938
 2145.4  ,    1059
 2169.7  ,    1315
 2194.1  ,    2110
 2218.5  ,    3627
 2242.9  ,    6080
 2267.2  ,    8775
 2291.6  ,   10325
 2316.0  ,    9757
 2340.3  ,    7385
 2364.7  ,    4513
 2389.1  ,    2535
 2413.5  ,    1442
 2437.8  ,    1115
 2462.2  ,     999
 2486.6  ,     944
 2510.9  ,     874
 2535.3  ,     867
 2559.7  ,    1028
 2584.1  ,    1185
 2608.4  ,    1310
 2632.8  ,    1203
 2657.2  ,     950
 2681.5  ,     613
 2705.9  ,     406
 2730.3  ,     299
 2754.7  ,     291
 2779.0  ,     249
 2803.4  ,     270
 2827.8  ,     299
 2852.2  ,     355
 2876.5  ,     362
 2900.9  ,     440
 2925.3  ,     536
 2949.6  ,     527
 2974.0  ,     525
 2998.4  ,     406
 3022.8  ,     288
 3047.1  ,     215
 3071.5  ,     192
 3095.9  ,     190
 3120.2  ,     183
 3144.6  ,     206
 3169.0  ,     219
 3193.4  ,     260
 3217.7  ,     303
 3242.1  ,     363
 3266.5  ,     427
 3290.8  ,     508
 3315.2  ,     547
 3339.6  ,     464
 3364.0  ,     448
 3388.3  ,     344
 3412.7  ,     294
 3437.1  ,     310
 3461.4  ,     306
 3485.8  ,     356
 3510.2  ,     480
 3534.6  ,     669
 3558.9  ,     992
 3583.3  ,    1724
 3607.7  ,    2781
 3632.0  ,    4169
 3656.4  ,    5102
 3680.8  ,    5534
 3705.2  ,    5250
 3729.5  ,    4001
 3753.9  ,    2450
 3778.3  ,    1338
 3802.6  ,     704
 3827.0  ,     344
 3851.4  ,     232
 3875.8  ,     234
 3900.1  ,     284
 3924.5  ,     426
 3948.9  ,     569
 3973.2  ,     707
 3997.6  ,     757
 4022.0  ,     770
 4046.4  ,     638
 4070.7  ,     533
 4095.1  ,     358
 4119.5  ,     279
 4143.8  ,     185
 4168.2  ,     147
 4192.6  ,     130
 4217.0  ,     109
 4241.3  ,     122
 4265.7  ,     110
 4290.1  ,     126
 4314.4  ,     177
 4338.8  ,     177
 4363.2  ,     245
 4387.6  ,     316
 4411.9  ,     434
 4436.3  ,     604
 4460.7  ,     771
 4485.1  ,     895
 4509.4  ,     875
 4533.8  ,     753
 4558.2  ,     546
 4582.5  ,     408
 4606.9  ,     289
 4631.3  ,     199
 4655.7  ,     193
 4680.0  ,     158
 4704.4  ,     145
 4728.8  ,     159
 4753.1  ,     117
 4777.5  ,     113
 4801.9  ,     144
 4826.3  ,     147
 4850.6  ,     176
 4875.0  ,     233
 4899.4  ,     214
 4923.7  ,     233
 4948.1  ,     237
 4972.5  ,     204
