"Target: Weissrand, Contains DAT files: APB_502475789ESC11830511298_______M1.DAT"
  488.8  ,   10800
  513.2  ,       0
  537.6  ,       0
  562.0  ,       0
  586.4  ,       0
  610.8  ,     116
  635.2  ,    2063
  659.6  ,    2231
  684.0  ,    2519
  708.4  ,    2580
  732.8  ,    2427
  757.2  ,    2186
  781.6  ,    2176
  806.0  ,    2160
  830.4  ,    2140
  854.8  ,    2209
  879.2  ,    2399
  903.6  ,    2450
  928.0  ,    2728
  952.4  ,    3623
  976.8  ,    5358
 1001.2  ,    7889
 1025.6  ,    9587
 1050.0  ,    8836
 1074.4  ,    6692
 1098.8  ,    4909
 1123.2  ,    4581
 1147.5  ,    6069
 1171.9  ,   10723
 1196.3  ,   19650
 1220.7  ,   30406
 1245.1  ,   34851
 1269.5  ,   29146
 1293.9  ,   18478
 1318.3  ,    9933
 1342.7  ,    6526
 1367.1  ,    6946
 1391.5  ,   11469
 1415.9  ,   22128
 1440.3  ,   37918
 1464.7  ,   50973
 1489.1  ,   50873
 1513.5  ,   38311
 1537.9  ,   22362
 1562.3  ,   12567
 1586.7  ,    9950
 1611.1  ,   13323
 1635.5  ,   26919
 1659.9  ,   58945
 1684.3  ,  111116
 1708.7  ,  163056
 1733.1  ,  180824
 1757.5  ,  147882
 1781.9  ,   91340
 1806.3  ,   44482
 1830.7  ,   19571
 1855.1  ,   10045
 1879.5  ,    6085
 1903.9  ,    4025
 1928.3  ,    2774
 1952.7  ,    2529
 1977.1  ,    2809
 2001.5  ,    2785
 2025.9  ,    2519
 2050.3  ,    2031
 2074.7  ,    1483
 2099.1  ,    1093
 2123.5  ,    1051
 2147.9  ,    1030
 2172.3  ,    1153
 2196.7  ,    1566
 2221.1  ,    2437
 2245.5  ,    3650
 2269.9  ,    5198
 2294.3  ,    6234
 2318.7  ,    5686
 2343.1  ,    4226
 2367.5  ,    2516
 2391.9  ,    1365
 2416.2  ,    1004
 2440.6  ,     918
 2465.0  ,     856
 2489.4  ,     913
 2513.8  ,     989
 2538.2  ,    1170
 2562.6  ,    1487
 2587.0  ,    1870
 2611.4  ,    2100
 2635.8  ,    1844
 2660.2  ,    1392
 2684.6  ,     942
 2709.0  ,     662
 2733.4  ,     499
 2757.8  ,     494
 2782.2  ,     480
 2806.6  ,     527
 2831.0  ,     526
 2855.4  ,     536
 2879.8  ,     587
 2904.2  ,     596
 2928.6  ,     685
 2953.0  ,     626
 2977.4  ,     631
 3001.8  ,     530
 3026.2  ,     443
 3050.6  ,     418
 3075.0  ,     377
 3099.4  ,     393
 3123.8  ,     439
 3148.2  ,     479
 3172.6  ,     515
 3197.0  ,     632
 3221.4  ,     879
 3245.8  ,    1229
 3270.2  ,    1539
 3294.6  ,    1808
 3319.0  ,    1741
 3343.4  ,    1495
 3367.8  ,    1156
 3392.2  ,     866
 3416.6  ,     677
 3441.0  ,     661
 3465.4  ,     745
 3489.8  ,     968
 3514.2  ,    1199
 3538.6  ,    1707
 3563.0  ,    2573
 3587.4  ,    4334
 3611.8  ,    7105
 3636.2  ,   10551
 3660.6  ,   13205
 3685.0  ,   13989
 3709.3  ,   12182
 3733.7  ,    8668
 3758.1  ,    4937
 3782.5  ,    2553
 3806.9  ,    1210
 3831.3  ,     670
 3855.7  ,     528
 3880.1  ,     633
 3904.5  ,     809
 3928.9  ,    1097
 3953.3  ,    1469
 3977.7  ,    1834
 4002.1  ,    2113
 4026.5  ,    1804
 4050.9  ,    1540
 4075.3  ,    1200
 4099.7  ,     815
 4124.1  ,     581
 4148.5  ,     439
 4172.9  ,     343
 4197.3  ,     298
 4221.7  ,     289
 4246.1  ,     275
 4270.5  ,     307
 4294.9  ,     322
 4319.3  ,     360
 4343.7  ,     375
 4368.1  ,     468
 4392.5  ,     624
 4416.9  ,     866
 4441.3  ,    1157
 4465.7  ,    1507
 4490.1  ,    1720
 4514.5  ,    1629
 4538.9  ,    1392
 4563.3  ,    1080
 4587.7  ,     872
 4612.1  ,     706
 4636.5  ,     640
 4660.9  ,     579
 4685.3  ,     499
 4709.7  ,     467
 4734.1  ,     369
 4758.5  ,     321
 4782.9  ,     322
 4807.3  ,     331
 4831.7  ,     343
 4856.1  ,     445
 4880.5  ,     462
 4904.9  ,     499
 4929.3  ,     503
 4953.7  ,     493
 4978.1  ,     446
 5002.4  ,     398
 5026.8  ,     355
 5051.2  ,     320
 5075.6  ,     327
 5100.0  ,     301
 5124.4  ,     342
 5148.8  ,     341
 5173.2  ,     342
 5197.6  ,     365
 5222.0  ,     385
 5246.4  ,     436
 5270.8  ,     495
 5295.2  ,     638
 5319.6  ,     808
 5344.0  ,     961
 5368.4  ,    1103
 5392.8  ,    1222
 5417.2  ,    1187
 5441.6  ,    1000
 5466.0  ,     782
 5490.4  ,     639
 5514.8  ,     473
 5539.2  ,     419
 5563.6  ,     395
 5588.0  ,     396
 5612.4  ,     411
 5636.8  ,     426
 5661.2  ,     443
 5685.6  ,     450
 5710.0  ,     459
 5734.4  ,     620
 5758.8  ,     698
 5783.2  ,     935
 5807.6  ,    1150
 5832.0  ,    1463
 5856.4  ,    1743
 5880.8  ,    1875
 5905.2  ,    1779
 5929.6  ,    1659
 5954.0  ,    1333
 5978.4  ,    1198
 6002.8  ,     993
 6027.2  ,    1077
 6051.6  ,    1283
 6076.0  ,    1542
 6100.4  ,    1929
