"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  5.93    ,  0.17  
Al2O3   ,  8.99    ,  0.19  
SiO2    , 49.20    ,  0.64  
P2O5    ,  0.75    ,  0.05  
SO3     ,  6.34    ,  0.17  
Cl      ,  1.08    ,  0.05  
K2O     ,  0.92    ,  0.04  
CaO     ,  4.22    ,  0.07  
TiO2    ,  1.04    ,  0.05  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.18    ,  0.02  
FeO     , 18.15    ,  0.20  
Ni      ,  0.0856  ,  0.0050
Zn      ,  0.0572  ,  0.0030
Br      ,  0.0117  ,  0.0010
