"Target: Okoruso_full_drill_tailings, Contains DAT files: APB_516238368ESC13380540938_______M1.DAT"
  486.3  ,   12600
  510.7  ,       0
  535.0  ,       0
  559.4  ,       0
  583.7  ,       0
  608.1  ,     111
  632.4  ,    2496
  656.8  ,    2651
  681.2  ,    2619
  705.5  ,    2832
  729.9  ,    2834
  754.2  ,    2563
  778.6  ,    2480
  802.9  ,    2393
  827.3  ,    2516
  851.7  ,    2543
  876.0  ,    2725
  900.4  ,    3056
  924.7  ,    3610
  949.1  ,    4907
  973.4  ,    6546
  997.8  ,    8362
 1022.2  ,    9485
 1046.5  ,    9351
 1070.9  ,    8090
 1095.2  ,    7074
 1119.6  ,    7362
 1143.9  ,    9696
 1168.3  ,   15252
 1192.6  ,   22760
 1217.0  ,   30231
 1241.4  ,   32738
 1265.7  ,   30385
 1290.1  ,   23858
 1314.4  ,   16302
 1338.8  ,   12298
 1363.1  ,   11924
 1387.5  ,   16148
 1411.9  ,   24667
 1436.2  ,   35514
 1460.6  ,   42452
 1484.9  ,   43560
 1509.3  ,   37713
 1533.6  ,   28416
 1558.0  ,   19925
 1582.4  ,   17448
 1606.7  ,   23050
 1631.1  ,   39705
 1655.4  ,   68523
 1679.8  ,  105878
 1704.1  ,  139239
 1728.5  ,  152261
 1752.9  ,  139240
 1777.2  ,  104998
 1801.6  ,   68636
 1825.9  ,   38878
 1850.3  ,   20471
 1874.6  ,   10756
 1899.0  ,    6207
 1923.4  ,    4254
 1947.7  ,    3348
 1972.1  ,    3082
 1996.4  ,    2787
 2020.8  ,    2720
 2045.1  ,    2275
 2069.5  ,    1764
 2093.9  ,    1386
 2118.2  ,    1096
 2142.6  ,     970
 2166.9  ,     915
 2191.3  ,    1002
 2215.6  ,    1169
 2240.0  ,    1457
 2264.4  ,    1704
 2288.7  ,    1788
 2313.1  ,    1863
 2337.4  ,    1577
 2361.8  ,    1281
 2386.1  ,     942
 2410.5  ,     792
 2434.9  ,     672
 2459.2  ,     670
 2483.6  ,     791
 2507.9  ,     894
 2532.3  ,    1247
 2556.6  ,    1730
 2581.0  ,    2077
 2605.3  ,    2451
 2629.7  ,    2272
 2654.1  ,    1915
 2678.4  ,    1493
 2702.8  ,    1110
 2727.1  ,     816
 2751.5  ,     689
 2775.8  ,     578
 2800.2  ,     653
 2824.6  ,     676
 2848.9  ,     591
 2873.3  ,     619
