"Target: Oudam_post_sieve_dump_pile, Contains DAT files: APB_523504288ESC14190561236_______M1.DAT"
  484.4  ,   12600
  508.8  ,       0
  533.2  ,       0
  557.6  ,       0
  582.0  ,       0
  606.4  ,     111
  630.8  ,       0
  655.2  ,     765
  679.6  ,    2408
  703.9  ,    2445
  728.3  ,    2463
  752.7  ,    2227
  777.1  ,    2199
  801.5  ,    2146
  825.9  ,    2284
  850.3  ,    2323
  874.7  ,    2398
  899.1  ,    2490
  923.5  ,    2865
  947.9  ,    3572
  972.3  ,    5217
  996.7  ,    7379
 1021.1  ,    9166
 1045.5  ,    8919
 1069.9  ,    7189
 1094.3  ,    5118
 1118.7  ,    4233
 1143.0  ,    4741
 1167.4  ,    7225
 1191.8  ,   11889
 1216.2  ,   17658
 1240.6  ,   20661
 1265.0  ,   18821
 1289.4  ,   13620
 1313.8  ,    8660
 1338.2  ,    6177
 1362.6  ,    6663
 1387.0  ,   11040
 1411.4  ,   20786
 1435.8  ,   35519
 1460.2  ,   48532
 1484.6  ,   50114
 1509.0  ,   40219
 1533.4  ,   26125
 1557.7  ,   15292
 1582.1  ,   11438
 1606.5  ,   14429
 1630.9  ,   28733
 1655.3  ,   62879
 1679.7  ,  118515
 1704.1  ,  179231
 1728.5  ,  205739
 1752.9  ,  180792
 1777.3  ,  119773
 1801.7  ,   63952
 1826.1  ,   29377
 1850.5  ,   13915
 1874.9  ,    7853
 1899.3  ,    4772
 1923.7  ,    3258
 1948.1  ,    2630
 1972.4  ,    2542
 1996.8  ,    2531
 2021.2  ,    2503
 2045.6  ,    2080
 2070.0  ,    1657
 2094.4  ,    1315
 2118.8  ,    1191
 2143.2  ,    1236
 2167.6  ,    1407
 2192.0  ,    2101
 2216.4  ,    3547
 2240.8  ,    5982
 2265.2  ,    8686
 2289.6  ,   10617
 2314.0  ,   10252
 2338.4  ,    7770
 2362.8  ,    4914
 2387.2  ,    2635
 2411.5  ,    1682
 2435.9  ,    1274
 2460.3  ,    1318
 2484.7  ,    1284
 2509.1  ,    1246
 2533.5  ,    1389
 2557.9  ,    1680
 2582.3  ,    2168
 2606.7  ,    2337
 2631.1  ,    2112
 2655.5  ,    1678
 2679.9  ,    1136
 2704.3  ,     765
 2728.7  ,     597
 2753.1  ,     539
 2777.5  ,     541
 2801.9  ,     548
 2826.2  ,     578
 2850.6  ,     605
 2875.0  ,     561
 2899.4  ,     637
 2923.8  ,     695
 2948.2  ,     728
 2972.6  ,     641
 2997.0  ,     606
 3021.4  ,     524
 3045.8  ,     425
 3070.2  ,     419
 3094.6  ,     420
 3119.0  ,     390
 3143.4  ,     499
 3167.8  ,     567
 3192.2  ,     734
 3216.6  ,    1138
 3240.9  ,    1582
 3265.3  ,    2305
 3289.7  ,    2642
 3314.1  ,    2831
 3338.5  ,    2456
 3362.9  ,    1804
 3387.3  ,    1225
 3411.7  ,     900
 3436.1  ,     668
 3460.5  ,     656
 3484.9  ,     736
 3509.3  ,     875
 3533.7  ,    1304
 3558.1  ,    1851
 3582.5  ,    3181
 3606.9  ,    5080
 3631.3  ,    7713
 3655.7  ,    9655
 3680.0  ,   10481
 3704.4  ,    9594
 3728.8  ,    6994
 3753.2  ,    4466
 3777.6  ,    2474
 3802.0  ,    1216
 3826.4  ,     662
 3850.8  ,     482
 3875.2  ,     509
 3899.6  ,     618
 3924.0  ,     905
 3948.4  ,    1190
 3972.8  ,    1402
 3997.2  ,    1652
 4021.6  ,    1533
