"Target: Sutton_Island_DRT, Contains DAT files: APB_532735594ESC15230592668_______M1.DAT"
  484.4  ,   14400
  508.8  ,       0
  533.2  ,       0
  557.6  ,       0
  582.0  ,       0
  606.4  ,     111
  630.8  ,       4
  655.2  ,     960
  679.6  ,    3343
  704.0  ,    3658
  728.4  ,    3362
  752.8  ,    3139
  777.2  ,    3083
  801.6  ,    3036
  826.0  ,    3036
  850.4  ,    3143
  874.7  ,    3220
  899.1  ,    3448
  923.5  ,    3870
  947.9  ,    4736
  972.3  ,    6405
  996.7  ,    9151
 1021.1  ,   10833
 1045.5  ,   10594
 1069.9  ,    8494
 1094.3  ,    6436
 1118.7  ,    5836
 1143.1  ,    7117
 1167.5  ,   10891
 1191.9  ,   18174
 1216.3  ,   26764
 1240.7  ,   31172
 1265.1  ,   27840
 1289.5  ,   19851
 1313.9  ,   12607
 1338.3  ,    8530
 1362.7  ,    8742
 1387.1  ,   13587
 1411.5  ,   23357
 1435.9  ,   38026
 1460.3  ,   51089
 1484.7  ,   52928
 1509.1  ,   42199
 1533.5  ,   27600
 1557.9  ,   17182
 1582.3  ,   13072
 1606.7  ,   16464
 1631.0  ,   30627
 1655.4  ,   64283
 1679.8  ,  115949
 1704.2  ,  171447
 1728.6  ,  194076
 1753.0  ,  169930
 1777.4  ,  115089
 1801.8  ,   62957
 1826.2  ,   30765
 1850.6  ,   16034
 1875.0  ,    9751
 1899.4  ,    7131
 1923.8  ,    6125
 1948.2  ,    6206
 1972.6  ,    6831
 1997.0  ,    7189
 2021.4  ,    6762
 2045.8  ,    6007
 2070.2  ,    4931
 2094.6  ,    4262
 2119.0  ,    4236
 2143.4  ,    4900
 2167.8  ,    6774
 2192.2  ,   11453
 2216.6  ,   21484
 2241.0  ,   37714
 2265.4  ,   55823
 2289.8  ,   66416
 2314.2  ,   63782
 2338.6  ,   47942
 2363.0  ,   29617
 2387.3  ,   16261
 2411.7  ,    9148
 2436.1  ,    6676
 2460.5  ,    6034
 2484.9  ,    5722
 2509.3  ,    5383
 2533.7  ,    5410
 2558.1  ,    6332
 2582.5  ,    7621
 2606.9  ,    8456
 2631.3  ,    7843
 2655.7  ,    5887
 2680.1  ,    3808
 2704.5  ,    2128
 2728.9  ,    1399
 2753.3  ,    1103
 2777.7  ,    1155
 2802.1  ,    1219
 2826.5  ,    1206
 2850.9  ,    1249
 2875.3  ,    1075
 2899.7  ,    1030
 2924.1  ,     936
 2948.5  ,     967
 2972.9  ,     908
 2997.3  ,     773
 3021.7  ,     720
 3046.1  ,     635
 3070.5  ,     639
 3094.9  ,     648
 3119.3  ,     647
 3143.6  ,     661
 3168.0  ,     771
 3192.4  ,     920
 3216.8  ,    1162
 3241.2  ,    1480
 3265.6  ,    1981
 3290.0  ,    2349
 3314.4  ,    2421
 3338.8  ,    2300
 3363.2  ,    1798
 3387.6  ,    1486
 3412.0  ,    1250
 3436.4  ,    1177
 3460.8  ,    1243
 3485.2  ,    1452
 3509.6  ,    1911
 3534.0  ,    3089
 3558.4  ,    5535
 3582.8  ,   10443
 3607.2  ,   18274
 3631.6  ,   27354
 3656.0  ,   35636
 3680.4  ,   38380
 3704.8  ,   34450
 3729.2  ,   25361
 3753.6  ,   15986
 3778.0  ,    8678
 3802.4  ,    4012
 3826.8  ,    1948
 3851.2  ,    1146
 3875.6  ,    1181
 3899.9  ,    1594
 3924.3  ,    2483
 3948.7  ,    3549
 3973.1  ,    4401
 3997.5  ,    5019
 4021.9  ,    4802
 4046.3  ,    4137
 4070.7  ,    2843
 4095.1  ,    1940
 4119.5  ,    1287
 4143.9  ,     783
 4168.3  ,     559
 4192.7  ,     413
 4217.1  ,     380
 4241.5  ,     341
 4265.9  ,     336
 4290.3  ,     356
 4314.7  ,     359
 4339.1  ,     358
 4363.5  ,     489
 4387.9  ,     677
 4412.3  ,     981
 4436.7  ,    1335
 4461.1  ,    1693
 4485.5  ,    1887
 4509.9  ,    1852
 4534.3  ,    1632
 4558.7  ,    1291
 4583.1  ,     930
 4607.5  ,     818
 4631.9  ,     713
 4656.2  ,     563
 4680.6  ,     523
 4705.0  ,     465
 4729.4  ,     406
 4753.8  ,     361
 4778.2  ,     383
 4802.6  ,     357
 4827.0  ,     397
 4851.4  ,     463
 4875.8  ,     496
 4900.2  ,     544
 4924.6  ,     531
 4949.0  ,     514
 4973.4  ,     464
 4997.8  ,     420
 5022.2  ,     407
 5046.6  ,     371
 5071.0  ,     308
 5095.4  ,     346
 5119.8  ,     329
 5144.2  ,     324
 5168.6  ,     345
 5193.0  ,     395
 5217.4  ,     432
 5241.8  ,     384
 5266.2  ,     490
 5290.6  ,     543
 5315.0  ,     658
 5339.4  ,     733
 5363.8  ,     797
 5388.2  ,     850
 5412.5  ,     788
 5436.9  ,     687
 5461.3  ,     695
 5485.7  ,     549
 5510.1  ,     518
 5534.5  ,     425
 5558.9  ,     388
 5583.3  ,     434
 5607.7  ,     403
 5632.1  ,     435
 5656.5  ,     419
 5680.9  ,     410
 5705.3  ,     453
 5729.7  ,     496
 5754.1  ,     563
 5778.5  ,     669
 5802.9  ,     863
 5827.3  ,    1059
 5851.7  ,    1181
 5876.1  ,    1215
 5900.5  ,    1220
 5924.9  ,    1104
 5949.3  ,    1056
 5973.7  ,     957
 5998.1  ,     810
 6022.5  ,     798
 6046.9  ,     809
 6071.3  ,     844
 6095.7  ,     968
 6120.1  ,    1055
 6144.5  ,    1283
 6168.8  ,    1891
 6193.2  ,    2953
 6217.6  ,    5263
 6242.0  ,    9642
 6266.4  ,   17659
 6290.8  ,   29667
 6315.2  ,   44703
 6339.6  ,   59618
 6364.0  ,   69628
 6388.4  ,   71039
 6412.8  ,   63283
 6437.2  ,   49439
 6461.6  ,   33368
 6486.0  ,   19893
 6510.4  ,   10486
 6534.8  ,    5036
 6559.2  ,    2277
 6583.6  ,    1036
 6608.0  ,     574
 6632.4  ,     461
 6656.8  ,     387
 6681.2  ,     399
 6705.6  ,     394
 6730.0  ,     407
 6754.4  ,     430
 6778.8  ,     466
 6803.2  ,     585
